index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,14,0,0,0,10.0,11,10.0,20.905802617850814,5,9.0,17.629503397143267,11,36.63636363636363,45.00000000000001,20,45.0,0,0.2,34720,0,1,0.0,20.905802617850814,False,0.008287208631410272,0,0.41600000000000004,35141,3,15,1.0,343.5870392677622,False,0.02519359906035362,0,0.2,53896,28,80,1.0,1995.7227450712842,False,-0.018297452071183346,6,2.7710000000000004,42033,19,0,0.0,397.2102497391655,False,-0.2447447980959354,8,0.9280000000000002,83001,130,0,0.0,2291.8354416286247,False,-0.024145963413534793,12,0.9319999999999999,82255,160,0,0.0,2820.7205435429228,False,-0.029730597922143737,0.3333333333333333,331046,0.0,0.0,7,0,0,8,9,9.0,18,26,18,90.0,21.0,7,7,18,420,1.060371314000804,24.12334508402273
11,18,0,0,0,10.0,12,10.0,21.82428648309311,29,24.862068965517242,17.10857130352789,31,14.35483870967742,45.0,20,45.0,0,0.2,34720,0,1,0.0,21.82428648309311,False,0.008300541246670014,14,0.556,35398,5,10,1.0,268.2428648309311,False,0.031561080923659876,0,0.2,53727,38,85,1.0,2283.551447157409,False,-0.018746075011558082,26,3.025000000000001,40631,28,0,0.0,611.0800215266071,False,-0.2679052880025162,13,1.0500000000000003,82460,142,0,0.0,2429.41712510096,False,-0.02962218554604038,7,0.9900000000000002,81988,179,0,0.0,3062.4342633314923,False,-0.03142542379401654,0.3333333333333333,328924,0.0,0.0,8,0,0,12,18,17.416666666666668,21,33,16,179.0,15.0,13,5,16,583,1.1594374170526862,25.282782501075417
12,16,0,0,0,10.0,11,10.0,20.932497217117277,11,11.818181818181818,17.046193226535625,42,16.785714285714285,45.00000000000001,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,0,0.542,35383,6,10,1.0,269.32497217117276,False,0.031141311832939125,0,0.2,53803,38,92,1.0,2363.684671091734,False,-0.016670380464869978,39,3.3890000000000007,38868,29,0,0.0,607.042419296401,False,-0.2994702646842964,9,1.1270000000000002,81853,164,0,0.0,2795.5756891518427,False,-0.03453840535578602,11,1.0930000000000002,81537,199,0,0.0,3392.192452080589,False,-0.034743575525168,0.3333333333333333,326199,0.0,0.0,9,0,0,9,17,17.0,22,31,16,140.0,12.0,12,4,16,411,0.9253499720362015,26.20813247311162
13,16,0,0,0,10.0,10,10.0,21.317155188934294,45,22.266666666666666,17.061529915616898,65,17.107692307692307,45.00000000000001,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,35,0.8920000000000001,35257,6,10,1.0,273.17155188934294,False,0.027539142863831426,0,0.2,53201,73,89,1.0,3074.6284912821075,False,-0.02107920228837282,52,3.870000000000001,36068,29,0,0.0,618.1975004790945,False,-0.34944473504945645,10,1.2180000000000002,80763,215,0,0.0,3668.228931857633,False,-0.04211907286494322,10,1.1820000000000002,81172,213,0,0.0,3634.105872026399,False,-0.03757375203222575,0.3333333333333333,321216,0.0,0.0,8,0,0,14,22,21.166666666666668,21,35,13,158.0,6.0,14,2,13,500,0.8455153980175965,27.053647871129215
14,13,0,0,0,10.0,11,10.0,20.799075382227187,26,18.0,19.31832771692168,49,30.122448979591837,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,16,1.0170000000000001,35263,7,10,1.0,277.99075382227187,False,0.027783288631474466,0,0.2,53972,89,75,1.0,3299.9922877873455,False,-0.005275745410274631,25,4.068000000000001,35115,29,0,0.0,603.1731860845885,False,-0.3666221973095428,9,1.298,79724,251,0,0.0,4848.900256947341,False,-0.04732224508606529,11,1.2820000000000003,80409,226,0,0.0,4365.9420640243,False,-0.04217872140449092,0.3333333333333333,319238,0.0,0.0,8,0,0,8,14,13.615384615384615,20,28,9,77.0,15.0,8,5,9,1349,0.6647937609814107,27.718441632110626
15,9,0,0,0,10.0,9,10.0,21.647114768402528,20,28.0,20.133751810367887,44,24.863636363636363,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,10,1.1010000000000002,35504,6,10,1.0,276.47114768402525,False,0.0347578915326467,0,0.2,54247,99,61,1.0,3371.2232225042912,False,0.0002791925756415505,20,4.243,34462,29,0,0.0,627.7663282836733,False,-0.378080312532113,12,1.4090000000000003,78976,261,0,0.0,5254.9092225060185,False,-0.053642572553862296,8,1.3510000000000002,79704,260,0,0.0,5234.77547069565,False,-0.04531668307242539,0.3333333333333333,317648,0.0,0.0,6,0,0,8,17,16.09090909090909,18,26,12,89.0,6.0,7,2,12,925,0.6451218290021643,28.36356346111279
16,12,0,0,0,9.999999999999998,9,10.0,21.93935685700561,11,26.0,20.094564249868313,27,19.703703703703702,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,1,1.1010000000000002,35678,5,10,1.0,269.39356857005606,False,0.039706685564959446,0,0.2,54227,100,64,1.0,3479.987797692133,False,0.0008940733380915201,20,4.423000000000001,33788,29,0,0.0,636.2413488531627,False,-0.39005810979797595,10,1.497,78668,273,0,0.0,5485.816040214049,False,-0.05587554047817999,10,1.443,79149,275,0,0.0,5526.005168713786,False,-0.05006433352634395,0.3333333333333333,316265,0.0,0.0,5,0,0,7,19,18.09090909090909,20,27,10,122.0,9.0,9,3,10,356,0.7112862250069156,29.074849686119705
17,10,0,0,0,9.999999999999998,9,10.0,22.510984328488473,19,26.94736842105263,20.209719159934956,30,21.233333333333334,44.99999999999999,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,9,1.1900000000000002,35902,4,10,1.0,265.10984328488473,False,0.04614762437632285,0,0.2,54186,109,60,1.0,3666.280441401341,False,0.001826639853723708,16,4.563000000000001,33276,29,0,0.0,652.8185455261657,False,-0.3990663076924176,11,1.5970000000000002,78257,281,0,0.0,5678.931083941722,False,-0.05952213823689411,9,1.5230000000000004,78581,297,0,0.0,6002.286590500682,False,-0.0538897204507725,0.3333333333333333,314957,0.0,0.0,9,0,0,7,15,14.9,21,28,13,98.0,6.0,8,2,13,813,0.7459098860272206,29.820759572146926
18,13,0,0,0,9.999999999999998,11,10.0,22.606878368557318,34,23.029411764705884,20.35043662143906,64,20.9375,44.99999999999999,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,24,1.421,36047,5,10,1.0,276.0687836855732,False,0.050516312725875735,0,0.2,54846,123,39,1.0,3574.3130675686734,False,0.012807492064744798,33,4.877000000000001,31406,39,0,0.0,881.6682563737354,False,-0.4304623973355712,8,1.6660000000000001,77407,310,0,0.0,6308.635352646108,False,-0.0657282622282172,12,1.6340000000000003,77735,332,0,0.0,6756.344958317767,False,-0.05932838744321657,0.3333333333333333,312196,0.0,0.0,11,0,0,11,17,17.0,20,31,16,156.0,6.0,11,2,16,1553,0.7643231219844893,30.585082694131415
19,16,0,0,0,9.999999999999998,12,10.0,22.988335592221475,9,30.0,20.31565650160576,55,20.12727272727273,45.0,20,45.0,0,0.2,34755,0,0,0.0,0.0,False,0.008999854841050951,0,1.3970000000000002,36197,7,11,1.0,322.87169151443624,False,0.05555046728864033,0,0.2,55459,113,30,1.0,3207.1516169691995,False,0.02048707563861799,36,5.204000000000001,29638,48,0,0.0,1103.4401084266308,False,-0.4600976437538975,15,1.808,76323,339,0,0.0,6887.007554044352,False,-0.07494574009878135,5,1.6720000000000004,77312,358,0,0.0,7273.005027574862,False,-0.06123806939907186,0.3333333333333333,309684,0.0,0.0,10,0,0,13,15,15.0,19,32,14,160.0,9.0,13,3,14,1003,0.7806743739638478,31.365757068095263
