index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,29,0,0,0,9.999999999999998,12,10.0,9.287211670250658,22,2.8636363636363638,31.500820222680904,0,,49.99999999999999,20,50.0,0,0.2,47610,0,4,0.0,37.14884668100263,False,0.004271379060863207,21,1.1120000000000003,43377,119,0,0.0,1189.9999999999998,False,-0.07282924977860246,0,0.281,67049,2,20,1.0,648.5908277941194,False,0.006728559895656988,0,0.29000000000000004,68174,2,16,1.0,522.5875469033958,False,0.02259751914067964,14,1.0150000000000001,103707,57,0,0.0,1795.5467526928114,False,-0.020930416447371276,6,0.8450000000000002,104213,30,0,0.0,945.0246066804272,False,-0.020174724091498397,0.3333333333333333,434130,0.0,0.0,5,0,0,14,11,11.0,16,30,16,181.0,75.0,14,15,16,154,1.2567515559494495,23.93775253649801
11,16,0,0,0,9.999999999999998,9,10.0,9.195998337146957,1,1.0,30.177924268973474,8,15.0,49.99999999999999,20,50.0,0,0.2,47610,0,4,0.0,36.78399334858783,False,0.00426753250694325,1,1.1010000000000002,43260,128,0,0.0,1279.9999999999998,False,-0.07434740437734576,0,0.281,67168,0,15,0.3,452.6688640346021,False,0.0070429363898406455,0,0.29000000000000004,68174,0,18,0.2,543.2026368415226,False,0.022751540104609103,9,1.0910000000000002,103432,65,0,0.0,1961.565077483276,False,-0.022727393615357045,11,0.9490000000000003,104000,30,0,0.0,905.3377280692042,False,-0.02235406946738989,0.08333333333333333,433644,0.0,0.0,5,0,0,9,9,9.0,13,22,9,100.0,23.0,8,8,9,210,0.9424643497914076,24.880216886289418
12,9,0,0,0,9.999999999999998,9,10.0,9.057271823119592,6,7.166666666666667,30.177924268973474,0,,50.0,20,50.0,0,0.2,47644,0,3,0.0,27.171815469358776,False,0.004883100150438069,5,1.1500000000000001,43033,137,0,0.0,1369.9999999999998,False,-0.07818496183528023,0,0.281,67159,0,20,0.5,603.5584853794695,False,0.008035791023859299,0,0.29000000000000004,68140,0,19,0.1,573.380561110496,False,0.0224689610530797,8,1.1620000000000001,103315,65,0,0.0,1961.565077483276,False,-0.023822478835450456,12,1.0580000000000003,103766,30,0,0.0,905.3377280692042,False,-0.02454423990757671,0.09999999999999999,433057,0.0,0.0,4,0,0,6,9,9.0,16,22,9,85.0,9.0,6,3,9,124,0.8775982968509197,25.757815183140337
13,9,0,0,0,9.999999999999998,11,10.0,9.808690747732943,28,11.928571428571429,27.7921647619049,18,15.88888888888889,50.0,20,50.0,0,0.2,47678,0,2,0.0,19.617381495465885,False,0.005520362053467162,27,1.415,42212,148,0,0.0,1479.9999999999998,False,-0.09433643992746595,0,0.281,67361,1,12,1.0,343.31466789059175,False,0.009109832702438661,0,0.29000000000000004,67890,7,29,1.0,874.6336133293727,False,0.02098406835713716,13,1.2840000000000003,102751,83,0,0.0,2306.7496752381066,False,-0.027485938566476832,7,1.1160000000000003,103668,30,0,0.0,833.7649428571469,False,-0.025796440772469623,0.3333333333333333,431560,0.0,0.0,7,0,0,11,11,11.0,11,22,8,114.0,3.0,8,1,8,430,0.8681038124486804,26.625918995589018
14,8,0,0,0,9.999999999999998,10,10.0,9.53122083677771,7,5.714285714285714,25.481307071658513,42,20.142857142857142,50.00000000000001,20,50.0,0,0.2,47712,0,1,0.0,9.53122083677771,False,0.0061309326196261876,6,1.4480000000000002,41950,158,0,0.0,1579.9999999999998,False,-0.09880656180154346,26,0.5410000000000001,66598,0,7,0.7,178.3691495016096,False,-0.0035236828183015548,0,0.29000000000000004,68112,0,33,0.8,840.883133364731,False,0.024049154501178407,13,1.401,101883,121,0,0.0,3083.23815567068,False,-0.03197630986386,7,1.1790000000000003,103308,34,0,0.0,866.3644404363895,False,-0.029013372954032685,0.25,429563,0.0,0.0,7,0,0,9,12,11.7,12,21,8,116.0,0.0,8,0,8,525,0.8639902491122484,27.489909244701266
15,8,0,0,0,9.999999999999998,6,10.0,9.975423493589744,12,13.416666666666666,27.937814301089926,22,41.90909090909091,50.00000000000001,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,11,1.552,41685,164,0,0.0,1639.9999999999998,False,-0.1037616497279973,0,0.5150000000000001,66549,0,11,0.4,307.31595731198917,False,-0.00329247077004933,0,0.29000000000000004,68922,0,19,0.8,530.8184717207085,False,0.03383603896807304,8,1.4680000000000004,101277,131,0,0.0,3659.8536734427803,False,-0.034949814802169625,12,1.292,102622,46,0,0.0,1285.1394578501365,False,-0.03347432419272501,0.20000000000000004,428801,0.0,0.0,7,0,0,9,10,10.0,13,22,8,124.0,0.0,8,0,8,1016,0.8529176861047745,28.34282693080604
16,8,0,0,0,9.999999999999998,12,10.0,9.651442274522367,4,2.0,27.991512992351275,13,28.53846153846154,50.000000000000014,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,4,1.5810000000000002,41461,176,0,0.0,1759.9999999999998,False,-0.10721966853624594,0,0.5150000000000001,66677,0,7,0.4,195.94059094645894,False,-0.002211940656078856,0,0.29000000000000004,69157,0,14,0.0,391.8811818929179,False,0.036309498841152595,9,1.5500000000000003,100755,144,0,0.0,4030.7778708985834,False,-0.038099709517420415,11,1.3900000000000001,102420,46,0,0.0,1287.6095976481586,False,-0.03535342425825224,0.06666666666666667,428216,0.0,0.0,7,0,0,11,9,9.0,13,24,6,116.0,0.0,8,0,6,491,0.8025361010804772,29.145363031886518
17,6,0,0,0,9.999999999999998,9,10.0,8.543831987716265,15,2.0,26.15903762378293,24,16.166666666666668,50.000000000000014,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,15,1.727,40918,185,0,0.0,1849.9999999999998,False,-0.11772023784422048,7,0.5850000000000001,66631,0,9,0.9,235.43133861404635,False,-0.0026042516129428104,0,0.29000000000000004,69295,0,10,0.6,261.5903762378293,False,0.037398132004227355,9,1.6310000000000004,100212,168,0,0.0,4394.718320795532,False,-0.04147884089069019,11,1.4890000000000003,102211,46,0,0.0,1203.3157306940147,False,-0.037704084898615646,0.25,427013,0.0,0.0,6,0,0,7,11,10.875,14,21,10,87.0,0.0,6,0,10,342,0.7653720425441861,29.910735074430704
18,10,0,0,0,9.999999999999998,8,10.0,8.366223502748166,7,6.0,25.5891917354162,16,20.625,50.00000000000002,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,7,1.7820000000000003,40684,193,0,0.0,1929.9999999999995,False,-0.12181082106861216,7,0.6480000000000001,66695,0,0,0.0,0.0,False,-0.003406900467701687,0,0.29000000000000004,69253,0,17,0.7,435.0162595020754,False,0.03806625718738002,11,1.7320000000000004,99916,174,0,0.0,4452.519361962419,False,-0.0439788126189271,9,1.568,101814,56,0,0.0,1432.9947371833073,False,-0.04034502327204305,0.11666666666666665,426108,0.0,0.0,4,0,0,12,10,9.7,14,26,8,159.0,0.0,10,0,8,170,0.853292272426188,30.764027346856892
19,8,0,0,0,9.999999999999996,10,10.0,7.376832845825867,14,1.0,24.948910390962705,9,15.0,50.00000000000003,20,50.0,0,0.2,47746,0,0,0.0,0.0,False,0.006747353772192468,14,1.9150000000000003,40173,203,0,0.0,2029.9999999999993,False,-0.13153122759667693,0,0.6410000000000002,66695,0,0,0.0,0.0,False,-0.003406900467701687,0,0.29000000000000004,69374,4,18,1.0,478.5877184206322,False,0.04019983950525703,4,1.7610000000000001,99736,183,0,0.0,4565.6506015461755,False,-0.045134121725057964,16,1.7190000000000003,101403,56,0,0.0,1397.1389818939115,False,-0.04435966070191256,0.16666666666666666,425127,0.0,0.0,5,0,0,9,10,10.0,15,24,6,123.0,0.0,8,0,6,235,0.7729291468858719,31.536956493742764
