index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,27,0,0,0,10.000000000000002,20,10.0,19.318470736049232,1,12.0,33.76048908113686,19,25.94736842105263,43.0,11,43.0,0,0.263,15672,107,0,0.0,1070.0000000000002,False,-0.038445565114209435,1,0.28200000000000003,15580,113,0,0.0,1130.0000000000002,False,-0.04212399881340848,8,0.5770000000000002,27162,0,1,0.1,33.76048908113686,False,-0.007671684087021534,8,0.4690000000000001,27697,0,0,0.0,0.0,False,0.011245390485231297,9,0.32600000000000007,36107,9,10,1.0,733.8444017302318,False,0.0013705853521060907,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.18333333333333335,158642,0.0,0.0,10,0,0,14,9,8.35,19,33,25,192.0,69.0,14,13,25,286,1.3249223483726382,15.29549092054367
11,25,0,0,0,10.000000000000002,20,10.0,19.318470736049232,0,,31.41029025572048,10,15.0,43.0,10,43.0,0,0.263,15552,119,0,0.0,1190.0000000000002,False,-0.04200533966182142,0,0.281,15500,121,0,0.0,1210.0000000000002,False,-0.04449718184514981,9,0.659,26949,0,0,0.0,0.0,False,-0.016064843550330426,0,0.4610000000000001,27697,0,0,0.0,0.0,False,0.011245390485231297,0,0.31700000000000006,36387,9,10,1.0,712.6926123014844,False,0.008767469419908377,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.16666666666666666,158509,0.0,0.0,14,0,0,10,2,1.8,19,29,21,155.0,60.0,10,15,21,630,0.8026922456920147,16.098183166235685
12,21,0,0,0,10.000000000000002,20,10.0,19.318470736049232,0,,31.41029025572048,0,,43.0,11,43.0,0,0.263,15452,129,0,0.0,1290.0000000000002,False,-0.04497181845149807,0,0.281,15400,131,0,0.0,1310.0000000000002,False,-0.04746366063482646,0,0.6500000000000001,26949,0,0,0.0,0.0,False,-0.016064843550330426,0,0.4610000000000001,27697,0,0,0.0,0.0,False,0.011245390485231297,1,0.32700000000000007,36809,0,9,0.9,387.0,False,0.015882385240500767,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.15,158731,0.0,0.0,13,0,0,10,1,0.5,18,28,21,168.0,60.0,11,10,21,587,1.0355480341240764,17.13373120035976
13,21,0,0,0,10.000000000000002,20,10.0,19.075457681720295,1,12.0,32.15627548241582,9,38.111111111111114,43.0,8,43.0,1,0.273,15296,143,0,0.0,1430.0000000000002,False,-0.05007416196974192,0,0.281,15340,137,0,0.0,1370.0000000000002,False,-0.04924354790863245,4,0.6900000000000002,26977,0,1,0.1,32.15627548241582,False,-0.014455506307597593,5,0.5110000000000001,27667,0,0,0.0,0.0,False,0.010150060243163313,0,0.32600000000000007,36810,0,10,0.9,430.0,False,0.016500109817702613,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.16666666666666666,158514,0.0,0.0,12,0,0,16,3,3.0,15,31,28,160.0,72.0,12,9,28,544,1.0908826384693384,18.2246138388291
14,28,0,0,0,10.000000000000002,20,10.0,18.370356056738565,3,12.0,32.540709434966935,13,34.69230769230769,43.0,7,43.0,1,0.28200000000000003,15180,153,0,0.0,1530.0000000000002,False,-0.0539899139721151,2,0.30100000000000005,15207,147,0,0.0,1470.0000000000002,False,-0.0541679026994957,8,0.7660000000000002,26895,0,2,0.2,65.08141886993387,False,-0.016848343881303865,4,0.546,27695,0,1,0.1,32.540709434966935,False,0.01176641552146783,0,0.32600000000000007,36660,3,13,1.0,656.6221283049008,False,0.015492836156173051,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.21666666666666667,158061,0.0,0.0,12,0,0,18,6,5.75,14,32,30,225.0,55.0,15,13,30,501,1.4356181835755706,19.66023202240467
15,30,0,0,0,10.000000000000002,20,10.0,17.93243446504669,2,12.0,33.09807932969411,10,37.4,43.0,0,,1,0.29100000000000004,15114,158,0,0.0,1580.0000000000002,False,-0.05642242657964996,1,0.30900000000000005,15041,162,0,0.0,1620.0000000000002,False,-0.05956689409670721,0,0.758,26883,0,3,0.1,99.29423798908232,False,-0.016661903720671053,9,0.6320000000000001,27694,0,1,0.1,33.09807932969411,False,0.011740079581760767,0,0.32600000000000007,36286,3,23,1.0,1088.2942379890824,False,0.011150535882784541,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.19999999999999998,157442,0.0,0.0,11,0,0,14,4,3.75,20,34,33,240.0,90.0,15,15,33,200,1.4233937002718449,21.083625722676516
16,33,0,0,0,10.000000000000002,20,10.0,15.81407925752384,19,12.894736842105264,33.772403991000964,4,47.0,43.0,0,,18,0.4700000000000001,14716,169,0,0.0,1690.0000000000002,False,-0.0767724710768318,1,0.318,14935,171,0,0.0,1710.0000000000002,False,-0.06318599822011273,0,0.758,26662,7,13,1.0,549.7398066856795,False,-0.01650772560725699,3,0.6530000000000001,27747,0,2,0.2,67.54480798200193,False,0.014304005403300691,0,0.32600000000000007,36098,0,30,0.7,1290.0,False,0.00875796178343949,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.31666666666666665,156582,0.0,0.0,10,0,0,21,4,3.75,15,36,34,264.0,60.0,18,15,34,200,1.6854688106104732,22.76909453328699
17,34,0,0,0,10.000000000000002,20,10.0,15.722539472217754,1,12.0,33.41560453983824,18,31.944444444444443,43.0,0,,0,0.45200000000000007,14636,177,0,0.0,1770.0000000000002,False,-0.07914565410857312,1,0.32700000000000007,14799,183,0,0.0,1830.0000000000002,False,-0.06769504598042124,0,0.758,26991,0,8,0.8,267.32483631870593,False,-0.009651231583505997,3,0.6800000000000002,27867,0,0,0.0,0.0,False,0.01745226185694987,0,0.32600000000000007,35523,8,40,1.0,1987.3248363187058,False,0.002543993470221575,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.3,156240,0.0,0.0,11,0,0,21,3,2.5,14,35,33,240.0,54.0,15,19,33,541,1.3998203054070473,24.168914838694036
18,33,0,0,0,10.000000000000002,20,10.0,15.534052779810041,2,12.0,33.59309684428726,19,34.36842105263158,43.0,0,,0,0.452,14546,186,0,0.0,1860.0000000000002,False,-0.08181548501928211,2,0.3460000000000001,14656,194,0,0.0,1940.0000000000005,False,-0.07291604865025215,7,0.8280000000000001,27185,0,1,0.1,33.59309684428726,False,-0.006834986731091233,4,0.7170000000000001,27895,0,1,0.1,33.59309684428726,False,0.019087828997851043,0,0.32600000000000007,34870,17,50,1.0,2721.0826463528833,False,-0.005311296859860542,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.19999999999999998,155576,0.0,0.0,9,0,0,23,4,3.466666666666667,14,37,34,250.0,53.0,17,16,34,200,1.0810557371005416,25.249970575794578
19,34,0,0,0,10.000000000000002,20,10.0,15.437360032533308,1,12.0,33.85764638666429,2,46.0,43.0,0,,1,0.462,14440,195,0,0.0,1950.0000000000005,False,-0.08543458914268763,0,0.3440000000000001,14546,205,0,0.0,2050.0000000000005,False,-0.07617917531889647,0,0.8210000000000002,27173,0,2,0.1,67.71529277332858,False,-0.0066502009424709565,1,0.7230000000000001,27950,0,0,0.0,0.0,False,0.020482675526671292,0,0.32600000000000007,34778,9,60,1.0,2884.7188174799785,False,-0.005590835472765467,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.18333333333333335,155311,0.0,0.0,10,0,0,19,2,2.0,13,32,36,207.0,55.0,14,20,36,246,1.2082646368071437,26.45823521260172
