index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,21,0,0,0,10.000000000000002,20,10.0,13.756475123427705,17,14.764705882352942,13.530473948069456,24,22.041666666666668,28.000000000000007,10,28.0,1,0.48000000000000004,14285,2,10,1.0,157.56475123427705,False,0.06005773989794379,6,1.502,10894.0,114,0,0.0,1140.0000000000002,False,-0.15394833948339484,0,0.2,16803,49,50,1.0,1350.5909784514304,False,-0.023449799462190477,9,1.9550000000000003,11956.0,145,0,0.0,1994.6888928970172,False,-0.2762686084228121,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,10,1.0110000000000001,24958,217,0,0.0,2936.112846731072,False,-0.0786215116848947,0.3333333333333333,107557,0.0,0.0,11,0,0,11,7,6.090909090909091,19,30,25,219.0,114.0,13,8,25,630,1.4694626749842428,27.372491282003466
11,25,0,0,0,10.000000000000002,20,10.0,13.103813872064771,31,8.935483870967742,14.390328111112769,36,17.88888888888889,28.000000000000007,12,28.0,8,0.5590000000000002,14175,1,10,1.0,141.0381387206477,False,0.05132982061699805,13,1.6260000000000001,10745.0,125,0,0.0,1250.0000000000002,False,-0.16088560885608857,0,0.2,17098,52,44,1.0,1314.57275823633,False,-0.00797371890053826,20,2.146,11480.0,163,0,0.0,2135.9216611465577,False,-0.29891826848959224,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,12,1.1210000000000002,24169,253,0,0.0,3640.7530121115306,False,-0.09384691935233208,0.3333333333333333,106328,0.0,0.0,11,0,0,17,10,9.88888888888889,15,32,28,240.0,135.0,15,10,28,718,1.8334706770256162,29.205961959029082
12,28,0,0,0,10.000000000000002,20,10.0,12.923150904306556,23,11.304347826086957,16.933816452132234,41,27.121951219512194,28.00000000000001,11,28.0,0,0.5510000000000002,14206,5,11,1.0,192.15465994737212,False,0.05550386199067798,14,1.7530000000000001,10520.0,131,0,0.0,1310.0000000000002,False,-0.1752767527675277,0,0.2,18210,42,13,1.0,762.9119518585944,False,0.038744886352067104,0,2.1260000000000003,11220.0,186,0,0.0,2403.7060682010197,False,-0.30596418403729414,0,0.2,28661,0,2,0.0,56.00000000000002,False,0.0002789303022907151,11,1.219,22930,294,0,0.0,4978.542036926877,False,-0.11372438135129745,0.3333333333333333,105747,0.0,0.0,12,0,0,20,7,7.0,15,35,27,294.0,105.0,18,10,27,1483,1.909379622025881,31.115341581054963
13,27,0,0,0,10.000000000000002,20,10.0,13.00932313312411,25,13.72,15.76226406000498,32,9.0,28.000000000000007,11,28.0,3,0.5810000000000001,14284,9,10,1.0,220.0932313312411,False,0.062291263148754265,11,1.849,10341.0,137,0,0.0,1370.0000000000002,False,-0.1862730627306273,0,0.2,18025,46,14,1.0,819.1005609637787,False,0.0299782255269801,23,2.3560000000000008,10655.0,197,0,0.0,2562.8366572254495,False,-0.3330864717503227,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,11,1.318,22515,326,0,0.0,5138.498083561623,False,-0.1254053540050622,0.3333333333333333,104481,0.0,0.0,9,0,0,12,11,10.214285714285715,21,33,31,240.0,156.0,15,12,31,281,1.7226899389643222,32.838031520019285
14,31,0,0,0,10.000000000000002,20,10.0,13.442181633985898,27,16.77777777777778,15.101635527101319,28,10.5,28.000000000000007,12,28.0,12,0.6980000000000002,14390,11,10,1.0,244.421816339859,False,0.07101187514169219,5,1.8880000000000001,10216.0,145,0,0.0,1450.0000000000002,False,-0.1925461254612546,0,0.2,17816,47,24,1.0,994.2217894477689,False,0.023193144190629268,28,2.613000000000001,9818.0,213,0,0.0,2863.1846880389962,False,-0.37146092613590914,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,12,1.4270000000000003,22077,354,0,0.0,5345.978976593867,False,-0.13705974379216435,0.3333333333333333,102978,0.0,0.0,8,0,0,16,11,10.09090909090909,18,34,26,282.0,141.0,19,12,26,200,1.7245282729854807,34.562559793004766
15,26,0,0,0,10.000000000000002,20,10.0,13.395450288044715,25,13.0,14.206537200716236,42,9.928571428571429,28.000000000000004,10,28.0,15,0.8360000000000003,14365,12,10,1.0,253.9545028804472,False,0.06951861634245188,0,1.8830000000000005,10126.0,154,0,0.0,1540.0000000000002,False,-0.19586715867158672,0,0.2,17491,62,34,1.0,1313.5401826831244,False,0.013955195627531627,42,3.005000000000001,8627.0,213,0,0.0,2853.2309113535243,False,-0.43828274356482505,0,0.2,28661,0,2,0.0,56.00000000000001,False,0.0002789303022907151,10,1.5150000000000001,21548,396,0,0.0,5625.788731483629,False,-0.1506260463114322,0.3333333333333333,100818,0.0,0.0,9,0,0,10,11,10.6,20,30,27,234.0,159.0,13,13,27,200,1.405689082981553,35.96824887598632
16,27,0,0,0,10.000000000000002,20,10.0,13.500958333560446,39,14.076923076923077,14.000526705548696,9,9.0,28.000000000000007,10,28.0,1,0.8310000000000002,14448,13,10,1.0,265.0095833356045,False,0.0760520141452252,28,2.1630000000000007,9868.0,163,0,0.0,1630.0000000000002,False,-0.21158671586715866,0,0.2,16970,87,44,1.0,1790.6065500639013,False,-0.0018268367956223734,9,3.053000000000001,8473.0,217,0,0.0,2929.7079583826167,False,-0.44475058782035376,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,10,1.6050000000000002,21362,405,0,0.0,5670.213315747222,False,-0.15633671566982985,0.3333333333333333,99782,0.0,0.0,9,0,0,13,8,7.090909090909091,21,34,22,278.0,138.0,16,11,22,200,1.4330327800125815,37.4012816559989
17,22,0,0,0,10.000000000000002,20,10.0,12.998413486099635,43,10.348837209302326,13.437794484106838,37,10.324324324324325,28.000000000000007,9,28.0,0,0.8300000000000001,14393,12,15,1.0,314.9762022914946,False,0.07383676023215847,38,2.5150000000000006,9356.0,174,0,0.0,1740.0000000000002,False,-0.24531365313653136,0,0.2,16597,108,54,1.0,2129.4695586405296,False,-0.013200649272529648,37,3.4140000000000006,7443.0,229,0,0.0,2976.636688316816,False,-0.5009879123835955,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,9,1.6850000000000003,20891,442,0,0.0,5939.505161975223,False,-0.16806413371264567,0.3333333333333333,97341,0.0,0.0,10,0,0,10,11,11.0,17,27,26,147.0,96.0,9,13,26,235,1.3946435350226238,38.795925191021524
18,26,0,0,0,10.000000000000002,20,10.0,12.845207127826555,44,12.0,12.97572501560313,61,11.327868852459016,28.000000000000007,10,28.0,15,0.9800000000000002,14507,11,10,1.0,238.45207127826558,False,0.07942627569292492,14,2.6170000000000004,9106.0,185,0,0.0,1850.0000000000002,False,-0.2597047970479705,0,0.2,16293,128,59,1.0,2409.7542882823836,False,-0.022355730017812502,56,3.9370000000000007,5384.0,243,0,0.0,3121.3853320618528,False,-0.6119849890473279,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,10,1.7760000000000002,20089,503,0,0.0,6526.7896828483745,False,-0.18578868095867695,0.3333333333333333,94040,0.0,0.0,11,0,0,13,13,12.714285714285715,19,32,21,177.0,96.0,14,12,21,511,1.6526680159731768,40.4485932069947
19,21,0,0,0,10.000000000000002,20,10.0,12.945586793681109,35,13.685714285714285,13.193459063183255,28,15.142857142857142,28.000000000000007,13,28.0,0,0.9650000000000001,14548,14,11,1.0,282.4014547304922,False,0.08407385441809928,26,2.863000000000001,8863.0,192,0,0.0,1920.0000000000005,False,-0.27505535055350555,0,0.2,16269,144,55,1.0,2589.8047467651586,False,-0.01866675754930283,14,4.021000000000002,4973.0,252,0,0.0,3262.2878720076396,False,-0.6310121837074634,0,0.2,28661,0,2,0.0,56.000000000000014,False,0.0002789303022907151,13,1.8960000000000001,19497,531,0,0.0,7005.726762550308,False,-0.19808014430197154,0.3333333333333333,92811,0.0,0.0,10,0,0,12,11,11.0,14,26,25,165.0,123.0,10,11,25,655,1.2462439709925093,41.69483717798721
