index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1075,a47079af-81f3-4fec-b6a7-6cc6780ac336,02Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,45,1,36,35,-1,35,02Dec@1|04Ind@2,"[quantity: (1, 4), time: (40, 45), unit_price: (24, 48)]",02Dec@1,04Ind@2,p2,02Dec@1,False,2,17,45,,-1,-1
1071,47a270b3-9b73-4ba0-91d3-16f44f7b0477,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,45,2,53,35,-1,35,04Ind@2|07Buy@3,"[quantity: (1, 3), time: (40, 45), unit_price: (35, 70)]",04Ind@2,07Buy@3,p3,04Ind@2,False,3,17,45,,-1,-1
943,38736cf6-f9ab-48bc-aa86-abe2f0f2db82,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,45,1,54,25,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,False,4,0,-1,07Buy@3:product(1.0),-1,-1
936,dc4b297d-ad3c-4005-b6c0-21a4297f4dc8,SELLER,01Ran@0,_SystemAgent,RandomAgent,45,2,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,45,,-1,-1
929,0cffdf11-34ec-418e-b482-cd2b3f1312d7,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,45,2,54,25,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
938,cc9331c0-ec97-42dc-9021-89ec68eb5e50,06Ran@3,BUYER,RandomAgent,_SystemAgent,45,2,54,25,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,False,4,0,-1,06Ran@3:product(1.0),-1,-1
932,21e6fa3d-0b0f-40f6-8666-aaa273d2223a,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,45,7,54,25,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
930,8d67ee93-e8c3-4ad4-baeb-0c9a836188b8,SELLER,01Ran@0,_SystemAgent,RandomAgent,45,3,10,25,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,45,,-1,-1
928,76f23b8d-2be1-44f3-92ee-97c5f9034c42,SELLER,00Ran@0,_SystemAgent,RandomAgent,45,3,10,25,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,45,,-1,-1
1145,e683eef6-554f-4788-85ba-75cb5b953ebc,03Buy@1,04Ind@2,BuyCheapSellExpensiveAgent,IndDecentralizingAgent,46,5,13,42,-1,42,04Ind@2|03Buy@1,"[quantity: (1, 5), time: (42, 46), unit_price: (1, 24)]",03Buy@1,04Ind@2,p2,04Ind@2,True,2,17,-1,03Buy@1:product(1.0),-1,-1
1149,dd230543-fcbe-4178-aa3a-854bb6608163,01Ran@0,02Dec@1,RandomAgent,DecentralizingAgent,46,1,3,42,-1,42,02Dec@1|01Ran@0,"[quantity: (1, 5), time: (42, 46), unit_price: (1, 17)]",01Ran@0,02Dec@1,p1,02Dec@1,True,1,14,-1,01Ran@0:product(1.0),-1,-1
948,2ad744e8-88b1-4cd4-856b-987beda39b81,06Ran@3,BUYER,RandomAgent,_SystemAgent,46,5,54,26,-1,-1,BUYER|06Ran@3,[],06Ran@3,BUYER,p4,BUYER,True,4,0,-1,06Ran@3:product(1.0),-1,-1
949,b93dec5c-2583-4874-b679-9f7e259bb3ab,07Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,46,3,54,26,-1,-1,BUYER|07Buy@3,[],07Buy@3,BUYER,p4,BUYER,True,4,0,-1,07Buy@3:product(1.0),-1,-1
