index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,13,0,0,0,10.000000000000002,20,10.0,13.683352284508413,0,,27.112938919390157,2,44.0,33.99999999999999,20,34.0,0,0.281,35135,6,40,1.0,607.3340913803365,False,0.011723964990583825,0,1.5230000000000004,31590,104,0,0.0,1040.0000000000002,False,-0.08330478474363366,0,0.2,53933,0,10,0.0,271.12938919390155,False,0.012197702877304028,0,0.2,51477,111,56,1.0,3037.1766830662827,False,-0.007889092582265179,8,0.8560000000000001,70472,22,0,0.0,596.4846562265834,False,-0.017857497146518807,12,1.0040000000000002,70081,27,0,0.0,732.0493508235343,False,-0.02234308012529291,0.3333333333333333,312688,0.0,0.0,8,0,0,4,7,7.0,15,19,15,52.0,32.0,6,7,15,288,1.9795353400404565,79.82586563902441
11,15,0,0,0,10.000000000000002,20,10.0,13.94318915983154,31,15.290322580645162,27.410317830006907,4,32.0,33.99999999999999,20,34.0,0,0.281,35397,4,31,1.0,472.23886395477774,False,0.017275306382819055,12,1.6430000000000005,31338,116,0,0.0,1160.0000000000002,False,-0.08878611396597008,0,0.2,53933,0,10,0.0,274.1031783000691,False,0.0122255384830678,0,0.2,51131,132,62,1.0,3539.940674558192,False,-0.009660401421287282,9,0.9380000000000002,70279,24,0,0.0,657.8476279201658,False,-0.020110137613832405,11,1.1020000000000003,69896,29,0,0.0,794.8992170702003,False,-0.024474379886269226,0.3333333333333333,311974,0.0,0.0,11,0,0,5,8,8.0,18,23,16,94.0,32.0,8,7,16,670,1.9911640179925598,81.81702965701697
12,16,0,0,0,10.000000000000002,20,10.0,14.665749662877134,11,26.0,27.410317830006907,0,,34.0,20,34.0,0,0.281,35603,2,30,1.0,459.972489886314,False,0.0229812220207594,0,1.6310000000000002,31218,128,0,0.0,1280.0000000000002,False,-0.0904990293479502,0,0.2,53933,0,10,0.0,274.1031783000691,False,0.0122255384830678,0,0.2,50845,133,72,1.0,3924.087588923156,False,-0.011418765665208138,14,1.0690000000000002,70065,24,0,0.0,657.8476279201658,False,-0.023080008688120816,6,1.1510000000000002,69839,29,0,0.0,794.8992170702003,False,-0.02526542031259838,0.3333333333333333,311503,0.0,0.0,9,0,0,5,7,7.0,19,24,15,112.0,18.0,10,6,15,486,2.2371516920393333,84.05418134905631
13,15,0,0,0,10.000000000000002,20,10.0,14.160305449396395,53,12.584905660377359,30.207839433011266,12,44.0,34.0,20,34.0,0,0.281,35943,3,15,1.0,242.40458174094593,False,0.02958211404791809,28,1.9110000000000003,30596,137,0,0.0,1370.0000000000002,False,-0.10697156560465913,0,0.2,53933,0,10,0.0,302.07839433011264,False,0.01248739534539666,0,0.2,50706,176,70,1.0,4606.762519404554,False,-0.007630880436896924,8,1.1350000000000002,69449,36,0,0.0,1087.4822195884055,False,-0.02864758302740595,12,1.2650000000000001,69665,29,0,0.0,876.0273435573267,False,-0.02711723119504467,0.3333333333333333,310292,0.0,0.0,9,0,0,5,10,10.0,17,22,13,58.0,24.0,7,8,13,1178,1.7556436639861204,85.80982501304243
14,13,0,0,0,10.000000000000002,20,10.0,14.61514364054057,45,16.6,32.1693916010498,14,41.142857142857146,34.0,20,34.0,9,0.37100000000000005,36097,1,10,1.0,156.1514364054057,False,0.03274739403342186,21,2.0930000000000004,30329,149,0,0.0,1490.0000000000002,False,-0.11288112367249058,0,0.2,53933,0,10,0.0,321.693916010498,False,0.012671002826913677,0,0.2,50535,211,66,1.0,5206.975153823347,False,-0.005213928582442349,14,1.2670000000000001,68874,45,0,0.0,1447.622622047241,False,-0.03412838015704768,6,1.3130000000000002,69398,34,0,0.0,1093.7593144356933,False,-0.029311799586190936,0.3333333333333333,309166,0.0,0.0,11,0,0,7,8,7.375,18,25,15,106.0,6.0,11,2,15,776,5.733376380987465,91.5432013940299
15,15,0,0,0,10.000000000000002,20,10.0,14.805881584073031,28,16.285714285714285,32.60201559962715,6,37.666666666666664,33.99999999999999,20,34.0,15,0.5120000000000001,36127,0,10,1.0,148.05881584073032,False,0.033488335272364014,3,2.1020000000000003,30159,160,0,0.0,1600.0000000000002,False,-0.1161642114879525,0,0.2,53933,0,10,0.0,326.0201559962715,False,0.012711497800290857,0,0.2,50305,229,70,1.0,5672.687974726625,False,-0.005160454773511979,8,1.3330000000000002,68694,48,0,0.0,1564.8967487821033,False,-0.03581264312431751,12,1.4270000000000003,69114,37,0,0.0,1206.2745771862046,False,-0.032472385908473775,0.3333333333333333,308332,0.0,0.0,10,0,0,5,9,8.6,17,22,14,58.0,34.0,7,8,14,426,2.196186977031175,93.73938837106107
16,14,0,0,0,10.000000000000002,20,10.0,15.18854245389982,40,17.3,32.60201559962715,0,,33.99999999999999,20,34.0,0,0.4970000000000001,36255,0,10,0.8,151.88542453899822,False,0.03719717689475556,32,2.4190000000000005,29548,172,0,0.0,1720.0000000000002,False,-0.13189448441247004,0,0.2,53933,0,10,0.0,326.0201559962715,False,0.012711497800290857,0,0.2,49613,259,80,1.0,6541.993743530225,False,-0.009978155423084157,10,1.425,68563,48,0,0.0,1564.8967487821033,False,-0.03763064831465294,10,1.5150000000000001,68988,37,0,0.0,1206.2745771862046,False,-0.0342210015877277,0.3,306900,0.0,0.0,8,0,0,6,12,12.0,19,25,16,91.0,18.0,10,4,16,408,1.8421669130329974,95.58155528409407
17,16,0,0,0,10.000000000000002,20,10.0,15.157407524951932,21,14.80952380952381,33.923660219018544,9,44.0,33.99999999999999,20,34.0,1,0.5070000000000001,36409,1,10,1.0,161.57407524951932,False,0.041731958365443626,10,2.4870000000000005,29243,181,0,0.0,1810.0000000000002,False,-0.13931711773438393,0,0.2,53933,0,10,0.0,339.2366021901854,False,0.012835207913119264,0,0.2,49698,270,81,1.0,6840.316509477524,False,-0.005594506341824535,12,1.5350000000000001,68388,48,0,0.0,1628.33569051289,False,-0.0396190814874828,8,1.5850000000000002,68529,46,0,0.0,1560.488370074853,False,-0.038133086514322956,0.3333333333333333,306200,0.0,0.0,7,0,0,6,10,9.09090909090909,19,25,14,128.0,27.0,10,6,14,596,1.9862177990144119,97.56777308310848
18,14,0,0,0,10.000000000000002,20,10.0,14.856285631614332,5,1.0,35.849830286185345,17,43.76470588235294,33.99999999999999,20,34.0,0,0.506,36349,0,17,0.7,252.55685573744364,False,0.04131775801840599,5,2.5270000000000006,28998,195,0,0.0,1950.0000000000005,False,-0.14431312093182597,0,0.2,53933,0,10,0.0,358.49830286185346,False,0.013015503518185773,0,0.2,50437,265,74,1.0,6589.803133555513,False,0.005895156350558,8,1.603,67859,58,0,0.0,2079.29015659875,False,-0.043831340767734185,12,1.6970000000000005,68052,53,0,0.0,1900.0410051678232,False,-0.04239670673794483,0.2833333333333333,305628,0.0,0.0,11,0,0,3,9,9.0,21,24,16,96.0,30.0,8,6,16,944,1.5765887380111963,99.14436182111967
19,16,0,0,0,10.000000000000002,20,10.0,14.238612094885093,28,9.571428571428571,35.849830286185345,0,,33.99999999999999,20,34.0,0,0.506,36447,1,19,1.0,280.5336298028168,False,0.044514868530929716,20,2.7220000000000004,28528,204,0,0.0,2040.0000000000005,False,-0.15644627155418522,0,0.2,53933,0,10,0.0,358.49830286185346,False,0.013015503518185773,0,0.2,50169,283,84,1.0,7040.9129668920505,False,0.005100557564932984,10,1.6950000000000003,67731,58,0,0.0,2079.29015659875,False,-0.04560771225142071,10,1.7850000000000004,67929,53,0,0.0,1900.0410051678232,False,-0.04410368871054985,0.3333333333333333,304737,0.0,0.0,8,0,0,4,9,9.0,21,25,13,111.0,30.0,10,6,13,408,1.656702425039839,100.80106424615951
20,13,0,0,0,10.000000000000002,20,10.0,14.649111090334127,10,23.5,36.780304498351285,17,41.05882352941177,33.99999999999999,20,34.0,0,0.506,36601,0,19,0.9,278.3331107163484,False,0.048879940486415925,1,2.7120000000000006,28387,216,0,0.0,2160.0000000000005,False,-0.1587587073198584,0,0.2,53933,0,10,0.0,367.80304498351285,False,0.013102598844782615,0,0.2,50632,283,77,1.0,6977.781884937607,False,0.013177283308100468,10,1.7850000000000004,67212,68,0,0.0,2501.0607058878873,False,-0.0498836982813059,10,1.8750000000000002,67492,60,0,0.0,2206.818269901077,False,-0.04803961953799724,0.31666666666666665,304257,0.0,0.0,11,0,0,5,9,9.0,15,20,14,46.0,21.0,6,7,14,1132,1.7669945289962925,102.5680587751558
21,14,0,0,0,10.000000000000002,20,10.0,15.620357673399862,19,26.0,37.32599713162755,10,42.0,33.99999999999999,20,34.0,0,0.506,36975,2,10,1.0,176.20357673399863,False,0.058099285953151746,0,2.7110000000000007,28307,224,0,0.0,2240.0000000000005,False,-0.15990065090784517,0,0.2,53933,0,10,0.0,373.25997131627554,False,0.013153677399669376,0,0.2,50558,292,77,1.0,7435.246219768082,False,0.01607396727416447,11,1.8850000000000002,66864,73,0,0.0,2724.7977906088113,False,-0.053160707560620024,9,1.9550000000000003,67178,65,0,0.0,2426.189813555791,False,-0.05087507241797604,0.3333333333333333,303815,0.0,0.0,12,0,0,7,7,7.0,15,22,14,55.0,23.0,8,6,14,1114,1.4215517859556712,103.98961056111148
22,14,0,0,0,10.000000000000002,20,10.0,15.620357673399862,0,,35.912468262295405,15,27.8,33.99999999999999,20,34.0,0,0.506,36875,2,20,1.0,332.40715346799726,False,0.05747412289408469,0,2.7110000000000007,28207,234,0,0.0,2340.0000000000005,False,-0.1613280803928286,0,0.2,53933,0,10,0.0,359.1246826229541,False,0.013021366630688237,0,0.2,50975,282,72,1.0,6990.638578784031,False,0.019718802804201158,10,1.9740000000000006,66612,79,0,0.0,2837.084992721337,False,-0.05587878351359807,10,2.0460000000000003,66764,74,0,0.0,2657.52265140986,False,-0.05501531668394572,0.3333333333333333,303366,0.0,0.0,10,0,0,8,8,8.0,17,25,16,70.0,22.0,10,4,16,617,1.5969109460129403,105.58652150712442
23,16,0,0,0,10.000000000000002,20,10.0,14.471806336042166,52,10.057692307692308,36.0207849329891,7,37.42857142857143,33.99999999999999,20,34.0,1,0.516,37239,0,10,1.0,144.71806336042167,False,0.06518668013247138,31,3.021000000000001,27347,246,0,0.0,2460.0000000000005,False,-0.18416695215256365,0,0.2,53933,0,10,0.0,360.207849329891,False,0.01303150541335053,0,0.2,50714,324,75,1.0,7390.424122851844,False,0.018574836876386138,13,2.0940000000000003,66375,80,0,0.0,2881.662794639128,False,-0.058858523150845,7,2.1060000000000008,66470,80,0,0.0,2881.662794639128,False,-0.05754012244029641,0.3333333333333333,302078,0.0,0.0,12,0,0,10,11,10.1,17,27,12,109.0,17.0,12,4,12,748,1.456735502986703,107.04325701011112
24,12,0,0,0,10.000000000000002,20,10.0,14.679098587848275,28,16.357142857142858,35.27849303358121,16,31.1875,33.99999999999999,20,34.0,2,0.5350000000000001,37407,0,10,1.0,146.79098587848276,False,0.07001243270923953,16,3.150000000000001,27017,256,0,0.0,2560.0000000000005,False,-0.19216055726847095,0,0.2,53933,0,10,0.0,352.78493033581213,False,0.012962024545891841,0,0.2,50755,342,69,1.0,7454.467736361214,False,0.019941851249239133,5,2.1310000000000007,65939,90,0,0.0,3175.064373022309,False,-0.06287338930969723,15,2.2490000000000006,66123,86,0,0.0,3033.9504008879844,False,-0.061299038255214704,0.3333333333333333,301174,0.0,0.0,11,0,0,7,9,8.166666666666668,15,22,10,42.0,20.0,8,4,10,699,1.625444500008598,108.66870151011972
25,10,0,0,0,10.000000000000002,20,10.0,14.494104751309514,17,12.0,36.59418475772741,28,41.0,33.99999999999999,20,34.0,1,0.543,37453,3,10,1.0,174.94104751309516,False,0.07172749011523782,6,3.1940000000000004,26821,263,0,0.0,2630.0000000000005,False,-0.1967568802101176,0,0.2,53933,0,10,0.0,365.94184757727413,False,0.013085177448913915,0,0.2,51699,349,51,1.0,6924.7459808511185,False,0.03265576483938745,8,2.2060000000000004,65151,107,0,0.0,3915.577769076833,False,-0.0686707900059895,12,2.3540000000000005,65498,97,0,0.0,3549.635921499559,False,-0.06639441052569808,0.3333333333333333,300555,0.0,0.0,9,0,0,7,10,9.09090909090909,15,22,14,86.0,15.0,8,2,14,1348,1.2268331280210987,109.89553463814082
