index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,31.0,0,,41.0,0,,0,0.2,58006,4,10,1.0,230.0,False,-0.000429952189316548,0,0.2,58086.0,6,0,0.0,60.0,False,-0.0005159426271798576,0,0.2,89219,0,0,0.0,0.0,False,0.0,0,0.2,89219,0,0,0.0,0.0,False,0.0,0,0.2,124650,0,0,0.0,0.0,False,0.0,0,0.2,124650,0,0,0.0,0.0,False,0.0,0.16666666666666666,543830,0.0,0.0,12,0,0,319,0,0.0,988,1307,190,0.0,0.0,0,0,190,200,4.0359065850498155,4.0359065850498155
1,190,0,0,0,10.0,20,10.0,19.0,0,,31.0,0,,41.0,0,,0,0.2,57966,0,18,0.8,342.0,False,-0.00015478278815395728,0,0.2,57926.0,22,0,0.0,220.0,False,-0.0018917896329928112,0,0.2,89219,0,0,0.0,0.0,False,0.0,0,0.2,89219,0,0,0.0,0.0,False,0.0,0,0.2,124650,0,0,0.0,0.0,False,0.0,0,0.2,124650,0,0,0.0,0.0,False,0.0,0.13333333333333333,543630,0.0,0.0,11,0,0,91,0,0.0,107,198,154,3168.0,87.0,176,14,154,200,14.710064598999452,18.745971184049267
2,154,0,0,0,10.0,20,10.0,18.804347826086957,1,10.0,31.0,0,,41.0,0,,0,0.2,57876,0,27,0.9,507.7173913043478,False,-0.000277599565710869,1,0.21000000000000002,57803.0,33,0,0.0,330.0,False,-0.0030612595879338216,0,0.2,89209,0,1,0.1,31.0,False,6.164606193747968e-05,0,0.2,89219,0,0,0.0,0.0,False,0.0,0,0.2,124650,0,0,0.0,0.0,False,0.0,0,0.2,124650,0,0,0.0,0.0,False,0.0,0.16666666666666666,543407,0.0,0.0,11,0,0,83,1,1.0,63,146,156,432.0,95.0,124,30,156,200,25.28615943400655,44.03213061805582
3,156,0,0,0,10.0,20,10.0,18.20945945945946,3,10.0,28.25,11,17.0,41.0,11,41.0,0,0.2,57786,1,35,1.0,647.331081081081,False,-0.0006248832156891282,1,0.21900000000000003,57700.0,42,0,0.0,420.0,False,-0.0040587486671482135,0,0.2,89189,0,3,0.2,84.75,False,0.0001387036393593293,11,0.31000000000000005,88989,0,1,0.1,28.25,False,-0.0024196079310460777,0,0.2,124650,0,0,0.0,0.0,False,0.0,11,0.31000000000000005,124281,1,10,1.0,438.25,False,-0.001202366626554352,0.3833333333333333,542595,0.0,0.0,13,0,0,56,8,8.0,33,89,100,1209.0,1164.0,68,88,100,220,10.88594261900289,54.91807323705871
4,100,0,0,0,10.0,20,10.0,18.009033203125,1,10.0,28.25,0,,41.0,10,41.0,0,0.2,57676,3,44,1.0,822.3974609375,False,-0.0010112693827821345,0,0.21800000000000003,57620.0,50,0,0.0,500.0,False,-0.00474667217005469,0,0.2,89179,0,4,0.1,113.0,False,0.00018493818581243905,0,0.29900000000000004,88989,0,1,0.0,28.25,False,-0.0024196079310460777,0,0.2,124650,0,0,0.0,0.0,False,0.0,0,0.29900000000000004,124691,0,1,0.1,41.0,False,0.00049338146811071,0.20000000000000004,542805,0.0,0.0,17,0,0,34,0,0.0,30,64,86,687.0,663.0,44,56,86,620,7.8649338749819435,62.78300711204065
5,86,0,0,0,10.0,20,10.0,19.577119309262166,9,26.0,28.25,0,,41.00000000000001,10,41.0,0,0.2,57820,1,46,1.0,910.5474882260596,False,0.0022232611721017827,1,0.228,57487.0,62,0,0.0,620.0,False,-0.00600213256285901,0,0.2,88945,0,13,0.9,367.25,False,-0.0010129568813817685,0,0.29900000000000004,88989,0,1,0.0,28.25,False,-0.0024196079310460777,0,0.2,124650,0,0,0.0,0.0,False,0.0,9,0.389,124594,0,0,0.0,0.0,False,-0.0004492579221821099,0.31666666666666665,542485,0.0,0.0,12,0,0,34,7,7.0,26,60,75,609.0,609.0,38,48,75,465,9.521594307967462,72.30460142000811
6,75,0,0,0,10.0,20,10.0,22.232081237474617,19,28.0,28.25,0,,41.0,11,41.0,0,0.2,58252,1,37,1.0,832.5870057865608,False,0.008982449401390931,0,0.227,57387.0,72,0,0.0,720.0,False,-0.006862036941492106,0,0.2,88665,0,23,1.0,649.75,False,-0.002568118898440915,0,0.29900000000000004,88737,0,10,0.9,282.5,False,-0.0038192537463993094,0,0.2,124650,0,0,0.0,0.0,False,0.0,11,0.49000000000000005,124412,0,0,0.0,0.0,False,-0.0019093461692739672,0.48333333333333334,542103,0.0,0.0,15,0,0,34,6,6.0,23,57,68,546.0,534.0,32,43,68,732,6.570405896054581,78.87500731606269
7,68,0,0,0,10.0,20,10.0,21.80532506321838,66,21.454545454545453,28.25,0,,41.00000000000001,12,41.0,0,0.2,58646,2,29,1.0,652.354426833333,False,0.014208668066877646,48,0.7070000000000001,56555.0,81,0,0.0,810.0,False,-0.020396931861177036,0,0.2,87995,21,33,1.0,1390.161826327586,False,-0.005928323415821806,0,0.29900000000000004,87991,25,20,1.0,1110.1331265804595,False,-0.007542490239856715,0,0.2,124650,0,0,0.0,0.0,False,0.0,12,0.5990000000000001,124200,0,0,0.0,0.0,False,-0.0036101083032490976,0.5,540037,0.0,0.0,13,0,0,24,8,8.0,25,49,65,453.0,441.0,26,42,65,704,5.796545111981686,84.67155242804438
8,65,0,0,0,10.0,20,10.0,20.732664576993578,67,19.0,28.25,0,,41.00000000000001,11,41.0,0,0.2,58869,2,22,1.0,476.1186206938587,False,0.016528382181868556,50,1.1590000000000003,55471.0,91,0,0.0,910.0,False,-0.03817975441130946,0,0.2,87672,28,43,1.0,1795.26460815582,False,-0.007278356582365754,0,0.29900000000000004,87041,65,30,1.0,2195.1231975045825,False,-0.012109958655081422,0,0.2,124650,0,0,0.0,0.0,False,0.0,11,0.6970000000000001,124012,0,0,0.0,0.0,False,-0.005118331327717609,0.5,537715,0.0,0.0,11,0,0,23,10,10.0,27,50,60,459.0,426.0,28,37,60,523,5.437014374008868,90.10856680205325
9,60,0,0,0,10.000000000000002,20,10.0,20.765028037257306,43,20.88372093023256,32.54347826086956,14,48.0,41.00000000000001,10,41.0,0,0.2,59221,1,13,1.0,279.94536448434496,False,0.020895206587592828,24,1.3490000000000002,55265.0,102,0,0.0,1020.0000000000002,False,-0.04077666563478141,0,0.2,87446,61,39,1.0,2535.8623624466086,False,-0.0056610006699995925,0,0.29900000000000004,87041,55,40,1.0,2443.8156724839346,False,-0.01071623940817575,0,0.2,124650,0,0,0.0,0.0,False,0.0,10,0.786,123180,4,10,1.0,540.1739130434783,False,-0.009626257869861665,0.6666666666666666,536803,0.0,0.0,13,0,0,26,7,7.0,18,44,50,450.0,420.0,25,35,50,1314,5.028397211979609,95.13696401403286
