index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,14,0,0,0,10.000000000000002,20,10.0,21.10190533292181,38,4.7105263157894735,24.06490510025743,14,17.428571428571427,47.00000000000001,11,47.0,0,0.6050000000000002,32668,5,18,1.0,429.83429599259256,False,0.09369111780736702,38,1.5250000000000001,25475,108,0,0.0,1080.0000000000002,False,-0.1347369121266547,10,1.0290000000000001,42336,144,0,0.0,3038.6743679407405,False,-0.12187463089242784,0,0.2,49673,62,31,1.0,2054.3301887491325,False,0.015180911745115586,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,1,0.21900000000000003,64519,33,10,1.0,1264.1418683084953,False,0.0318836664790498,0.5,277801,0.0,0.0,13,0,0,12,6,5.333333333333333,13,25,17,103.0,15.0,9,5,17,776,1.0535345789976418,21.512500595883466
11,17,0,0,0,10.000000000000002,20,10.0,21.31950509509739,31,22.741935483870968,24.569359145414754,7,31.428571428571427,47.00000000000001,12,47.0,0,0.6050000000000001,33078,6,15,1.0,379.79257642646087,False,0.10649558598460829,18,1.6670000000000005,25004,117,0,0.0,1170.0000000000002,False,-0.148905740703785,3,1.0490000000000002,41651,161,0,0.0,3432.44032031068,False,-0.13164830883514198,0,0.2,49756,66,37,1.0,2316.153624656774,False,0.01946411461952635,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,2,0.23800000000000002,64751,30,10,1.0,1207.0807743624428,False,0.03510628127563786,0.5,277370,0.0,0.0,13,0,0,11,6,5.666666666666667,14,25,15,116.0,20.0,10,7,15,1339,1.1077075890498236,22.62020818493329
12,15,0,0,0,10.000000000000002,20,10.0,21.51434692071473,2,42.0,22.707476366409953,30,17.0,47.00000000000001,8,47.0,0,0.6050000000000001,33082,4,23,1.0,534.8299791764388,False,0.10920691111515406,0,1.6490000000000002,24884,129,0,0.0,1290.0000000000002,False,-0.15090135036253574,24,1.2860000000000003,40476,163,0,0.0,3506.838548076501,False,-0.15443075419410016,0,0.2,50056,56,41,1.0,2135.809958582833,False,0.02366555162571414,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.23600000000000002,64617,50,12,1.0,1699.3738183204978,False,0.03688249404732886,0.5,276245,0.0,0.0,13,0,0,14,5,5.0,11,25,15,56.0,24.0,7,8,15,960,1.2649772710283287,23.88518545596162
13,15,0,0,0,10.000000000000002,20,10.0,20.78531688703222,8,3.375,22.01456783348269,4,3.0,47.00000000000001,12,47.0,0,0.6050000000000001,32982,4,33,1.0,725.9154572720632,False,0.10905866189835792,8,1.7290000000000003,24592,139,0,0.0,1390.0000000000002,False,-0.1589503093194971,4,1.3020000000000003,40332,163,0,0.0,3388.0066525862517,False,-0.15850379787967794,0,0.2,50029,54,51,1.0,2245.1500714073572,False,0.024219595444789584,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.23600000000000002,65169,44,10,1.0,1438.6409846732383,False,0.04356046267440549,0.5,276234,0.0,0.0,12,0,0,12,4,4.0,9,21,18,64.0,45.0,7,8,18,764,1.0374013360124081,24.922586791974027
14,18,0,0,0,10.000000000000002,20,10.0,20.972022256367858,16,23.0625,25.647136568151062,31,37.645161290322584,47.00000000000001,10,47.0,0,0.6050000000000002,33233,3,32,1.0,701.1047122037714,False,0.11699435761663957,5,1.7710000000000001,24379,150,0,0.0,1500.0000000000002,False,-0.1642054147542074,9,1.3880000000000001,40026,163,0,0.0,3418.439627787961,False,-0.1643262221398026,0,0.2,50782,60,39,1.0,2258.5596615399627,False,0.03943133696628059,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.23600000000000002,64472,65,10,1.0,2137.0638769298193,False,0.0380520754294546,0.5,276022,0.0,0.0,13,0,0,16,3,3.0,9,25,19,76.0,48.0,10,8,19,2133,1.2222051269491203,26.144791918923147
15,19,0,0,0,10.000000000000002,20,10.0,22.260353672854134,22,32.54545454545455,26.737783338497383,15,35.46666666666667,47.00000000000001,14,47.0,0,0.6050000000000001,33798,6,23,1.0,571.9881344756451,False,0.13363912948971668,3,1.7960000000000003,24253,157,0,0.0,1570.0000000000002,False,-0.16723208940331272,4,1.4190000000000003,39179,182,0,0.0,4051.384368459452,False,-0.17494909726823668,0,0.2,51289,53,38,1.0,2195.8345115241696,False,0.04895513306960242,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,4,0.276,64362,70,10,1.0,2341.644833694817,False,0.03792996954048927,0.5,276011,0.0,0.0,14,0,0,16,6,5.2,12,28,20,159.0,65.0,12,7,20,1705,1.2105191989685409,27.355311117891688
16,20,0,0,0,10.000000000000002,20,10.0,22.172519747250153,21,21.428571428571427,24.601801831915598,11,1.0,47.00000000000001,9,47.0,0,0.6050000000000001,33804,8,30,1.0,745.1755924175046,False,0.13671881182095239,18,1.9730000000000003,24047,165,0,0.0,1650.0000000000002,False,-0.17275327612585645,11,1.5250000000000001,38635,185,0,0.0,4101.916153241278,False,-0.18533582802809975,0,0.2,50965,61,48,1.0,2533.410192514208,False,0.045847284775481584,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.272,64774,71,11,1.0,2263.7279300660075,False,0.04383832185107226,0.5,275355,0.0,0.0,13,0,0,16,2,2.0,13,29,20,107.0,39.0,12,8,20,749,1.248117744049523,28.60342886194121
17,20,0,0,0,10.000000000000002,20,10.0,23.857400482418676,32,33.28125,23.652346886609394,5,1.0,47.00000000000001,8,47.0,0,0.6050000000000001,34658,7,15,1.0,427.86100723628016,False,0.15984602220508679,7,2.0250000000000004,23877,176,0,0.0,1760.0000000000002,False,-0.17657819463846205,5,1.564,37701,206,0,0.0,4914.6244993782475,False,-0.19590100016641057,0,0.2,50644,62,58,1.0,2850.9949493333024,False,0.04259936475645045,0,0.2,63130,0,8,0.0,376.00000000000006,False,0.0028508980328803574,0,0.272,65145,66,13,1.0,2172.05489451622,False,0.04898836591685051,0.5,275155,0.0,0.0,14,0,0,11,3,3.0,15,26,20,126.0,60.0,10,10,20,1520,1.2710463990224525,29.874475260963663
18,20,0,0,0,10.000000000000002,20,10.0,24.55819211527767,16,32.875,23.652346886609394,0,,47.000000000000014,13,47.0,0,0.6050000000000002,35036,8,11,1.0,350.1401132680544,False,0.17112585833280197,2,2.0380000000000007,23775,185,0,0.0,1850.0000000000002,False,-0.17847402381427527,0,1.559,37533,210,0,0.0,5157.220344208311,False,-0.19683612646461585,0,0.2,50286,64,68,1.0,3180.0838836672096,False,0.03872576071910621,0,0.2,63130,0,8,0.0,376.0000000000001,False,0.0028508980328803574,0,0.272,65756,56,10,1.0,1794.531425650126,False,0.0556759116985818,0.5,275516,0.0,0.0,16,0,0,16,1,1.0,11,27,24,138.0,39.0,12,8,24,1299,1.1813621029723436,31.055837363936007
19,24,0,0,0,10.000000000000002,20,10.0,23.9878388479919,26,19.923076923076923,23.14628544967659,11,18.0,47.000000000000014,12,47.0,13,0.7350000000000001,35135,6,10,1.0,299.878388479919,False,0.17358275774096854,2,2.0560000000000005,23619,197,0,0.0,1970.0000000000005,False,-0.18166699926827645,0,1.5590000000000004,37533,210,0,0.0,5037.446158078299,False,-0.19803525932002827,0,0.2,49966,80,67,1.0,3469.828232967683,False,0.035219136528049415,0,0.2,63130,0,8,0.0,376.0000000000001,False,0.0028508980328803574,2,0.29200000000000004,66010,57,10,1.0,1789.3382706315656,False,0.05965772015768286,0.5,275393,0.0,0.0,12,0,0,6,3,2.208333333333333,19,25,18,94.0,75.0,9,15,18,821,1.0182328909868374,32.074070254922844
