index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,29.0,0,,42.0,0,,0,0.2,31325,13,0,0.0,130.0,False,-0.0020664441265299633,0,0.2,31385,7,0,0.0,70.0,False,-0.0011127006835161342,0,0.2,44387,0,0,0.0,0.0,False,0.0,0,0.2,44387,0,0,0.0,0.0,False,0.0,0,0.2,59590,0,0,0.0,0.0,False,0.0,0,0.2,59590,0,0,0.0,0.0,False,0.0,0.0,270664,0.0,0.0,8,0,0,0,0,0.0,388,388,84,0.0,0.0,0,0,84,200,1.8146526366472244,1.8146526366472244
1,84,0,0,0,10.0,20,10.0,20.574468085106382,2,11.0,29.0,0,,42.0,0,,2,0.22000000000000003,31187,24,0,0.0,240.0,False,-0.004705134318868224,0,0.2,31295,16,0,0.0,160.0,False,-0.002543315848036878,0,0.2,44365,0,2,0.2,58.0,False,0.00015770383220312253,0,0.2,44387,0,0,0.0,0.0,False,0.0,0,0.2,59590,0,0,0.0,0.0,False,0.0,0,0.2,59590,0,0,0.0,0.0,False,0.0,0.03333333333333333,270414,0.0,0.0,6,0,0,9,1,1.0,30,39,13,412.0,327.0,25,59,13,200,2.651006940752268,4.465659577399492
2,13,0,0,0,10.0,20,10.0,16.587703435804702,13,3.6153846153846154,29.0,0,,42.0,0,,2,0.23800000000000002,31058,34,0,0.0,340.0,False,-0.007216658718804642,11,0.31000000000000005,30918,26,0,0.0,260.0,False,-0.012939119376887617,0,0.2,44329,2,12,1.0,381.1754068716094,False,0.0029870841335482338,0,0.2,44376,0,1,0.1,29.0,False,7.885191610156126e-05,0,0.2,59590,0,0,0.0,0.0,False,0.0,0,0.2,59590,0,0,0.0,0.0,False,0.0,0.18333333333333335,269861,0.0,0.0,7,0,0,7,4,4.0,15,22,15,146.0,12.0,9,4,15,200,0.8010275866836309,5.266687164083123
3,15,0,0,0,10.0,20,10.0,15.161735700197239,6,3.3333333333333335,30.142857142857142,4,43.0,42.0,20,42.0,1,0.24600000000000002,30984,40,0,0.0,400.0,False,-0.008615482435224925,5,0.34900000000000003,30658,40,0,0.0,400.0,False,-0.018979494515975203,0,0.2,44329,0,14,0.2,422.0,False,0.0034469551895825352,3,0.23,44423,0,6,0.6,180.85714285714286,False,0.0028483243163217264,8,0.28,59494,0,0,0.0,0.0,False,-0.001611008558482967,12,0.32000000000000006,59208,4,0,0.0,120.57142857142857,False,-0.005398796538249415,0.13333333333333333,269096,0.0,0.0,7,0,0,5,10,9.75,16,21,18,103.0,42.0,6,9,18,200,1.0271013313904405,6.293788495473564
4,18,0,0,0,10.0,20,10.0,14.663827947286297,3,6.333333333333333,32.11708253358925,8,43.0,42.0,20,42.0,1,0.255,30880,49,0,0.0,490.0,False,-0.010491177873152123,2,0.364,30506,51,0,0.0,510.0,False,-0.022063264981719916,0,0.2,44329,0,14,0.0,449.6391554702495,False,0.003758298099333614,2,0.24700000000000003,44678,0,3,0.3,96.35124760076775,False,0.007641327951886527,11,0.382,59139,0,4,0.4,168.0,False,-0.006158751468367175,9,0.398,58908,8,0,0.0,256.936660268714,False,-0.009289002682759626,0.11666666666666665,268440,0.0,0.0,8,0,0,10,10,9.5,13,23,19,126.0,66.0,9,9,19,372,1.19386987388134,7.487658369354904
5,19,0,0,0,10.0,20,10.0,14.404714601104478,1,2.0,32.97248968363136,4,43.0,42.0,20,42.0,0,0.254,30780,59,0,0.0,590.0,False,-0.012080750278175172,1,0.372,30383,61,0,0.0,610.0,False,-0.02438404069305357,0,0.2,44329,0,14,0.0,461.61485557083904,False,0.003893199084989243,1,0.255,44813,0,1,0.1,32.97248968363136,False,0.009968825215531878,11,0.48100000000000004,59138,0,0,0.0,0.0,False,-0.007585165296190636,5,0.43900000000000006,58684,12,0,0.0,395.66987620357634,False,-0.011883958078506618,0.016666666666666666,268127,0.0,0.0,10,0,0,14,7,5.916666666666666,13,27,22,211.0,48.0,13,6,22,326,1.3083030674606562,8.79596143681556
6,22,0,0,0,10.0,20,10.0,13.620765122067054,4,5.0,35.804586348976095,19,42.63157894736842,41.99999999999999,20,42.0,1,0.264,30666,69,0,0.0,690.0,False,-0.014115402956604673,3,0.401,30217,71,0,0.0,710.0,False,-0.028071848672707043,0,0.2,44791,0,3,0.0,107.41375904692828,False,0.010311732703797651,7,0.32400000000000007,44880,0,4,0.4,143.21834539590438,False,0.01272014717592877,11,0.5800000000000001,58632,0,8,0.8,335.99999999999994,False,-0.01325725792918275,9,0.5240000000000001,58095,23,0,0.0,823.5054860264502,False,-0.018178339603738464,0.20000000000000004,267281,0.0,0.0,9,0,0,10,11,10.75,18,28,22,199.0,69.0,14,8,22,662,1.0798821160569787,9.875843552872539
7,22,0,0,0,10.0,20,10.0,11.074479115953089,13,2.6153846153846154,34.0687242943938,18,28.444444444444443,42.0,20,42.0,1,0.273,30562,78,0,0.0,780.0,False,-0.01599109839453187,12,0.518,29779,82,0,0.0,820.0,False,-0.04024797329518359,0,0.2,44791,0,3,0.0,102.20617288318141,False,0.010253071539901052,14,0.4570000000000001,44808,3,10,1.0,373.9106802917973,False,0.013696698135622996,3,0.5990000000000002,58764,0,4,0.4,168.0,False,-0.012451753649941265,9,0.6050000000000001,57639,37,0,0.0,1260.5427988925708,False,-0.02216359457213823,0.2333333333333333,266343,0.0,0.0,10,0,0,13,11,10.666666666666668,13,26,25,177.0,102.0,11,11,25,670,1.1911117089912295,11.066955261863768
8,25,0,0,0,10.0,20,10.0,10.805328517707835,2,4.0,34.839758860798554,6,43.666666666666664,42.00000000000001,20,42.0,0,0.272,30482,86,0,0.0,860.0,False,-0.01726275631855031,2,0.526,29617,94,0,0.0,940.0,False,-0.04349070100143061,0,0.2,44877,0,1,0.0,34.839758860798554,False,0.011431722788888541,0,0.44300000000000006,44976,0,11,0.5,383.2373474687841,False,0.01758665090531887,7,0.6660000000000001,58672,0,4,0.4,168.00000000000003,False,-0.013995636851820776,9,0.6860000000000002,57441,39,0,0.0,1358.7505955711435,False,-0.024662270552348226,0.15,266065,0.0,0.0,11,0,0,9,7,6.4,19,28,18,224.0,111.0,13,12,18,504,1.0703644342720509,12.137319696135819
9,18,0,0,0,10.000000000000002,20,10.0,10.498921001397298,3,5.666666666666667,34.839758860798554,0,,42.0,20,42.0,1,0.28200000000000003,30388,94,0,0.0,940.0000000000001,False,-0.018979494515975203,2,0.5440000000000002,29453,106,0,0.0,1060.0000000000002,False,-0.04679701160387856,0,0.2,44877,0,1,0.0,34.839758860798554,False,0.011431722788888541,0,0.44300000000000006,44959,0,14,0.3,487.75662405117976,False,0.01838101948826436,2,0.6790000000000002,58824,0,0,0.0,0.0,False,-0.012854505789562006,14,0.8170000000000002,57165,39,0,0.0,1358.7505955711435,False,-0.029293920157986753,0.049999999999999996,265666,0.0,0.0,8,0,0,4,8,7.5,18,22,17,124.0,63.0,7,11,17,284,0.845239226706326,12.982558922842145
