index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,3.6873238458974007,8,3.625,13.177493994850783,23,11.826086956521738,30.0,13,30.0,5,1.9600000000000002,32153.0,112,0,0.0,1120.0000000000002,False,-0.1406693285699275,3,0.464,36712,108,0,0.0,1080.0000000000002,False,-0.021435326258274667,0,0.2,55879,0,60,0.7,790.649639691047,False,0.0068584355235284,22,1.4100000000000001,52861,157,0,0.0,578.9098438058919,False,-0.04903374564951525,2,0.24700000000000003,89258,42,10,1.0,853.4547477837328,False,0.014280692292550036,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.2833333333333333,355215,0.0,0.0,15,0,0,13,8,7.666666666666667,15,28,22,82.0,72.0,6,17,22,530,1.3545341370627284,40.01573465112597
11,22,0,0,0,10.000000000000002,20,10.0,3.732068282866269,2,7.0,13.130153026735622,11,12.727272727272727,30.0,14,30.0,0,1.9550000000000003,32043.0,123,0,0.0,1230.0000000000002,False,-0.1421141115897867,2,0.4810000000000001,36604,117,0,0.0,1170.0000000000002,False,-0.023090259535567932,0,0.2,55895,0,61,0.2,800.939334630873,False,0.007236758464071844,10,1.4880000000000002,52731,157,0,0.0,585.9347204100043,False,-0.051296857093181325,4,0.28500000000000003,89391,43,10,1.0,864.5965801496317,False,0.015847846577489964,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.19999999999999998,355016,0.0,0.0,19,0,0,18,4,4.0,20,38,25,151.0,33.0,11,11,25,530,1.4810277130454779,41.496762364171445
12,25,0,0,0,10.000000000000002,20,10.0,3.971526632910188,32,4.96875,13.128491602664425,9,13.11111111111111,30.0,15,30.0,10,2.0550000000000006,31808.0,131,0,0.0,1310.0000000000002,False,-0.14723652411474203,22,0.6990000000000001,36195,129,0,0.0,1290.0000000000002,False,-0.03225806451612903,0,0.2,55896,0,67,0.7,879.6089373785165,False,0.007958427451454812,8,1.5580000000000003,52497,182,0,0.0,722.8178471896542,False,-0.05425902339205191,5,0.33100000000000007,89533,42,10,1.0,851.3966473119059,False,0.017379140074370025,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.2833333333333333,354281,0.0,0.0,19,0,0,17,9,9.0,17,34,24,151.0,41.0,11,14,24,530,1.4332149140536785,42.929977278225124
13,24,0,0,0,10.000000000000002,20,10.0,3.7848076360756933,15,1.9333333333333333,13.428562015256624,12,15.75,29.999999999999996,12,30.0,13,2.1750000000000003,31490.0,140,0,0.0,1400.0000000000002,False,-0.15440790164967952,2,0.6970000000000001,36067,140,0,0.0,1400.0000000000002,False,-0.034175685615214876,0,0.2,55962,0,74,1.0,993.7135891289902,False,0.01016007576469373,9,1.6400000000000003,52375,187,0,0.0,707.7590279461547,False,-0.056576559482330264,2,0.3460000000000001,89661,43,10,1.0,877.4281666560348,False,0.018973944078713598,0,0.2,88322,0,8,0.1,239.99999999999997,False,0.0002261880527470539,0.35000000000000003,353877,0.0,0.0,19,0,0,15,8,8.0,15,30,22,122.0,47.0,8,16,22,590,1.3300401456654072,44.26001742389053
14,22,0,0,0,10.000000000000002,20,10.0,3.6480940034511895,28,2.9285714285714284,13.772538496826906,2,30.0,29.999999999999996,7,30.0,21,2.3720000000000003,31039.0,149,0,0.0,1490.0000000000002,False,-0.16507302721445835,7,0.7650000000000001,35887,151,0,0.0,1510.0000000000002,False,-0.03745928338762215,0,0.2,56018,0,74,0.2,1019.167848765191,False,0.011389739392435233,0,1.6310000000000004,52297,213,0,0.0,777.0440227351033,False,-0.057352310544317456,0,0.3440000000000001,89841,34,13,1.0,858.2663088921147,False,0.020901281971071176,0,0.2,88292,0,9,0.1,269.99999999999994,False,5.6547013186763475e-05,0.21666666666666667,353374,0.0,0.0,17,0,0,17,5,5.0,16,33,13,113.0,36.0,10,12,13,470,1.3452195888385177,45.60523701272905
15,13,0,0,0,10.000000000000002,20,10.0,3.7385410266247012,24,4.333333333333333,13.565449264063094,7,11.0,29.999999999999993,11,30.0,8,2.431000000000001,30838.0,156,0,0.0,1560.0000000000002,False,-0.1694336450562152,16,0.9180000000000001,35597,164,0,0.0,1640.0000000000002,False,-0.04336975937795524,0,0.2,56015,0,77,0.3,1044.5395933328582,False,0.011563038712251119,7,1.7010000000000003,52105,234,0,0.0,874.8186002301801,False,-0.05991287863671986,0,0.3440000000000001,90094,31,12,1.0,780.5289271859558,False,0.02332297916347714,0,0.2,88292,0,9,0.0,269.99999999999994,False,5.6547013186763475e-05,0.21666666666666667,352941,0.0,0.0,17,0,0,14,5,5.0,14,28,18,77.0,24.0,5,8,18,530,1.0586440805345774,46.663881093263626
16,18,0,0,0,10.000000000000002,20,10.0,3.7525856173997756,78,3.782051282051282,13.369347895251327,15,12.266666666666667,29.999999999999996,13,30.0,39,2.8130000000000006,29885.0,163,0,0.0,1630.0000000000002,False,-0.1935483870967742,39,1.2920000000000003,34774,177,0,0.0,1770.0000000000002,False,-0.06328149626983293,0,0.2,56045,0,76,0.0,1016.0704400391008,False,0.011845113167049228,14,1.8340000000000003,51583,312,0,0.0,1170.8067126287299,False,-0.06660458112550559,1,0.3540000000000001,90264,36,10,1.0,781.2965242290477,False,0.02524991814383893,0,0.2,88292,0,9,0.0,269.99999999999994,False,5.6547013186763475e-05,0.16666666666666666,350843,0.0,0.0,19,0,0,15,10,9.333333333333334,14,29,17,104.0,51.0,6,12,17,530,1.1318743657320738,47.7957554589957
17,17,0,0,0,10.000000000000002,20,10.0,3.9211350726246503,21,5.666666666666667,13.553293467728722,1,30.0,29.999999999999996,8,30.0,3,2.8040000000000003,29743.0,173,0,0.0,1730.0000000000002,False,-0.19596511505726594,18,1.4330000000000003,34460,187,0,0.0,1870.0000000000002,False,-0.07021645476515709,0,0.2,56069,0,78,0.3,1057.1568904828403,False,0.012642079140495298,0,1.8200000000000003,51470,330,0,0.0,1293.9745739661346,False,-0.06752451580785698,0,0.3530000000000001,90474,27,12,1.0,725.9389236286754,False,0.027311862000569318,0,0.2,88292,0,9,0.0,269.99999999999994,False,5.6547013186763475e-05,0.21666666666666667,350508,0.0,0.0,15,0,0,14,3,3.0,15,29,20,105.0,41.0,8,9,20,470,1.3913819547742605,49.18713741376996
18,20,0,0,0,10.000000000000002,20,10.0,3.886144004131559,57,3.754385964912281,13.480959873745388,6,12.5,29.999999999999993,12,30.0,41,3.2110000000000003,28692.0,182,0,0.0,1820.0000000000002,False,-0.22239150992959966,16,1.5750000000000002,34169,198,0,0.0,1980.0000000000005,False,-0.07641588735946202,0,0.2,56042,1,87,1.0,1176.7296530199803,False,0.013228692034674474,5,1.8700000000000003,51238,376,0,0.0,1461.1901455534662,False,-0.07017954459972564,0,0.35300000000000004,90759,23,10,1.0,610.0620770961439,False,0.02987979279532322,0,0.2,88292,0,9,0.0,269.99999999999994,False,5.6547013186763475e-05,0.3333333333333333,349192,0.0,0.0,19,0,0,17,9,9.0,17,34,20,145.0,28.0,10,10,20,590,1.197776366956532,50.38491378072649
19,20,0,0,0,10.000000000000002,20,10.0,4.046351184583786,18,6.222222222222222,12.854753214876817,19,10.263157894736842,29.999999999999996,8,30.0,12,3.290000000000001,28465.0,191,0,0.0,1910.0000000000002,False,-0.22717242828622464,6,1.6190000000000007,33999,209,0,0.0,2090.0000000000005,False,-0.0794367973100767,0,0.2,56017,0,92,0.6,1182.6372957686672,False,0.012834242505668792,18,2.0450000000000004,50795,389,0,0.0,1574.0306108030927,False,-0.07709621754125805,0,0.35300000000000004,90804,32,12,1.0,771.3521028760581,False,0.03130076283547114,0,0.2,88292,0,9,0.0,269.99999999999994,False,5.6547013186763475e-05,0.26666666666666666,348372,0.0,0.0,18,0,0,15,7,7.0,18,33,20,105.0,51.0,7,13,20,470,1.3100928999483585,51.69500668067485
