index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
4623,f8d30094-4304-4296-a91a-e60d62226588,03Dec@1,04Dec@2,DecentralizingAgent,DecentralizingAgent,112,8,37,-1,-1,110,,"[quantity: (1, 11), time: (112, 117), unit_price: (25, 50)]",03Dec@1,04Dec@2,p2,03Dec@1,False,2,17,-1,,-1,-1
4629,0cdc9c9a-8be0-4db6-a877-2843ebfac900,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,112,5,10,111,-1,111,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (111, 113), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,112,,-1,-1
4530,1487a3e0-8305-4397-8f4b-04fa3bfd2906,00Ind@0,02MyA@1,IndDecentralizingAgent,MyAgent,112,40,18,-1,-1,102,,"[quantity: (1, 40), time: (102, 112), unit_price: (1, 18)]",00Ind@0,02MyA@1,p1,02MyA@1,True,1,2,-1,,-1,-1
3750,a6b03de4-ce70-461b-9bd7-5c2f53a2084b,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,1,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
3746,6b1eaa2b-fc29-47b0-abb0-ea6aa08ead81,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,1,35,57,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,112,,-1,-1
3748,d116fa8e-039a-4fdf-9fda-19822af17aa6,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,3,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,112,,-1,-1
3744,58fa2de7-2dc2-40ed-98a6-64cdebdddd4f,04Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,1,35,57,-1,-1,BUYER|04Dec@2,[],04Dec@2,BUYER,p3,BUYER,False,3,0,112,,-1,-1
3742,444d7653-5397-4614-bed5-96f63d50d462,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,3,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,112,,-1,-1
3741,3d465200-6883-4dfa-8fc6-9b394d62b3a9,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,112,1,10,57,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,112,,-1,-1
3740,710c7615-30bf-47f0-b180-48cb95a07f2c,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,1,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
3739,83d848e5-684d-4eb2-9466-4fa46eb30807,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,2,35,57,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,112,,-1,-1
3738,309f4ea2-f4a4-423e-86ba-a47f585d2684,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,1,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
3737,1a022beb-69e2-4778-aab4-bf9126bb57bf,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,112,2,35,57,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,112,,-1,-1
3736,aa94168b-650b-4c9d-8f95-702262911962,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,1,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,112,,-1,-1
3733,6c702061-7172-4155-bc61-88e851e87aac,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,112,2,10,57,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,112,,-1,-1
3749,2c61ee0f-6fe8-48f6-8535-7c8b70243c2e,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,112,4,10,57,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,112,,-1,-1
