index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1305,cbc00740-1ed0-45a7-bae5-f9b687aa75e7,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,56,3,10,1,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,True,0,0,56,,-1,-1
1306,fc2ee2e4-8a7a-480d-9170-ef2fa5871351,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,56,1,10,1,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,56,,-1,-1
1307,73096064-b0f4-488d-8565-e310213579db,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,48,22,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 22), time: (2, 48), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.5454545454545454),-1,-1
1308,89bd4d0c-5fe5-4380-8e23-5f8b9d7f7ca4,SELLER,01Dec@0,_SystemAgent,DecentralizingAgent,57,1,10,2,-1,-1,01Dec@0|SELLER,[],SELLER,01Dec@0,p0,SELLER,False,0,0,57,,-1,-1
1309,91c1dcf2-d0b4-4be9-8feb-d402e67238fe,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,42,25,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 25), time: (2, 42), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.84),-1,-1
1310,183e8823-c874-4fec-9d7e-37255ec3b7d2,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,3,5,10,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 5), time: (2, 4), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,17,3,,-1,-1
1311,4f0408ac-4245-4f11-af96-e691603d95cf,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,32,24,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 24), time: (2, 32), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.5833333333333334),-1,-1
1312,6a695ffe-197c-4269-a6e2-05f7f181f22b,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,28,25,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 25), time: (2, 28), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.6),-1,-1
1313,635faee8-3f4f-4c41-b845-7b69cf9b1db5,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,52,25,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 25), time: (2, 52), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,-1,00Ind@0:product(0.96),-1,-1
1314,2ce28b5b-87b4-47b4-898f-de7d4b91c480,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,57,1,10,2,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,57,,-1,-1
1315,19475f2d-ec8f-45b1-8cd5-dedf85a4cdf2,00Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,13,24,18,2,-1,2,03Dec@1|00Ind@0,"[quantity: (1, 24), time: (2, 13), unit_price: (1, 18)]",00Ind@0,03Dec@1,p1,03Dec@1,True,1,2,13,,-1,-1
