index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
544,b3186e46-18b9-455d-be71-36f6f9f7a874,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,38,4,10,19,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,False,0,0,38,,-1,-1
545,d4e6c1f5-9161-4196-bb4f-14c31295708b,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,38,4,10,19,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,38,,-1,-1
546,1f332fab-7f51-4cca-8211-1f392ee67674,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,6,46,19,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
547,ab504858-5887-495f-b170-15de631baafd,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,1,46,19,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
548,50e53210-68e2-4ace-9c42-75dca58d8987,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,38,3,10,19,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,38,,-1,-1
549,d2d31fe1-126a-446b-bcb5-9f0d73c1aa49,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,27,5,47,19,-1,19,03Dec@1|04Ind@2,"[quantity: (1, 5), time: (23, 28), unit_price: (32, 64)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(1.0),-1,-1
550,e22ec268-b74a-4f35-9903-91ec5161f570,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,38,2,46,19,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,38,,-1,-1
551,48e4d4cf-86ca-41e6-ab9f-0f8ef6a7a783,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,38,2,46,19,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(0.5),-1,-1
552,70a14788-3cc8-4de7-ada6-02e18025cec7,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,38,2,10,19,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,38,,-1,-1
553,c39ad0e1-fb27-47be-9d16-5472d23e8ef7,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,38,4,46,19,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
554,a53da7c3-440b-4687-82d1-3624ad1ca064,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,2,46,19,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
555,521f23da-43a9-4cf5-bc8f-78e3704236ff,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,38,5,10,19,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,38,,-1,-1
556,42bf5ce7-ce3a-4806-bba8-2c40e5599a24,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,38,1,46,19,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
557,1a75a354-6ad3-4d99-8b6f-361779728cb8,01Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,23,1,11,19,-1,19,03Dec@1|01Buy@0,"[quantity: (1, 5), time: (19, 23), unit_price: (1, 21)]",01Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,01Buy@0:product(1.0),-1,-1
558,01c744aa-7449-4982-8436-1227c8037804,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,38,1,10,19,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,38,,-1,-1
559,45c3eeb0-5e89-4a93-adc6-b7254e5dba98,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,28,5,47,19,-1,19,03Dec@1|05Dec@2,"[quantity: (1, 5), time: (24, 29), unit_price: (32, 64)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(0.8),-1,-1
560,c0fb8beb-bcf2-4a09-8e32-4305a87767d8,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,39,1,10,20,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,39,,-1,-1
561,48038097-9c8d-403a-a40e-c6a78347d070,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,39,1,46,20,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,39,,-1,-1
562,f52e55fb-5cc7-49b8-8f00-3d1d14010c08,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,39,1,46,20,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,39,,-1,-1
