index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,25,0,0,0,10.000000000000002,20,10.0,19.064808835961184,15,21.933333333333334,32.024573661275326,68,40.411764705882355,36.0,20,36.0,0,0.2,30582,0,8,0.8,152.51847068768947,False,0.03181298540517097,0,0.398,30015,7,30,1.0,641.9442650788355,False,0.02096631550295886,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,58,0.9960000000000002,56977,109,10,1.0,2398.3098997325224,False,-0.034180211673175656,10,0.9480000000000002,81288,113,0,0.0,3618.7768237241116,False,-0.034099470982993776,5,0.6190000000000002,85165,5,10,1.0,520.1228683063766,False,-0.0070432584283201295,0.6333333333333333,344526,0.0,0.0,10,0,0,10,9,8.722222222222221,16,26,23,191.0,69.0,12,13,23,709,1.549711457977537,33.16711026598932
11,23,0,0,0,10.000000000000002,20,10.0,19.109149060819544,32,19.3125,32.592028562306005,10,41.0,35.99999999999999,20,36.0,7,0.27,30683,0,8,0.8,152.87319248655635,False,0.03521814008155617,0,0.398,30213,9,23,1.0,529.5104283988495,False,0.0257380679904225,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,0.9380000000000002,56769,131,10,1.0,2829.2188125904204,False,-0.03405645544458852,9,1.0280000000000002,81188,113,0,0.0,3682.8992275405785,False,-0.03488917234752246,1,0.6240000000000001,85108,5,10,1.0,522.96014281153,False,-0.007689320461162096,0.6333333333333333,344460,0.0,0.0,15,0,0,13,5,3.666666666666667,14,27,30,186.0,63.0,12,11,30,1144,1.5236882930039428,34.690798558993265
12,30,0,0,0,10.000000000000002,20,10.0,19.194287185815337,17,20.0,32.79273177482266,51,33.35294117647059,36.0,20,36.0,9,0.35300000000000004,30810,0,6,0.6,115.16572311489202,False,0.03885783534336642,0,0.398,30073,13,33,1.0,763.4114771319062,False,0.024962330917980467,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,41,1.348,56338,138,10,1.0,2976.738949390743,False,-0.039987225455376946,12,1.1390000000000002,80832,125,0,0.0,4099.091471852833,False,-0.03660836517154966,0,0.6230000000000001,83875,34,12,1.0,1546.9528803439705,False,-0.016070062649835667,0.6,342427,0.0,0.0,10,0,0,15,8,7.273001508295626,15,30,30,258.0,102.0,16,14,30,488,1.7684646550333127,36.45926321402658
13,30,0,0,0,10.000000000000002,20,10.0,19.194287185815337,0,,32.79273177482266,0,,36.00000000000001,20,36.0,0,0.34400000000000003,30730,0,14,0.8,268.7200206014147,False,0.03874936930975359,0,0.398,29953,15,43,1.0,975.3543489900595,False,0.024490195352035508,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,1.3070000000000002,56338,128,20,1.0,3112.7233952808165,False,-0.03885844280500692,13,1.2570000000000001,80623,125,0,0.0,4099.091471852833,False,-0.03903772203128627,0,0.623,84127,24,15,1.0,1327.0255625957438,False,-0.014419072412294693,0.6333333333333333,342270,0.0,0.0,11,0,0,15,5,5.0,13,28,31,240.0,136.0,15,15,31,452,2.05465224100044,38.51391545502702
14,31,0,0,0,10.000000000000002,20,10.0,19.286951293871535,18,20.11111111111111,33.31540071580433,16,39.0,36.00000000000001,20,36.0,0,0.34400000000000003,30672,0,22,1.0,424.3129284651738,False,0.039415624953137905,0,0.398,30173,15,37,1.0,863.6171978732468,False,0.030014088073793382,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,1.3070000000000002,56600,136,14,1.0,3089.4409859877896,False,-0.034702075321758175,11,1.3540000000000003,79847,141,0,0.0,4697.471500928411,False,-0.04458002638044195,0,0.623,84451,14,16,1.0,1042.4156100212608,False,-0.01230710087049278,0.6666666666666666,342242,0.0,0.0,14,0,0,19,4,4.0,12,31,21,255.0,45.0,15,16,21,1510,1.8592888900311664,40.373204345058184
15,21,0,0,0,10.000000000000002,20,10.0,19.297572630900376,1,21.0,34.16378155743554,30,39.0,36.00000000000001,20,36.0,0,0.34400000000000003,30583,1,31,1.0,608.2247515579116,False,0.03951510705007766,0,0.398,30083,14,47,1.0,1046.9859136523178,False,0.030070775647903534,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,16,1.467,57207,127,10,1.0,2792.429539698703,False,-0.027090316761860214,13,1.473,79053,156,0,0.0,5329.5499229599445,False,-0.05013570734409726,0,0.6230000000000001,84118,19,19,1.0,1333.1118495912754,False,-0.014488313226678281,0.6666666666666666,341543,0.0,0.0,11,0,0,8,7,6.066666666666666,12,20,22,108.0,56.0,6,15,22,473,1.3119263320113532,41.68513067706954
16,22,0,0,0,10.000000000000002,20,10.0,19.588502043607324,20,21.7,34.851675124196994,30,39.0,36.00000000000001,20,36.0,0,0.34400000000000003,30791,1,27,1.0,538.8895551773977,False,0.045348661447470746,0,0.398,30109,14,51,1.0,1139.0136042239735,False,0.03249442338747308,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,20,1.6510000000000002,57198,137,10,1.0,3032.141531216173,False,-0.025249925033484104,12,1.5800000000000003,78282,171,0,0.0,5959.636446237686,False,-0.05543561944974672,0,0.623,83821,24,21,1.0,1592.440202980728,False,-0.016433377486134423,0.6666666666666666,340700,0.0,0.0,12,0,0,10,7,6.333333333333333,16,26,16,153.0,63.0,11,11,16,922,1.5046894560218789,43.189820133091416
17,16,0,0,0,10.000000000000002,20,10.0,19.80955136732642,15,22.0,33.28205966654599,14,12.0,36.00000000000001,20,36.0,0,0.34400000000000003,30731,0,34,0.7,673.5247464890983,False,0.04559493734205735,0,0.398,30299,18,46,1.0,1091.2393628970153,False,0.03808500257289767,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,4,1.6710000000000003,56908,142,10,1.0,3145.7768908258117,False,-0.029121134798490787,8,1.6480000000000004,78036,185,0,0.0,6157.181038311008,False,-0.05714695261992181,0,0.6230000000000001,84253,14,19,1.0,1149.948835331644,False,-0.01398362895158922,0.6166666666666667,340726,0.0,0.0,13,0,0,8,3,2.2857142857142856,12,20,19,108.0,60.0,6,10,19,962,1.3930306310066953,44.58285076409811
18,19,0,0,0,10.000000000000002,20,10.0,19.857820999138976,50,20.0,33.28205966654599,0,,36.00000000000001,20,36.0,0,0.34400000000000003,31251,2,12,1.0,258.2938519896677,False,0.05610833392773652,0,0.398,30579,16,38,1.0,914.5971979672811,False,0.044536014504884786,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,1.6670000000000005,55908,182,20,1.0,4279.764615174214,False,-0.03630974835914163,8,1.7200000000000002,77943,185,0,0.0,6157.181038311008,False,-0.05822795830391944,0,0.623,84685,4,17,1.0,745.1282386661841,False,-0.011314943225894204,0.6666666666666666,340865,0.0,0.0,15,0,0,8,3,3.0,15,23,16,132.0,46.0,9,10,16,1632,2.1881703779799864,46.7710211420781
19,16,0,0,0,10.000000000000002,20,10.0,19.895633430187686,26,20.153846153846153,31.226937958717247,22,14.090909090909092,36.00000000000001,20,36.0,10,0.44400000000000006,31401,4,10,1.0,238.95633430187686,False,0.06083122428401498,0,0.398,30583,14,44,1.0,1015.4078709282583,False,0.046367042555922576,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,2,1.687,55630,198,10,1.0,4251.604798764334,False,-0.04115875488698979,6,1.7720000000000002,77757,195,0,0.0,6089.252901949863,False,-0.06078475838970917,0,0.6230000000000001,85009,6,13,1.0,655.3616277523035,False,-0.008070569749553587,0.6666666666666666,340879,0.0,0.0,19,0,0,8,4,3.1090909090909093,14,22,24,126.0,40.0,7,9,24,1188,1.5314948619925417,48.30251600407064
