index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,22.0,0,,33.0,0,,0,0.2,22800,2,10,1.0,190.0,False,-0.0010907504363001745,0,0.2,22840,0,8,0.8,136.0,False,-0.0005235602094240838,0,0.2,31351,0,0,0.0,0.0,False,0.0,0,0.2,31351.0,0,0,0.0,0.0,False,0.0,0,0.2,49113,0,0,0.0,0.0,False,0.0,0,0.2,49113,0,0,0.0,0.0,False,0.0,0.3,206568,0.0,0.0,5,0,0,74,0,0.0,246,320,188,0.0,0.0,0,0,188,200,3.07861187501112,3.07861187501112
1,188,0,0,0,10.0,20,10.0,17.0,0,,11.058823529411764,57,2.4210526315789473,33.0,0,,0,0.2,22700,2,20,1.0,360.0,False,-0.0017452006980802793,0,0.2,22740,0,18,1.0,306.0,False,-0.0011780104712041885,0,0.2,31351,0,0,0.0,0.0,False,0.0,57,0.77,28465.0,0,0,0.0,0.0,False,-0.09205447992089566,0,0.2,49103,0,10,1.0,330.0,False,0.003155987213161485,0,0.2,48985,47,0,0.0,519.7647058823529,False,0.002685283996929016,0.5,203344,0.0,0.0,4,0,0,57,8,8.0,100,157,78,2287.0,321.0,147,41,78,200,9.897380492999218,12.975992368010338
2,78,0,0,0,10.0,20,10.0,18.517241379310345,13,23.76923076923077,9.775047258979207,14,1.3571428571428572,33.0,0,,0,0.2,22919,1,17,1.0,324.7931034482759,False,0.007041734368417874,0,0.2,22630,1,28,1.0,528.4827586206897,False,-0.0011238490702293105,0,0.2,31042,3,10,1.0,153.3021967277231,False,-0.00741121181576786,14,0.8530000000000002,28040.0,0,0,0.0,0.0,False,-0.10561066632643297,0,0.2,49103,0,10,0.0,330.0,False,0.003155987213161485,0,0.2,48966,61,0,0.0,596.2778827977316,False,0.0030773713965521437,0.5,202700,0.0,0.0,7,0,0,23,4,4.0,22,45,56,346.0,121.0,36,42,56,509,4.512479940021876,17.488472308032215
3,56,0,0,0,10.0,20,10.0,20.499999999999996,23,25.0,8.28298120113126,25,2.6,33.0,11,33.0,0,0.2,23144,0,12,0.6,245.99999999999994,False,0.015139616055846423,0,0.2,22780,6,26,1.0,592.9999999999999,False,0.006828097731239093,0,0.2,30467,16,20,1.0,493.65962402262517,False,-0.020323759624531465,25,1.0890000000000002,27234.0,0,0,0.0,0.0,False,-0.1313195751331696,0,0.2,49103,0,10,0.0,330.0,False,0.003155987213161485,11,0.31000000000000005,48775,86,0,0.0,712.3363832972884,False,0.00036992632599599633,0.43333333333333335,201503,0.0,0.0,6,0,0,22,7,7.0,20,42,51,260.0,69.0,33,23,51,775,2.885421590995975,20.37389389902819
4,51,0,0,0,10.0,20,10.0,22.05912818299525,25,26.28,7.052351034578105,22,1.0,33.0,9,33.0,0,0.2,23309,0,9,0.6,198.53215364695723,False,0.021303057453031335,0,0.2,23072,10,20,1.0,541.182563659905,False,0.01843766500130677,0,0.2,29810,31,30,1.0,895.4035047101959,False,-0.03487283492216846,22,1.2840000000000003,26523.0,0,0,0.0,0.0,False,-0.15399827756690376,0,0.2,49103,0,10,0.0,330.0,False,0.003155987213161485,9,0.389,48683,108,0,0.0,761.6539117344353,False,-0.001001222571066353,0.43333333333333335,200500,0.0,0.0,7,0,0,14,5,5.0,20,34,46,296.0,201.0,24,27,46,857,4.495056776970159,24.86895067599835
5,46,0,0,0,10.0,20,10.0,23.21220368398217,18,28.555555555555557,6.393062002544541,21,2.714285714285714,33.0,7,33.0,0,0.2,23197,3,17,1.0,424.6074626276969,False,0.02134833033655534,0,0.2,23498,7,14,1.0,394.9708515757504,False,0.033834442660902096,0,0.2,29792,23,40,1.0,789.6031648333715,False,-0.037134331204214,21,1.4720000000000002,25346.0,16,0,0.0,371.39525894371474,False,-0.1856177592589755,0,0.2,49103,0,10,0.0,330.0,False,0.003155987213161485,7,0.45000000000000007,48564,129,0,0.0,824.7049983282458,False,-0.0027823081635386902,0.5,199500,0.0,0.0,7,0,0,18,7,7.0,12,30,51,250.0,108.0,20,26,51,714,2.740458148997277,27.609408824995626
6,51,0,0,0,10.0,20,10.0,24.045750456964317,42,25.857142857142858,6.393062002544541,0,,33.0,11,33.0,0,0.2,23393,1,12,1.0,298.5490054835718,False,0.027149847414563007,13,0.33000000000000007,23888,9,10,1.0,330.45750456964316,False,0.04944279023930279,0,0.2,29408,28,50,1.0,992.9341129222279,False,-0.046139929939679275,0,1.451,24644.0,43,0,0.0,1033.9672696494656,False,-0.19744238988151147,0,0.2,49103,0,10,0.0,330.0,False,0.003155987213161485,11,0.553,48433,129,0,0.0,824.7049983282458,False,-0.0054496263888558156,0.5,198869,0.0,0.0,7,0,0,18,5,4.222222222222222,13,31,47,279.0,165.0,21,30,47,476,2.3901294689858332,29.99953829398146
7,47,0,0,0,10.0,20,10.0,24.21974424972213,37,24.783783783783782,5.966404258114872,28,4.071428571428571,33.0,13,33.0,1,0.21000000000000002,23503,0,10,1.0,242.1974424972213,False,0.03071983949601268,14,0.4570000000000001,24168,10,10,1.0,342.1974424972213,False,0.06191530197419767,0,0.2,28875,43,60,1.0,1399.433258224944,False,-0.05665794937601766,28,1.7310000000000005,23350.0,55,0,0.0,1332.0859337347172,False,-0.23396245839471286,0,0.2,49103,0,10,0.0,330.0,False,0.003155987213161485,13,0.672,48151,157,0,0.0,936.725468524035,False,-0.010051050958768216,0.5,197150,0.0,0.0,5,0,0,16,10,8.243589743589745,12,28,48,261.0,147.0,18,29,48,200,2.1656439949874766,32.165182288968936
8,48,0,0,0,10.0,20,10.0,24.650815821783674,14,29.0,6.810134564359273,30,10.666666666666666,33.0,9,33.0,0,0.20900000000000002,23383,2,20,1.0,513.0163164356735,False,0.03139215349990556,4,0.4830000000000001,24410,8,10,1.0,326.50815821783675,False,0.0721315043241239,0,0.2,29135,33,50,1.0,1153.983650336825,False,-0.052279294913450486,10,1.8030000000000004,22744.0,69,0,0.0,1700.9062917030735,False,-0.24740987063087183,0,0.2,49103,0,10,0.0,330.0,False,0.003155987213161485,9,0.7490000000000001,47747,187,0,0.0,1273.495163535184,False,-0.014848460045861687,0.5,196522,0.0,0.0,7,0,0,19,4,3.2857142857142856,12,31,41,297.0,186.0,21,27,41,460,2.480189092049841,34.645371381018776
9,41,0,0,0,10.000000000000002,20,10.0,24.23899826142183,19,21.210526315789473,6.771761528520943,1,1.0,33.0,5,33.0,0,0.20900000000000002,23656,5,11,1.0,316.62898087564014,False,0.03901895682538484,0,0.4790000000000001,24340,5,20,1.0,534.7799652284366,False,0.07362085438980012,0,0.2,28860,34,60,1.0,1230.4316325995987,False,-0.059831717766584844,1,1.8030000000000004,22591.0,77,0,0.0,1866.402866129481,False,-0.2496506831340391,0,0.2,49103,0,10,0.0,330.0,False,0.003155987213161485,5,0.79,47716,188,0,0.0,1273.0911673619373,False,-0.015483770413516368,0.5,196266,0.0,0.0,7,0,0,18,2,2.0,12,30,42,322.0,120.0,21,20,42,603,2.811248712998349,37.456620094017126
