index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,30.0,0,,0,0.2,12992,0,6,0.6,84.0,False,-0.0013790989886607416,0,0.2,12912,14,0,0.0,140.0,False,-0.005363162733680662,0,0.2,18925,0,0,0.0,0.0,False,0.0,0,0.2,18925,0,0,0.0,0.0,False,0.0,0,0.2,28822,0,0,0.0,0.0,False,0.0,0,0.2,28822,0,0,0.0,0.0,False,0.0,0.09999999999999999,121398,0.0,0.0,6,0,0,0,0,0.0,221,221,116,0.0,0.0,0,0,116,200,1.3846097402274609,1.3846097402274609
1,116,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,30.0,0,,0,0.2,12902,0,15,0.9,210.0,False,-0.003447747471651854,0,0.2,12802,25,0,0.0,250.0,False,-0.00957707631014404,0,0.2,18925,0,0,0.0,0.0,False,0.0,0,0.2,18925,0,0,0.0,0.0,False,0.0,0,0.2,28822,0,0,0.0,0.0,False,0.0,0,0.2,28822,0,0,0.0,0.0,False,0.0,0.15,121198,0.0,0.0,6,0,0,47,0,0.0,33,80,58,1133.0,259.0,68,48,58,200,5.1086413115262985,6.493251051753759
2,58,0,0,0,10.0,20,10.0,11.447761194029852,22,6.2272727272727275,20.0,0,,30.0,0,,0,0.2,12896,1,12,1.0,147.37313432835822,False,-0.0063065762209485905,9,0.29000000000000004,12584,34,0,0.0,340.0,False,-0.02283174992338339,0,0.2,18829,6,10,1.0,268.6865671641791,False,0.002026065182673157,0,0.2,18884,0,6,0.6,120.0,False,0.0010039630118890356,0,0.2,28822,0,0,0.0,0.0,False,0.0,0,0.2,28822,0,0,0.0,0.0,False,0.0,0.43333333333333335,120837,0.0,0.0,8,0,0,31,2,2.0,28,59,49,299.0,47.0,47,11,49,304,3.893727835267782,10.386978887021542
3,49,0,0,0,10.0,20,10.0,9.978562421185371,19,5.315789473684211,20.0,0,,30.0,20,30.0,0,0.2,12911,0,9,0.7,89.80706179066834,False,-0.007362585742006324,9,0.37100000000000005,12301,48,0,0.0,480.0,False,-0.03915108795586883,0,0.2,18829,0,16,0.6,320.0,False,0.003381770145310436,0,0.2,18783,9,16,1.0,409.80706179066834,False,0.003323832544007148,11,0.31000000000000005,28702,0,0,0.0,0.0,False,-0.004163486225799737,9,0.29000000000000004,28729,0,0,0.0,0.0,False,-0.003226701824994796,0.3833333333333333,120255,0.0,0.0,8,0,0,22,8,8.0,18,40,39,316.0,138.0,28,21,39,275,1.868066232651472,12.255045119673014
4,39,0,0,0,10.0,20,10.0,9.697055264219442,3,3.0,23.39344262295082,16,32.9375,30.0,20,30.0,0,0.2,12761,5,19,1.0,234.2440500201694,False,-0.013321941081053857,3,0.392,12209,53,0,0.0,530.0,False,-0.04428440085810604,0,0.2,19356,0,0,0.0,0.0,False,0.022774108322324967,0,0.2,18774,2,26,1.0,627.6236187251602,False,0.008603001815724265,6,0.35900000000000004,28395,7,0,0.0,163.75409836065572,False,-0.011974288766208933,14,0.42100000000000004,28294,9,0,0.0,210.54098360655738,False,-0.014666904038467852,0.3333333333333333,119789,0.0,0.0,8,0,0,8,7,7.0,20,28,27,214.0,97.0,16,23,27,727,1.3421318512409925,13.597176970914006
5,27,0,0,0,10.0,20,10.0,12.88804544489705,32,19.5625,23.39344262295082,0,,29.999999999999996,20,30.0,11,0.31000000000000005,13074,5,10,1.0,178.8804544489705,False,0.008538172481189555,2,0.40900000000000003,12101,63,0,0.0,630.0,False,-0.04872816426601287,0,0.2,19356,0,0,0.0,0.0,False,0.022774108322324967,0,0.2,18148,24,36,1.0,1151.4770251037587,False,-0.010634688900825487,9,0.44300000000000006,28307,7,0,0.0,163.75409836065572,False,-0.015027511998462072,11,0.5170000000000001,28180,9,0,0.0,210.54098360655738,False,-0.0186222159529776,0.3333333333333333,119166,0.0,0.0,7,0,0,9,8,7.6875,11,20,24,58.0,70.0,9,18,24,480,0.9967871308326721,14.593964101746678
6,24,0,0,0,10.0,20,10.0,12.541741219023894,20,11.0,23.39344262295082,0,,30.0,20,30.0,0,0.29900000000000004,12974,5,20,1.0,300.83482438047787,False,0.005548376661832647,20,0.6070000000000001,11881,73,0,0.0,730.0,False,-0.061752988047808766,0,0.2,19356,0,0,0.0,0.0,False,0.022774108322324967,0,0.2,17928,34,46,1.0,1502.51756210255,False,-0.012985004964265568,8,0.514,28239,7,0,0.0,163.75409836065572,False,-0.01738682085974859,12,0.6260000000000001,28040,9,0,0.0,210.54098360655738,False,-0.02347961654974396,0.3333333333333333,118418,0.0,0.0,6,0,0,4,7,7.0,14,18,23,42.0,79.0,6,18,23,200,0.7661205269396305,15.360084628686309
7,23,0,0,0,10.0,20,10.0,13.29347345731778,11,20.0,23.322869955156946,12,23.0,30.0,20,30.0,0,0.29900000000000004,13094,5,19,1.0,302.5759956890378,False,0.014809071241535247,0,0.5870000000000002,11781,83,0,0.0,830.0,False,-0.06558381857186638,0,0.2,19356,0,0,0.0,0.0,False,0.022774108322324967,0,0.2,17984,35,44,1.0,1491.477849033028,False,-0.01031762618142594,6,0.5660000000000001,27915,19,0,0.0,443.134529147982,False,-0.023781581272153546,14,0.754,27856,9,0,0.0,209.9058295964125,False,-0.029874647325022322,0.3333333333333333,117986,0.0,0.0,8,0,0,7,6,6.0,13,20,17,86.0,66.0,8,15,17,696,0.7406580429524183,16.100742671638727
8,17,0,0,0,10.0,20,10.0,11.625051712706496,19,3.0,25.332610894379417,9,38.77777777777778,30.0,20,30.0,0,0.29900000000000004,13014,3,29,1.0,367.12649966848835,False,0.01115256281292092,19,0.7770000000000001,11395,95,0,0.0,950.0,False,-0.09056083358872204,0,0.2,19356,0,0,0.0,0.0,False,0.022774108322324967,0,0.2,18276,44,45,1.0,1651.4697656061596,False,0.009338699223412461,9,0.6500000000000001,27477,28,0,0.0,709.3131050426236,False,-0.03436067751990452,11,0.8500000000000001,27733,9,0,0.0,227.99349804941477,False,-0.033828438379546626,0.3333333333333333,117251,0.0,0.0,8,0,0,4,7,7.0,14,18,17,65.0,34.0,6,11,17,549,0.6859973520040512,16.78674002364278
9,17,0,0,0,10.000000000000002,20,10.0,11.625051712706496,0,,25.55300212078016,24,26.125,29.999999999999996,20,30.0,0,0.29900000000000004,12924,2,39,1.0,473.37701679555335,False,0.008327345111689846,0,0.758,11285,106,0,0.0,1060.0000000000002,False,-0.09477474716518541,0,0.2,19356,0,0,0.0,0.0,False,0.022774108322324967,0,0.2,18903,34,31,1.0,1187.3948239762058,False,0.03020858187519691,11,0.7510000000000001,27218,35,0,0.0,894.3550742273056,False,-0.040136786582691916,9,0.9290000000000003,27147,26,0,0.0,664.3780551402841,False,-0.04658979156303724,0.3333333333333333,116833,0.0,0.0,9,0,0,9,6,6.0,13,22,15,135.0,37.0,11,6,15,827,0.7145399488508701,17.50127997249365
10,15,0,0,0,10.000000000000002,20,10.0,12.003529704439789,20,14.0,25.03439407612178,8,20.0,29.999999999999996,20,30.0,0,0.29900000000000004,13134,0,28,0.9,336.0988317243141,False,0.01915793869615054,0,0.7580000000000002,11155,119,0,0.0,1190.0000000000002,False,-0.09975482684646031,0,0.2,19356,0,0,0.0,0.0,False,0.022774108322324967,0,0.2,18783,44,33,1.0,1354.2903115073696,False,0.028277154861489337,8,0.8200000000000001,26990,43,0,0.0,1076.4789452732366,False,-0.04488795112634036,12,1.0400000000000003,27005,26,0,0.0,650.8942459791663,False,-0.05175049882070701,0.31666666666666665,116423,0.0,0.0,8,0,0,3,6,6.0,17,20,14,84.0,44.0,8,7,14,640,0.6107828933745623,18.11206286586821
11,14,0,0,0,10.000000000000002,20,10.0,12.882142679299717,19,18.105263157894736,26.747174068729812,16,35.0,29.999999999999993,20,30.0,0,0.29900000000000004,13314,2,23,1.0,316.2892816238935,False,0.032190058290832546,4,0.7980000000000003,11051,127,0,0.0,1270.0000000000002,False,-0.10465828991725407,0,0.2,19356,0,0,0.0,0.0,False,0.022774108322324967,0,0.2,18999,53,27,1.0,1404.92726185859,False,0.041028461343687955,10,0.9120000000000001,26326,59,0,0.0,1578.0832700550588,False,-0.059224147004804314,10,1.1280000000000001,26901,26,0,0.0,695.4265257869752,False,-0.05458631382646976,0.3333333333333333,115947,0.0,0.0,8,0,0,6,7,7.0,15,21,14,113.0,29.0,9,5,14,1060,0.5894468352198601,18.70150970108807
