index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,27,0,0,0,10.000000000000002,20,10.0,15.509282133986087,31,13.419354838709678,29.777762007883922,26,39.96153846153846,36.99999999999999,12,37.0,31,2.0130000000000003,37148.0,121,0,0.0,1210.0000000000002,False,-0.08488668040237547,0,0.56,41884,4,20,1.0,350.18564267972175,False,0.01949079678438634,0,0.2,64978,122,47,1.0,3291.687234716847,False,0.004839051285136714,0,0.2,65608,21,33,1.0,1308.3610710738772,False,-0.0006156503395480846,0,0.2,97392,0,0,0.0,0.0,False,0.0,2,0.6520000000000001,95264,49,10,1.0,1829.1103383863122,False,-0.01245938917782609,0.6666666666666666,402274,0.0,0.0,20,0,0,16,4,3.6666666666666665,16,32,26,222.0,144.0,14,13,26,1572,1.5833461815491319,21.882077892310917
11,26,0,0,0,10.000000000000002,20,10.0,14.830659584630043,25,8.8,29.47718143472043,20,28.0,37.0,12,37.0,20,2.182000000000001,36703.0,133,0,0.0,1330.0000000000002,False,-0.09421888255968973,0,0.56,41849,2,25,1.0,390.7664896157511,False,0.01913424420816569,0,0.2,65053,127,52,1.0,3416.3072018534776,False,0.006909998053281809,0,0.2,65873,21,28,1.0,1136.8049314494028,False,0.002087423883153197,0,0.2,97392,0,0,0.0,0.0,False,0.0,2,0.6700000000000002,95058,59,10,1.0,2109.1537046485055,False,-0.013136840271025765,0.6666666666666666,401928,0.0,0.0,16,0,0,19,6,5.5,12,31,38,240.0,64.0,15,11,38,1138,1.641024679876864,23.52310257218778
12,38,0,0,0,10.000000000000002,20,10.0,15.157308331361783,53,16.528301886792452,28.59386236025637,59,27.0,37.0,13,37.0,37,2.5320000000000005,36057.0,142,0,0.0,1420.0000000000002,False,-0.10878681371954915,0,0.56,42138,3,19,1.0,317.98885829587385,False,0.025257409505464564,0,0.2,64621,149,62,1.0,4031.2584077088004,False,0.0050318870014087625,31,0.51,66030,32,10,1.0,770.9724902061407,False,0.0016965483477831167,0,0.2,97392,0,0,0.0,0.0,False,0.0,3,0.6980000000000002,93810,108,10,1.0,3458.137134907688,False,-0.019025499348469692,0.6666666666666666,400048,0.0,0.0,13,0,0,24,7,6.52542372881356,14,38,36,322.0,126.0,21,17,36,969,2.105710701085627,25.62881327327341
13,36,0,0,0,10.000000000000002,20,10.0,15.077434838743448,62,14.758064516129032,28.665760075739136,44,28.90909090909091,37.0,12,37.0,46,2.9550000000000005,35004.0,152,0,0.0,1520.0000000000002,False,-0.13309901830081203,0,0.56,42407,3,13,1.0,226.00665290366481,False,0.030663030576944254,0,0.2,63730,200,72,1.0,5079.421693201907,False,-0.0005020761262544348,34,0.8190000000000002,66190,23,10,1.0,633.4386020484907,False,0.0030725502771254414,0,0.2,97392,0,0,0.0,0.0,False,0.0,2,0.7150000000000001,92894,142,10,1.0,4440.537930754957,False,-0.023387249821571872,0.6666666666666666,397617,0.0,0.0,16,0,0,20,8,7.394736842105263,18,38,38,309.0,84.0,18,18,38,1111,1.842609690502286,27.471422963775694
14,38,0,0,0,10.000000000000002,20,10.0,14.716235099395053,15,8.0,28.665760075739136,0,,37.0,13,37.0,15,3.0590000000000006,34669.0,163,0,0.0,1630.0000000000002,False,-0.1398860744152224,0,0.56,42317,2,23,1.0,358.4734072860862,False,0.030086939853182504,0,0.2,63650,200,82,1.0,5293.83934608962,False,-9.170515595347736e-05,0,0.7850000000000001,66150,18,20,1.0,838.2074333038937,False,0.004013449114699979,0,0.2,97392,0,0,0.0,0.0,False,0.0,3,0.7430000000000001,93237,132,10,1.0,4153.880329997566,False,-0.021337069112465246,0.6666666666666666,397415,0.0,0.0,13,0,0,21,6,5.333333333333334,17,38,25,302.0,72.0,19,19,25,496,2.1043559461832047,29.5757789099589
15,25,0,0,0,10.000000000000002,20,10.0,14.610191257960418,5,9.0,28.665760075739136,0,,37.00000000000001,10,37.0,5,3.0940000000000003,34529.0,172,0,0.0,1720.0000000000002,False,-0.14218882559689736,0,0.56,42207,3,33,1.0,512.1363115126939,False,0.02928295129696628,0,0.2,63605,195,92,1.0,5486.237222270282,False,0.000680491246778301,0,0.7850000000000001,66150,8,30,1.0,976.8543323358575,False,0.005059004361309792,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,93607,122,10,1.0,3867.2227292401744,False,-0.019009658240717073,0.6666666666666666,397490,0.0,0.0,15,0,0,15,1,1.0,14,29,26,189.0,84.0,12,13,26,570,1.7643352840095758,31.340114193968475
16,26,0,0,0,10.000000000000002,20,10.0,15.47932924990897,40,20.75,29.652383839653908,21,37.80952380952381,37.00000000000001,10,37.0,10,3.189000000000001,34279.0,184,0,0.0,1840.0000000000002,False,-0.14679432796024725,0,0.56,42877,1,13,1.0,211.2312802488166,False,0.041876515334490556,0,0.2,64345,190,82,1.0,5372.568032334324,False,0.010984178938617603,0,0.7850000000000001,65374,33,39,1.0,1667.2608349934985,False,-0.0014383901558488793,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,93183,133,10,1.0,4313.76705067397,False,-0.02107068829742699,0.6666666666666666,397450,0.0,0.0,18,0,0,18,2,2.0,16,34,28,189.0,81.0,13,13,28,2114,3.1212761234492064,34.46139031741768
17,28,0,0,0,10.000000000000002,20,10.0,15.689510204665735,24,17.916666666666668,28.263819401157814,16,13.0625,37.00000000000001,7,37.0,10,3.2790000000000012,34029.0,196,0,0.0,1960.0000000000005,False,-0.15139983032359713,1,0.5700000000000001,43128,0,9,0.9,141.2055918419916,False,0.04711193300014536,0,0.2,64265,190,92,1.0,5581.278323793009,False,0.011351509915033996,0,0.7850000000000001,65233,37,33,1.0,1513.21791781084,False,-0.004726649489383328,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,93233,139,13,1.0,4409.670896760937,False,-0.020064939128671015,0.65,397280,0.0,0.0,16,0,0,18,3,2.071428571428571,13,31,29,237.0,117.0,14,14,29,668,1.5885588582605124,36.049949175678194
18,29,0,0,0,10.000000000000002,20,10.0,16.02803575016824,43,18.000000000000004,27.788224136638117,15,22.333333333333332,37.0,9,37.0,15,3.419000000000001,33734.0,204,0,0.0,2040.0000000000005,False,-0.15758089928493516,19,0.7590000000000001,43235,2,10,1.0,180.2803575016824,False,0.05017913413527679,0,0.2,64385,190,97,1.0,5740.7845337858635,False,0.014364240937709152,0,0.7850000000000001,64674,60,33,1.0,1878.6935415191522,False,-0.010401538832940137,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,93231,144,14,1.0,4519.5042756758885,False,-0.01952160200182822,0.6666666666666666,396651,0.0,0.0,17,0,0,20,5,4.357142857142858,14,34,35,237.0,104.0,14,15,35,868,1.7755874153226614,37.825536591000855
19,35,0,0,0,10.000000000000002,20,10.0,15.40933355182656,45,11.777777777777779,29.297388292466543,20,42.0,37.0,11,37.0,45,3.8540000000000005,32689.0,216,0,0.0,2160.0000000000005,False,-0.18145679311598595,0,0.7400000000000002,43155,0,20,1.0,308.1866710365312,False,0.04979016690142441,0,0.2,64735,220,87,1.0,5938.926162846432,False,0.02113724991966008,0,0.7850000000000001,64634,55,43,1.0,2107.301041926522,False,-0.009280869327733894,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.7400000000000002,92798,154,13,1.0,4992.797797039848,False,-0.021537714611878544,0.6666666666666666,395403,0.0,0.0,15,0,0,23,6,6.0,15,38,31,300.0,151.0,20,15,31,1447,1.8417055271565914,39.667242118157446
