index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,47.0,0,,0,0.2,50960,0,10,1.0,170.0,False,-0.0002937720329024677,0,0.2,50960,0,10,1.0,170.0,False,-0.0002937720329024677,0,0.2,75313,0,0,0.0,0.0,False,0.0,0,0.2,75313.0,0,0,0.0,0.0,False,0.0,0,0.2,117598,0,0,0.0,0.0,False,0.0,0,0.2,117598,0,0,0.0,0.0,False,0.0,0.3333333333333333,487742,0.0,0.0,8,0,0,0,0,0.0,1104,1104,156,0.0,0.0,0,0,156,200,2.6305818840046413,2.6305818840046413
1,156,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,47.0,0,,0,0.2,50840,2,20,1.0,360.0,False,-0.0007833920877399138,0,0.2,50880,0,18,0.8,306.0,False,-0.0005287896592244418,0,0.2,75313,0,0,0.0,0.0,False,0.0,0,0.2,75313.0,0,0,0.0,0.0,False,0.0,0,0.2,117598,0,0,0.0,0.0,False,0.0,0,0.2,117598,0,0,0.0,0.0,False,0.0,0.3,487542,0.0,0.0,8,0,0,101,0,0.0,67,168,70,2664.0,39.0,148,8,70,200,12.465404920978472,15.095986804983113
2,70,0,0,0,10.0,20,10.0,19.17142857142857,25,23.08,28.6,5,16.0,47.0,0,,2,0.22000000000000003,51248,2,10,1.0,211.71428571428572,False,0.005755134016003622,0,0.2,50807,0,25,1.0,479.2857142857143,False,-0.0002615970007274762,0,0.2,75286,0,3,0.3,85.80000000000001,False,0.0002111189303306757,5,0.25,74663.0,22,0,0.0,421.77142857142854,False,-0.005830524420940396,0,0.2,117518,0,5,0.5,235.0,False,0.0003188829742002415,0,0.2,117598,0,0,0.0,0.0,False,0.0,0.4666666666666666,487120,0.0,0.0,10,0,0,42,2,1.2222222222222223,10,52,47,195.0,120.0,35,35,47,552,15.149695669999346,30.24568247498246
3,47,0,0,0,10.0,20,10.0,19.969863013698628,10,25.0,28.6,0,,47.0,20,47.0,0,0.21800000000000003,51378,4,10,1.0,239.69863013698628,False,0.008575192226174998,0,0.2,50727,0,33,0.8,659.0054794520547,False,-6.849315068493229e-05,0,0.2,75286,0,3,0.0,85.80000000000001,False,0.0002111189303306757,0,0.24500000000000002,74413.0,32,0,0.0,639.0356164383561,False,-0.0077075961889821794,9,0.29000000000000004,117610,0,0,0.0,0.0,False,0.00010204255174407728,6,0.26,117518,0,0,0.0,0.0,False,-0.0006802836782938486,0.3,486932,0.0,0.0,13,0,0,29,6,6.0,11,40,42,186.0,90.0,22,25,42,685,8.60870718199294,38.8543896569754
4,42,0,0,0,10.0,20,10.0,21.31571906354515,24,25.0,27.11764705882353,6,16.0,47.0,20,47.0,3,0.24800000000000003,51570,1,10,1.0,223.15719063545149,False,0.012173493837009901,0,0.2,50872,3,32,1.0,712.1030100334448,False,0.0032912554840721355,0,0.2,75286,0,3,0.0,81.35294117647058,False,0.000181595084357785,6,0.30500000000000005,73693.0,56,0,0.0,1193.6802675585284,False,-0.013585435000872888,9,0.37100000000000005,117458,0,0,0.0,0.0,False,-0.001190496437014235,11,0.364,117212,0,6,0.6,282.0,False,-0.0020833687647749113,0.43333333333333335,486091,0.0,0.0,12,0,0,29,12,11.23076923076923,12,41,34,204.0,118.0,23,19,34,475,9.678857330989558,48.53324698796496
5,34,0,0,0,10.0,20,10.0,21.60968881796421,7,25.0,27.11764705882353,0,,47.0,20,47.0,0,0.24500000000000002,51645,1,13,1.0,290.92595463353473,False,0.014305972920422424,0,0.2,50772,3,42,1.0,937.6069303544967,False,0.003541000101395355,0,0.2,75286,0,3,0.0,81.35294117647058,False,0.000181595084357785,0,0.29900000000000004,73518.0,63,0,0.0,1361.410395531745,False,-0.014795517403823108,11,0.4720000000000001,117258,0,0,0.0,0.0,False,-0.0028912056327488563,3,0.38300000000000006,117460,0,0,0.0,0.0,False,-0.0011734893450568887,0.3333333333333333,485939,0.0,0.0,12,0,0,23,8,7.25,13,36,38,234.0,108.0,18,16,38,516,4.075499053986277,52.608746041951235
6,38,0,0,0,10.0,20,10.0,22.411999159638647,21,25.428571428571427,27.11764705882353,0,,47.00000000000001,20,47.0,0,0.24500000000000002,51855,0,11,1.0,246.53199075602512,False,0.01798405788049372,0,0.2,50896,4,43,1.0,1003.7159638644619,False,0.006616881745637154,0,0.2,75286,0,3,0.0,81.35294117647058,False,0.000181595084357785,0,0.29900000000000004,72984.0,84,0,0.0,1882.6079294096464,False,-0.018425717144386386,8,0.5410000000000001,117130,0,0,0.0,0.0,False,-0.003979659518019014,12,0.5,117223,0,0,0.0,0.0,False,-0.003188829742002415,0.3333333333333333,485374,0.0,0.0,12,0,0,18,10,10.0,16,34,37,174.0,134.0,13,25,37,734,2.68162609601859,55.290372137969825
7,37,0,0,0,10.0,20,10.0,22.982745565940018,20,25.55,25.832369942196532,6,16.0,47.00000000000001,20,47.0,0,0.24500000000000002,51990,0,11,0.9,252.8102012253402,False,0.0206894849317013,0,0.2,51072,5,42,1.0,1015.2753137694807,False,0.010177000722380354,0,0.2,75286,0,3,0.0,77.4971098265896,False,0.00015599637397657767,6,0.35900000000000004,72353.0,104,0,0.0,2390.205538857762,False,-0.02343416449445808,9,0.6230000000000001,116883,0,6,0.6,282.00000000000006,False,-0.004881035391758363,11,0.5980000000000001,117009,0,0,0.0,0.0,False,-0.0050085885814384595,0.4166666666666667,484593,0.0,0.0,11,0,0,17,11,11.0,16,33,21,144.0,116.0,13,24,21,711,2.6311940500163473,57.92156618798617
8,21,0,0,0,10.0,20,10.0,23.44882681518986,22,25.545454545454547,24.881647650357767,5,16.0,47.00000000000001,20,47.0,0,0.24500000000000002,52130,1,11,1.0,267.93709496708846,False,0.023579485849658095,0,0.2,51294,4,40,1.0,977.9530726075944,False,0.014159352454050039,0,0.2,75286,0,3,0.0,74.6449429510733,False,0.00013706095196757873,5,0.403,71691.0,126,0,0.0,2954.5521787139223,False,-0.02847747282199667,2,0.6340000000000001,117067,0,5,0.5,235.00000000000003,False,-0.0035162162621813296,12,0.7070000000000001,116774,0,0,0.0,0.0,False,-0.00700692188642664,0.4166666666666667,484242,0.0,0.0,13,0,0,15,8,7.666666666666667,15,30,16,156.0,27.0,12,9,16,997,1.854316336044576,59.77588252403075
9,16,0,0,0,10.000000000000002,20,10.0,23.709590636651544,22,25.0,22.94239070189288,13,16.0,47.0,20,47.0,0,0.24500000000000002,52250,0,12,0.9,284.51508763981855,False,0.02609200046650828,0,0.2,51524,6,36,1.0,913.5452629194556,False,0.018033149852325327,0,0.2,75286,0,3,0.0,68.82717210567864,False,9.843700360937852e-05,13,0.528,70821.0,148,0,0.0,3509.0194142244286,False,-0.03634817751102446,4,0.6720000000000002,117163,0,6,0.6,282.0,False,-0.0025000425177298933,11,0.8050000000000002,116457,0,7,0.7,329.0,False,-0.008303712648174288,0.5333333333333333,483501,0.0,0.0,15,0,0,14,8,8.0,12,26,17,162.0,35.0,9,7,17,985,1.6515314959688112,61.42741401999956
