index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,14,0,0,0,10.000000000000002,20,10.0,13.415742455032722,29,6.724137931034483,21.71112631624255,90,30.83333333333333,23.0,8,23.0,0,0.35300000000000004,12956,17,10,1.0,304.1574245503273,False,0.06207087281438701,19,0.9840000000000002,9980,93,0,0.0,930.0000000000001,False,-0.15370280343542375,9,0.29000000000000004,15916,115,10,1.0,1759.9216454911887,False,0.0554867606828124,25,1.5840000000000003,12668,11,0,0.0,147.57316700535995,False,-0.1992844477155357,0,0.2,18669,0,5,0.0,115.0,False,0.00200652790411472,8,0.8290000000000002,13769,221,0,0.0,4798.158915889603,False,-0.13488793097839366,0.3333333333333333,83958,0.0,0.0,12,0,0,8,15,14.3,16,24,14,84.0,41.0,7,7,14,1722,0.6465427856892347,13.96109625697136
11,14,0,0,0,10.000000000000002,20,10.0,13.851342059648438,15,18.333333333333332,21.526687254849726,16,19.5,23.0,9,23.0,5,0.403,13036,17,10,1.0,308.51342059648437,False,0.06872927485806539,0,0.9650000000000001,9880,103,0,0.0,1030.0000000000002,False,-0.15775401069518716,0,0.281,15841,120,15,1.0,1985.0613559805586,False,0.05784771432101291,11,1.6690000000000003,12486,11,0,0.0,152.36476265613283,False,-0.21057108142222924,0,0.2,18669,0,5,0.0,115.0,False,0.00200652790411472,9,0.911,13384,237,0,0.0,5101.824879399385,False,-0.1473640944031413,0.3333333333333333,83296,0.0,0.0,10,0,0,9,7,7.0,16,25,13,102.0,40.0,8,6,13,630,0.6204819520935416,14.5815782090649
12,13,0,0,0,10.000000000000002,20,10.0,14.989867495922145,51,18.3921568627451,23.583120374659412,36,33.44444444444444,22.999999999999996,13,23.0,25,0.6480000000000001,13186,17,10,1.0,319.89867495922147,False,0.08134413688864131,16,1.1250000000000002,9524,113,0,0.0,1130.0000000000002,False,-0.18254739912493922,17,0.45100000000000007,15897,151,10,1.0,2499.301195630838,False,0.0775247029356765,4,1.6980000000000004,12192,21,0,0.0,314.78721741436505,False,-0.223943090007718,0,0.2,18669,0,5,0.0,114.99999999999999,False,0.00200652790411472,13,1.032,12052,273,0,0.0,6438.191862282019,False,-0.1828831970067414,0.3333333333333333,81520,0.0,0.0,8,0,0,12,11,10.53125,15,27,18,118.0,34.0,9,4,18,450,0.6723144678398967,15.253892676904798
13,18,0,0,0,10.000000000000002,20,10.0,15.432750049457844,16,20.5,25.889592748850493,37,37.5945945945946,22.999999999999996,9,23.0,1,0.633,13355,19,10,1.0,344.32750049457843,False,0.09602687978020495,5,1.1590000000000005,9369,121,0,0.0,1210.0000000000002,False,-0.19186517582239507,27,0.7040000000000002,16620,146,10,1.0,2512.07743470935,False,0.12336069360615075,0,1.6940000000000004,11884,32,0,0.0,493.848001582651,False,-0.23767209195052316,0,0.2,18669,0,5,0.0,114.99999999999999,False,0.00200652790411472,9,1.1090000000000002,10596,310,0,0.0,8025.773752143653,False,-0.2183162889361749,0.3333333333333333,80493,0.0,0.0,10,0,0,11,6,4.934659090909091,17,28,22,118.0,50.0,11,7,22,375,0.7177679967135191,15.971660673618317
14,22,0,0,0,10.000000000000002,20,10.0,15.690545863063884,62,16.43548387096774,24.708533379001874,14,7.642857142857143,22.999999999999996,17,23.0,38,1.0120000000000002,13229,15,10,1.0,306.90545863063886,False,0.08430179300885746,14,1.2940000000000003,8977,135,0,0.0,1350.0000000000002,False,-0.21795495057527142,0,0.6770000000000002,15601,198,20,1.0,3600.8987484666864,False,0.0935366916504332,14,1.8340000000000003,11602,32,0,0.0,502.0974676180443,False,-0.255134246602839,0,0.2,18669,0,5,0.0,114.99999999999999,False,0.00200652790411472,17,1.2700000000000002,10268,324,0,0.0,8005.564814796608,False,-0.23640738362682312,0.3333333333333333,78346,0.0,0.0,9,0,0,14,17,16.166666666666668,18,32,18,168.0,24.0,14,8,18,200,1.4979355465620756,17.469596220180392
15,18,0,0,0,10.000000000000002,20,10.0,15.15361701393385,10,3.5,24.20687231612697,8,12.0,22.999999999999996,9,23.0,0,0.9740000000000002,13139,14,20,1.0,443.0723402786771,False,0.08252602253600208,10,1.3800000000000001,8692,146,0,0.0,1460.0000000000002,False,-0.2365905039701831,0,0.6770000000000002,15662,198,22,1.0,3532.9673597136953,False,0.09523557342153251,0,1.8200000000000003,11602,32,0,0.0,484.9157444458832,False,-0.25567411096443526,0,0.2,18669,0,5,0.0,114.99999999999999,False,0.00200652790411472,9,1.3430000000000002,10095,332,0,0.0,8036.6816089541535,False,-0.24483167614762283,0.3333333333333333,77859,0.0,0.0,9,0,0,6,6,6.0,17,23,23,56.0,43.0,6,12,23,296,0.7615719623863697,18.231168182566762
16,23,0,0,0,10.000000000000002,20,10.0,15.148762992071896,47,15.127659574468085,23.585849566827044,9,11.0,22.999999999999996,12,23.0,14,1.1140000000000003,13387,14,10,1.0,291.487629920719,False,0.09647899975371566,13,1.5000000000000002,8398,156,0,0.0,1560.0000000000002,False,-0.25636039539782857,0,0.6770000000000002,14951,235,32,1.0,4314.706489275361,False,0.07511803208934087,9,1.9100000000000004,11467,32,0,0.0,484.7604157463007,False,-0.264162621261035,0,0.2,18669,0,5,0.0,114.99999999999999,False,0.00200652790411472,12,1.4540000000000002,9875,341,0,0.0,8042.774702288022,False,-0.25644029369447213,0.3333333333333333,76747,0.0,0.0,10,0,0,12,11,10.583333333333334,18,30,18,140.0,56.0,12,11,18,430,0.8030738877132535,19.034242070280015
17,18,0,0,0,10.000000000000002,20,10.0,15.563382643031094,27,19.037037037037038,23.240960688234257,10,17.3,22.999999999999996,19,23.0,0,1.1,13607,13,10,1.0,285.63382643031093,False,0.11406716198469909,17,1.657,8169,167,0,0.0,1670.0000000000002,False,-0.2704585966618052,0,0.6770000000000002,14887,242,35,1.0,4579.772223701724,False,0.0794247540910489,3,1.9310000000000003,11118,42,0,0.0,653.6620710073059,False,-0.2807873414501569,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,14,1.582,9542,351,0,0.0,8157.577201570224,False,-0.2711868692393862,0.3333333333333333,76107,0.0,0.0,13,0,0,6,9,9.0,19,25,19,61.0,61.0,6,12,19,765,0.7040380062535405,19.738280076533556
18,19,0,0,0,10.000000000000002,20,10.0,14.645119217281819,19,3.6315789473684212,23.10831423126478,7,20.0,23.0,11,23.0,0,1.1,13507,13,20,1.0,422.9023843456364,False,0.11152578124881049,19,1.8300000000000003,7661,177,0,0.0,1770.0000000000002,False,-0.3075676551612381,0,0.6770000000000002,14818,251,45,1.0,4715.799063944652,False,0.07936275573256617,7,1.9980000000000004,11090,42,0,0.0,615.0950071258363,False,-0.2837587190622184,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,11,1.6780000000000004,9297,358,0,0.0,8272.776494792792,False,-0.28121417692779727,0.3333333333333333,75157,0.0,0.0,10,0,0,11,11,11.0,17,28,11,132.0,32.0,12,7,11,200,0.6541853742673993,20.392465450800955
19,11,0,0,0,10.000000000000002,20,10.0,15.009090560991321,14,20.785714285714285,23.639738741150165,5,40.0,22.999999999999996,10,23.0,0,1.1,13668,16,16,1.0,400.1454489758612,False,0.12364873800744862,0,1.8110000000000002,7591,184,0,0.0,1840.0000000000002,False,-0.31040350024307245,0,0.6770000000000002,14901,249,50,1.0,4919.250486744347,False,0.09097123379451862,0,1.9910000000000003,10916,48,0,0.0,720.4363469275834,False,-0.2913832606382334,0,0.2,18784,0,0,0.0,0.0,False,0.00508320402375729,10,1.7670000000000001,9005,363,0,0.0,8581.22516303751,False,-0.2885861960769032,0.3333333333333333,74865,0.0,0.0,12,0,0,7,5,5.0,15,22,11,72.0,15.0,6,5,11,691,0.46045272797346115,20.852918178774416
