index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,29.0,0,,40.0,0,,0,0.2,18900,0,9,0.9,162.0,False,-0.00047393364928909954,0,0.2,18880,11,0,0.0,110.0,False,-0.0028962611901000527,0,0.2,31537,0,0,0.0,0.0,False,0.0,0,0.2,31537.0,0,0,0.0,0.0,False,0.0,0,0.2,48221,0,0,0.0,0.0,False,0.0,0,0.2,48221,0,0,0.0,0.0,False,0.0,0.15,197296,0.0,0.0,10,0,0,0,0,0.0,574,574,80,0.0,0.0,0,0,80,200,2.5451622290420346,2.5451622290420346
1,80,0,0,0,10.0,20,10.0,16.641509433962263,8,9.0,26.071428571428573,11,14.090909090909092,40.0,0,,0,0.2,18820,0,17,0.8,282.90566037735846,False,-0.0015032738183950241,8,0.28,18656,23,0,0.0,230.0,False,-0.011532385466034755,0,0.2,31465,0,8,0.8,208.57142857142858,False,0.001023740821438747,11,0.31000000000000005,31297.0,0,0,0.0,0.0,False,-0.007610108761137711,0,0.2,48221,0,0,0.0,0.0,False,0.0,0,0.2,48066,11,0,0.0,286.7857142857143,False,-0.0002407072200316239,0.26666666666666666,196525,0.0,0.0,10,0,0,16,3,3.0,76,92,58,1332.0,108.0,74,6,58,200,6.99872095300816,9.543883182050195
2,58,0,0,0,10.0,20,10.0,12.768619662363456,53,9.283018867924529,20.512572533849127,53,15.226415094339623,40.0,0,,0,0.2,18810,0,18,0.9,229.8351539225422,False,-0.003427194472813573,45,0.7220000000000002,17248,34,0,0.0,340.0,False,-0.08278041074249605,0,0.2,31315,5,18,1.0,433.0694039211016,False,-0.0001732979687176779,53,0.8290000000000002,28237.0,38,0,0.0,485.20754716981133,False,-0.09694632420379536,0,0.2,47638,29,10,1.0,994.8646034816247,False,-0.0017744903311667191,0,0.2,47842,25,0,0.0,512.8143133462282,False,-0.002542312339579965,0.48333333333333334,191090,0.0,0.0,11,0,0,12,12,12.0,35,47,21,510.0,143.0,30,28,21,280,3.2498363399645314,12.793719522014726
3,21,0,0,0,10.0,20,10.0,12.44888366627497,20,11.0,19.34191588037742,32,15.9375,40.0,20,40.0,0,0.2,18700,1,28,1.0,358.56874265569917,False,-0.005830206881103269,20,0.8770000000000002,16938,43,0,0.0,430.0,False,-0.09673512374934176,0,0.2,31315,0,23,0.5,444.8640652486807,False,1.369923024826796e-05,32,1.0960000000000003,26856.0,58,0,0.0,722.0352526439483,False,-0.1369813987911985,0,0.2,47743,30,13,1.0,1100.2574764113226,False,0.0014957951557549958,13,0.33000000000000007,47273,46,0,0.0,889.7281304973613,False,-0.01043395895463223,0.4166666666666667,188825,0.0,0.0,13,0,0,8,13,13.0,22,30,22,165.0,77.0,10,11,22,480,1.6864731239620596,14.480192645976786
4,22,0,0,0,10.0,20,10.0,13.461055307902681,20,18.5,18.677054000653424,16,14.0,40.0,20,40.0,0,0.2,18870,2,28,1.0,396.90954862127506,False,0.004131373054799248,10,0.9570000000000003,16718,52,0,0.0,520.0,False,-0.10595050026329647,0,0.2,31315,0,23,0.0,429.57224201502873,False,-0.0002287433488437889,16,1.2240000000000002,26070.0,78,0,0.0,1049.9623140164092,False,-0.1567054203948313,0,0.2,47939,26,16,1.0,1125.603404016989,False,0.005823224363005647,13,0.44700000000000006,46885,56,0,0.0,1045.9150240365918,False,-0.016860755438122547,0.3333333333333333,187797,0.0,0.0,15,0,0,17,10,10.0,19,36,20,225.0,51.0,15,7,20,760,1.9246542920009233,16.40484693797771
5,20,0,0,0,10.0,20,10.0,15.084084416913477,16,26.0,17.794982121457984,29,14.275862068965518,40.0,20,40.0,0,0.2,19196,1,22,1.0,341.8498571720965,False,0.01984860076809108,0,0.9470000000000003,16608,63,0,0.0,630.0,False,-0.10884676145339653,0,0.2,31315,0,23,0.0,409.28458879353366,False,-0.0005503917811850724,29,1.4980000000000002,24609.0,94,0,0.0,1417.9039351898668,False,-0.1971984663222585,0,0.2,48315,20,15,1.0,955.8996424291597,False,0.011861011202890384,9,0.5240000000000001,46421,81,0,0.0,1441.3935518380968,False,-0.02238243139049284,0.3333333333333333,186464,0.0,0.0,13,0,0,13,8,8.0,20,33,19,222.0,49.0,14,6,19,1056,2.1032677559996955,18.508114693977404
6,19,0,0,0,10.0,20,10.0,18.29894341116917,48,25.75,19.270460076337443,66,22.181818181818183,40.0,20,40.0,22,0.42000000000000004,19742,0,10,1.0,182.9894341116917,False,0.04441783660115031,4,0.9870000000000001,16446,74,0,0.0,740.0,False,-0.11448130595050027,0,0.2,32071,0,5,0.0,96.35230038168721,False,0.01846009925455319,48,1.9490000000000003,21036.0,142,0,0.0,2598.449964386022,False,-0.29177711950429613,0,0.2,48105,25,18,1.0,1201.761501908436,False,0.010055385640161271,13,0.6450000000000002,45207,132,0,0.0,2543.7007300765426,False,-0.03612844269015014,0.3333333333333333,182607,0.0,0.0,18,0,0,13,15,14.428571428571429,22,35,22,234.0,48.0,13,6,22,1628,2.014712870994117,20.52282756497152
7,22,0,0,0,10.0,20,10.0,16.23054227840107,41,9.0,18.70449463169274,34,15.764705882352942,40.0,20,40.0,0,0.398,19652,0,19,0.9,308.3803032896204,False,0.042979997453649756,41,1.3930000000000002,15590,85,0,0.0,850.0,False,-0.15666140073723012,0,0.2,32071,0,5,0.0,93.5224731584637,False,0.018415234060919876,34,2.241000000000001,19415.0,183,0,0.0,2970.189236947396,False,-0.3372833618139425,0,0.2,48409,19,19,1.0,1115.385398002162,False,0.01546406542794806,11,0.7420000000000002,44547,162,0,0.0,3030.128130334224,False,-0.044771695627068855,0.31666666666666665,179684,0.0,0.0,15,0,0,15,12,12.0,19,34,21,246.0,30.0,17,5,21,560,1.8513569579808973,22.37418452295242
8,21,0,0,0,10.0,20,10.0,15.856242351352368,55,14.727272727272727,18.175764277746897,24,14.0,40.0,20,40.0,0,0.398,20000,0,13,1.0,206.1311505675808,False,0.058613247776924275,39,1.7420000000000002,14714,95,0,0.0,950.0,False,-0.20015797788309636,0,0.2,32071,0,5,0.0,90.87882138873448,False,0.018373320566140265,24,2.447000000000001,17849.0,238,0,0.0,3773.7856796218634,False,-0.3741987874619992,0,0.2,48753,13,19,1.0,996.2849356107097,False,0.02136294286317894,10,0.8310000000000002,44119,182,0,0.0,3307.989098549935,False,-0.05076637669739391,0.3333333333333333,177506,0.0,0.0,13,0,0,12,10,10.0,18,30,14,147.0,36.0,14,7,14,1048,1.5546851310064085,23.928869653958827
9,14,0,0,0,10.000000000000002,20,10.0,15.562334329702558,47,14.319148936170214,17.735594111042506,28,14.714285714285714,40.0,20,40.0,5,0.44800000000000006,20208,1,10,1.0,165.6233432970256,False,0.0684998247313593,29,1.993,14050,104,0,0.0,1040.0000000000002,False,-0.23275408109531331,0,0.2,32071,0,5,0.0,88.67797055521253,False,0.018338427411535827,28,2.7030000000000007,16207.0,285,0,0.0,4435.265283965229,False,-0.41577725712710106,0,0.2,49067,12,18,1.0,932.8271293325101,False,0.02721663932034289,9,0.911,43707,201,0,0.0,3564.854416319544,False,-0.056646954477099734,0.3333333333333333,175310,0.0,0.0,15,0,0,6,13,12.071428571428571,19,25,15,126.0,51.0,7,7,15,640,0.9755563119542785,24.904425965913106
