index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,20.130452127440606,30,21.133333333333333,16.60572559960237,46,17.52173913043478,35.99999999999999,13,36.0,13,0.3480000000000001,19813,0,9,0.9,181.17406914696545,False,0.05662191615296936,0,0.4790000000000001,19613,8,13,1.0,341.6958776567279,False,0.05026532562660525,0,0.2,37478,27,45,1.0,1290.779859423003,False,-0.012705497236455728,41,2.2840000000000007,28311,140,0,0.0,2818.263297841685,False,-0.230327558685429,0,0.2,48148,0,15,0.5,539.9999999999999,False,-0.0017524689194482815,13,0.9420000000000002,43859,236,0,0.0,3918.951241506159,False,-0.05534759456625197,0.5666666666666667,197222,0.0,0.0,12,0,0,13,15,14.23076923076923,27,40,21,222.0,87.0,14,9,21,510,1.706540382001549,22.227456359076314
11,21,0,0,0,10.000000000000002,20,10.0,19.878324057324225,65,19.2,17.113183739980467,24,20.916666666666664,35.99999999999999,7,36.0,30,0.6350000000000001,19775,0,8,0.8,159.0265924585938,False,0.05401673813395421,13,0.6090000000000001,19761,10,10,1.0,298.78324057324227,False,0.05698315126010619,0,0.2,37308,47,48,1.0,1755.7140502133009,False,-0.011087765445003147,17,2.4130000000000007,27097,175,0,0.0,3478.7067100317395,False,-0.2532150682390877,0,0.2,48148,0,15,0.0,539.9999999999999,False,-0.0017524689194482815,7,0.9990000000000003,43276,260,0,0.0,4449.427772394922,False,-0.06189897766741315,0.4666666666666666,195365,0.0,0.0,13,0,0,13,11,10.077777777777778,21,34,22,159.0,54.0,13,8,22,634,1.271410151035525,23.49886651011184
12,22,0,0,0,10.000000000000002,20,10.0,20.14771959644607,26,22.384615384615383,18.721539276120772,22,32.13636363636363,36.0,7,36.0,18,0.7850000000000001,19903,0,7,0.7,141.03403717512248,False,0.06033428988626434,0,0.5960000000000001,19631,13,20,1.0,532.9543919289214,False,0.05629756309202423,0,0.2,37595,55,37,1.0,1800.8215310210026,False,-0.0030711460736907972,1,2.4060000000000006,26903,183,0,0.0,3687.032686149631,False,-0.2555416081453666,0,0.2,48148,0,15,0.0,540.0,False,-0.0017524689194482815,7,1.0620000000000003,42490,282,0,0.0,5279.474075866058,False,-0.06954751174292247,0.45,194670,0.0,0.0,17,0,0,17,7,7.0,22,39,16,249.0,60.0,17,5,16,1069,1.3718084580032155,24.870674968115054
13,16,0,0,0,10.000000000000002,20,10.0,20.032936917325973,30,19.2,18.224434466012767,22,14.045454545454545,36.0,12,36.0,11,0.8770000000000002,19981,2,10,1.0,220.32936917325972,False,0.0665798526616038,0,0.5960000000000001,19731,11,18,1.0,470.5928645118675,False,0.059950970550296474,0,0.2,37173,68,47,1.0,2218.7881302807664,False,-0.008587712613549937,22,2.6250000000000004,26171,190,0,0.0,3806.2580142919346,False,-0.27295465356746346,0,0.2,48148,0,15,0.0,540.0,False,-0.0017524689194482815,12,1.1750000000000003,41992,304,0,0.0,5540.228077667881,False,-0.07712689856639918,0.5,193196,0.0,0.0,13,0,0,12,10,10.0,18,30,12,120.0,48.0,10,6,12,534,1.2902194409980439,26.160894409113098
14,12,0,0,0,10.000000000000002,20,10.0,20.254608263916626,18,23.0,20.329701392010698,30,33.4,36.0,7,36.0,8,0.9460000000000002,20111,6,10,1.0,262.5460826391663,False,0.07460174344744823,0,0.5960000000000001,19671,7,28,1.0,637.1290313896656,False,0.06118620351939449,0,0.2,37656,76,34,1.0,2230.560075386027,False,0.004073135072590509,7,2.673000000000001,26052,190,0,0.0,3848.375570144159,False,-0.2754910709827503,0,0.2,48148,0,15,0.0,540.0,False,-0.0017524689194482815,7,1.233,40911,334,0,0.0,6790.120264931573,False,-0.0865294902899659,0.5,192549,0.0,0.0,13,0,0,7,6,5.7272727272727275,20,27,16,78.0,19.0,6,6,16,1258,1.0326453459565528,27.19353975506965
15,16,0,0,0,10.000000000000002,20,10.0,20.254608263916626,0,,20.76157155718669,17,25.705882352941178,36.0,13,36.0,0,0.9380000000000002,20031,4,20,1.0,445.0921652783325,False,0.07520019550030071,0,0.5960000000000001,19551,9,38,1.0,859.6751140288318,False,0.060722915380072,0,0.2,37943,66,37,1.0,2104.9822930344053,False,0.009879607047112562,10,2.7660000000000005,25882,190,0,0.0,3848.375570144159,False,-0.27989361928129486,0,0.2,48148,0,15,0.0,540.0,False,-0.0017524689194482815,13,1.356,40251,351,0,0.0,7287.311616572529,False,-0.09501152901292165,0.5,191806,0.0,0.0,14,0,0,11,9,9.0,19,30,14,162.0,36.0,9,7,14,487,0.94817851803964,28.14171827310929
16,14,0,0,0,10.000000000000002,20,10.0,20.21085051725733,45,20.0,21.00289018759606,13,24.53846153846154,36.0,13,36.0,12,1.0580000000000003,20412,3,10,1.0,232.1085051725733,False,0.08977301335596366,0,0.5960000000000001,19630,10,35,1.0,807.3797681040065,False,0.06352868737336118,0,0.2,37755,78,42,1.0,2458.5677282251063,False,0.009589368211336725,8,2.8360000000000007,25219,213,0,0.0,4304.911160175811,False,-0.29115202827762193,0,0.2,48148,0,15,0.0,540.0,False,-0.0017524689194482815,13,1.473,39721,364,0,0.0,7645.052028284966,False,-0.10225087078855988,0.5,190885,0.0,0.0,18,0,0,7,9,8.444444444444445,20,27,19,90.0,56.0,5,9,19,926,0.756143395032268,28.89786166814156
17,19,0,0,0,10.000000000000002,20,10.0,20.304390365017113,13,22.0,21.00289018759606,0,,36.0,12,36.0,0,1.0460000000000003,20342,0,20,1.0,406.08780730034226,False,0.0906749431252413,0,0.5960000000000001,19786,13,32,1.0,779.7404916805476,False,0.07107661760579037,0,0.2,37755,68,52,1.0,2472.848834576159,False,0.00977428956565181,0,2.8280000000000007,24933,226,0,0.0,4588.7922224938675,False,-0.294882785744887,0,0.2,48148,0,15,0.0,540.0,False,-0.0017524689194482815,12,1.5800000000000003,39533,364,0,0.0,7645.052028284966,False,-0.10612691969275137,0.5,190497,0.0,0.0,11,0,0,7,6,6.0,25,32,22,147.0,60.0,9,10,22,486,1.0238816359778866,29.921743304119445
18,22,0,0,0,10.000000000000002,20,10.0,19.415665059523064,31,13.0,22.1269090005037,25,30.36,36.0,8,36.0,0,1.0460000000000003,20545,0,13,0.9,252.40364577379984,False,0.09737228979598123,0,0.5960000000000001,19786,14,27,1.0,664.2229566071228,False,0.06801037735857954,0,0.2,38229,78,46,1.0,2532.2596886659694,False,0.022818921746853134,9,2.918000000000001,24527,237,0,0.0,4601.512619106967,False,-0.3052323947388646,0,0.2,48184,0,14,0.0,504.0,False,-0.0013813578541533513,7,1.6380000000000003,38691,389,0,0.0,8607.36760119594,False,-0.11356650515230056,0.48333333333333334,189962,0.0,0.0,19,0,0,10,6,6.0,21,31,30,183.0,93.0,11,11,30,1263,1.097667581983842,31.019410886103287
19,30,0,0,0,10.000000000000002,20,10.0,19.777250568971013,49,21.46938775510204,23.18367763249608,33,29.181818181818183,36.0,15,36.0,11,1.1560000000000004,20799,0,10,1.0,197.77250568971013,False,0.10940628830731301,0,0.5960000000000001,20186,14,12,1.0,377.3270068276522,False,0.0816299571807521,0,0.2,38693,85,36,1.0,2515.678693132395,False,0.03462058700383783,13,3.039000000000001,23502,269,0,0.0,5320.080403053203,False,-0.3224726730842026,0,0.2,48328,0,10,0.0,360.0,False,0.0001030864070263695,11,1.741,37567,422,0,0.0,9783.511960913347,False,-0.12461587983306868,0.5,189075,0.0,0.0,19,0,0,14,8,7.916666666666666,25,39,30,243.0,89.0,16,14,30,1900,1.3504972250084393,32.36990811111173
