index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,29.0,0,,34.0,0,,0,0.2,50939,0,8,0.8,136.0,False,-0.0002352064916991709,0,0.2,50899,12,0,0.0,120.0,False,-0.0011760324584958544,0,0.2,82359,0,0,0.0,0.0,False,0.0,0,0.2,82359,0,0,0.0,0.0,False,0.0,0,0.2,121171,0,0,0.0,0.0,False,0.0,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.13333333333333333,508898,0.0,0.0,10,0,0,388,0,0.0,1146,1534,198,0.0,0.0,0,0,198,200,4.462138121016324,4.462138121016324
1,198,0,0,0,10.0,20,10.0,17.0,0,,29.0,0,,34.0,0,,0,0.2,50839,0,18,1.0,306.0,False,-0.0005292146063231346,0,0.2,50799,22,0,0.0,220.0,False,-0.0021560595072424,0,0.2,82359,0,0,0.0,0.0,False,0.0,0,0.2,82359,0,0,0.0,0.0,False,0.0,0,0.2,121171,0,0,0.0,0.0,False,0.0,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.16666666666666666,508698,0.0,0.0,12,0,0,48,0,0.0,38,86,39,1098.0,1371.0,61,137,39,200,11.398723602003884,15.860861723020207
2,39,0,0,0,10.0,20,10.0,16.82608695652174,1,9.0,29.0,0,,34.0,0,,0,0.2,50759,0,26,0.8,437.4782608695652,False,-0.0008087353645742984,1,0.21000000000000002,50667,34,0,0.0,340.0,False,-0.003567298457437425,0,0.2,82350,0,1,0.1,29.0,False,6.678080112677425e-05,0,0.2,82359,0,0,0.0,0.0,False,0.0,0,0.2,121171,0,0,0.0,0.0,False,0.0,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.15,508477,0.0,0.0,12,0,0,14,1,1.0,18,32,41,102.0,109.0,9,30,41,200,1.9973124070093036,17.85817413002951
3,41,0,0,0,10.0,20,10.0,18.191176470588236,13,22.53846153846154,29.0,0,,34.0,7,34.0,0,0.2,50934,0,25,1.0,454.7794117647059,False,0.002790915264555352,2,0.229,50543,44,0,0.0,440.0,False,-0.005017738489582312,0,0.2,82341,0,2,0.1,58.0,False,0.0001335616022535485,0,0.2,82075,2,10,1.0,326.38235294117646,False,-0.0014668563669958672,7,0.27,121096,0,0,0.0,0.0,False,-0.0006189599821739525,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.35000000000000003,508160,0.0,0.0,12,0,0,24,6,6.0,21,45,33,266.0,91.0,21,20,33,475,2.042798626003787,19.900972756033298
4,33,0,0,0,10.0,20,10.0,20.12593383137673,26,23.76923076923077,29.0,0,,34.0,8,34.0,0,0.2,51414,2,11,1.0,241.38527214514403,False,0.010107854643810544,2,0.24700000000000003,50439,52,0,0.0,520.0,False,-0.00627217311197789,0,0.2,82032,3,12,1.0,408.3778014941302,False,-0.001491167926431113,0,0.2,81766,5,20,1.0,680.6296691568837,False,-0.0030680941417641915,8,0.3430000000000001,121002,0,0,0.0,0.0,False,-0.001394723159831973,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.5,507824,0.0,0.0,13,0,0,22,7,7.0,16,38,26,111.0,78.0,12,21,26,800,1.8729900059988722,21.77396276203217
5,26,0,0,0,10.0,20,10.0,19.836046301320305,21,18.904761904761905,24.384615384615383,20,14.0,34.0,9,34.0,6,0.26,51541,2,10,1.0,218.36046301320306,False,0.01237147399021152,4,0.28500000000000003,50289,62,0,0.0,620.0,False,-0.008232227209470982,0,0.2,82136,0,9,0.7,219.46153846153845,False,-0.0013753109043241677,0,0.2,81545,12,20,1.0,725.7248633081513,False,-0.005477696042277336,9,0.42500000000000004,120611,10,10,1.0,583.8461538461538,False,-0.002212385167052529,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6166666666666667,507293,0.0,0.0,15,0,0,17,10,9.153846153846153,12,29,30,99.0,72.0,7,19,30,480,2.534608907008078,24.308571669040248
6,30,0,0,0,10.0,20,10.0,20.769326119496064,23,24.0,24.384615384615383,0,,34.00000000000001,10,34.0,11,0.364,51704,6,10,1.0,267.69326119496066,False,0.016049836935210015,2,0.30100000000000005,50205,68,0,0.0,680.0,False,-0.00929065642211725,0,0.2,81836,2,19,1.0,504.8463445466844,False,-0.0032853340585322984,0,0.2,81293,13,30,1.0,1001.5397010919104,False,-0.006863004036644985,0,0.41600000000000004,120951,0,10,1.0,340.00000000000006,False,-0.00041263998811596835,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,507160,0.0,0.0,15,0,0,14,2,1.9166666666666665,12,26,28,78.0,87.0,6,24,28,774,1.482340418966487,25.790912088006735
7,28,0,0,0,10.0,20,10.0,19.75947789488237,28,16.428571428571427,28.36551724137931,14,45.0,34.0,11,34.0,0,0.35300000000000004,51564,10,20,1.0,495.1895578976474,False,0.015535286441302795,28,0.5790000000000002,49973,74,0,0.0,740.0,False,-0.013249965699053293,0,0.2,81836,0,21,0.2,595.6758620689656,False,-0.0027339096997961378,0,0.2,81463,31,26,1.0,1350.0472630172155,False,-0.0026830870759891735,1,0.42600000000000005,120654,4,10,1.0,453.46206896551723,False,-0.0023955316496293956,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.5333333333333333,506661,0.0,0.0,21,0,0,17,3,3.0,14,31,29,136.0,57.0,9,19,29,1170,1.558713742007967,27.349625830014702
8,29,0,0,0,10.0,20,10.0,20.334784598517786,11,26.0,29.21083032490975,4,43.0,33.99999999999999,9,34.0,0,0.35300000000000004,51740,11,19,1.0,496.3609073718379,False,0.018996461194573,0,0.5510000000000002,49883,83,0,0.0,830.0,False,-0.014131990042925185,0,0.2,81550,1,31,1.0,925.8705246707201,False,-0.004201905531449356,0,0.2,81635,21,32,1.0,1361.7770469659854,False,-0.0005234579890115948,0,0.42500000000000004,120788,0,9,0.8,305.99999999999994,False,-0.0018981439453334545,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6333333333333333,506767,0.0,0.0,18,0,0,14,0,0.0,17,31,31,132.0,75.0,9,20,31,964,1.7000961829908192,29.04972201300552
9,31,0,0,0,10.000000000000002,20,10.0,19.725636959336047,24,17.0,33.593644431720584,25,44.52,33.99999999999999,11,34.0,0,0.35300000000000004,51630,12,29,1.0,692.0434718207454,False,0.018758143748610713,24,0.7910000000000001,49697,92,0,0.0,920.0000000000001,False,-0.016895666320390443,0,0.2,82083,15,20,1.0,967.7574430244524,False,0.0025240559199629473,0,0.2,81807,11,38,1.0,1493.5404949580786,False,0.002364893302238276,2,0.44500000000000006,119967,15,10,1.0,843.9046664758087,False,-0.0064540827983766485,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,506355,0.0,0.0,19,0,0,19,2,2.0,12,31,33,130.0,90.0,11,20,33,1619,1.707833144988399,30.75755515799392
10,33,0,0,0,10.000000000000002,20,10.0,18.974310108270398,45,17.0,35.40636594121043,21,42.19047619047619,33.99999999999999,8,34.0,0,0.35300000000000004,51560,9,39,1.0,829.9980942225455,False,0.01873809849489947,45,1.217,48969,105,0,0.0,1050.0000000000002,False,-0.029890824986769635,0,0.2,82423,27,13,1.0,972.5891301590364,False,0.006681656711221791,0,0.2,81588,24,44,1.0,2013.2635440117483,False,0.0028610324555406494,0,0.44300000000000006,119353,26,12,1.0,1328.565514471471,False,-0.009521397386868686,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,505064,0.0,0.0,20,0,0,22,2,2.0,16,38,34,213.0,111.0,16,17,34,1358,2.0638742999872193,32.82142945798114
11,34,0,0,0,10.000000000000002,20,10.0,19.200224585629343,34,20.176470588235293,35.773484846462125,4,44.0,33.99999999999999,9,34.0,0,0.35300000000000004,51762,10,37,1.0,810.4083096682857,False,0.022505422584412554,22,1.3920000000000001,48791,114,0,0.0,1140.0000000000002,False,-0.03249769693643544,0,0.2,82599,17,19,1.0,1006.1000300384792,False,0.00902208641459025,0,0.2,80902,48,54,1.0,2853.378961819163,False,-0.0003680292268048067,0,0.44300000000000006,119483,20,13,1.0,1157.4696969292422,False,-0.009154543178940332,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,504708,0.0,0.0,17,0,0,14,1,1.0,22,36,32,252.0,150.0,14,20,32,994,1.75836385297589,34.57979331095703
12,32,0,0,0,10.000000000000002,20,10.0,18.599721796432874,68,17.16176470588235,36.84834253604908,17,42.1764705882353,33.99999999999999,11,34.0,0,0.35300000000000004,51952,11,35,1.0,760.9902628751506,False,0.025745215144114392,56,1.9300000000000006,47549,123,0,0.0,1230.0000000000002,False,-0.05595954448342774,0,0.2,82168,35,29,1.0,1719.592196420574,False,0.008120498041626067,0,0.2,80883,78,47,1.0,3182.6503993160713,False,0.0014002744042307044,0,0.44300000000000006,119140,27,12,1.0,1402.9052484733252,False,-0.010972488266692067,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,502863,0.0,0.0,22,0,0,16,5,5.0,19,35,31,201.0,134.0,12,20,31,1591,1.7330364130320959,36.312829723989125
13,31,0,0,0,10.000000000000002,20,10.0,18.449374975268707,25,17.2,37.2098697582373,5,43.8,33.999999999999986,8,34.0,0,0.35300000000000004,52132,13,33,1.0,738.8293741838673,False,0.029056129816184866,13,2.0040000000000004,47326,131,0,0.0,1310.0000000000002,False,-0.0595464434818401,0,0.2,82387,25,34,1.0,1726.3699461617862,False,0.010820735718997195,0,0.2,80453,93,57,1.0,3836.754448919516,False,0.0001502838118452624,0,0.44300000000000006,119193,22,14,1.0,1294.6171346812205,False,-0.010981929939171776,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,502662,0.0,0.0,17,0,0,18,1,1.0,17,35,26,177.0,111.0,14,17,26,991,1.7527394730132073,38.06556919700233
14,26,0,0,0,10.000000000000002,20,10.0,18.26584957449998,28,16.892857142857142,36.06337979810538,19,30.842105263157894,33.99999999999999,9,34.0,0,0.35300000000000004,52327,16,30,1.0,707.9754872349995,False,0.032575858868607796,15,2.1410000000000005,47076,138,0,0.0,1380.0000000000002,False,-0.06376055979145025,0,0.2,82585,17,39,1.0,1716.9912548926095,False,0.013167906694426886,0,0.2,80368,109,53,1.0,3902.3367329200833,False,-0.00048363425417935734,0,0.44300000000000006,118913,31,15,1.0,1627.9647737412665,False,-0.011917188214419045,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,502440,0.0,0.0,19,0,0,16,2,2.0,13,29,26,111.0,132.0,7,19,26,1417,1.5269338010111824,39.592502998013515
15,26,0,0,0,10.000000000000002,20,10.0,18.179945916425396,2,9.0,38.41921046552159,34,45.0,33.99999999999999,9,34.0,0,0.35300000000000004,52197,19,40,1.0,917.1978366570158,False,0.03207822415822548,2,2.1460000000000004,46982,145,0,0.0,1450.0000000000002,False,-0.06491699170897117,0,0.2,82567,9,49,1.0,2046.1608260583864,False,0.014947733860649043,0,0.2,81898,99,29,1.0,2913.9717492262403,False,0.01209322447593003,0,0.44300000000000006,117689,55,16,1.0,2657.056575603687,False,-0.01777217083459039,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,502504,0.0,0.0,20,0,0,20,1,1.0,13,33,34,165.0,108.0,10,16,34,2036,1.7718755379901268,41.36437853600364
16,34,0,0,0,10.000000000000002,20,10.0,18.08634648797527,2,9.0,38.746796753837934,8,43.5,33.99999999999999,8,34.0,0,0.35300000000000004,52077,21,50,1.0,1114.3173243987635,False,0.03165798353945363,2,2.1640000000000006,46878,153,0,0.0,1530.0000000000002,False,-0.06617142633136675,0,0.2,82739,0,54,0.9,2092.3270247072483,False,0.01731642579868169,0,0.2,82056,91,35,1.0,3001.995416790077,False,0.014546044857210944,0,0.44300000000000006,117613,53,18,1.0,2665.5802279534105,False,-0.018364211618483752,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.65,502534,0.0,0.0,18,0,0,23,1,1.0,17,40,33,225.0,133.0,15,19,33,820,1.8535355780040845,43.217914114007726
17,33,0,0,0,10.000000000000002,20,10.0,18.390797059443468,16,21.75,39.122024129113804,9,43.77777777777778,33.99999999999999,14,34.0,0,0.35300000000000004,52327,19,46,1.0,1035.9766647343995,False,0.035790359128308996,2,2.1820000000000004,46734,165,0,0.0,1650.0000000000002,False,-0.06781787177326094,0,0.2,82603,2,60,1.0,2384.103041865715,False,0.01743648564131253,0,0.2,82238,85,40,1.0,3128.098715217247,False,0.01752145312119659,0,0.44300000000000006,117695,52,14,1.0,2510.3452547139177,False,-0.018328043613100777,0,0.2,121171,0,0,0.0,0.0,False,0.0,0.6666666666666666,502768,0.0,0.0,26,0,0,21,1,1.0,15,36,37,212.0,131.0,14,19,37,1400,2.1219217409961857,45.33983585500391
