index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,24,0,0,0,10.000000000000002,20,10.0,23.074451534074296,16,35.0,11.872770870714707,10,11.9,41.00000000000001,20,41.0,0,0.2,49964,10,11,1.0,353.81896687481725,False,0.045887851388944995,0,0.8750000000000002,45495,100,0,0.0,1000.0000000000002,False,-0.04059156045973175,0,0.2,76365,0,1,0.0,11.872770870714707,False,0.005462851985825449,10,1.326,67467.0,163,0,0.0,3761.13560005411,False,-0.0870034256671355,9,0.45200000000000007,101539,0,8,0.8,328.00000000000006,False,0.013230386052303861,0,0.29900000000000004,102630,0,4,0.2,164.00000000000003,False,0.0232826899128269,0.3333333333333333,443460,0.0,0.0,13,0,0,16,7,6.666666666666667,12,28,22,116.0,44.0,14,10,22,1170,1.452385260956362,23.826768994913436
11,22,0,0,0,10.000000000000002,20,10.0,22.927239139844808,1,4.0,11.482106475630959,5,4.0,41.0,20,41.0,0,0.2,49884,8,21,1.0,561.472021936741,False,0.04638484827117441,1,0.8850000000000002,45356,112,0,0.0,1120.0000000000002,False,-0.04223941928620596,0,0.2,76365,0,1,0.0,11.482106475630959,False,0.005460280336481813,5,1.366,67296.0,164,0,0.0,3760.0672189345487,False,-0.08926176194813751,2,0.463,101849,0,1,0.1,41.0,False,0.014889165628891657,6,0.35900000000000004,102710,0,4,0.4,164.0,False,0.02407970112079701,0.25,443460,0.0,0.0,10,0,0,14,7,6.5,11,25,18,85.0,29.0,11,11,18,610,2.5881027650320902,26.414871759945527
12,18,0,0,0,10.000000000000002,20,10.0,23.40971970704684,14,27.428571428571427,13.430036374207688,45,17.355555555555554,41.00000000000001,20,41.0,0,0.2,50033,9,24,1.0,651.8332729691242,False,0.05043525659632796,7,0.9540000000000002,45216,121,0,0.0,1210.0000000000002,False,-0.04422102167247242,0,0.2,76365,0,1,0.0,13.430036374207688,False,0.00547310308846038,45,1.8110000000000002,65112.0,178,0,0.0,4166.930107854338,False,-0.1153369706945183,9,0.5510000000000002,101015,19,10,1.0,665.1706911099461,False,0.009689517763934903,6,0.41300000000000003,102776,6,10,1.0,490.5802182452462,False,0.02636403595638977,0.5,440517,0.0,0.0,10,0,0,14,15,14.333333333333332,11,25,16,100.0,15.0,13,5,16,541,1.3144101100042462,27.729281869949773
13,16,0,0,0,10.000000000000002,20,10.0,22.778288466781845,8,13.5,12.886399012987901,23,10.0,41.00000000000001,20,41.0,0,0.2,49979,12,30,1.0,803.3486540034553,False,0.05088909966420652,4,0.9870000000000003,45086,128,0,0.0,1280.0000000000002,False,-0.046202624058738866,0,0.2,76365,0,1,0.0,12.886399012987901,False,0.0054695244550331135,23,1.9960000000000002,64429.0,186,0,0.0,4236.761654821423,False,-0.12386933451721109,1,0.552,101187,32,10,1.0,822.3647684156128,False,0.012186125870065265,0,0.40700000000000003,103145,0,7,0.6,287.00000000000006,False,0.02902615193026152,0.43333333333333335,440191,0.0,0.0,15,0,0,17,3,2.5,10,27,16,107.0,9.0,13,3,16,1014,1.2409195979707874,28.97020146792056
14,16,0,0,0,10.000000000000002,20,10.0,23.923861882754885,19,30.736842105263158,11.61186155282736,22,4.045454545454546,41.00000000000001,20,41.0,0,0.2,50421,13,25,1.0,728.0965470688722,False,0.059323924689398094,4,1.0230000000000001,44936,137,0,0.0,1370.0000000000002,False,-0.04839281616987547,0,0.2,76365,0,1,0.0,11.61186155282736,False,0.005461134482811361,22,2.1930000000000005,62885.0,205,0,0.0,4904.391685964752,False,-0.13980204535543764,0,0.5510000000000002,101549,31,10,1.0,769.9677081376483,False,0.015531595059216155,3,0.43700000000000006,103363,3,10,1.0,444.83558465848216,False,0.031984237034413394,0.5,439519,0.0,0.0,16,0,0,12,8,7.25,9,21,15,77.0,21.0,9,7,15,1326,1.3838624109630473,30.354063878883608
15,15,0,0,0,10.000000000000002,20,10.0,23.639703314476872,9,19.88888888888889,11.59617742148148,12,11.416666666666666,41.00000000000001,20,41.0,0,0.2,50437,15,31,1.0,882.8308027487831,False,0.06127146704020338,5,1.0690000000000002,44778,145,0,0.0,1450.0000000000002,False,-0.05085417492334328,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,11,2.281,62359.0,214,0,0.0,5058.896509298051,False,-0.14571003930368864,4,0.5910000000000001,101869,23,10,1.0,676.7120806940741,False,0.018255103764354002,0,0.43400000000000005,103522,3,14,1.0,608.7885322644446,False,0.03438499891538951,0.5,439373,0.0,0.0,11,0,0,11,7,6.285714285714286,10,21,14,65.0,30.0,8,7,14,830,1.2035335990367457,31.557597477920353
16,14,0,0,0,10.000000000000002,20,10.0,23.639703314476872,0,,11.347751014623556,4,3.0,41.00000000000001,20,41.0,0,0.2,50347,14,41,1.0,1109.2278358935519,False,0.06175536425912641,0,1.0640000000000003,44668,156,0,0.0,1560.0000000000002,False,-0.05200141841012912,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,4,2.3100000000000005,62231.0,214,0,0.0,5058.896509298051,False,-0.1473952254640973,0,0.5870000000000002,102115,13,14,1.0,721.5207631901063,False,0.020929119617385375,0,0.43400000000000005,104084,0,7,0.7,287.00000000000006,False,0.03838107098381071,0.45,439853,0.0,0.0,13,0,0,15,1,1.0,10,25,14,76.0,26.0,10,4,14,1020,1.1955770769855008,32.753174554905854
17,14,0,0,0,10.000000000000002,20,10.0,22.58619581266059,31,18.677419354838708,10.04667678601492,23,3.0,41.0,20,41.0,0,0.2,50257,13,51,1.0,1281.8959864456901,False,0.06167889683617034,31,1.3740000000000003,44240,167,0,0.0,1670.0000000000002,False,-0.05978181514778582,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,23,2.5360000000000005,60631.0,245,0,0.0,5533.617974101845,False,-0.1653350757405482,0,0.5870000000000002,102589,21,12,1.0,702.9802125063134,False,0.0255590546077525,1,0.44400000000000006,104312,0,5,0.5,205.0,False,0.040244084682440846,0.4166666666666667,438437,0.0,0.0,12,0,0,10,9,8.333333333333334,12,22,15,70.0,29.0,7,7,15,897,1.2404507729806937,33.99362532788655
18,15,0,0,0,10.000000000000002,20,10.0,23.694619354269086,12,35.833333333333336,9.64380233215811,7,2.0,41.0,20,41.0,0,0.2,50597,12,49,1.0,1281.0363483591852,False,0.06876198189815794,0,1.3430000000000002,44130,178,0,0.0,1780.0000000000002,False,-0.06092905863457166,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,7,2.5830000000000006,59952.0,257,0,0.0,6089.517174047155,False,-0.17061511155111408,0,0.5870000000000002,102835,11,16,1.0,762.0818256537392,False,0.028304268122808125,9,0.533,104381,0,7,0.7,287.0,False,0.041339975093399754,0.45,438303,0.0,0.0,12,0,0,12,6,5.5,11,23,14,101.0,18.0,9,6,14,1040,1.2727605220279656,35.26638584991451
19,14,0,0,0,10.000000000000002,20,10.0,23.409367288019904,2,5.0,9.442519855036936,3,1.0,41.00000000000001,20,41.0,0,0.2,50507,11,59,1.0,1491.1526699931744,False,0.06907607966034471,2,1.3630000000000002,43984,189,0,0.0,1890.0000000000002,False,-0.06282722513089005,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,3,2.6060000000000008,59840.0,259,0,0.0,6063.026127597155,False,-0.1722640336010509,0,0.587,103163,1,18,1.0,747.4425198550371,False,0.03149909100799524,5,0.5740000000000001,104609,0,3,0.3,123.00000000000003,False,0.042794520547945206,0.3833333333333333,438511,0.0,0.0,10,0,0,15,5,4.4,8,23,14,54.0,25.0,9,5,14,692,1.2752291489741765,36.54161499888869
20,14,0,0,0,10.000000000000002,20,10.0,25.07096071094345,28,32.07142857142857,8.094728485393087,24,1.5833333333333333,41.00000000000001,20,41.0,0,0.2,51230,10,46,1.0,1253.2641927033987,False,0.0816760621670741,5,1.411,43844,200,0,0.0,2000.0000000000005,False,-0.06460023779228635,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,24,2.843000000000001,57864.0,287,0,0.0,7195.36572404077,False,-0.19082517691794737,0,0.5870000000000002,103604,1,17,1.0,705.0947284853931,False,0.03568166738971552,6,0.629,104646,4,10,1.0,442.3789139415724,False,0.04475406681913604,0.5,437596,0.0,0.0,14,0,0,12,7,6.833333333333333,10,22,12,105.0,15.0,9,5,12,1546,1.3267854109872133,37.8684004098759
21,12,0,0,0,10.000000000000002,20,10.0,23.730667304268845,22,15.727272727272727,7.153151145379322,30,3.2,41.00000000000001,20,41.0,0,0.2,51473,9,47,1.0,1205.3413633006357,False,0.0862449819914128,13,1.5360000000000003,43448,211,0,0.0,2110.0000000000005,False,-0.07171314741035857,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,30,3.119000000000001,56029.0,309,0,0.0,7332.776197019073,False,-0.21407936043881276,0,0.5870000000000002,103983,0,16,0.9,656.0000000000001,False,0.039212951432129516,0,0.6230000000000001,104991,16,10,1.0,524.4504183260692,False,0.048600002083816055,0.48333333333333334,436332,0.0,0.0,16,0,0,9,7,7.0,10,19,13,53.0,27.0,6,6,13,1353,1.2176390300155617,39.086039439891465
22,13,0,0,0,10.000000000000002,20,10.0,25.044660722792745,14,38.0,7.009387362622788,19,5.947368421052632,41.0,20,41.0,0,0.2,51875,12,43,1.0,1196.9204110800881,False,0.0945424627258515,0,1.5230000000000001,43378,218,0,0.0,2180.0000000000005,False,-0.07244321144740411,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,19,3.2790000000000012,54807.0,323,0,0.0,8089.425413462057,False,-0.2251867830489885,0,0.5870000000000002,104365,8,14,1.0,630.0750989009823,False,0.04288953972055277,0,0.6230000000000001,105316,7,12,1.0,541.0657115383596,False,0.05192062620940655,0.5,436149,0.0,0.0,16,0,0,14,3,3.0,9,23,11,95.0,12.0,9,4,11,1552,1.2047277039964683,40.29076714388793
23,11,0,0,0,10.000000000000002,20,10.0,26.310275448568877,22,34.18181818181818,6.822807490050425,7,3.0,41.0,20,41.0,0,0.2,52543,8,33,1.0,948.2390898027729,False,0.10588263792789852,2,1.5430000000000004,43216,232,0,0.0,2320.0000000000005,False,-0.07436223691620951,0,0.2,76408,0,0,0.0,0.0,False,0.005950813628943072,7,3.330000000000001,53831.0,345,0,0.0,9077.045029756262,False,-0.23153506615832678,0,0.5870000000000002,104795,5,13,1.0,567.1140374502521,False,0.046859845765630175,0,0.623,105685,0,10,0.7,410.0,False,0.0549439601494396,0.45,436478,0.0,0.0,15,0,0,13,2,2.0,10,23,12,74.0,6.0,9,2,12,1748,1.2011091699823737,41.49187631387031
