index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,10.0,13,10.0,25.44579412242651,27,20.62962962962963,9.759667392425854,106,7.283018867924528,49.0,20,49.0,8,0.406,66248,6,10,1.0,314.4579412242651,False,0.02439264733142258,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,66,3.893000000000001,80702.0,25,0,0.0,636.1448530606627,False,-0.24520851839902433,40,3.3450000000000015,88104,124,0,0.0,3155.278471180887,False,-0.16451645470425616,0,0.24500000000000002,149711,191,13,1.0,2501.096471953338,False,0.01641865728524647,7,0.9090000000000003,142556,467,0,0.0,4557.764672262874,False,-0.024831963156336442,0.3333333333333333,592826,0.0,0.0,17,0,0,14,25,24.333333333333332,18,32,12,172.0,28.0,11,5,12,1170,5.927934275998268,141.66755188209936
11,12,0,0,0,10.0,10,10.0,26.067666043081573,5,40.0,9.507047151362098,42,6.714285714285714,49.00000000000001,20,49.0,0,0.398,66348,6,15,1.0,451.0149906462236,False,0.026988576689545674,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,29,4.117000000000001,79035.0,30,0,0.0,782.0299812924472,False,-0.26005892444968637,13,3.435000000000001,87764,124,0,0.0,3232.390589342115,False,-0.16732473803419895,0,0.24500000000000002,149903,200,14,1.0,2587.4094302724197,False,0.018001957374522502,11,1.0120000000000002,142312,490,0,0.0,4658.453104167428,False,-0.026135840562850805,0.3333333333333333,590867,0.0,0.0,10,0,0,14,11,11.0,14,28,11,100.0,12.0,8,4,11,741,3.058106479991693,144.72565836209105
12,11,0,0,0,10.0,10,10.0,26.067666043081573,0,,9.321232083727166,27,6.185185185185185,49.000000000000014,20,49.0,0,0.398,66248,6,25,1.0,711.6916510770393,False,0.027456587460485612,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,17,4.258000000000001,78313.0,30,0,0.0,782.0299812924472,False,-0.2667851520793898,10,3.522000000000001,87508,124,0,0.0,3232.390589342115,False,-0.1697096608502711,0,0.24500000000000002,150382,194,13,1.0,2445.31902424307,False,0.020748702302818563,9,1.0910000000000002,142052,513,0,0.0,4781.792058952036,False,-0.02747119281541567,0.3333333333333333,590008,0.0,0.0,12,0,0,13,9,9.0,15,28,15,116.0,19.0,8,3,15,639,2.5947801140137017,147.32043847610475
13,15,0,0,0,10.0,10,10.0,27.804613732537923,15,40.0,9.261524638271531,38,8.578947368421053,49.00000000000001,20,49.0,0,0.398,66748,6,20,1.0,616.0922746507584,False,0.034432403698096054,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,20,4.441000000000002,76798.0,45,0,0.0,1251.2076179642065,False,-0.2787135967712048,18,3.6920000000000015,86954,124,0,0.0,3447.7721028347023,False,-0.1738675245114415,0,0.24500000000000002,150731,200,14,1.0,2538.3049276543065,False,0.02341154207649432,11,1.1920000000000002,141593,535,0,0.0,4954.91568147527,False,-0.029978805701893815,0.3333333333333333,588329,0.0,0.0,12,0,0,14,14,14.0,18,32,15,155.0,22.0,11,4,15,1141,3.0871063669910654,150.40754484309582
14,15,0,0,0,10.0,8,10.0,28.250170813244587,15,31.466666666666665,9.371339013307892,52,10.26923076923077,49.00000000000001,20,49.0,0,0.398,67140,4,15,1.0,463.7525621986688,False,0.039304521181959394,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,21,4.631000000000001,75777.0,46,0,0.0,1299.507857409251,False,-0.2880003546761757,31,3.9840000000000013,85290,138,0,0.0,3898.523572227753,False,-0.187269898863306,0,0.24500000000000002,151016,207,13,1.0,2576.867175754734,False,0.02546025590566694,9,1.2710000000000001,141151,570,0,0.0,5341.663237585499,False,-0.031652797083328806,0.3333333333333333,585879,0.0,0.0,13,0,0,17,15,15.0,17,34,13,187.0,11.0,14,1,13,1091,2.7804569150321186,153.18800175812794
15,13,0,0,0,10.0,7,10.0,28.56709104388581,5,35.6,9.343554194230277,26,8.884615384615385,49.0,20,49.0,0,0.398,67248,1,20,1.0,581.3418208777161,False,0.041877559398353345,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,16,4.770000000000001,74954.0,50,0,0.0,1428.3545521942906,False,-0.29506733423298503,10,4.053000000000001,85060,139,0,0.0,3970.8256551001277,False,-0.1890758160670194,1,0.255,151463,218,10,1.0,2526.8948143422003,False,0.028301659723888564,6,1.3220000000000003,141014,575,0,0.0,5372.543661682409,False,-0.032471254749491994,0.3333333333333333,585244,0.0,0.0,12,0,0,15,10,9.5,14,29,17,131.0,9.0,10,3,17,836,2.808770292031113,155.99677205015905
16,17,0,0,0,9.999999999999998,10,10.0,28.872831774898,15,31.0,9.049014877658667,15,1.0,49.0,20,49.0,0,0.398,67613,1,15,1.0,443.09247662347,False,0.0464418462037477,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,15,4.904000000000001,74311.0,50,0,0.0,1443.6415887449,False,-0.30098638177050285,0,4.043000000000001,84595,154,0,0.0,4446.416093334292,False,-0.19119247960548955,4,0.29400000000000004,151896,216,10,1.0,2444.587213574272,False,0.030939946047326906,6,1.3760000000000003,140921,582,0,0.0,5266.526658797345,False,-0.03345432472143255,0.3333333333333333,584841,0.0,0.0,11,0,0,9,10,10.0,21,30,12,169.0,15.0,12,5,12,1055,3.1227897080243565,159.1195617581834
17,12,0,0,0,9.999999999999998,9,10.0,27.21270296929403,11,11.0,9.116330127591375,28,10.035714285714286,48.99999999999999,20,49.0,0,0.398,67644,0,14,1.0,380.9778415701164,False,0.04644096200149736,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,18,5.069000000000001,73574.0,50,0,0.0,1360.6351484647014,False,-0.3082389993177597,10,4.143000000000001,84274,165,0,0.0,4490.095989933515,False,-0.19397948598423004,1,0.30000000000000004,152377,206,10,1.0,2367.964006283823,False,0.0339205510469215,9,1.4600000000000002,140495,610,0,0.0,5560.961377830739,False,-0.03533135818078442,0.3333333333333333,583869,0.0,0.0,9,0,0,16,10,10.0,14,30,13,100.0,9.0,9,3,13,701,2.7977495440281928,161.9173113022116
18,13,0,0,0,9.999999999999996,11,10.0,27.21270296929403,0,,9.071292563179258,51,8.745098039215685,48.999999999999986,20,49.0,0,0.398,67534,1,24,1.0,663.1048712630567,False,0.04692015974996188,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,27,5.321000000000002,72209.0,50,0,0.0,1360.6351484647014,False,-0.3209554823018944,24,4.373000000000001,83470,165,0,0.0,4490.095989933515,False,-0.20146963420345662,0,0.29900000000000004,152852,201,10,1.0,2313.3298051990305,False,0.03693478385569594,10,1.5510000000000002,139879,656,0,0.0,5950.767921445593,False,-0.03816658725771227,0.3333333333333333,581449,0.0,0.0,11,0,0,11,13,13.0,17,28,11,97.0,15.0,8,5,11,600,2.444120085972827,164.36143138818443
19,11,0,0,0,9.999999999999996,10,10.0,26.63930388354551,8,19.0,9.430234121865892,33,13.545454545454545,48.99999999999999,20,49.0,0,0.398,67586,1,26,1.0,702.6219009721832,False,0.04802713424790342,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,6,5.354000000000002,71859.0,58,0,0.0,1545.0796252456396,False,-0.3233569669313419,27,4.6190000000000015,82529,165,0,0.0,4395.485140785009,False,-0.2106767910640621,1,0.30900000000000005,153050,208,10,1.0,2451.4886973481052,False,0.03873302012936752,9,1.6310000000000004,139571,672,0,0.0,6337.117329893879,False,-0.03893970183105019,0.3333333333333333,580100,0.0,0.0,11,0,0,9,9,9.0,16,25,13,91.0,29.0,6,5,13,742,2.1841848439653404,166.54561623214977
20,13,0,0,0,9.999999999999996,11,10.0,27.05437318003672,22,29.0,9.207378867857182,41,7.195121951219512,48.99999999999999,20,49.0,0,0.398,68114,2,14,1.0,398.7612245205141,False,0.053828529746085624,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,35,5.698000000000002,70045.0,58,0,0.0,1569.1536444421297,False,-0.3401442429060558,6,4.652000000000002,81765,187,0,0.0,5059.167784666866,False,-0.21470282657760373,0,0.30800000000000005,153217,229,12,1.0,2696.4897607392945,False,0.04068221676352929,12,1.7420000000000002,139248,682,0,0.0,6279.432387878598,False,-0.04130864449318087,0.3333333333333333,577894,0.0,0.0,13,0,0,16,12,12.0,13,29,9,116.0,15.0,8,5,9,1140,2.1825266730156727,168.72814290516544
21,9,0,0,0,9.999999999999996,9,10.0,27.05437318003672,0,,9.471805975457814,66,10.954545454545455,48.99999999999999,20,49.0,0,0.398,68024,1,24,1.0,659.3049563208813,False,0.054449779065784874,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,22,5.883000000000002,69067.0,58,0,0.0,1569.1536444421297,False,-0.3492553933518314,44,5.086000000000001,79577,187,0,0.0,5059.167784666866,False,-0.23508646377122033,1,0.31800000000000006,153796,219,10,1.0,2564.325508625261,False,0.04413567430170831,7,1.8000000000000003,138424,748,0,0.0,7084.910869642445,False,-0.044144977984411665,0.3333333333333333,574393,0.0,0.0,10,0,0,13,12,11.333333333333334,14,27,12,103.0,6.0,7,2,12,580,1.9870788549887948,170.71522176015424
22,12,0,0,0,9.999999999999998,12,10.0,28.664917139256186,19,38.21052631578947,9.328834951960761,49,8.183673469387756,48.99999999999999,20,49.0,0,0.398,68630,3,15,1.0,459.9737570888428,False,0.06226068861138509,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,25,6.111000000000002,67085.0,77,0,0.0,2207.198619722726,False,-0.3647478660543374,24,5.282000000000002,78738,187,0,0.0,5360.339505040907,False,-0.24149980200929327,0,0.31700000000000006,154102,229,10,1.0,2626.3032039990144,False,0.046404608053968094,10,1.893,138021,777,0,0.0,7248.504757673511,False,-0.046307626570721246,0.3333333333333333,572081,0.0,0.0,14,0,0,8,14,14.0,19,27,15,138.0,17.0,9,3,15,1336,2.877872635028325,173.59309439518256
