index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,31,0,0,0,10.000000000000002,20,10.0,22.57331548959963,11,26.0,36.89017589703533,32,38.46875,35.00000000000001,20,35.0,0,0.2,12586,0,70,0.8,1580.132084271974,False,0.039886965881675056,0,0.2,13295,6,46,1.0,1098.3725125215828,False,0.07627973694012215,19,0.5970000000000002,20288,21,10,1.0,842.9413842519455,False,0.04109545003649564,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,6,0.6740000000000002,29586,0,5,0.5,175.00000000000003,False,-0.02421900690562315,9,0.9470000000000003,26349,78,0,0.0,2877.4337199687557,False,-0.08623094837275966,0.5499999999999999,122098,0.0,0.0,8,0,0,7,6,4.716666666666667,10,17,31,106.0,94.0,8,23,31,746,1.0852366969920695,15.574802804971114
11,31,0,0,0,10.000000000000002,20,10.0,23.079437247077795,24,25.0,35.72980580872591,7,19.0,35.00000000000001,20,35.0,0,0.2,12751,1,69,1.0,1602.4811700483679,False,0.0535831909371208,0,0.2,13530,5,43,1.0,1042.4158016243452,False,0.09237408853394798,0,0.5780000000000001,19821,35,13,1.0,1272.2677791611595,False,0.028410109067996098,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,4,0.7080000000000002,29649,0,6,0.6,210.00000000000006,False,-0.02157185136468267,11,1.048,26160,79,0,0.0,2822.6546588893466,False,-0.09334668433263159,0.6,121905,0.0,0.0,10,0,0,4,4,3.5,11,15,23,97.0,77.0,7,24,23,968,0.9317990459967405,16.506601850967854
12,23,0,0,0,10.000000000000002,20,10.0,23.079437247077795,0,,35.29379387214603,8,30.0,35.00000000000001,20,35.0,0,0.2,12631,3,79,1.0,1853.2755425191458,False,0.05400278094220424,0,0.2,13450,3,53,1.0,1253.2101740951232,False,0.09434852577529045,0,0.5780000000000001,20061,25,15,1.0,1106.3928392591354,False,0.036305872694026076,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,4,0.7440000000000002,29825,0,0,0.0,0.0,False,-0.01923709306149293,10,1.1370000000000002,25815,87,0,0.0,3070.5600668767047,False,-0.10061558587838364,0.5,121776,0.0,0.0,9,0,0,5,4,3.142857142857143,11,16,25,53.0,62.0,6,17,25,440,0.8588565709651448,17.365458421933
13,25,0,0,0,10.000000000000002,20,10.0,23.079437247077795,0,,35.854522282046894,21,38.38095238095238,35.00000000000001,20,35.0,0,0.2,12531,3,89,1.0,2084.0699149899237,False,0.055199794565417196,0,0.2,13350,3,63,1.0,1484.0045465659011,False,0.09554553939850355,6,0.6380000000000001,20671,15,10,1.0,704.7367815266359,False,0.05687554749463687,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,9,0.8300000000000003,28972,9,10,1.0,672.6907005384221,False,-0.03622672310854291,11,1.237,25633,89,0,0.0,3191.0524831021735,False,-0.10461932780167418,0.6666666666666666,121151,0.0,0.0,4,0,0,4,7,6.2105263157894735,11,15,28,119.0,69.0,7,18,28,200,0.9052172640222125,18.27067568595521
14,28,0,0,0,10.000000000000002,20,10.0,23.079437247077795,0,,35.28232304210787,9,28.666666666666668,35.0,20,35.0,0,0.2,12451,1,99,1.0,2294.8642874607017,False,0.05717423180675982,0,0.2,13230,5,73,1.0,1734.798919036679,False,0.095965129403587,0,0.6320000000000001,20929,5,11,1.0,503.5027396985755,False,0.06478742056350732,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,0.8210000000000002,29322,0,9,0.9,315.0,False,-0.03059848733969089,10,1.3260000000000003,25265,98,0,0.0,3457.667658126571,False,-0.11233693426296332,0.65,121191,0.0,0.0,9,0,0,6,2,2.0,14,20,27,146.0,69.0,10,18,27,808,1.0178916500299238,19.288567335985135
15,27,0,0,0,10.000000000000002,20,10.0,23.079437247077795,0,,36.351925062450114,9,48.44444444444444,35.0,20,35.0,0,0.2,12381,0,107,0.8,2469.499785437324,False,0.05852055451439497,0,0.2,13100,8,83,1.0,1995.593291507457,False,0.09599600759960566,0,0.6320000000000001,21365,0,7,0.5,254.4634754371508,False,0.08044599526033458,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,0.8210000000000002,29567,0,2,0.0,70.0,False,-0.026570207168694508,13,1.4460000000000002,24642,107,0,0.0,3889.6559816821623,False,-0.12572088159023084,0.3833333333333333,121049,0.0,0.0,10,0,0,9,3,3.0,12,21,30,151.0,77.0,12,15,30,881,1.5374101800261997,20.825977516011335
16,30,0,0,0,10.000000000000002,20,10.0,23.079437247077795,0,,37.81682680045435,11,51.09090909090909,35.0,20,35.0,0,0.2,12251,3,117,1.0,2730.294157908102,False,0.05855143271041365,0,0.2,13030,5,93,1.0,2196.3876639782347,False,0.09835915665001305,4,0.6720000000000002,21799,0,0,0.0,0.0,False,0.09586768550170922,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,10,0.921,29519,0,0,0.0,0.0,False,-0.029299572509043078,8,1.5130000000000003,23996,118,0,0.0,4462.385562453614,False,-0.13754709696722106,0.3333333333333333,120589,0.0,0.0,5,0,0,5,7,5.633333333333333,13,18,26,133.0,101.0,9,21,26,200,0.8959638369851746,21.72194135299651
17,26,0,0,0,10.000000000000002,20,10.0,23.382702263094693,12,26.0,37.95780139769601,1,52.0,35.0,20,35.0,0,0.2,12433,6,115,1.0,2749.0107602558896,False,0.07342807899618632,0,0.2,12960,2,103,1.0,2428.4183330987535,False,0.10193649743834075,1,0.6780000000000002,21508,2,10,1.0,426.3434185031495,False,0.09195514323605347,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,11,1.0210000000000001,29382,0,0,0.0,0.0,False,-0.03380466951660638,9,1.5950000000000002,23845,119,0,0.0,4516.978366325825,False,-0.1416149561603777,0.5,120122,0.0,0.0,6,0,0,3,6,6.0,14,17,32,124.0,81.0,8,18,32,512,0.9327376380097121,22.65467899100622
18,32,0,0,0,10.000000000000002,20,10.0,23.777935088793257,23,25.565217391304348,37.3776430573035,12,33.0,35.0,20,35.0,0,0.2,12671,6,112,1.0,2723.128729944845,False,0.09092469602522137,0,0.2,13110,2,103,1.0,2469.1273141457054,False,0.11518025787707789,2,0.6970000000000001,21254,15,10,1.0,730.4454569049338,False,0.08683001852264563,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,9,1.1,29284,0,0,0.0,0.0,False,-0.03702729365340349,11,1.6960000000000004,23309,131,0,0.0,4896.4712405067585,False,-0.15300113054082942,0.5,119622,0.0,0.0,7,0,0,3,6,5.25,15,18,30,119.0,110.0,8,24,30,984,1.0292509410064667,23.68392993201269
19,30,0,0,0,10.000000000000002,20,10.0,24.076758852873265,24,25.5,37.39503306398728,1,39.0,35.00000000000001,8,35.0,0,0.2,12893,5,110,1.0,2698.4434738160594,False,0.10722395529099199,0,0.2,13300,3,101,1.0,2461.7526441401997,False,0.1296646444896292,0,0.6950000000000002,20681,29,19,1.0,1408.731634949083,False,0.0750736887932105,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,1.0910000000000002,29245,0,1,0.1,35.00000000000001,False,-0.03773429792831306,8,1.7650000000000003,23226,131,0,0.0,4898.749331382333,False,-0.155693039602395,0.5166666666666667,119339,0.0,0.0,8,0,0,12,2,2.0,11,23,25,169.0,87.0,14,16,25,851,0.9790864300448447,24.663016362057533
20,25,0,0,0,10.000000000000002,20,10.0,24.076758852873265,0,,38.401911247656294,31,41.12903225806452,35.00000000000001,10,35.0,0,0.2,12793,5,120,1.0,2939.211062344792,False,0.10880863959981309,0,0.2,13200,3,111,1.0,2702.5202326689323,False,0.1312493287984503,12,0.8150000000000002,21534,19,10,1.0,841.477530681155,False,0.10369690153531966,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,1.0910000000000002,28060,19,11,1.0,1114.6363137054695,False,-0.05895040589106425,10,1.8570000000000002,23026,133,0,0.0,5107.454195938287,False,-0.15883830654491476,0.6666666666666666,118607,0.0,0.0,4,0,0,7,7,6.296296296296296,11,18,25,108.0,48.0,9,16,25,200,0.7683314770110883,25.43134783906862
21,25,0,0,0,10.000000000000002,20,10.0,24.197557629744885,15,25.2,38.4307580867457,7,38.857142857142854,35.00000000000001,12,35.0,0,0.2,13111,1,115,1.0,2792.7191274206616,False,0.1278363961525563,0,0.2,13060,7,121,1.0,2997.904473199131,False,0.13184733239520838,0,0.8030000000000002,21428,24,13,1.0,1080.3412382415713,False,0.10437214051481927,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,1.0910000000000002,28060,9,21,1.0,1080.8768227807113,False,-0.05950547808647306,12,1.9670000000000005,22589,140,0,0.0,5380.306132144397,False,-0.16872235889272613,0.6666666666666666,118242,0.0,0.0,9,0,0,4,3,3.0,13,17,26,118.0,79.0,7,18,26,850,0.8846525570261292,26.31600039609475
22,26,0,0,0,10.000000000000002,20,10.0,23.94607331612999,8,20.0,39.612290040740895,27,43.96296296296296,35.0,13,35.0,0,0.2,13096,0,122,1.0,2921.420944567859,False,0.13167305234268278,0,0.2,13035,8,126,1.0,3097.2052378323788,False,0.13376371133609496,14,0.9430000000000001,21924,22,10,1.0,922.9365133622687,False,0.12535030447823925,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,1.0910000000000002,27501,13,31,1.0,1599.9597705296317,False,-0.06935284823200209,13,2.085000000000001,21779,153,0,0.0,6060.680376233357,False,-0.1841716478751503,0.6666666666666666,117329,0.0,0.0,8,0,0,10,8,8.0,11,21,22,122.0,59.0,11,15,22,880,0.9057197499787435,27.221720146073494
23,22,0,0,0,10.000000000000002,20,10.0,23.94607331612999,0,,40.22899877779328,8,49.0,35.0,20,35.0,0,0.2,12996,0,132,1.0,3160.8816777291586,False,0.13320693764009786,0,0.2,12935,8,136,1.0,3336.6659709936785,False,0.13529759663351004,0,0.9290000000000003,22316,12,12,1.0,770.1008651270793,False,0.14121508307679173,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,1.0910000000000002,27851,3,31,1.0,1205.6869963333797,False,-0.06432609345061853,10,2.172,21277,161,0,0.0,6476.868803224718,False,-0.19383642217650912,0.6666666666666666,117369,0.0,0.0,7,0,0,4,2,2.0,11,15,28,85.0,63.0,6,16,28,942,0.8864756739931181,28.108195820066612
24,28,0,0,0,10.000000000000002,20,10.0,23.94607331612999,0,,40.22899877779328,0,,35.0,12,35.0,0,0.2,12886,1,142,1.0,3410.3424108904587,False,0.1343521111284482,0,0.2,12845,7,146,1.0,3566.1267041549786,False,0.1372201937399899,0,0.9290000000000003,22316,2,22,1.0,932.9301197437121,False,0.14530791573858107,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,1.0910000000000002,28026,0,29,0.3,1015.0,False,-0.061706675435711934,7,2.2320000000000007,21210,161,0,0.0,6476.868803224718,False,-0.19603964480064592,0.5499999999999999,117277,0.0,0.0,7,0,0,12,2,2.0,14,26,31,223.0,51.0,16,12,31,375,1.0806287509622052,29.188824571028817
