index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,31.0,0,,44.0,0,,0,0.2,70803,0,7,0.7,140.0,False,0.0,0,0.2,70743,13,0,0.0,130.0,False,-0.0009171334640836426,0,0.2,107143,0,0,0.0,0.0,False,0.0,0,0.2,107143.0,0,0,0.0,0.0,False,0.0,0,0.2,157796,0,0,0.0,0.0,False,0.0,0,0.2,157796,0,0,0.0,0.0,False,0.0,0.11666666666666665,671424,0.0,0.0,7,0,0,6,0,0.0,1057,1063,225,0.0,0.0,0,0,225,200,7.5783753209980205,7.5783753209980205
1,225,0,0,0,10.0,20,10.0,18.653846153846153,7,10.0,22.015384615384615,20,1.8,44.0,0,,0,0.2,70733,0,14,0.7,261.15384615384613,False,-0.00013295721816598764,7,0.27,70515,26,0,0.0,260.0,False,-0.0032170219970933923,0,0.2,107073,0,7,0.7,154.1076923076923,False,6.58358096548785e-05,20,0.4,106224.0,0,0,0.0,0.0,False,-0.008577321896904137,0,0.2,157796,0,0,0.0,0.0,False,0.0,0,0.2,157760,20,0,0.0,440.3076923076923,False,0.001167037479745012,0.2333333333333333,670101,0.0,0.0,8,0,0,124,7,7.0,114,238,137,3295.0,6.0,223,2,137,200,30.465861276024953,38.04423659702297
2,137,0,0,0,10.0,20,10.0,16.976047904191613,20,13.05,18.947445255474452,10,1.0,44.0,0,,0,0.2,70720,0,16,0.9,271.6167664670658,False,-0.00024256933904957256,13,0.393,70235,37,0,0.0,370.0,False,-0.006391714757382924,0,0.2,106926,4,17,1.0,390.01076095983217,False,-0.00020528284181038476,10,0.48000000000000004,105710.0,6,0,0.0,101.85628742514967,False,-0.012899320126255793,0,0.2,157796,0,0,0.0,0.0,False,0.0,0,0.2,157750,30,0,0.0,568.4233576642335,False,0.001509617980380549,0.31666666666666665,669137,0.0,0.0,9,0,0,88,4,4.0,61,149,18,1147.0,16.0,132,5,18,277,39.30115026596468,77.34538686298765
3,18,0,0,0,10.0,20,10.0,16.880231809401156,2,14.0,17.606947524020693,6,3.8333333333333335,44.0,20,44.0,0,0.2,70600,2,26,1.0,458.8860270444301,False,-0.0006145779983601511,2,0.4,70135,45,0,0.0,450.0,False,-0.007238299493460133,0,0.2,106926,0,21,0.4,369.74589800443454,False,-0.00029985207617648073,6,0.53,105469.0,8,0,0.0,135.04185447520925,False,-0.014993784687402735,8,0.28,157702,0,0,0.0,0.0,False,-0.000595705848056985,12,0.32000000000000006,157504,36,0,0.0,633.8501108647449,False,0.00015795746047026673,0.2333333333333333,668336,0.0,0.0,8,0,0,9,12,12.0,21,30,15,186.0,30.0,13,5,15,200,2.579201482993085,79.92458834598074
4,15,0,0,0,10.0,20,10.0,17.431525004417736,12,20.0,13.216877120765423,29,4.000000000000001,44.0,20,44.0,0,0.2,70490,3,36,1.0,657.5349001590384,False,-0.0007652074826869812,12,0.518,69997,54,0,0.0,540.0,False,-0.008550505834379806,0,0.2,106926,0,21,0.0,277.55441953607385,False,-0.0007300784020603991,29,0.8140000000000001,103737.0,20,0,0.0,348.6305000883547,False,-0.03016235078311995,13,0.402,157412,0,4,0.4,176.0,False,-0.00187583969175391,7,0.37800000000000006,157337,61,0,0.0,806.2295043666908,False,-0.0003541613717499292,0.2333333333333333,665899,0.0,0.0,9,0,0,7,16,16.0,16,23,22,114.0,16.0,9,6,22,200,2.799101818993222,82.72369016497396
5,22,0,0,0,10.0,20,10.0,17.104498998077716,86,16.87209302325581,10.197191132375616,42,4.380952380952381,43.99999999999999,20,44.0,0,0.2,70400,2,46,1.0,806.806953911575,False,-0.0009819892348878823,86,1.366,66498,65,0,0.0,650.0,False,-0.05714446968521158,0,0.2,106926,0,21,0.0,214.14101377988794,False,-0.0010260072343509087,42,1.205,99767.0,106,0,0.0,1813.076893796238,False,-0.06038156065353666,4,0.42900000000000005,157554,0,2,0.2,87.99999999999999,False,-0.0012547846586732237,12,0.4910000000000001,156936,101,0,0.0,1029.9163043699373,False,-0.0021866324102958164,0.19999999999999998,658081,0.0,0.0,10,0,0,10,21,21.0,19,29,20,179.0,36.0,14,8,20,376,2.181262773985509,84.90495293895947
6,20,0,0,0,10.0,20,10.0,17.349663384792322,33,18.333333333333332,8.73946945259555,49,5.448979591836735,43.99999999999999,20,44.0,0,0.2,70554,1,42,1.0,738.6858621612776,False,0.0007103259503709263,19,1.4700000000000002,66259,76,0,0.0,760.0,False,-0.059740662875848345,0,0.2,106926,0,21,0.0,183.52885850450656,False,-0.0011688637684938818,49,1.6530000000000002,95985.0,139,0,0.0,2411.603210486133,False,-0.09288706116831653,10,0.5250000000000001,157361,5,10,1.0,483.6973472629777,False,-0.0012240571774221442,8,0.5590000000000002,156704,135,0,0.0,1179.8283761003993,False,-0.0031818665362227222,0.3333333333333333,653789,0.0,0.0,12,0,0,9,17,16.75,17,26,13,134.0,24.0,11,9,13,488,2.602256453013979,87.50720939197345
7,13,0,0,0,10.0,20,10.0,17.47210560808431,44,17.886363636363637,8.70185130518198,2,6.0,43.99999999999999,20,44.0,0,0.2,71102,1,16,1.0,289.55368972934895,False,0.005273896192692105,8,1.5310000000000004,66099,86,0,0.0,860.0,False,-0.0612927348919899,0,0.2,106926,0,21,0.0,182.7388774088216,False,-0.0011725503420250616,2,1.6240000000000003,95136.0,183,0,0.0,3197.3953262794284,False,-0.09714402561866187,1,0.5250000000000001,157793,0,5,0.5,219.99999999999997,False,0.0006780906993840148,9,0.641,156560,137,0,0.0,1192.1536288099314,False,-0.004055382808151159,0.25,653616,0.0,0.0,13,0,0,8,8,7.333333333333333,19,27,13,120.0,9.0,10,3,13,1200,2.119696466019377,89.62690585799282
8,13,0,0,0,10.0,20,10.0,17.28316528230407,24,15.916666666666666,9.214974111279561,36,11.083333333333334,43.99999999999999,20,44.0,2,0.22000000000000003,71194,4,10,1.0,212.83165282304068,False,0.00603072857663038,6,1.5830000000000004,65989,93,0,0.0,930.0,False,-0.062350965812086406,0,0.2,106926,0,21,0.0,193.51445633687078,False,-0.0011222643740753887,36,1.9820000000000002,93042.0,207,0,0.0,3577.615213436942,False,-0.11491364245243764,5,0.5740000000000001,157886,0,9,0.9,395.99999999999994,False,0.001825141321706507,10,0.7320000000000002,156069,164,0,0.0,1511.255754249848,False,-0.0061558729174064335,0.31666666666666665,651106,0.0,0.0,10,0,0,10,14,12.61111111111111,17,27,11,161.0,6.0,11,2,11,332,2.5775467560160905,92.20445261400891
9,11,0,0,0,10.000000000000002,20,10.0,17.166892478525046,40,16.65,9.307588897413419,36,9.694444444444445,43.99999999999999,20,44.0,18,0.398,71122,3,10,1.0,201.66892478525045,False,0.004936075266922864,12,1.6970000000000005,65807,104,0,0.0,1040.0000000000002,False,-0.06414290350344984,0,0.2,107197,0,15,0.0,139.6138334612013,False,0.0011555296821126422,30,2.246000000000001,90834.0,247,0,0.0,4240.222442195686,False,-0.13242945203048406,0,0.5690000000000001,157913,2,11,1.0,502.61517779482676,False,0.0023340743041484744,12,0.8420000000000001,155828,188,0,0.0,1749.8267127137228,False,-0.006927213894161603,0.3333333333333333,648701,0.0,0.0,15,0,0,9,11,10.947368421052632,18,27,13,142.0,0.0,11,0,13,931,2.0001612859778106,94.20461389998673
