index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
11,21,0,0,0,10.000000000000002,20,10.0,12.72787486705308,40,14.25,20.89970756706856,87,20.96551724137931,26.0,14,26.0,20,0.6070000000000001,10214,1,10,1.0,137.2787486705308,False,0.05107220426610094,10,1.5690000000000002,6634.0,119,0,0.0,1190.0000000000002,False,-0.2610651129510375,87,3.2210000000000005,10698.0,110,0,0.0,1400.0662353758387,False,-0.2820588865149963,0,0.2,13631,104,81,1.0,3016.5752991060735,False,-0.04640415409718844,0,0.2,20256,0,6,0.0,156.0,False,0.000590493061706525,0,0.5690000000000002,14538,263,10,1.0,5756.623090139032,False,-0.142982406009767,0.5,75971,0.0,0.0,12,0,0,15,7,6.333333333333333,9,24,25,162.0,96.0,9,12,25,564,0.8790642637759447,20.043174700811505
12,25,0,0,0,10.000000000000002,20,10.0,12.72787486705308,0,,20.653959375046828,84,19.857142857142858,26.0,6,26.0,0,0.5870000000000002,10134,0,19,0.9,241.82962247400852,False,0.048238251174180104,0,1.5590000000000004,6514.0,131,0,0.0,1310.0000000000002,False,-0.26719820096085045,84,3.9740000000000006,8778.0,110,0,0.0,1400.0662353758387,False,-0.40299615030940295,0,0.2,13631,94,91,1.0,3075.930540632251,False,-0.04453481542478418,0,0.2,20256,0,6,0.0,156.0,False,0.000590493061706525,0,0.5690000000000001,13026,337,14,1.0,7324.384309390781,False,-0.1788115266855925,0.48333333333333334,72339,0.0,0.0,9,0,0,18,3,3.0,9,27,25,173.0,129.0,12,13,25,356,1.2864484265446663,21.32962312735617
13,25,0,0,0,10.000000000000002,20,10.0,12.942047428574247,12,17.0,20.640409504928336,63,20.571428571428573,26.000000000000004,13,26.0,0,0.5870000000000002,10198,4,17,1.0,260.01480628576223,False,0.05570963949124821,0,1.5590000000000004,6454.0,137,0,0.0,1370.0000000000002,False,-0.2702647449657569,63,4.5200000000000005,7692.0,122,0,0.0,1578.929786286058,False,-0.4657681473202929,0,0.2,13631,84,101,1.0,3171.8133439979983,False,-0.041515074829995044,0,0.2,20256,0,6,0.0,156.00000000000003,False,0.000590493061706525,0,0.5690000000000002,12068,390,11,1.0,8335.759706922052,False,-0.20106879965254282,0.5,70299,0.0,0.0,12,0,0,10,2,2.0,14,24,23,137.0,108.0,9,16,23,742,1.0379937682300806,22.367616895586252
14,23,0,0,0,10.000000000000002,20,10.0,12.710450701374304,28,10.928571428571429,20.504219369522175,8,14.625,26.0,12,26.0,0,0.5870000000000002,10078,6,27,1.0,403.1821689371062,False,0.05076061376556815,28,1.8390000000000004,6195.0,145,0,0.0,1450.0000000000002,False,-0.2926505162015742,7,4.527000000000001,7594.0,122,0,0.0,1550.674985567665,False,-0.4728308457556165,0,0.2,13358,102,110,1.0,3551.930102187618,False,-0.04673941477111312,0,0.2,20256,0,6,0.0,156.0,False,0.000590493061706525,1,0.5790000000000002,12232,388,10,1.0,8215.637115374604,False,-0.19595420934517754,0.5,69713,0.0,0.0,12,0,0,16,4,3.5,11,27,20,153.0,81.0,11,12,20,493,1.293000690639019,23.66061758622527
15,20,0,0,0,10.000000000000002,20,10.0,12.768441352131678,16,13.5625,20.359952123576967,8,14.625,26.000000000000004,9,26.0,0,0.5870000000000002,10125,10,26,1.0,431.97947515542364,False,0.0570366694856088,5,1.8610000000000002,6090.0,151,0,0.0,1510.0000000000002,False,-0.30031687621384034,7,4.590000000000001,7309.0,133,0,0.0,1698.2026998335132,False,-0.48613622134563134,0,0.2,13361,97,119,1.0,3661.3731138624316,False,-0.04310364342836887,0,0.2,20256,0,6,0.0,156.00000000000003,False,0.000590493061706525,0,0.5780000000000001,12349,386,11,1.0,8144.941519700709,False,-0.19193628777431573,0.5,69490,0.0,0.0,13,0,0,6,2,2.0,16,22,20,111.0,84.0,7,13,20,654,0.8128099385648966,24.473427524790168
16,20,0,0,0,10.000000000000002,20,10.0,12.889219400821087,5,18.0,20.359952123576967,0,,26.000000000000004,10,26.0,0,0.5870000000000002,10085,13,31,1.0,529.5658014254537,False,0.05793549020880379,0,1.8560000000000005,6020.0,158,0,0.0,1580.0000000000002,False,-0.3038945108862312,0,4.583000000000001,7309.0,133,0,0.0,1714.2661803092046,False,-0.48563031682069774,0,0.2,13271,92,129,1.0,3812.242008816969,False,-0.044021100755323526,0,0.2,20256,0,6,0.0,156.00000000000003,False,0.000590493061706525,0,0.5780000000000001,12609,376,11,1.0,7941.34199846494,False,-0.18415160913136164,0.5,69550,0.0,0.0,12,0,0,16,0,0.0,9,25,15,155.0,57.0,11,9,15,550,0.9474112102761865,25.420838735066354
17,15,0,0,0,10.000000000000002,20,10.0,13.017040273460092,5,18.0,20.015113349119023,12,11.583333333333334,26.0,8,26.0,0,0.5870000000000002,10065,14,36,1.0,608.6134498445633,False,0.05993117907822572,0,1.8560000000000005,5930.0,167,0,0.0,1670.0000000000002,False,-0.3084943268935909,12,4.703,7006.0,138,0,0.0,1796.3515577374926,False,-0.5021305253924951,0,0.2,13271,82,139,1.0,3849.4980579512717,False,-0.04284775579644525,0,0.2,20256,0,6,0.0,156.0,False,0.000590493061706525,0,0.5780000000000001,12678,378,13,1.0,7903.71284596699,False,-0.18168209708771305,0.5,69206,0.0,0.0,11,0,0,11,2,2.0,12,23,15,126.0,54.0,7,8,15,498,0.7273475993424654,26.14818633440882
18,15,0,0,0,10.000000000000002,20,10.0,13.727401039757034,36,17.27777777777778,19.891721825125792,10,16.5,26.000000000000004,11,26.0,0,0.5870000000000002,10607,12,10,1.0,257.27401039757035,False,0.09737677657147963,0,1.8560000000000005,5810.0,179,0,0.0,1790.0000000000002,False,-0.31462741490340385,10,4.791,6570.0,156,0,0.0,2141.4745622020973,False,-0.5187240311727734,0,0.2,12960,90,149,1.0,4199.332645521876,False,-0.05141935482735331,0,0.2,20256,0,6,0.0,156.00000000000003,False,0.000590493061706525,0,0.5780000000000001,12799,378,12,1.0,7831.070849897549,False,-0.1775152334933188,0.5,69002,0.0,0.0,16,0,0,13,2,2.0,11,24,13,117.0,78.0,9,6,13,1108,0.9426905941218138,27.090876928530633
19,13,0,0,0,10.000000000000002,20,10.0,14.158960311219026,26,17.384615384615383,19.740763425235187,5,12.0,26.000000000000007,7,26.0,16,0.7470000000000001,10739,10,10,1.0,241.58960311219028,False,0.11006795477420996,0,1.8560000000000003,5690.0,191,0,0.0,1910.0000000000002,False,-0.3207605029132168,5,4.831,6138.0,177,0,0.0,2506.1359750857678,False,-0.5344502401396521,0,0.2,12870,85,159,1.0,4342.293011066012,False,-0.052585884005227616,0,0.2,20256,0,6,0.0,156.00000000000006,False,0.000590493061706525,0,0.5780000000000001,12921,373,15,1.0,7753.304757612725,False,-0.17342523477972818,0.5,68614,0.0,0.0,13,0,0,8,2,2.0,14,22,15,126.0,63.0,7,6,15,562,0.6455025235190988,27.736379452049732
20,15,0,0,0,10.000000000000002,20,10.0,13.97621038903275,74,13.486486486486486,19.9177858896433,20,22.0,26.000000000000007,8,26.0,26,0.9910000000000001,10780,8,10,1.0,219.76210389032752,False,0.1131433151329003,38,2.2360000000000007,5136.0,203,0,0.0,2030.0000000000005,False,-0.3712562608606767,10,4.926000000000001,5657.0,195,0,0.0,2725.361025861386,False,-0.5578432531537735,0,0.2,12503,131,159,1.0,4997.811517416575,False,-0.05505758637513933,0,0.2,20256,0,6,0.0,156.00000000000006,False,0.000590493061706525,0,0.5780000000000001,12689,383,17,1.0,8070.5119957333845,False,-0.17703690592133203,0.5,67021,0.0,0.0,13,0,0,10,9,8.615384615384615,15,25,20,150.0,45.0,10,5,20,818,0.8407969707623124,28.577176422812045
