index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,12,0,0,0,9.999999999999998,11,10.0,20.230671955250607,0,,11.48249084759592,49,12.224489795918368,47.0,20,47.0,0,0.35300000000000004,33295,7,20,1.0,474.61343910501216,False,0.03049498216203157,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,31,2.706000000000001,47375.0,116,0,0.0,2346.7579468090703,False,-0.20508925281781878,18,2.441000000000001,48334.0,4,0,0.0,80.92268782100243,False,-0.20793690696678618,1,0.30900000000000005,96611,82,10,1.0,1411.5642495028656,False,0.028555536910124576,9,0.8210000000000002,89743,350,0,0.0,4018.8717966585723,False,-0.030254865525241332,0.3333333333333333,348084,0.0,0.0,12,0,0,17,12,12.0,14,31,10,189.0,0.0,12,0,10,580,1.600317501462996,45.92659863922745
11,10,0,0,0,10.0,9,10.0,20.230671955250607,0,,11.479561061304205,52,11.461538461538462,46.99999999999999,20,47.0,0,0.35300000000000004,33205,6,30,1.0,666.9201586575182,False,0.030684083568800275,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,30,2.9750000000000014,46247.0,116,0,0.0,2346.7579468090703,False,-0.22355865059756141,22,2.6430000000000007,47350.0,4,0,0.0,80.92268782100243,False,-0.22404850928528505,0,0.30800000000000005,96903,90,10,1.0,1503.1604955173784,False,0.032125775487593766,10,0.9120000000000001,89144,384,0,0.0,4408.151447540815,False,-0.03452860832034657,0.3333333333333333,345575,0.0,0.0,11,0,0,15,13,13.0,18,33,9,149.0,0.0,10,0,9,560,2.3551183249801397,48.28171696420759
12,9,0,0,0,10.0,14,10.0,20.473103432578746,11,23.0,11.025571102364772,37,6.918918918918919,47.0,20,47.0,0,0.35300000000000004,33318,10,29,1.0,693.7199995447836,False,0.034568531031726926,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,6,3.005000000000001,45862.0,127,0,0.0,2600.084135937501,False,-0.2277885504802575,31,2.931000000000001,45823.0,4,0,0.0,81.89241373031498,False,-0.2490430263800446,1,0.31800000000000006,97316,88,10,1.0,1440.2502570080999,False,0.03615838005077471,9,0.9920000000000002,88782,413,0,0.0,4553.5608652766505,False,-0.03758621325753507,0.3333333333333333,343827,0.0,0.0,16,0,0,15,11,10.333333333333334,18,33,11,153.0,0.0,9,0,11,769,1.6639048578217626,49.94562182202935
13,11,0,0,0,10.0,9,10.0,19.652929250182506,18,14.5,11.398827159011251,53,13.754716981132075,47.0,20,47.0,0,0.35300000000000004,33489,9,21,1.0,502.7115142538326,False,0.03688862191539396,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,41,3.409000000000001,43969.0,127,0,0.0,2495.9220147731785,False,-0.25963649003853373,12,3.020000000000001,45170.0,22,0,0.0,432.3644435040151,False,-0.25686573301647164,0,0.31700000000000006,97425,99,12,1.0,1692.4838887421138,False,0.038643364628981165,12,1.1030000000000002,88074,445,0,0.0,5072.478085760007,False,-0.04232691388384507,0.3333333333333333,340853,0.0,0.0,13,0,0,18,13,13.0,17,35,11,170.0,0.0,11,0,11,727,1.5250657601282,51.47068758215755
14,11,0,0,0,10.0,13,10.0,19.87824521637393,13,21.923076923076923,10.491046476370471,44,3.2954545454545454,46.99999999999999,20,47.0,0,0.35300000000000004,33644,12,18,1.0,477.80841389473073,False,0.04126933641510035,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,0,3.3680000000000008,43716.0,138,0,0.0,2743.1978398596025,False,-0.261754610473691,44,3.448000000000001,42392.0,24,0,0.0,477.07788519297435,False,-0.3019854775748029,0,0.31700000000000006,97787,96,14,1.0,1665.1404617315652,False,0.042324898069711764,12,1.2110000000000003,87712,482,0,0.0,5056.684401610567,False,-0.0462364085947758,0.3333333333333333,337977,0.0,0.0,15,0,0,14,12,12.0,20,34,12,165.0,0.0,11,0,12,791,1.6436459627002478,53.1143335448578
15,12,0,0,0,10.0,9,10.0,21.630522781832383,34,27.705882352941178,10.327512764644961,33,8.575757575757576,46.99999999999999,20,47.0,16,0.5130000000000001,34138,11,10,1.0,326.30522781832383,False,0.054122698645026376,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,14,3.5080000000000005,43050.0,152,0,0.0,3287.839462838522,False,-0.2682005480004705,19,3.594000000000001,40911.0,44,0,0.0,951.7430024006248,False,-0.3223487654124453,0,0.31700000000000006,98073,103,14,1.0,1721.733814758431,False,0.04564674636557852,10,1.2990000000000002,87435,498,0,0.0,5143.1013567931905,False,-0.04870738594940974,0.3333333333333333,336333,0.0,0.0,11,0,0,19,14,13.636363636363637,14,33,14,195.0,0.0,12,0,14,882,1.6519177174195647,54.766251262277365
16,14,0,0,0,10.0,6,10.0,20.27129532598153,14,7.0,10.145745174167192,29,7.9655172413793105,46.99999999999999,20,47.0,4,0.5370000000000001,34100,7,10,1.0,272.7129532598153,False,0.052131422145971405,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,8,3.5740000000000007,42776.0,166,0,0.0,3365.035024112934,False,-0.27205492497533373,21,3.785000000000001,40035.0,44,0,0.0,891.9369943431873,False,-0.3371816403515147,0,0.31700000000000006,98536,102,13,1.0,1645.8660077650534,False,0.050139333127754884,9,1.3790000000000002,87103,518,0,0.0,5255.496000218605,False,-0.051622385455696175,0.3333333333333333,335276,0.0,0.0,8,0,0,19,10,9.285714285714285,16,35,13,210.0,0.0,14,0,13,577,1.6154596200212836,56.38171088229865
17,13,0,0,0,10.0,10,10.0,20.754840469298184,35,22.62857142857143,9.86448334211834,34,7.0588235294117645,47.0,20,47.0,25,0.7830000000000001,34212,7,10,1.0,277.5484046929819,False,0.055647639900015027,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,11,3.676000000000001,41796.0,199,0,0.0,4130.213253390339,False,-0.2818366796559065,23,3.994000000000001,38941.0,46,0,0.0,954.7226615877165,False,-0.3545803233651986,0,0.31700000000000006,98846,113,12,1.0,1678.6866176593726,False,0.053589212163290045,9,1.4600000000000002,86924,531,0,0.0,5238.040654664839,False,-0.05360650713594657,0.3333333333333333,333445,0.0,0.0,13,0,0,19,12,11.23076923076923,15,34,11,205.0,0.0,13,0,11,617,1.5521201165392995,57.93383099883795
18,11,0,0,0,10.0,8,10.0,18.698037092524178,27,7.0,9.725472341911546,23,7.695652173913044,47.0,20,47.0,17,0.9280000000000002,33934,5,10,1.0,236.98037092524177,False,0.046480952226878376,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,9,3.755000000000001,41409.0,226,0,0.0,4225.756382910464,False,-0.2873910634401672,14,4.111000000000001,38388.0,46,0,0.0,860.1097062561122,False,-0.36440948925683503,0,0.31700000000000006,99262,110,13,1.0,1680.8019576102702,False,0.05799715667500009,11,1.5610000000000002,86558,547,0,0.0,5319.833371025616,False,-0.05704257585464447,0.3333333333333333,332277,0.0,0.0,10,0,0,15,9,8.473684210526315,18,33,14,168.0,0.0,11,0,14,503,1.4104349026456475,59.344265901483595
19,14,0,0,0,10.000000000000002,11,10.0,15.433042428997693,66,7.393939393939394,9.456612465165838,50,7.72,47.00000000000001,20,47.0,56,1.471,32368,6,10,1.0,214.33042428997692,False,-0.0019924642856488047,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,17,3.9160000000000013,40479.0,292,0,0.0,4506.448389267326,False,-0.3003205260072426,33,4.4270000000000005,36570.0,46,0,0.0,709.9199517338939,False,-0.3954062289048212,0,0.31700000000000006,99662,119,10,1.0,1595.3368833547347,False,0.06177316959971848,7,1.6200000000000003,86281,578,0,0.0,5465.922004865854,False,-0.05919821378816329,0.3333333333333333,328086,0.0,0.0,14,0,0,16,16,15.23076923076923,17,33,13,221.0,0.0,14,0,13,721,1.495147107169032,60.83941300865263
20,13,0,0,0,10.000000000000002,11,10.0,14.888974182647166,19,9.0,9.805813977680913,32,13.46875,47.0,20,47.0,9,1.5050000000000001,32258,7,10,1.0,218.88974182647166,False,-0.005302861987915257,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,23,4.1290000000000004,39737.0,292,0,0.0,4347.580461332973,False,-0.313770340395807,9,4.484,36120.0,65,0,0.0,967.7833218720658,False,-0.4006632665138024,1,0.32700000000000007,99953,119,10,1.0,1636.8918633440287,False,0.06506839223877839,9,1.7030000000000003,85874,600,0,0.0,5883.488386608547,False,-0.061293196709778876,0.3333333333333333,326668,0.0,0.0,10,0,0,14,10,8.973684210526315,20,34,13,196.0,0.0,13,0,13,533,1.5813170839101076,62.420730092562735
21,13,0,0,0,10.000000000000002,10,10.0,14.908774777601337,11,15.272727272727273,9.767630721914252,36,9.416666666666666,47.0,20,47.0,1,1.5060000000000002,32307,7,10,1.0,219.08774777601337,False,-0.0037939805197293327,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,17,4.276000000000002,39292.0,292,0,0.0,4353.362235059591,False,-0.32100924914808604,19,4.665,35132.0,76,0,0.0,1133.0668830977015,False,-0.41548722137818295,3,0.3560000000000001,100172,124,10,1.0,1681.1862095173672,False,0.06761711255888261,7,1.7640000000000002,85648,621,0,0.0,6065.6986783087505,False,-0.06271892047609391,0.3333333333333333,325277,0.0,0.0,11,0,0,15,13,11.809523809523808,18,33,10,213.0,0.0,13,0,10,579,1.3829528391361237,63.80368293169886
22,10,0,0,0,10.000000000000002,11,10.0,15.309586883028988,10,23.0,9.373086418163675,49,6.714285714285714,46.99999999999999,20,47.0,0,1.5050000000000001,32427,8,10,1.0,233.09586883028987,False,0.0001090330182896835,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,18,4.439000000000001,38558.0,302,0,0.0,4623.495238674755,False,-0.33081593445103674,31,4.956,33418.0,76,0,0.0,1163.528603110203,False,-0.4433021531002538,0,0.35300000000000004,100465,131,10,1.0,1697.8743207794414,False,0.0708020626791705,10,1.8570000000000004,85316,653,0,0.0,6120.62543106088,False,-0.06593761332209017,0.3333333333333333,322910,0.0,0.0,14,0,0,15,14,14.0,18,33,10,161.0,0.0,10,0,10,810,1.2421879637986422,65.0458708954975
23,10,0,0,0,10.0,10,10.0,15.36631899991732,21,15.857142857142858,9.497966828510181,59,10.220338983050848,46.99999999999999,20,47.0,11,1.6150000000000002,32421,8,10,1.0,233.6631899991732,False,-6.663813768946151e-05,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,32,4.741000000000001,36930.0,323,0,0.0,4963.321036973294,False,-0.3546900396488416,27,5.195000000000001,32179.0,76,0,0.0,1167.8402439937163,False,-0.46355371971711595,0,0.35300000000000004,100836,132,10,1.0,1723.731621363344,False,0.0748598616570488,10,1.9470000000000005,84627,701,0,0.0,6658.074746785637,False,-0.07037956588920559,0.3333333333333333,319719,0.0,0.0,11,0,0,16,16,15.09090909090909,17,33,10,164.0,0.0,10,0,10,570,1.3192529259249568,66.36512382142246
24,10,0,0,0,10.0,11,10.0,15.800464992044096,11,23.0,9.667981769354338,64,10.625,46.99999999999999,17,47.0,1,1.6140000000000003,32545,9,10,1.0,248.00464992044095,False,0.003964423016601721,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,32,5.029000000000002,35435.0,334,0,0.0,5277.355307342728,False,-0.3765976085785872,32,5.488,30599.0,76,0,0.0,1200.8353393953514,False,-0.4891538515620776,0,0.35300000000000004,100900,155,11,1.0,2015.5371742499224,False,0.07707835530439101,8,2.0170000000000003,84175,732,0,0.0,7076.9626551673755,False,-0.07294317679454956,0.3333333333333333,316380,0.0,0.0,13,0,0,17,14,13.09090909090909,13,30,11,155.0,0.0,10,0,11,533,1.732555623166263,68.09767944458872
25,11,0,0,0,10.0,11,10.0,15.800464992044096,0,,9.90346690686762,82,11.0,46.99999999999999,20,47.0,0,1.6130000000000004,32435,10,20,1.0,416.0092998408819,False,0.00316547787094161,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,49,5.487,32860.0,334,0,0.0,5277.355307342728,False,-0.418759576027911,33,5.786000000000001,28862.0,76,0,0.0,1200.8353393953514,False,-0.5175947593133301,0,0.35300000000000004,100894,172,12,1.0,2267.3963079812306,False,0.07834590872473299,11,2.1190000000000007,83491,787,0,0.0,7794.028455704818,False,-0.07638308695394584,0.3333333333333333,311268,0.0,0.0,11,0,0,18,18,18.0,12,30,13,146.0,13.0,10,1,13,533,1.2470061983913183,69.34468564298004
26,13,0,0,0,10.000000000000002,14,10.0,16.22837475442467,11,23.0,9.859104971415958,46,9.456521739130435,46.999999999999986,20,47.0,0,1.6130000000000004,32548,14,19,1.0,448.33912033406875,False,0.007134897362232214,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,23,5.668000000000001,31831.0,345,0,0.0,5598.789290276512,False,-0.43297647697648334,23,5.9830000000000005,27826.0,76,0,0.0,1233.356481336275,False,-0.5342915440176157,1,0.36300000000000004,101314,171,10,1.0,2155.9069501121285,False,0.0821957773614762,7,2.1780000000000004,83104,824,0,0.0,8123.902496446749,False,-0.07873010359643429,0.3333333333333333,309349,0.0,0.0,17,0,0,13,11,11.0,21,34,9,202.0,0.0,13,0,9,957,1.3848322806879878,70.72951792366803
27,9,0,0,0,10.000000000000002,8,10.0,16.36862447876925,37,17.0,9.781193240789795,48,9.104166666666666,46.999999999999986,20,47.0,18,1.7930000000000004,32703,12,10,1.0,283.68624478769254,False,0.009368258217389243,0,0.2,32726,0,0,0.0,0.0,False,0.005716041794714198,24,5.885000000000002,30825.0,366,0,0.0,5990.916559229545,False,-0.4462380345218133,24,6.200000000000001,26252.0,92,0,0.0,1505.913452046771,False,-0.5578321916687398,1,0.372,101490,180,10,1.0,2230.614783342163,False,0.08445074662232295,9,2.261000000000001,82796,853,0,0.0,8343.357834393695,False,-0.08082567333724207,0.3333333333333333,306792,0.0,0.0,12,0,0,10,15,14.3125,18,28,9,140.0,0.0,9,0,9,614,1.2278156410902739,71.9573335647583
