index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,e22e5196-65ea-4d51-a404-11461cabb2e4,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,21,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,21,,-1,-1
1,89dd8ac6-db12-48ec-818b-ae4511def29e,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,8,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,8,,-1,-1
2,120721ab-2aba-4749-b2db-418e3e6b1fba,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,24,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3,321764a5-97d2-4ce9-80ed-962c7b36d24c,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,13,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,13,,-1,-1
4,c3f43122-cfcb-49f3-8d04-4ef7c76ed72a,SELLER,01Ran@0,_SystemAgent,RandomAgent,11,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,11,,-1,-1
5,095db479-f836-406c-9570-bf1f99b8a5f3,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,11,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,11,,-1,-1
6,5f6d7e06-6434-4892-9531-c59f00269212,SELLER,01Ran@0,_SystemAgent,RandomAgent,7,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,7,,-1,-1
7,af1b0108-986a-4b40-ab00-25bff47ee522,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,10,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,10,,-1,-1
8,d4fb96a9-f3ac-4171-976a-4e5fab83f61c,SELLER,01Ran@0,_SystemAgent,RandomAgent,10,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,10,,-1,-1
9,6f8124e1-bb97-4e2f-ad6c-88263688d10d,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,14,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,14,,-1,-1
10,11ed19c3-6d94-447d-ab0b-315b279060e0,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,10,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,10,,-1,-1
11,93589cb6-b8d0-40c9-bd5b-d02272c57f15,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,21,1,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
12,7d41e693-bb84-4d32-aea6-4d791a0ca819,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,4,3,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
13,1816e694-edb9-4a56-b5c5-5bbd686345a0,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,21,6,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
14,0d236329-29d9-4079-95b9-e3d0c504496a,SELLER,01Ran@0,_SystemAgent,RandomAgent,18,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,18,,-1,-1
15,25cd1bed-984f-40f0-a79c-92ed0231e3f0,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,1,3,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,1,,-1,-1
16,1e6f5968-c800-40dc-8c57-b7451d90fc98,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,25,3,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
17,3f0a56a3-467a-4114-9419-3b7937bfb9cd,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,28,1,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,28,,-1,-1
18,a0412cb8-12bf-44f7-86be-69255d7ff767,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,26,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
19,6c334ec5-e617-4c3f-a98d-754e7b0b3f85,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,16,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
20,4bf58a73-31b6-4ac4-8c20-e3f803605dcf,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,1,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,1,,-1,-1
21,1eacd837-a837-4d13-b26c-b80ea85adb19,SELLER,01Ran@0,_SystemAgent,RandomAgent,6,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,6,,-1,-1
22,43ae294c-ad5c-4968-a65d-ecbe49973622,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,7,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
23,3104f3fc-4025-4b85-b6e0-88219c3ef639,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,13,3,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
24,8b52ac90-e07f-42a0-860a-f01d59f03e4b,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,25,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
25,5127183e-4e4f-436a-8ae1-99ed92b23f41,SELLER,01Ran@0,_SystemAgent,RandomAgent,30,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,30,,-1,-1
26,48bbb424-0ab3-4026-bcb1-625b7fea98a9,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,19,2,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,19,,-1,-1
27,891e06bf-5746-41d3-a23f-7831b667a05d,SELLER,01Ran@0,_SystemAgent,RandomAgent,10,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,10,,-1,-1
28,a816b1e8-d273-480c-8b71-d5de912d2d7c,SELLER,01Ran@0,_SystemAgent,RandomAgent,9,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,9,,-1,-1
29,50f85da9-ef29-4398-ab09-8c23c7980c8e,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,16,3,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,True,0,0,16,,-1,-1
30,08a2265c-31eb-4fad-af57-112a205b3565,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,12,1,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
31,9b6ea169-8775-477a-86f9-66c574063235,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,17,1,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
32,442a712d-7050-4743-af70-9732d8ba47bd,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,29,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
33,39519262-9bc2-41ee-8306-64810586db04,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,9,4,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
34,fe5a7850-e055-49e2-973c-a16cabe6e2fb,SELLER,00Ind@0,_SystemAgent,IndDecentralizingAgent,24,4,10,0,-1,-1,00Ind@0|SELLER,[],SELLER,00Ind@0,p0,SELLER,False,0,0,24,,-1,-1
35,b29eadb4-7b10-43ec-ae1d-146066d88bd0,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,23,1,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
36,e883ed65-1833-4edb-a809-a8bb55b3fdd2,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,6,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
37,4f60741c-649b-48e5-ac10-1b9c3c888ee0,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,28,3,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
38,e6b8ece7-29c7-4088-8f7b-e0e7c60c879f,SELLER,01Ran@0,_SystemAgent,RandomAgent,13,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,13,,-1,-1
39,7eeced01-6a11-4196-a070-de14d1b78adc,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,6,1,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
40,ad6abd84-b680-4b69-a61c-e0abf1b59328,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,32,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
41,15de7540-f30f-4be7-8b20-34d5a3539047,SELLER,01Ran@0,_SystemAgent,RandomAgent,11,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,11,,-1,-1
42,5595cab0-7d92-4883-acd1-d3e429796d62,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,18,2,36,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
