index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,36.0,0,,0,0.2,20977,0,9,0.9,135.0,False,-0.0010680210756158922,0,0.2,20957.0,11,0,0.0,110.0,False,-0.0026107181848388475,0,0.2,29268,0,0,0.0,0.0,False,0.0,0,0.2,29268.0,0,0,0.0,0.0,False,0.0,0,0.2,45142,0,0,0.0,0.0,False,0.0,0,0.2,45142,0,0,0.0,0.0,False,0.0,0.15,190754,0.0,0.0,11,0,0,143,0,0.0,466,609,172,0.0,0.0,0,0,172,200,2.4565889249788597,2.4565889249788597
1,172,0,0,0,10.0,20,10.0,15.0,0,,18.463414634146343,37,12.945945945945946,36.0,0,,0,0.2,20867,1,19,1.0,295.0,False,-0.0024920491764370816,0,0.2,20867.0,20,0,0.0,200.0,False,-0.0047467603360706314,0,0.2,29268,0,0,0.0,0.0,False,0.0,37,0.5700000000000001,28121.0,0,0,0.0,0.0,False,-0.039189558562252286,0,0.2,45130,0,1,0.1,36.0,False,0.00013291391608701432,0,0.2,44675,36,0,0.0,664.6829268292684,False,-0.002982998905351291,0.18333333333333335,188928,0.0,0.0,9,0,0,42,6,6.0,103,145,89,2210.0,514.0,125,47,89,200,9.245108380971942,11.701697305950802
2,89,0,0,0,10.0,20,10.0,12.6,10,1.8,17.99009900990099,7,13.0,36.0,0,,0,0.2,20805,0,26,0.8,327.59999999999997,False,-0.004661318650021395,9,0.29000000000000004,20567.0,33,0,0.0,330.0,False,-0.015901647125836617,0,0.2,29250,0,10,1.0,179.9009900990099,False,0.002458333164189783,7,0.6030000000000002,28016.0,0,0,0.0,0.0,False,-0.042777094437611046,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,0,0.2,44584,43,0,0.0,773.5742574257426,False,-0.0037927622012123344,0.3,188352,0.0,0.0,9,0,0,37,4,4.0,60,97,65,841.0,122.0,78,11,65,208,5.424266715999693,17.125964021950494
3,65,0,0,0,10.0,20,10.0,9.555974842767297,30,4.533333333333333,16.482312338222606,20,11.0,36.0,9,36.0,0,0.2,20827,0,19,0.9,181.56352201257863,False,-0.0070830321827365815,14,0.42100000000000004,20174.0,44,0,0.0,440.0,False,-0.03194569706175535,0,0.2,29232,0,18,0.8,296.6816220880069,False,0.003838349427497718,20,0.7960000000000003,27448.0,22,0,0.0,210.23144654088054,False,-0.05859246537958046,0,0.2,45130,0,1,0.0,36.0,False,0.00013291391608701432,9,0.29000000000000004,44248,63,0,0.0,1038.3856773080242,False,-0.008302847931992171,0.2833333333333334,187059,0.0,0.0,11,0,0,29,10,10.0,30,59,54,471.0,200.0,39,26,54,312,3.7765484399860725,20.902512461936567
4,54,0,0,0,10.0,20,10.0,8.693512565751023,14,4.285714285714286,16.177674744116874,8,13.0,36.00000000000001,12,36.0,0,0.2,20763,0,25,0.8,217.33781414377557,False,-0.00927189884312482,12,0.5270000000000001,19866.0,56,0,0.0,560.0,False,-0.04371766269521052,0,0.2,29202,0,22,0.4,355.9088443705712,False,0.0038251476761406583,8,0.8560000000000001,27298.0,32,0,0.0,278.19240210403274,False,-0.06255650536244307,0,0.2,45130,0,1,0.0,36.00000000000001,False,0.00013291391608701432,12,0.401,43960,71,0,0.0,1148.6149068322982,False,-0.013461799357224987,0.20000000000000004,186219,0.0,0.0,10,0,0,24,8,8.0,24,48,42,354.0,168.0,28,26,42,216,2.7155287520145066,23.618041213951074
5,42,0,0,0,10.0,20,10.0,7.756943921716222,16,3.25,15.205981499184212,29,12.448275862068966,36.000000000000014,13,36.0,0,0.2,20663,0,35,1.0,271.49303726006775,False,-0.012733349853798245,16,0.675,19474.0,66,0,0.0,660.0,False,-0.05995158304457208,0,0.2,29202,0,22,0.0,334.53159298205264,False,0.003459949312936482,29,1.1380000000000003,26494.0,48,0,0.0,372.3333082423787,False,-0.08841852350276107,0,0.2,45130,0,1,0.0,36.000000000000014,False,0.00013291391608701432,13,0.5190000000000001,43380,100,0,0.0,1520.598149918421,False,-0.02218999878252595,0.16666666666666666,184343,0.0,0.0,9,0,0,19,13,13.0,21,40,36,295.0,127.0,21,21,36,200,2.1268962000031024,25.744937413954176
6,36,0,0,0,10.0,20,10.0,9.712185349941482,103,11.300970873786408,14.182121233425097,58,12.413793103448276,36.00000000000001,12,36.0,2,0.22000000000000003,21106,1,10,1.0,107.12185349941481,False,0.004393645357654421,66,1.3190000000000002,17600.0,75,0,0.0,750.0,False,-0.14676982959130394,0,0.2,28675,44,32,1.0,881.1640348670282,False,-0.005207666481019779,58,1.6890000000000003,23369.0,97,0,0.0,942.0819789443237,False,-0.18545712076424206,0,0.2,45130,0,1,0.0,36.00000000000001,False,0.00013291391608701432,12,0.6260000000000001,42483,158,0,0.0,2240.7751548811652,False,-0.034083833737083374,0.3333333333333333,178363,0.0,0.0,10,0,0,15,16,15.133333333333333,25,40,32,307.0,79.0,20,16,32,684,2.2265160809620284,27.971453494916204
7,32,0,0,0,10.0,20,10.0,9.34546417901623,51,8.137254901960786,13.986735210596109,14,12.0,36.00000000000001,9,36.0,4,0.258,21186,1,10,1.0,103.4546417901623,False,0.008104016751083819,37,1.6230000000000004,16693.0,85,0,0.0,850.0,False,-0.18744956567142926,0,0.2,28308,65,42,1.0,1194.8980504810916,False,-0.012387282177103155,14,1.7710000000000006,23041.0,117,0,0.0,1093.4193089448988,False,-0.1940785275908006,0,0.2,45130,0,1,0.0,36.00000000000001,False,0.00013291391608701432,9,0.7040000000000002,42194,172,0,0.0,2405.7184562225307,False,-0.03865891568580778,0.3333333333333333,176552,0.0,0.0,10,0,0,11,11,11.0,26,37,17,239.0,76.0,17,15,17,420,2.233999539981596,30.2054530348978
8,17,0,0,0,10.0,20,10.0,9.191700823222464,59,8.677966101694915,14.913029742741616,27,19.74074074074074,36.00000000000001,8,36.0,8,0.3340000000000001,21348,0,10,1.0,91.91700823222463,False,0.015519936588793455,41,1.9960000000000004,15493.0,96,0,0.0,960.0,False,-0.241799971519438,0,0.2,28421,81,42,1.0,1370.8750158761673,False,-0.005520107013185584,17,1.9270000000000003,22385.0,150,0,0.0,1378.7551234833695,False,-0.211617549482654,0,0.2,45130,0,1,0.0,36.00000000000001,False,0.00013291391608701432,8,0.7750000000000001,41564,199,0,0.0,2967.6929188055815,False,-0.046390357994710245,0.3333333333333333,174341,0.0,0.0,13,0,0,12,13,12.88888888888889,17,29,14,143.0,33.0,13,4,14,743,2.1181670530349948,32.323620087932795
9,14,0,0,0,10.000000000000002,20,10.0,9.381502798516678,19,11.68421052631579,15.388223377748693,11,21.90909090909091,36.00000000000001,16,36.0,0,0.32600000000000007,21456,0,10,0.9,93.81502798516678,False,0.020691484976151538,10,2.0550000000000006,15213.0,107,0,0.0,1070.0000000000002,False,-0.25248018227559693,0,0.2,28596,71,47,1.0,1389.3331974488729,False,0.0007744498675836337,6,1.9700000000000002,22061.0,169,0,0.0,1585.4739729493185,False,-0.21915617785722777,0,0.2,45130,0,1,0.0,36.00000000000001,False,0.00013291391608701432,16,0.927,41022,210,0,0.0,3231.5269093272254,False,-0.05547464767481257,0.31666666666666665,173478,0.0,0.0,11,0,0,9,10,10.0,20,29,18,155.0,38.0,10,4,18,573,1.5612080589635298,33.884828146896325
