index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,38.0,0,,0,0.2,36814,8,0,0.0,80.0,False,-0.0010841871306987586,0,0.2,36774,2,10,1.0,190.0,False,-0.0006776169566867241,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0.16666666666666666,374532,0.0,0.0,11,0,0,0,0,0.0,775,775,118,0.0,0.0,0,0,118,200,3.981922624632716,3.981922624632716
1,118,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,38.0,0,,0,0.2,36754,14,0,0.0,140.0,False,-0.0018973274787228275,0,0.2,36634,6,20,1.0,400.0,False,-0.0016262806960481379,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0.16666666666666666,374332,0.0,0.0,11,0,0,26,0,0.0,29,55,33,541.0,416.0,33,85,33,200,4.148072202689946,8.129994827322662
2,33,0,0,0,10.0,20,10.0,16.2,5,9.0,30.0,0,,38.0,0,,5,0.25,36570,26,0,0.0,260.0,False,-0.005258307583888979,0,0.2,36554,4,30,1.0,526.0,False,-0.0020870602265951103,0,0.2,64518,0,5,0.5,150.0,False,0.00046466242274987224,0,0.2,64563,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0,0.2,85909,0,0,0.0,0.0,False,0.0,0.25,374023,0.0,0.0,8,0,0,12,2,2.0,25,37,26,164.0,75.0,15,18,26,200,1.7687052357941866,9.898700063116848
3,26,0,0,0,10.0,20,10.0,17.771929824561404,12,23.666666666666668,30.0,0,,38.0,20,38.0,1,0.255,36468,35,0,0.0,350.0,False,-0.00680327424513471,0,0.2,36719,5,29,1.0,565.3859649122808,False,0.002918983641137788,0,0.2,64518,0,5,0.0,150.0,False,0.00046466242274987224,0,0.2,64279,2,10,1.0,335.5438596491228,False,-0.0018002272226419975,12,0.32000000000000006,85714,0,0,0.0,0.0,False,-0.0022698436717922452,8,0.28,85811,0,0,0.0,0.0,False,-0.001140741947875077,0.3333333333333333,373509,0.0,0.0,13,0,0,13,11,11.0,18,31,22,117.0,42.0,12,14,22,475,1.6955468710511923,11.59424693416804
4,22,0,0,0,10.0,20,10.0,18.98444790046656,13,23.76923076923077,30.0,0,,38.0,20,38.0,1,0.264,36356,45,0,0.0,450.0,False,-0.008483764297717786,0,0.2,36919,5,27,1.0,562.5800933125971,False,0.008301893171147086,0,0.2,64518,0,5,0.0,150.0,False,0.00046466242274987224,0,0.2,63970,5,20,1.0,694.9222395023328,False,-0.0038030896991904117,11,0.41800000000000004,85543,0,0,0.0,0.0,False,-0.004260321968594676,9,0.36200000000000004,85682,0,0,0.0,0.0,False,-0.002642330838445332,0.3333333333333333,372988,0.0,0.0,9,0,0,9,13,13.0,21,30,21,116.0,33.0,11,11,21,500,1.577916351146996,13.172163285315037
5,21,0,0,0,10.0,20,10.0,18.650910305662265,2,9.0,31.27659574468085,2,60.0,38.0,20,38.0,0,0.263,36236,57,0,0.0,570.0,False,-0.010110044993765924,0,0.2,36857,3,35,1.0,682.7818606981792,False,0.008250418234647566,0,0.2,64518,0,5,0.0,156.38297872340425,False,0.0005140945953827965,0,0.2,64072,0,25,0.7,781.9148936170212,False,-0.0015495338381346588,10,0.5070000000000001,85394,0,0,0.0,0.0,False,-0.005994715338323109,10,0.45300000000000007,85413,2,0,0.0,62.5531914893617,False,-0.005409484504013751,0.2833333333333333,372490,0.0,0.0,12,0,0,15,12,12.0,18,33,17,147.0,21.0,14,7,17,338,1.6581816989928484,14.830344984307885
6,17,0,0,0,10.0,20,10.0,18.30551330458279,2,9.0,31.16630669546436,4,30.0,38.0,20,38.0,2,0.28300000000000003,36082,70,0,0.0,700.0,False,-0.012522361359570662,0,0.2,36787,0,45,1.0,823.7480987062255,False,0.008263513019816636,0,0.2,64518,0,5,0.0,155.8315334773218,False,0.0005098239973151921,0,0.2,64174,0,23,0.2,716.8250539956803,False,-0.00047376164369934096,12,0.6170000000000001,85197,0,0,0.0,0.0,False,-0.008287839458031172,8,0.5230000000000001,85189,6,0,0.0,186.99784017278617,False,-0.007292612880066199,0.19999999999999998,371947,0.0,0.0,9,0,0,8,13,13.0,22,30,16,85.0,46.0,8,9,16,320,3.1456684013828635,17.97601338569075
7,16,0,0,0,10.0,20,10.0,17.860615481809354,26,17.0,31.16630669546436,0,,38.0,20,38.0,26,0.5410000000000001,35888,79,0,0.0,790.0,False,-0.01656095842142354,0,0.2,36677,1,55,1.0,992.3338514995145,False,0.0075667297053655345,0,0.2,64518,0,5,0.0,155.8315334773218,False,0.0005098239973151921,0,0.2,63732,16,33,1.0,1314.2579686592735,False,-0.0026930442462456835,10,0.7050000000000001,85046,0,0,0.0,0.0,False,-0.010045513275675424,10,0.6150000000000001,85049,6,0,0.0,186.99784017278617,False,-0.008922244234173453,0.3333333333333333,370910,0.0,0.0,12,0,0,11,11,11.0,17,28,20,75.0,47.0,8,8,20,200,1.5214216783642769,19.497435064055026
8,20,0,0,0,10.0,20,10.0,17.860615481809354,0,,37.427064447008405,19,51.1578947368421,38.0,20,38.0,0,0.5150000000000001,35798,88,0,0.0,880.0,False,-0.01778066894345964,0,0.2,36567,2,65,1.0,1180.940006317608,False,0.007141269668748502,0,0.2,64750,0,1,0.0,37.427064447008405,False,0.0031862449425135828,0,0.2,64472,6,28,1.0,1155.1214974070913,False,0.007536216543586031,11,0.8050000000000002,84430,0,10,1.0,380.0,False,-0.015004248681744636,9,0.6950000000000001,84404,15,0,0.0,561.405966705126,False,-0.01425109146477599,0.5,370421,0.0,0.0,14,0,0,10,9,9.0,19,29,17,119.0,63.0,9,11,17,1172,1.5568645717576146,21.05429963581264
9,17,0,0,0,10.000000000000002,20,10.0,17.637718807798784,24,17.0,35.66851343032596,12,27.666666666666668,37.99999999999999,20,38.0,24,0.7550000000000001,35572,101,0,0.0,1010.0000000000002,False,-0.022144522144522144,0,0.2,36497,0,74,0.9,1305.19119177711,False,0.006927836393141252,0,0.2,64750,0,1,0.0,35.66851343032596,False,0.0031726260662478982,0,0.2,64396,20,26,1.0,1280.1357253444507,False,0.007327228639812617,0,0.7940000000000003,84478,2,10,1.0,451.33702686065186,False,-0.014030328447190328,10,0.786,84259,15,0,0.0,535.0277014548894,False,-0.01609244839623976,0.48333333333333334,369952,0.0,0.0,14,0,0,12,6,6.0,18,30,18,90.0,38.0,9,8,18,912,1.4529211390763521,22.507220774888992
10,18,0,0,0,10.000000000000002,20,10.0,18.361374022437595,35,20.085714285714285,36.92589005384747,5,52.0,38.0,20,38.0,23,0.9610000000000001,35380,111,0,0.0,1110.0000000000002,False,-0.025993386458502736,0,0.2,36709,0,72,1.0,1322.0189296155067,False,0.01290208339588416,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,63894,45,32,1.0,2007.8903127328108,False,0.00518788092818494,0,0.794,84813,0,3,0.3,114.0,False,-0.0120941926922674,10,0.8760000000000001,83892,19,0,0.0,701.5919110231018,False,-0.01939498823741922,0.3833333333333333,369497,0.0,0.0,18,0,0,13,7,7.0,21,34,15,145.0,54.0,10,8,15,1152,1.3959355847910047,23.903156359679997
11,15,0,0,0,10.000000000000002,20,10.0,18.736400485552405,34,19.91176470588235,37.229920117318485,1,55.0,37.99999999999999,20,38.0,23,1.1680000000000004,35158,124,0,0.0,1240.0000000000002,False,-0.030248820946495364,0,0.2,36925,0,68,0.7,1274.0752330175635,False,0.018106944666037298,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,63272,69,41,1.0,2819.238358313174,False,0.001837262505716696,10,0.8940000000000001,84787,0,0,0.0,0.0,False,-0.013060331280773841,7,0.9360000000000002,83754,20,0,0.0,744.5984023463698,False,-0.02075103654828733,0.2833333333333333,368705,0.0,0.0,16,0,0,10,9,9.0,18,28,20,88.0,24.0,7,8,20,655,1.346342595294118,25.249498954974115
12,20,0,0,0,10.000000000000002,20,10.0,18.687871153273452,38,18.526315789473685,39.04739866159713,16,45.125,38.00000000000001,20,38.0,28,1.4250000000000003,34864,131,0,0.0,1310.0000000000002,False,-0.037268932617769826,0,0.2,37055,3,68,1.0,1300.7752384225948,False,0.021992400368929767,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,63290,97,35,1.0,3179.3824550234244,False,0.004905150434640798,10,0.9840000000000002,84027,4,10,1.0,536.1895946463885,False,-0.018786218005992433,10,1.0290000000000001,83498,22,0,0.0,859.0427705551368,False,-0.023064854843176347,0.5,367543,0.0,0.0,14,0,0,15,12,12.0,15,30,16,126.0,29.0,10,10,16,1182,1.4225157294422388,26.672014684416354
13,16,0,0,0,10.000000000000002,20,10.0,18.687871153273452,0,,39.953126875512844,14,44.0,38.0,20,38.0,0,1.3970000000000005,34764,141,0,0.0,1410.0000000000002,False,-0.03862416653114328,0,0.2,36955,3,78,1.0,1487.6539499553292,False,0.021814576217749942,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,63906,87,31,1.0,2864.391723475688,False,0.01200681290735933,0,0.9740000000000002,83715,8,12,1.0,775.6250150041028,False,-0.021024426922650122,12,1.139,83299,22,0,0.0,878.9687912612826,False,-0.02526528773899541,0.5,367448,0.0,0.0,13,0,0,7,6,6.0,20,27,20,70.0,30.0,6,10,20,1120,1.4149475023150444,28.086962186731398
14,20,0,0,0,10.000000000000002,20,10.0,18.412755273403615,26,16.846153846153847,38.7552460978052,6,25.0,38.00000000000001,20,38.0,14,1.5370000000000001,34506,150,0,0.0,1500.0000000000002,False,-0.04439746300211417,0,0.2,37145,4,76,1.0,1439.3694007786748,False,0.02631009650320742,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,63618,103,35,1.0,3252.947406583754,False,0.010555174067064393,0,0.9740000000000002,84095,0,10,0.8,380.00000000000006,False,-0.018903723707644135,10,1.227,83008,28,0,0.0,1085.1468907385456,False,-0.02745261328418127,0.4666666666666666,367181,0.0,0.0,18,0,0,9,7,7.0,18,27,19,108.0,45.0,8,12,19,1030,1.500421923585236,29.587384110316634
15,19,0,0,0,10.000000000000002,20,10.0,17.29507444389748,24,10.0,40.431317013516754,7,56.57142857142857,38.00000000000001,20,38.0,24,1.7630000000000003,34012,161,0,0.0,1610.0000000000002,False,-0.05629641676153304,0,0.2,37055,3,86,1.0,1517.3764021751833,False,0.024927852796866493,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,63774,117,38,1.0,3559.913756449642,False,0.015348680795886565,0,0.9740000000000002,84399,0,2,0.0,76.00000000000001,False,-0.017134409666041975,12,1.3370000000000004,82415,35,0,0.0,1415.0960954730863,False,-0.03243492477229919,0.3333333333333333,366464,0.0,0.0,16,0,0,8,8,8.0,20,28,23,99.0,59.0,8,11,23,900,1.55217438749969,31.139558497816324
16,23,0,0,0,10.000000000000002,20,10.0,16.79364493715677,12,10.0,44.68968421265878,36,52.611111111111114,38.00000000000001,20,38.0,12,1.8590000000000004,33770,172,0,0.0,1720.0000000000002,False,-0.06136499159754974,0,0.2,36965,2,96,1.0,1632.18991396705,False,0.024044423401732757,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,65548,119,12,1.0,2534.719958073561,False,0.034886234825469285,6,1.0340000000000003,83721,5,10,1.0,603.448421063294,False,-0.021956672635793224,12,1.4450000000000003,81014,56,0,0.0,2502.622315908892,False,-0.04241335415434414,0.5,365827,0.0,0.0,14,0,0,13,10,9.333333333333334,20,33,19,157.0,100.0,13,10,19,2094,1.6635505696758628,32.80310906749219
17,19,0,0,0,10.000000000000002,20,10.0,16.31161073397044,12,10.0,44.68968421265878,0,,38.00000000000001,20,38.0,12,1.967,33558,180,0,0.0,1800.0000000000002,False,-0.0660269962595544,0,0.2,36845,4,106,1.0,1769.0307378008665,False,0.022646375261571976,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,65428,121,22,1.0,2956.8779514889166,False,0.03629693440119664,3,1.0580000000000003,84076,0,5,0.5,190.00000000000003,False,-0.020230709238845755,7,1.5030000000000003,80941,56,0,0.0,2502.622315908892,False,-0.04326309050327149,0.4166666666666667,365657,0.0,0.0,15,0,0,8,5,4.666666666666666,28,36,18,158.0,15.0,14,5,18,542,1.607823652215302,34.41093271970749
18,18,0,0,0,10.000000000000002,20,10.0,17.114824710634736,50,19.56,44.68968421265878,0,,38.00000000000001,20,38.0,14,2.0950000000000006,33266,190,0,0.0,1900.0000000000002,False,-0.07258632840028188,0,0.2,37609,4,80,1.0,1409.1859768507788,False,0.03847761122202507,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64450,161,32,1.0,4185.556673217274,False,0.030664286613209375,3,1.0850000000000002,84239,0,0,0.0,0.0,False,-0.019439174009707946,12,1.616,80743,56,0,0.0,2502.622315908892,False,-0.04556785484693746,0.3333333333333333,365116,0.0,0.0,12,0,0,12,11,10.5,20,32,13,147.0,18.0,12,6,13,1216,1.3912825724110007,35.80221529211849
19,13,0,0,0,10.000000000000002,20,10.0,17.114824710634736,0,,44.68968421265878,0,,38.00000000000001,20,38.0,0,2.0810000000000004,33146,202,0,0.0,2020.0000000000005,False,-0.07421260909633003,0,0.2,37529,2,90,1.0,1560.3342239571261,False,0.03835764926488211,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64450,151,42,1.0,4461.305268237515,False,0.03279978678374233,14,1.2220000000000002,83982,0,0,0.0,0.0,False,-0.022430711566890547,6,1.6640000000000004,80675,56,0,0.0,2502.622315908892,False,-0.04635939007607527,0.3333333333333333,364591,0.0,0.0,10,0,0,6,12,12.0,24,30,16,90.0,12.0,9,4,16,200,1.2018260089680552,37.004041301086545
20,16,0,0,0,10.000000000000002,20,10.0,17.59402086701091,35,20.085714285714285,42.72423513979226,14,29.714285714285715,38.00000000000001,20,38.0,23,2.311000000000001,32954,212,0,0.0,2120.0000000000005,False,-0.07806147341031063,0,0.2,37741,2,88,1.0,1568.2738362969603,False,0.04421144137660533,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64163,176,38,1.0,4720.068607906027,False,0.030358476278255542,12,1.328,83694,0,6,0.6,228.00000000000006,False,-0.024456110535566705,8,1.738,80265,64,0,0.0,2734.351048946705,False,-0.049783194723796685,0.43333333333333335,363626,0.0,0.0,15,0,0,6,9,9.0,21,27,16,90.0,42.0,7,9,16,928,1.1200226368382573,38.1240639379248
21,16,0,0,0,10.000000000000002,20,10.0,17.618472188748164,23,17.82608695652174,41.91443859076415,3,16.0,38.000000000000014,20,38.0,11,2.3980000000000006,32723,223,0,0.0,2230.0000000000005,False,-0.08283189678538516,0,0.2,37951,1,86,1.0,1525.1886082323422,False,0.04931951819038796,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,63801,189,45,1.0,5216.04098025779,False,0.028592545112973315,0,1.3160000000000003,83874,0,3,0.3,114.00000000000004,False,-0.023024362988743902,14,1.87,80024,64,0,0.0,2682.5240698089056,False,-0.05289012751976557,0.3833333333333333,363182,0.0,0.0,17,0,0,4,7,7.0,22,26,15,70.0,33.0,5,11,15,776,1.1066629104316235,39.230726848356426
22,15,0,0,0,10.000000000000002,20,10.0,18.009852808498678,11,25.0,41.3823416930568,22,39.22727272727273,38.00000000000001,20,38.0,0,2.387000000000001,32603,235,0,0.0,2350.0000000000005,False,-0.08445817748143329,0,0.2,38146,0,84,0.9,1512.827635913889,False,0.05443741036366189,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64389,190,33,1.0,4787.489309485623,False,0.034381064305295785,10,1.4160000000000004,83634,0,5,0.5,190.00000000000003,False,-0.025375688228241513,7,1.9260000000000002,79298,81,0,0.0,3351.969677137601,False,-0.05744468171473542,0.39999999999999997,362879,0.0,0.0,17,0,0,7,7,7.0,24,31,10,80.0,15.0,10,5,10,1452,1.1761730890721083,40.406899937428534
23,10,0,0,0,10.000000000000002,20,10.0,18.009852808498678,0,,40.642998848190786,3,16.0,38.00000000000001,20,38.0,0,2.3870000000000005,32503,245,0,0.0,2450.0000000000005,False,-0.08581341139480675,0,0.2,38046,0,94,1.0,1692.9261639988758,False,0.05416769886700912,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64437,180,40,1.0,4867.493459457393,False,0.035744106217627636,1,1.4160000000000004,83769,0,3,0.3,114.00000000000003,False,-0.024246586504324343,14,2.0590000000000006,79043,81,0,0.0,3292.082906703454,False,-0.06076148653398675,0.3833333333333333,362607,0.0,0.0,14,0,0,5,8,7.5,21,26,12,48.0,12.0,6,4,12,400,1.1099727181717753,41.51687265560031
24,12,0,0,0,10.000000000000002,20,10.0,18.524943136073965,13,25.923076923076923,40.755893818965525,6,42.5,38.00000000000001,20,38.0,0,2.3870000000000005,32383,257,0,0.0,2570.0000000000005,False,-0.08743969209085488,0,0.2,38303,0,89,0.8,1648.7199391105828,False,0.06053450343024045,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64355,183,44,1.0,5183.323921936018,False,0.036919938060003495,8,1.495,83561,0,5,0.5,190.00000000000003,False,-0.026225424577168865,9,2.1350000000000002,78887,82,0,0.0,3341.983293155173,False,-0.062286935634478464,0.3833333333333333,362298,0.0,0.0,16,0,0,4,8,8.0,22,26,13,68.0,21.0,5,7,13,906,1.1433997033163905,42.6602723589167
25,13,0,0,0,10.000000000000002,20,10.0,16.892360833975665,33,8.0,42.48058321944222,10,57.8,38.0,20,38.0,33,2.7170000000000005,31557,267,0,0.0,2670.0000000000005,False,-0.1084729224264108,0,0.2,38203,0,99,1.0,1672.343722563591,False,0.058144193128470564,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64669,206,44,1.0,5348.971993454445,False,0.04306624532204545,2,1.5070000000000003,83737,0,0,0.0,0.0,False,-0.025282566436578238,13,2.2560000000000007,78088,92,0,0.0,3908.213656188684,False,-0.06829195045810865,0.3333333333333333,361063,0.0,0.0,13,0,0,3,10,9.666666666666668,20,23,15,56.0,35.0,5,8,15,930,1.1150835994631052,43.775355958379805
26,15,0,0,0,10.000000000000002,20,10.0,16.896677837002304,8,17.0,42.98847570160507,15,46.0,37.99999999999999,20,38.0,8,2.7640000000000002,31425,277,0,0.0,2770.0000000000005,False,-0.11069550604434325,0,0.2,38103,0,109,1.0,1841.7378842332512,False,0.057729412427945666,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,65223,204,39,1.0,5123.4728311110675,False,0.04990066161045088,11,1.6150000000000002,82871,5,10,1.0,594.9423785080253,False,-0.03190036912018523,9,2.3330000000000006,77967,92,0,0.0,3954.9397645476665,False,-0.06942846637402568,0.5,360398,0.0,0.0,12,0,0,5,13,13.0,20,25,17,101.0,34.0,7,8,17,890,1.1631620731204748,44.93851803150028
27,17,0,0,0,10.000000000000002,20,10.0,16.91353511162421,35,17.0,40.480196330334046,18,27.444444444444443,37.99999999999999,20,38.0,35,3.1060000000000008,31215,284,0,0.0,2840.0000000000005,False,-0.11543882474115032,0,0.2,37973,3,119,1.0,2042.710678283281,False,0.05692945571479489,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,65122,229,31,1.0,5128.0856268023,False,0.048372021334218446,0,1.6040000000000005,83213,0,6,0.5,227.99999999999994,False,-0.03005505825932091,11,2.434,77302,110,0,0.0,4452.821596336745,False,-0.0742714872927356,0.4166666666666667,359634,0.0,0.0,17,0,0,7,7,7.0,25,32,19,108.0,34.0,9,8,19,1036,1.2355782333761454,46.174096264876425
28,19,0,0,0,10.000000000000002,20,10.0,16.949238989435983,57,17.07017543859649,40.39540288954308,19,39.94736842105263,37.99999999999999,20,38.0,46,3.5310000000000006,30463,297,0,0.0,2970.0000000000005,False,-0.1340597387109015,0,0.2,38189,0,118,1.0,2000.010200753446,False,0.06220537486791137,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64908,276,22,1.0,5566.6888246542785,False,0.04845413646093169,4,1.6440000000000006,82763,4,10,1.0,541.5816115581722,False,-0.0334680789465703,10,2.5230000000000006,77041,115,0,0.0,4645.471332297454,False,-0.07618834270974253,0.5,358173,0.0,0.0,15,0,0,7,10,10.0,16,23,17,105.0,52.0,6,13,17,1473,1.0070886826142669,47.18118494749069
29,17,0,0,0,10.000000000000002,20,10.0,16.949238989435983,0,,39.45381733879976,7,25.0,37.99999999999999,20,38.0,0,3.4850000000000008,30343,309,0,0.0,3090.0000000000005,False,-0.13568601940694963,0,0.2,38109,0,126,0.8,2135.604112668934,False,0.06187461528526234,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,65083,266,25,1.0,5494.843004659965,False,0.05060826638058914,1,1.6500000000000006,83136,0,4,0.4,151.99999999999997,False,-0.031393684014480436,9,2.6030000000000006,76741,122,0,0.0,4813.365715333571,False,-0.07870324578720751,0.3666666666666667,358221,0.0,0.0,15,0,0,3,6,6.0,24,27,20,54.0,49.0,6,11,20,755,1.9117678934708238,49.092952840961516
30,20,0,0,0,10.000000000000002,20,10.0,16.945443148874887,21,16.904761904761905,39.201344978130116,5,34.0,38.0,20,38.0,10,3.5850000000000004,30093,321,0,0.0,3210.0000000000005,False,-0.14083590827776873,0,0.2,38304,0,123,0.8,2084.289507311611,False,0.06646459461310252,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64898,277,30,1.0,5869.928101582247,False,0.05064764727151967,8,1.7290000000000003,83186,0,0,0.0,0.0,False,-0.03169632983738607,8,2.674,76471,127,0,0.0,4978.570812222525,False,-0.08088459409245528,0.3,357761,0.0,0.0,14,0,0,12,9,8.666666666666666,17,29,16,120.0,52.0,10,10,16,759,1.1810504607856274,50.27400330174714
31,16,0,0,0,10.000000000000002,20,10.0,16.43054654723899,14,8.285714285714286,39.201344978130116,0,,38.00000000000001,20,38.0,14,3.7150000000000007,29763,333,0,0.0,3330.0000000000005,False,-0.14815417140998535,0,0.2,38224,0,131,0.8,2152.4015976883074,False,0.06521929849959762,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64782,281,40,1.0,6185.037378899361,False,0.05129127657403911,10,1.8210000000000002,83037,0,0,0.0,0.0,False,-0.0334307232071145,10,2.766000000000001,76321,127,0,0.0,4978.570812222525,False,-0.08263062768614163,0.3,356936,0.0,0.0,8,0,0,7,13,13.0,21,28,14,90.0,24.0,8,8,14,200,1.0427791625261307,51.316782464273274
32,14,0,0,0,10.000000000000002,20,10.0,16.43054654723899,0,,38.150885699298826,14,30.857142857142858,38.00000000000001,20,38.0,0,3.701000000000001,29683,341,0,0.0,3410.0000000000005,False,-0.14923835854068412,0,0.2,38104,2,141,1.0,2336.7070631606975,False,0.06446450727978385,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,65214,271,36,1.0,5826.109999476524,False,0.05520274769973921,11,1.9210000000000005,82868,0,0,0.0,0.0,False,-0.03539792105600112,9,2.846000000000001,75770,141,0,0.0,5379.274883601134,False,-0.08671224852110287,0.3333333333333333,356448,0.0,0.0,14,0,0,2,9,9.0,22,24,20,44.0,39.0,3,11,20,632,0.9471434941515326,52.26392595842481
33,20,0,0,0,10.000000000000002,20,10.0,16.43054654723899,0,,37.14572669955868,11,28.0,38.00000000000001,20,38.0,0,3.701000000000001,29593,350,0,0.0,3500.0000000000005,False,-0.15045806906272022,0,0.2,37994,3,151,1.0,2511.0125286330876,False,0.06384523945130763,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,65522,261,35,1.0,5588.473083313929,False,0.058132932819989255,4,1.9500000000000004,82834,0,0,0.0,0.0,False,-0.03579368867057002,16,2.9970000000000008,75137,152,0,0.0,5646.150458332919,False,-0.09252726455707255,0.3333333333333333,355889,0.0,0.0,14,0,0,7,10,10.0,23,30,21,130.0,68.0,10,10,21,508,1.1807362595573068,53.44466221798211
34,21,0,0,0,10.000000000000002,20,10.0,16.86177464414591,10,26.0,37.32254022801107,1,55.0,38.00000000000001,20,38.0,0,3.701000000000001,29493,360,0,0.0,3600.0000000000005,False,-0.15181330297609366,0,0.2,38154,3,151,1.0,2576.1279712660325,False,0.06906445453550757,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,65317,261,44,1.0,6043.11495215457,False,0.0584786561355155,15,2.0960000000000005,82543,0,0,0.0,0.0,False,-0.03918099384232153,5,3.031000000000001,75039,153,0,0.0,5710.348654885694,False,-0.09329436581216352,0.3333333333333333,355355,0.0,0.0,13,0,0,6,11,11.0,23,29,16,137.0,40.0,11,10,16,515,1.2306176759302616,54.675279893912375
35,16,0,0,0,10.0,20,10.0,16.70330870982097,45,16.0,37.12179686504573,2,28.0,38.00000000000001,20,38.0,45,4.151000000000001,28988,371,0,0.0,3710.0,False,-0.1640104081964547,0,0.2,38064,2,161,1.0,2709.232702281176,False,0.06842891394645716,0,0.2,64809,0,0,0.0,0.0,False,0.0038102318665489522,0,0.2,64653,296,52,1.0,6874.512815089385,False,0.05463278359965749,6,2.1410000000000005,82479,0,0,0.0,0.0,False,-0.0399259681756277,14,3.1660000000000004,74736,155,0,0.0,5753.878514082088,False,-0.09656800501645879,0.3333333333333333,353729,0.0,0.0,12,0,0,6,11,11.0,23,29,14,114.0,38.0,8,8,14,256,1.0065138535574079,55.68179374746978
