index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,14,0,0,0,10.000000000000002,20,10.0,23.28176630688495,0,,23.959077010378348,5,13.0,34.99999999999999,7,35.0,0,0.34400000000000003,52043,7,29,1.0,745.1712228996636,False,0.03524689639647313,0,0.4880000000000001,48818,105,0,0.0,1050.0000000000002,False,-0.02543896032075211,0,0.24500000000000002,72830,8,24,1.0,761.2719787041599,False,-0.0007556576126431667,0,1.298,69574.0,48,0,0.0,1117.5247827304777,False,-0.04276523365046222,0,0.4700000000000001,91326,92,13,1.0,2659.235084954808,False,-0.009221566516848122,0,0.2,93388,0,10,0.0,349.99999999999994,False,0.00048119078680040206,0.5,427979,0.0,0.0,14,0,0,16,0,0.0,16,32,15,106.0,96.0,7,7,15,510,2.6803366239764728,46.5295701349969
11,15,0,0,0,10.000000000000002,20,10.0,24.422183586974302,29,28.448275862068964,23.486714266459693,23,20.304347826086957,35.0,6,35.0,0,0.34400000000000003,52789,4,13,1.0,357.48838663066596,False,0.046152440072590534,3,0.5180000000000001,48622,118,0,0.0,1180.0000000000002,False,-0.02802630799312674,0,0.24500000000000002,72988,9,15,1.0,572.1003662796642,False,0.0001098761108812919,4,1.338,68930.0,66,0,0.0,1611.8641167403039,False,-0.04818152951750951,0,0.4700000000000001,91069,105,17,1.0,3061.104997978268,False,-0.00982107723658411,0,0.2,93388,0,10,0.0,350.0,False,0.00048119078680040206,0.5,427786,0.0,0.0,22,0,0,14,2,2.0,20,34,17,143.0,60.0,10,5,17,1641,3.807166546001099,50.336736680998
12,17,0,0,0,10.000000000000002,20,10.0,25.265768754628922,16,31.5,23.47033804577842,97,23.443298969072163,35.0,10,35.0,3,0.374,53098,6,10,1.0,312.65768754628925,False,0.05181270059396706,0,0.5150000000000001,48542,126,0,0.0,1260.0000000000002,False,-0.028816337816752583,3,0.275,72650,15,10,1.0,613.689911777218,False,-0.004219624984459287,79,2.124,67465.0,66,0,0.0,1667.5407378055088,False,-0.06779719967102402,0,0.4700000000000001,89145,192,17,1.0,5101.3049047894565,False,-0.019486596672354733,0,0.2,93388,0,10,0.0,350.0,False,0.00048119078680040206,0.5,424288,0.0,0.0,18,0,0,19,5,3.5892857142857144,15,34,21,142.0,96.0,10,7,21,858,3.871316149015911,54.20805283001391
13,21,0,0,0,10.000000000000002,20,10.0,26.57651935385657,41,30.4390243902439,24.089555589756685,30,28.866666666666667,35.00000000000001,13,35.0,31,0.681,53152,6,10,1.0,325.76519353856565,False,0.05300868236395258,0,0.5150000000000001,48442,136,0,0.0,1360.0000000000002,False,-0.029803875096284883,6,0.332,72346,30,10,1.0,1038.191136513264,False,-0.005471902816359194,14,2.1850000000000005,66747.0,82,0,0.0,2179.2745870162385,False,-0.07410480586481975,0,0.4700000000000001,89062,204,14,1.0,5404.269340310364,False,-0.01875430751133278,0,0.2,93060,0,18,0.8,630.0000000000001,False,-0.0015291173891657222,0.6333333333333333,422809,0.0,0.0,21,0,0,18,5,4.125,18,36,19,217.0,129.0,13,8,19,983,5.385111445037182,59.593164275051095
14,19,0,0,0,10.000000000000002,20,10.0,26.40196417385923,11,24.09090909090909,23.605359366828537,99,22.454545454545453,35.00000000000001,10,35.0,0,0.6500000000000001,53298,7,12,1.0,386.8235700863108,False,0.05649526545087313,3,0.5450000000000002,48286,145,0,0.0,1450.0000000000002,False,-0.0319962078568466,12,0.44600000000000006,72229,23,10,1.0,843.2987696670477,False,-0.008398856429537261,77,2.9410000000000007,64748.0,90,0,0.0,2376.176775647331,False,-0.10004519984953916,0,0.4700000000000001,87189,293,14,1.0,7406.370294480761,False,-0.02807817588870186,0,0.2,93060,0,18,0.0,630.0000000000001,False,-0.0015291173891657222,0.5,418810,0.0,0.0,18,0,0,20,5,4.230769230769231,17,37,16,189.0,126.0,12,7,16,806,4.18940307298908,63.782567348040175
15,16,0,0,0,10.000000000000002,20,10.0,25.201420677247455,31,19.741935483870968,23.29899350688901,24,19.458333333333332,35.00000000000001,8,35.0,6,0.7100000000000002,53578,8,10,1.0,332.01420677247455,False,0.06148421132085561,13,0.6720000000000002,47920,154,0,0.0,1540.0000000000002,False,-0.038336197191443974,0,0.43400000000000005,72357,26,15,1.0,1004.721840211769,False,-0.00555017443144315,19,3.0540000000000007,63741.0,108,0,0.0,2721.753433142725,False,-0.1114312680292173,0,0.4700000000000001,87002,307,16,1.0,7712.791006614925,False,-0.028439492896474905,0,0.2,93060,0,18,0.0,630.0000000000001,False,-0.0015291173891657222,0.5,417658,0.0,0.0,16,0,0,15,6,5.333333333333333,19,34,12,167.0,90.0,11,5,12,680,7.3170144179603085,71.09958176600048
16,12,0,0,0,10.000000000000002,20,10.0,25.201420677247455,0,,22.925573030005626,11,13.0,35.00000000000001,12,35.0,0,0.7040000000000002,53508,5,20,1.0,554.0284135449491,False,0.06229413218724642,0,0.659,47790,167,0,0.0,1670.0000000000002,False,-0.03961999565483597,0,0.43400000000000005,72357,16,25,1.0,976.3620565860999,False,-0.005743714297313176,11,3.145000000000001,63532.0,108,0,0.0,2721.753433142725,False,-0.11428388725232215,0,0.4700000000000001,87279,308,14,1.0,7551.076493241733,False,-0.02634211331913783,0,0.2,93060,0,18,0.0,630.0000000000001,False,-0.0015291173891657222,0.5,417526,0.0,0.0,22,0,0,13,1,1.0,16,29,11,146.0,54.0,9,3,11,620,4.719941360002849,75.81952312600333
17,11,0,0,0,10.000000000000002,20,10.0,25.83838105188446,16,32.0,22.291527282765507,21,14.047619047619047,35.00000000000001,8,35.0,0,0.7040000000000002,53930,4,14,1.0,401.73733472638247,False,0.06912501564976377,0,0.6590000000000001,47680,178,0,0.0,1780.0000000000002,False,-0.040706286662321504,0,0.43400000000000005,72522,6,24,1.0,690.0269410976789,False,-0.005445725567809825,10,3.2340000000000004,62830.0,124,0,0.0,3203.9592504336733,False,-0.1205746236287386,0,0.4700000000000001,87264,319,16,1.0,7670.997203202197,False,-0.025861346461632035,0,0.2,93060,0,18,0.0,630.0000000000001,False,-0.0015291173891657222,0.5,417286,0.0,0.0,18,0,0,15,1,1.0,15,30,9,106.0,57.0,7,4,9,1157,4.27330061304383,80.09282373904716
18,9,0,0,0,10.000000000000002,20,10.0,25.83838105188446,0,,21.685245521450994,24,15.0,35.00000000000001,8,35.0,0,0.7040000000000002,53850,2,24,1.0,640.1211452452271,False,0.06989908499975535,0,0.659,47560,190,0,0.0,1900.0000000000002,False,-0.041891331397760266,0,0.43400000000000005,72522,0,30,0.6,650.5573656435298,False,-0.005715083629217304,24,3.4640000000000004,62218.0,124,0,0.0,3203.9592504336733,False,-0.1289277478609882,0,0.4700000000000001,87184,333,18,1.0,7851.186758643181,False,-0.025753401705323087,0,0.2,93060,0,18,0.0,630.0000000000001,False,-0.0015291173891657222,0.43333333333333335,416394,0.0,0.0,16,0,0,15,2,2.0,13,28,13,90.0,57.0,5,4,13,480,4.119724387011956,84.21254812605912
19,13,0,0,0,10.000000000000002,20,10.0,25.86195260320785,19,26.05263157894737,21.685245521450994,0,,35.00000000000001,11,35.0,0,0.7040000000000002,54209,2,19,1.0,511.3770994609492,False,0.07571820721949943,4,0.6990000000000001,47396,200,0,0.0,2000.0000000000005,False,-0.04414291639509391,0,0.43400000000000005,72251,2,40,1.0,919.1337260644555,False,-0.007581049012744895,0,3.440000000000001,61994.0,131,0,0.0,3387.9157910202284,False,-0.13072969869366258,0,0.4700000000000001,87569,323,17,1.0,7599.334303428671,False,-0.02298309254138946,0,0.2,93060,0,18,0.0,630.0000000000001,False,-0.0015291173891657222,0.5,416479,0.0,0.0,21,0,0,17,1,1.0,17,34,14,164.0,21.0,11,2,14,1044,7.835659703996498,92.04820783005562
