index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,10.000000000000002,20,10.0,9.738715757539325,4,1.0,23.925553875114513,109,24.174311926605505,44.0,9,44.0,0,0.36200000000000004,52694,110,0,0.0,1100.0000000000002,False,-0.017910172461495896,4,0.47400000000000003,52412,110,0,0.0,1100.0000000000002,False,-0.023111684958037445,0,0.2,77541,0,17,0.4,406.73441587694674,False,0.014740810649852778,100,2.8740000000000006,67888,0,0,0.0,0.0,False,-0.11390719832930889,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,94479,237,14,1.0,6286.35626840214,False,-0.014046861177814373,0.2333333333333333,444027,0.0,0.0,15,0,0,17,5,5.0,16,33,16,173.0,72.0,12,4,16,740,1.9218697557225823,22.01756700873375
11,16,0,0,0,10.000000000000002,20,10.0,9.584774979393124,1,2.0,23.804233259818666,15,21.733333333333334,44.0,8,44.0,0,0.3620000000000001,52624,117,0,0.0,1170.0000000000002,False,-0.018555750253619847,1,0.48000000000000004,52259,123,0,0.0,1230.0000000000002,False,-0.024734851978234804,0,0.2,77711,0,14,0.1,333.25926563746134,False,0.01648018838110985,11,2.8840000000000003,67657,0,0,0.0,0.0,False,-0.1169222737061933,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,94505,242,16,1.0,6464.624448876118,False,-0.012884043262621426,0.18333333333333335,443769,0.0,0.0,17,0,0,17,2,2.0,17,34,16,139.0,93.0,10,6,16,724,1.9221017630770802,23.93966877181083
12,16,0,0,0,10.000000000000002,20,10.0,9.584774979393124,0,,24.8938778495111,83,28.096385542168676,44.0,12,44.0,0,0.3620000000000001,52564,123,0,0.0,1230.0000000000002,False,-0.019109102646868947,0,0.4790000000000001,52119,137,0,0.0,1370.0000000000002,False,-0.026026007562482707,0,0.2,77887,0,10,0.0,248.938778495111,False,0.018227101602134862,79,3.6630000000000003,66139,0,0,0.0,0.0,False,-0.13673562618286236,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,92701,315,14,1.0,8457.571522595998,False,-0.0210398052649854,0.16666666666666666,440423,0.0,0.0,20,0,0,14,2,2.0,15,29,17,133.0,111.0,9,7,17,904,1.6370826596394181,25.576751431450248
13,17,0,0,0,10.000000000000002,20,10.0,9.165042079781719,6,6.0,25.136712425700768,4,43.0,44.0,10,44.0,2,0.38200000000000006,52422,133,0,0.0,1330.0000000000002,False,-0.02080604998616619,4,0.5190000000000001,51947,147,0,0.0,1470.0000000000002,False,-0.02827630729502905,0,0.2,78023,0,12,0.6,301.64054910840923,False,0.020346149899552406,0,3.584,66139,0,0,0.0,0.0,False,-0.13673562618286236,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,92969,309,14,1.0,8383.244139541537,False,-0.01870843152140869,0.26666666666666666,440513,0.0,0.0,19,0,0,19,2,2.0,16,35,12,185.0,108.0,11,6,12,812,1.4405773598700762,27.017328791320324
14,12,0,0,0,10.000000000000002,20,10.0,7.060047630102205,18,1.6666666666666667,25.136712425700768,0,,43.99999999999999,5,44.0,4,0.42000000000000004,52200,146,0,0.0,1460.0000000000002,False,-0.023701927510836485,14,0.655,51476,154,0,0.0,1540.0000000000002,False,-0.03631836207691598,0,0.2,77993,8,22,1.0,609.4880544062345,False,0.021963636718698994,0,3.5840000000000005,66139,0,0,0.0,0.0,False,-0.13673562618286236,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,93189,299,19,1.0,8351.87701528453,False,-0.016644900087440413,0.3333333333333333,440010,0.0,0.0,15,0,0,15,5,5.0,17,32,11,118.0,72.0,8,4,11,420,1.492042581550777,28.5093713728711
15,11,0,0,0,10.000000000000002,20,10.0,6.973856609863182,1,2.0,24.38260979981792,22,15.181818181818182,43.99999999999999,7,44.0,1,0.42600000000000005,52027,161,0,0.0,1610.0000000000002,False,-0.025509545328783547,0,0.6410000000000001,51426,159,0,0.0,1590.0000000000002,False,-0.036779489071290236,0,0.2,77991,0,31,0.9,755.8609037943555,False,0.022892781464428334,22,3.8040000000000007,65532,0,0,0.0,0.0,False,-0.14465835671865823,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,93163,311,22,1.0,8550.991647743373,False,-0.01590199444646972,0.31666666666666665,439152,0.0,0.0,15,0,0,15,3,3.0,18,33,14,121.0,54.0,8,3,14,508,1.472252231091261,29.981623603962362
16,14,0,0,0,10.000000000000002,20,10.0,6.862893928138986,1,1.0,23.024344913906397,42,14.571428571428571,43.99999999999999,10,44.0,1,0.43500000000000005,51913,170,0,0.0,1700.0000000000002,False,-0.02678225583325648,0,0.6410000000000002,51316,170,0,0.0,1700.0000000000002,False,-0.037793968458913585,0,0.2,78144,0,21,0.1,483.5112431920343,False,0.023112388195471137,31,4.092000000000001,64413,0,0,0.0,0.0,False,-0.15926385172616328,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,92991,343,22,1.0,8865.350305469894,False,-0.016051678539838802,0.18333333333333335,437790,0.0,0.0,17,0,0,14,6,6.0,17,31,16,128.0,90.0,9,5,16,794,2.6564627261832356,32.6380863301456
17,16,0,0,0,10.000000000000002,20,10.0,6.53018488742765,4,2.5,21.910701425694747,44,15.0,43.99999999999999,14,44.0,3,0.464,51767,178,0,0.0,1780.0000000000002,False,-0.028737434289403303,1,0.6510000000000001,51172,182,0,0.0,1820.0000000000002,False,-0.03934335516001107,0,0.2,78310,0,14,0.4,306.74981995972644,False,0.024125496442992347,33,4.391000000000001,63214,0,0,0.0,0.0,False,-0.1749135286823729,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,92947,377,18,1.0,9052.33443748692,False,-0.015551824318589886,0.2333333333333333,436423,0.0,0.0,21,0,0,19,5,5.0,15,34,10,136.0,108.0,10,6,10,992,2.159220077097416,34.79730640724301
18,10,0,0,0,10.000000000000002,20,10.0,5.755780861853103,10,2.1,21.910701425694747,0,,43.99999999999999,11,44.0,3,0.4910000000000001,51605,187,0,0.0,1870.0000000000002,False,-0.030895508623074795,7,0.7200000000000002,50895,193,0,0.0,1930.0000000000005,False,-0.04343816287005441,0,0.2,78289,0,24,1.0,525.8568342166739,False,0.025281321113467883,0,4.3580000000000005,63214,0,0,0.0,0.0,False,-0.1749135286823729,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,93431,367,17,1.0,8789.227423229971,False,-0.011992226156009906,0.3333333333333333,436447,0.0,0.0,17,0,0,15,3,3.0,13,28,14,86.0,54.0,7,3,14,684,1.8432917967438698,36.64059820398688
19,14,0,0,0,10.000000000000002,20,10.0,5.7413814433978585,1,5.0,21.948798195928955,17,22.58823529411765,43.99999999999999,10,44.0,1,0.49800000000000005,51515,194,0,0.0,1940.0000000000005,False,-0.031909988010698144,0,0.7130000000000001,50765,206,0,0.0,2060.0000000000005,False,-0.044637093055427464,0,0.2,78460,0,21,0.1,460.92476211450804,False,0.027089504418942142,13,4.488,62967,0,0,0.0,0.0,False,-0.17813744044899824,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,93487,374,17,1.0,8956.850525277428,False,-0.010580173687912527,0.18333333333333335,436207,0.0,0.0,17,0,0,17,2,2.0,15,32,16,172.0,72.0,10,4,16,816,1.543025872670114,38.183624076657
