index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,18,0,0,0,10.000000000000002,20,10.0,7.983746803716816,21,6.0476190476190474,33.27518508303734,5,41.0,41.0,14,41.0,10,1.0200000000000002,19629,104,0,0.0,1040.0000000000002,False,-0.08720666847875329,11,0.8230000000000002,19387,116,0,0.0,1160.0000000000002,False,-0.09545166258947178,0,0.2,33280,0,51,0.5,1697.0344392349045,False,0.04381322545930553,0,0.2,33242,6,42,1.0,1445.4602543098692,False,0.03880383310358872,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.44300000000000006,50060,0,6,0.5,246.0,False,-0.004779470093606219,0.3333333333333333,206022,0.0,0.0,21,0,0,14,5,5.0,14,28,23,117.0,125.0,8,10,23,979,0.8664268320426345,12.723669291473925
11,23,0,0,0,10.000000000000002,20,10.0,7.9068214842441735,15,7.333333333333333,34.32724366085342,10,40.5,41.0,10,41.0,10,1.11,19419,111,0,0.0,1110.0000000000002,False,-0.09513454743136722,5,0.8620000000000001,19157,129,0,0.0,1290.0000000000002,False,-0.10292651988765063,0,0.2,33475,0,51,0.5,1750.6894267035243,False,0.050597770777824874,0,0.2,33342,6,47,1.0,1660.8213809655756,False,0.045155697653620805,0,0.2,50424,0,0,0.0,0.0,False,0.0,4,0.4830000000000001,49859,0,10,1.0,410.0,False,-0.007139457401237506,0.4166666666666667,205676,0.0,0.0,18,0,0,12,6,6.0,25,37,23,235.0,95.0,15,8,23,851,0.9364576991647482,13.660126990638673
12,23,0,0,0,10.000000000000002,20,10.0,7.723105927778217,29,7.0,31.740857188745025,16,21.75,40.99999999999999,9,41.0,15,1.2500000000000002,19074,120,0,0.0,1200.0000000000002,False,-0.10872519706441967,14,0.9970000000000001,18740,140,0,0.0,1400.0000000000002,False,-0.1193259037782006,0,0.2,33600,14,50,1.0,1695.1663424261465,False,0.05357178771755183,0,0.2,33362,1,52,1.0,1658.2476797425197,False,0.04572803522973022,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.4790000000000001,49880,6,11,1.0,641.4451431324701,False,-0.004427999136001997,0.5,205080,0.0,0.0,17,0,0,18,7,7.0,19,37,21,206.0,95.0,15,8,21,917,0.9857493117451668,14.64587630238384
13,21,0,0,0,10.000000000000002,20,10.0,7.444518474166296,20,5.65,32.357925790664204,5,41.0,40.99999999999999,12,41.0,11,1.3450000000000002,18757,135,0,0.0,1350.0000000000002,False,-0.11968832110174867,9,1.0730000000000002,18491,145,0,0.0,1450.0000000000002,False,-0.12947358883754642,0,0.2,33551,13,60,1.0,2038.2542876040143,False,0.05731976828364341,0,0.2,33503,2,57,1.0,1859.2908070161923,False,0.053114919363472506,0,0.2,50424,0,0,0.0,0.0,False,0.0,1,0.4890000000000001,50118,1,10,1.0,442.3579257906641,False,-0.0016821560587154168,0.5,204844,0.0,0.0,18,0,0,13,5,4.5,21,34,27,208.0,127.0,13,8,27,815,1.561746459454298,16.207622761838138
14,27,0,0,0,10.000000000000002,20,10.0,7.186160398787137,14,4.714285714285714,32.95374429493948,5,41.0,40.99999999999999,9,41.0,5,1.3840000000000003,18622,142,0,0.0,1420.0000000000002,False,-0.12421853764609948,9,1.1540000000000001,18167,158,0,0.0,1580.0000000000002,False,-0.14120684968741506,0,0.2,33504,10,70,1.0,2378.623704633635,False,0.06108734561771519,0,0.2,33689,0,61,0.9,2010.1784019913084,False,0.0611111206568281,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.4880000000000001,50282,0,7,0.6,286.99999999999994,False,2.974773917182294e-05,0.4166666666666667,204688,0.0,0.0,17,0,0,16,4,4.0,19,35,20,184.0,114.0,13,14,20,774,1.0094640627503395,17.217086824588478
15,20,0,0,0,10.000000000000002,20,10.0,7.267608595075933,23,7.739130434782608,34.02272383889917,10,41.0,40.99999999999999,8,41.0,15,1.5290000000000004,18222,156,0,0.0,1560.0000000000002,False,-0.13916825224245719,8,1.225,17964,164,0,0.0,1640.0000000000002,False,-0.149044124309142,0,0.2,33441,8,80,1.0,2779.958775872541,False,0.06529787704723115,0,0.2,33984,5,61,1.0,2111.724197148229,False,0.07168650900948478,0,0.2,50424,0,0,0.0,0.0,False,0.0,1,0.4980000000000001,50151,0,10,1.0,409.99999999999994,False,-0.0013485641757893067,0.5,204186,0.0,0.0,16,0,0,10,6,6.0,17,27,25,152.0,104.0,9,11,25,897,0.8631542567163706,18.080241081304848
16,25,0,0,0,10.000000000000002,20,10.0,7.157880001796609,9,5.444444444444445,34.91397526676821,16,38.6875,40.99999999999999,9,41.0,5,1.5640000000000003,18037,168,0,0.0,1680.0000000000002,False,-0.1448310229228957,4,1.2570000000000001,17796,172,0,0.0,1720.0000000000002,False,-0.15484280148591104,0,0.2,33855,0,77,0.8,2688.376095541152,False,0.07655945827534189,0,0.2,34140,4,66,1.0,2332.953887613888,False,0.07984086566573714,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.4970000000000001,49901,6,11,1.0,660.4838516006092,False,-0.003822744609703584,0.4666666666666666,204153,0.0,0.0,18,0,0,12,3,3.0,21,33,26,222.0,110.0,13,12,26,1188,0.9928165953606367,19.073057676665485
17,26,0,0,0,10.000000000000002,20,10.0,7.025968443907566,29,6.413793103448276,33.37181831756636,6,14.0,40.999999999999986,8,41.0,11,1.6690000000000003,17810,175,0,0.0,1750.0000000000002,False,-0.1535290386880493,18,1.4330000000000003,17237,185,0,0.0,1850.0000000000002,False,-0.17722207121500408,0,0.2,33738,7,86,1.0,2919.15815441806,False,0.07651024826306072,0,0.2,34155,6,71,1.0,2411.5549112106564,False,0.08150163492798282,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.49700000000000005,50145,2,13,1.0,599.7436366351325,False,0.00041392627156842113,0.5,203509,0.0,0.0,16,0,0,14,7,7.0,20,34,27,195.0,111.0,14,12,27,612,1.108621927909553,20.181679604575038
18,27,0,0,0,10.000000000000002,20,10.0,7.300959945862977,15,10.0,34.28831294568472,10,41.0,40.999999999999986,10,41.0,15,1.8080000000000003,17485,183,0,0.0,1830.0000000000002,False,-0.16644015583944913,0,1.415,17117,197,0,0.0,1970.0000000000005,False,-0.17994020114161458,0,0.2,34098,2,86,1.0,2963.3968332206123,False,0.08819728457946864,0,0.2,34055,6,81,1.0,2821.1591082756404,False,0.08470698416129856,0,0.2,50424,0,0,0.0,0.0,False,0.0,0,0.49700000000000005,50145,2,13,1.0,601.5766258913692,False,0.0004321020336681395,0.5,203324,0.0,0.0,19,0,0,13,3,3.0,20,33,20,176.0,132.0,12,15,20,1020,0.970357496291399,21.152037100866437
19,20,0,0,0,10.000000000000002,20,10.0,7.181457223227019,19,6.2631578947368425,35.01988344115297,10,40.5,40.999999999999986,14,41.0,10,1.8930000000000005,17265,191,0,0.0,1910.0000000000002,False,-0.1745945456192806,9,1.5050000000000006,16792,209,0,0.0,2090.0000000000005,False,-0.19194527498414424,0,0.2,34246,4,91,1.0,3215.535222037828,False,0.09657963087285641,0,0.2,34193,3,86,1.0,3033.2543476088363,False,0.09217112716553756,0,0.2,50424,0,0,0.0,0.0,False,0.0,1,0.5070000000000001,50265,2,10,1.0,480.0397668823058,False,0.0016067722402258733,0.5,203185,0.0,0.0,19,0,0,10,7,6.333333333333333,20,30,23,141.0,89.0,10,10,23,1056,0.9499360769987106,22.101973177865148
