index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,20.0,0,,25.0,0,,0,0.2,20276,6,0,0.0,60.0,False,-0.0014752163650668766,0,0.2,20196,14,0,0.0,140.0,False,-0.0034421715184893785,0,0.2,26829,0,0,0.0,0.0,False,0.0,0,0.2,26829.0,0,0,0.0,0.0,False,0.0,0,0.2,33476,0,0,0.0,0.0,False,0.0,0,0.2,33476,0,0,0.0,0.0,False,0.0,0.0,161082,0.0,0.0,8,0,0,106,0,0.0,355,461,34,0.0,0.0,0,0,34,200,0.5813108260044828,0.5813108260044828
1,34,0,0,0,10.0,20,10.0,16.0,0,,18.53061224489796,4,2.0,25.0,0,,0,0.2,20186,15,0,0.0,150.0,False,-0.003688040912667191,0,0.2,20086,25,0,0.0,250.0,False,-0.006146734854445318,0,0.2,26829,0,0,0.0,0.0,False,0.0,4,0.24000000000000002,26741.0,0,0,0.0,0.0,False,-0.003280032800328003,0,0.2,33476,0,0,0.0,0.0,False,0.0,0,0.2,33468,0,4,0.4,100.0,False,0.001254630182817541,0.06666666666666667,160786,0.0,0.0,9,0,0,25,1,1.0,23,48,22,544.0,28.0,32,2,22,200,1.5476476500043646,2.1289584760088474
2,22,0,0,0,10.0,20,10.0,13.692307692307692,20,8.5,13.27753303964758,24,3.625,25.0,0,,10,0.30000000000000004,19971,24,0,0.0,240.0,False,-0.012047600314712824,10,0.30000000000000004,19851,36,0,0.0,360.0,False,-0.014998033044846577,0,0.2,26659,10,10,1.0,269.6984073195527,False,-0.0013101791471997414,24,0.4760000000000001,26063.0,0,0,0.0,0.0,False,-0.02855119460285512,0,0.2,33389,14,10,1.0,435.8854625550661,False,0.003911540544794171,0,0.2,33468,0,4,0.0,100.0,False,0.001254630182817541,0.3333333333333333,159401,0.0,0.0,9,0,0,19,7,7.0,19,38,16,201.0,3.0,21,1,16,200,1.8619697620160878,3.990928238024935
3,16,0,0,0,10.0,20,10.0,13.007299270072993,10,9.0,12.552749314475395,8,7.0,25.0,10,25.0,5,0.34,19841,32,0,0.0,320.0,False,-0.016473249409913453,5,0.34,19681,48,0,0.0,480.0,False,-0.02040715971675846,0,0.2,26569,10,20,1.0,381.1279789902378,False,-0.002588095363408251,8,0.532,25927.0,0,0,0.0,0.0,False,-0.033620336203362036,0,0.2,33583,12,10,1.0,400.63299177370476,False,0.00918020360517538,0,0.2,33468,0,4,0.0,100.0,False,0.001254630182817541,0.3333333333333333,159069,0.0,0.0,12,0,0,18,3,3.0,13,31,18,152.0,3.0,15,1,18,450,1.1428789329947904,5.1338071710197255
4,18,0,0,0,10.0,20,10.0,12.448011165387298,10,9.0,12.552749314475395,0,,25.0,13,25.0,5,0.385,19671,44,0,0.0,440.0,False,-0.021882376081825333,5,0.385,19551,56,0,0.0,560.0,False,-0.024832808811959088,0,0.2,26479,10,30,1.0,501.06259108813487,False,-0.003707506968427161,0,0.524,25927.0,0,0,0.0,0.0,False,-0.033620336203362036,3,0.23,33818,2,10,1.0,275.1054986289508,False,0.014325270322454188,0,0.2,33468,0,4,0.0,100.0,False,0.001254630182817541,0.3333333333333333,158914,0.0,0.0,12,0,0,16,3,3.0,12,28,12,178.0,27.0,14,4,12,450,1.048046957992483,6.181854129012208
5,12,0,0,0,10.0,20,10.0,11.917970061086123,10,8.5,12.356917644091315,9,11.0,25.0,10,25.0,5,0.43000000000000005,19526,53,0,0.0,530.0,False,-0.026799763965381588,5,0.43000000000000005,19391,67,0,0.0,670.0,False,-0.029996066089693154,0,0.2,26493,10,31,1.0,502.244147577692,False,-0.0031636634317772916,0,0.524,25927.0,0,0,0.0,0.0,False,-0.033620336203362036,0,0.227,33969,1,10,1.0,262.3569176440913,False,0.01864555080720657,0,0.2,33468,0,4,0.0,100.0,False,0.001254630182817541,0.3333333333333333,158774,0.0,0.0,13,0,0,12,2,2.0,13,25,11,93.0,20.0,9,3,11,549,0.8633878770051524,7.045242006017361
6,11,0,0,0,10.0,20,10.0,11.917970061086123,0,,13.159879345508077,84,13.773809523809524,25.0,7,25.0,0,0.42500000000000004,19436,62,0,0.0,620.0,False,-0.029012588512981902,0,0.42500000000000004,19281,78,0,0.0,780.0,False,-0.032700629425649094,0,0.2,26641,0,31,1.0,407.9562597107504,False,0.0005955544319719445,74,1.2640000000000002,23633.0,0,0,0.0,0.0,False,-0.11912482761191248,0,0.227,32987,75,13,1.0,1311.9909509131057,False,0.004988513426232379,0,0.2,33468,0,4,0.0,100.0,False,0.001254630182817541,0.3333333333333333,155446,0.0,0.0,15,0,0,13,4,4.0,13,26,10,129.0,14.0,10,1,10,523,0.6995663759880699,7.744808382005431
7,10,0,0,0,10.0,20,10.0,11.474288162104974,10,8.5,12.88757934672722,6,6.833333333333333,24.999999999999996,11,25.0,5,0.4750000000000001,19311,69,0,0.0,690.0,False,-0.033438237608182535,5,0.4750000000000001,19101,91,0,0.0,910.0,False,-0.038355625491738786,0,0.2,26586,0,40,1.0,515.5031738690888,False,0.0005498373750249477,5,1.2400000000000002,23520.0,0,0,0.0,0.0,False,-0.12333668791233367,0,0.227,33221,71,12,1.0,1215.0181336176327,False,0.010530202736552037,0,0.2,33468,0,4,0.0,99.99999999999999,False,0.001254630182817541,0.3333333333333333,155207,0.0,0.0,15,0,0,13,4,4.0,12,25,12,127.0,13.0,9,1,12,505,1.4953159189899452,9.240124300995376
8,12,0,0,0,10.0,20,10.0,11.044668642590034,40,10.3,14.405419273470462,68,17.205882352941178,24.999999999999996,7,25.0,16,0.6300000000000001,18991,80,0,0.0,800.0,False,-0.04646931549960661,24,0.7100000000000002,18748,100,0,0.0,1000.0,False,-0.05350118017309206,0,0.2,26432,11,49,1.0,827.356899468543,False,0.0006216575248526051,67,1.9050000000000005,21738.0,19,0,0.0,209.84870420921064,False,-0.1858464962501545,0,0.227,32226,129,15,1.0,2233.2990862776896,False,-0.00398346447786932,0,0.2,33468,0,4,0.0,99.99999999999999,False,0.001254630182817541,0.3333333333333333,151603,0.0,0.0,12,0,0,9,7,7.0,14,23,14,121.0,44.0,9,3,14,405,0.902162762999069,10.142287063994445
9,14,0,0,0,10.000000000000002,20,10.0,10.809919670803104,10,8.5,14.494472158370545,1,30.0,25.0,9,25.0,5,0.6640000000000001,18826,91,0,0.0,910.0000000000001,False,-0.05187844217151849,5,0.7360000000000002,18608,109,0,0.0,1090.0000000000002,False,-0.0581726986624705,0,0.2,26377,11,58,1.0,959.5885015643257,False,0.0010359778889322917,0,1.8380000000000003,21738.0,19,0,0.0,205.38847374525898,False,-0.18592961955821571,0,0.227,32421,120,16,1.0,2139.336659004465,False,0.0004381744982145518,0,0.2,33468,0,4,0.0,100.0,False,0.001254630182817541,0.3333333333333333,151438,0.0,0.0,12,0,0,15,2,2.0,13,28,15,144.0,30.0,12,2,15,455,1.0831702139694244,11.22545727796387
