index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,26,0,0,0,10.000000000000002,11,10.0,9.946120440339763,18,8.11111111111111,21.778825498656268,23,15.130434782608695,37.00000000000001,20,37.0,0,0.2,17054,0,2,0.0,19.892240880679527,False,0.01371984319137061,16,0.8730000000000002,14323,106,0,0.0,1060.0000000000002,False,-0.11762609160577438,4,0.33000000000000007,23884,6,10,1.0,277.4649776286012,False,0.041613514669136764,0,0.34400000000000003,22859,0,2,0.2,43.557650997312535,False,-0.007901017842489904,12,0.8870000000000002,34269,33,0,0.0,718.7012414556568,False,-0.05054971976508483,8,0.9730000000000003,34077,69,0,0.0,1502.7389594072824,False,-0.04506554398706832,0.19999999999999998,146466,0.0,0.0,10,0,0,16,14,13.666666666666666,19,35,19,186.0,48.0,14,12,19,364,0.9133087005466223,16.413412937894464
11,19,0,0,0,10.000000000000002,6,10.0,10.38975894565088,19,12.157894736842104,22.446586781779,12,27.416666666666668,37.00000000000001,20,37.0,0,0.2,17054,0,2,0.0,20.77951789130176,False,0.013746198475949035,19,1.0470000000000002,14043,112,0,0.0,1120.0000000000002,False,-0.1324778708489277,0,0.32600000000000007,23898,15,15,1.0,492.54518591144824,False,0.04688343203207404,5,0.394,22793,0,0,0.0,0.0,False,-0.011707063261501106,9,0.9650000000000003,33903,38,0,0.0,852.9702977076021,False,-0.058744100985583345,11,1.075,33838,76,0,0.0,1705.9405954152041,False,-0.048832795083691566,0.16666666666666666,145529,0.0,0.0,5,0,0,16,14,13.714285714285715,20,36,10,141.0,15.0,13,6,10,305,0.725645998492837,17.1390589363873
12,10,0,0,0,10.000000000000002,11,10.0,10.506741118143905,4,13.0,22.344110675198365,1,13.0,37.00000000000001,20,37.0,0,0.2,17054,0,2,0.0,21.01348223628781,False,0.013753148049554116,4,1.068,13901,123,0,0.0,1230.0000000000002,False,-0.13764629002554507,0,0.32600000000000007,23859,9,24,1.0,630.8193262680559,False,0.048190160132421146,0,0.389,22793,0,0,0.0,0.0,False,-0.011707063261501106,10,1.056,33760,38,0,0.0,849.0762056575379,False,-0.06271830163334156,10,1.1640000000000001,33684,77,0,0.0,1720.4965219902742,False,-0.05285566294705143,0.16666666666666666,145051,0.0,0.0,8,0,0,9,11,11.0,22,31,11,104.0,6.0,8,2,11,123,0.6539050005376339,17.792963936924934
13,11,0,0,0,10.000000000000002,9,10.0,9.477406819111101,14,3.5714285714285716,23.177163179302966,5,37.0,37.00000000000001,20,37.0,0,0.2,17079,0,1,0.0,9.477406819111101,False,0.014895663483012859,13,1.1940000000000002,13515,132,0,0.0,1320.0000000000002,False,-0.1579041169132062,0,0.32600000000000007,23844,4,34,1.0,825.9331753727453,False,0.051769786570973975,5,0.43900000000000006,22793,0,9,0.9,208.5944686137267,False,-0.007184788002130469,10,1.1460000000000001,33617,38,0,0.0,880.7322008135127,False,-0.066205140918876,10,1.2540000000000002,33353,82,0,0.0,1900.5273807028432,False,-0.05946304863041727,0.31666666666666665,144201,0.0,0.0,6,0,0,18,18,18.0,17,35,6,168.0,0.0,11,0,6,115,0.6656920444220304,18.458655981346965
14,6,0,0,0,10.000000000000002,8,10.0,8.984336350485847,9,4.333333333333333,21.982991389704598,27,18.48148148148148,37.00000000000001,20,37.0,0,0.2,17079,0,1,0.0,8.984336350485847,False,0.014881017535510136,9,1.2710000000000004,13273,140,0,0.0,1400.0000000000002,False,-0.1699043545416741,0,0.32600000000000007,24098,0,27,0.6,593.5407675220241,False,0.057744889379569585,5,0.48400000000000004,22849,0,7,0.7,153.88093972793217,False,-0.005942831814422823,13,1.2660000000000002,33242,47,0,0.0,1033.200595316116,False,-0.07439678938204494,7,1.314,32924,100,0,0.0,2198.29913897046,False,-0.06714329980573515,0.21666666666666665,143465,0.0,0.0,8,0,0,9,15,14.555555555555555,18,27,10,97.0,0.0,6,0,10,426,0.5718029085546732,19.030458889901638
15,10,0,0,0,10.0,10,10.0,7.851476609234895,22,3.5,21.393163868140782,6,12.0,37.0,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,21,1.4720000000000004,12751,150,0,0.0,1500.0,False,-0.19794451375274758,0,0.32600000000000007,24119,10,31,1.0,741.7028460047133,False,0.061867555088338785,0,0.47900000000000004,22823,0,9,0.2,192.53847481326704,False,-0.006232093075201324,10,1.3530000000000002,33097,47,0,0.0,1005.4787018026168,False,-0.0787524854435922,10,1.4070000000000003,32711,106,0,0.0,2267.675370022923,False,-0.0720323073861741,0.19999999999999998,142605,0.0,0.0,7,0,0,14,14,14.0,16,30,10,143.0,17.0,9,1,10,197,0.6370191480964422,19.66747803799808
16,10,0,0,0,10.0,12,10.0,7.56568834868847,6,3.0,20.876112448314185,6,13.0,37.0,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,6,1.5110000000000001,12523,162,0,0.0,1620.0,False,-0.20792490940414662,0,0.32600000000000007,24119,0,41,1.0,855.9206103808816,False,0.0643437672978555,0,0.4790000000000001,22883,0,9,0.6,187.88501203482767,False,-0.0037314093562236302,9,1.4330000000000003,32976,47,0,0.0,981.1772850707667,False,-0.08240325064335978,11,1.5070000000000001,32462,112,0,0.0,2338.1245942111887,False,-0.07789366371173523,0.26666666666666666,142067,0.0,0.0,7,0,0,13,13,13.0,19,32,8,135.0,14.0,9,1,8,198,0.6291148066520691,20.29659284465015
17,8,0,0,0,10.0,6,10.0,7.016329699785735,22,4.7272727272727275,23.792161878194214,27,33.25925925925926,37.0,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,22,1.7250000000000003,11997,168,0,0.0,1680.0,False,-0.2373908394225628,0,0.32600000000000007,24752,2,35,1.0,846.758325136369,False,0.09159169069800911,2,0.49900000000000005,22984,0,10,1.0,237.92161878194213,False,0.0017326804574847201,8,1.5040000000000002,32251,63,0,0.0,1498.9061983262354,False,-0.0951838917755232,12,1.6160000000000005,32001,123,0,0.0,2926.4359110178884,False,-0.08246825083601267,0.3333333333333333,141089,0.0,0.0,8,0,0,8,15,14.4,19,27,14,93.0,15.0,7,1,14,843,0.5824311524629593,20.87902399711311
18,14,0,0,0,10.0,8,10.0,6.97745030021208,1,3.0,23.792161878194214,0,,37.0,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,1,1.7130000000000003,11899,176,0,0.0,1760.0,False,-0.2408364522069744,0,0.32600000000000007,24749,0,38,0.3,904.1021513713802,False,0.09270481184952908,0,0.4970000000000001,22984,0,10,0.0,237.92161878194213,False,0.0017326804574847201,10,1.596,32112,63,0,0.0,1498.9061983262354,False,-0.09899503456999566,10,1.7040000000000004,31856,123,0,0.0,2926.4359110178884,False,-0.08644390339139763,0.049999999999999996,140704,0.0,0.0,5,0,0,12,12,12.0,22,34,14,181.0,6.0,12,2,14,80,0.6704368591308594,21.549460856243968
19,14,0,0,0,10.0,6,10.0,6.7368558121788045,10,4.5,23.903147961672232,15,24.666666666666668,37.00000000000001,20,37.0,0,0.2,17104,0,0,0.0,0.0,False,0.01609932869957821,10,1.8120000000000005,11654,182,0,0.0,1820.0,False,-0.25360898235608625,0,0.32600000000000007,24954,0,38,1.0,908.3196225435448,False,0.1016849417366246,0,0.49700000000000005,23104,0,5,0.0,119.51573980836116,False,0.004368810211342,9,1.6760000000000002,31624,78,0,0.0,1864.4455410104342,False,-0.1073639293017872,11,1.8040000000000003,31686,123,0,0.0,2940.0871992856846,False,-0.09091786576982774,0.16666666666666666,140126,0.0,0.0,5,0,0,13,13,13.0,19,32,16,141.0,53.0,10,4,16,430,0.6723403763025999,22.221801232546568
