index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,38.0,0,,0,0.2,45480,8,0,0.0,80.0,False,-0.000877963125548727,0,0.2,45440,12,0,0.0,120.0,False,-0.0013169446883230904,0,0.2,64320,0,0,0.0,0.0,False,0.0,0,0.2,64320,0,0,0.0,0.0,False,0.0,0,0.2,82276,0,0,0.0,0.0,False,0.0,0,0.2,82276,0,0,0.0,0.0,False,0.0,0.0,384112,0.0,0.0,7,0,0,0,0,0.0,814,814,146,0.0,0.0,0,0,146,200,5.165721728466451,5.165721728466451
1,146,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,38.0,0,,0,0.2,45370,19,0,0.0,190.0,False,-0.0020851624231782266,0,0.2,45350,21,0,0.0,210.0,False,-0.0023046532045654083,0,0.2,64320,0,0,0.0,0.0,False,0.0,0,0.2,64320,0,0,0.0,0.0,False,0.0,0,0.2,82276,0,0,0.0,0.0,False,0.0,0,0.2,82276,0,0,0.0,0.0,False,0.0,0.0,383912,0.0,0.0,6,0,0,9,0,0.0,23,32,25,273.0,483.0,18,128,25,200,7.50725672673434,12.672978455200791
2,25,0,0,0,10.0,20,10.0,13.144927536231885,24,2.1666666666666665,28.0,0,,38.0,0,,20,0.4,44719,28,0,0.0,280.0,False,-0.01538630377524144,4,0.24000000000000002,45152,32,0,0.0,320.0,False,-0.005443371378402107,0,0.2,64298,2,10,1.0,306.28985507246375,False,0.0020389447689090796,0,0.2,64290,2,10,1.0,306.28985507246375,False,0.0019145666594563432,0,0.2,82276,0,0,0.0,0.0,False,0.0,0,0.2,82276,0,0,0.0,0.0,False,0.0,0.3333333333333333,383011,0.0,0.0,7,0,0,11,7,7.0,21,32,14,298.0,108.0,19,6,14,200,1.5368293868377805,14.209807842038572
3,14,0,0,0,10.0,20,10.0,11.860759493670887,9,3.0,28.0,0,,38.0,20,38.0,1,0.39,44642,34,0,0.0,340.0,False,-0.016417910447761194,8,0.31600000000000006,44830,46,0,0.0,460.0,False,-0.010974539069359086,0,0.2,64298,0,12,0.2,336.0,False,0.002269900497512438,0,0.2,64263,1,20,1.0,571.8607594936709,False,0.003559240978651093,9,0.29000000000000004,82161,0,0,0.0,0.0,False,-0.0013977344547620204,11,0.31000000000000005,82117,0,0,0.0,0.0,False,-0.0019325198113666197,0.19999999999999998,382311,0.0,0.0,7,0,0,9,11,11.0,11,20,12,100.0,66.0,7,7,12,200,1.5676863500848413,15.777494192123413
4,12,0,0,0,10.0,20,10.0,11.073633859979708,5,1.0,28.0,0,,38.0,20,38.0,0,0.389,44532,45,0,0.0,450.0,False,-0.017625109745390694,5,0.35800000000000004,44630,55,0,0.0,550.0,False,-0.014376646180860405,0,0.2,64298,0,12,0.0,336.0,False,0.002269900497512438,0,0.2,64258,0,26,0.6,728.0,False,0.004695273631840796,14,0.42100000000000004,81915,0,0,0.0,0.0,False,-0.004387670766687734,6,0.35900000000000004,82075,0,0,0.0,0.0,False,-0.0024429967426710096,0.09999999999999999,381708,0.0,0.0,7,0,0,7,7,7.0,13,20,14,84.0,40.0,6,6,14,200,1.5406928472220898,17.318187039345503
5,14,0,0,0,10.0,20,10.0,10.299069343329814,7,3.4285714285714284,30.545454545454547,10,42.0,38.0,20,38.0,4,0.42900000000000005,44322,58,0,0.0,580.0,False,-0.02080772607550483,3,0.38300000000000006,44503,62,0,0.0,620.0,False,-0.016395961369622476,0,0.2,64503,0,7,0.0,213.8181818181818,False,0.004507293080054233,0,0.2,64449,0,28,0.7,855.2727272727273,False,0.008654172320217045,8,0.4870000000000001,81610,0,5,0.5,190.0,False,-0.006940055423209685,12,0.47300000000000003,81692,5,0,0.0,152.72727272727275,False,-0.006169920312562201,0.19999999999999998,381079,0.0,0.0,10,0,0,6,9,9.0,16,22,13,106.0,62.0,7,7,13,620,1.7718775859102607,19.090064625255764
6,13,0,0,0,10.0,20,10.0,9.554085468430774,6,1.8333333333333333,28.474074074074075,18,22.77777777777778,38.0,20,38.0,0,0.42500000000000004,44222,68,0,0.0,680.0,False,-0.021905179982440737,6,0.44000000000000006,44271,72,0,0.0,720.0,False,-0.020390693590869185,0,0.2,64503,0,7,0.0,199.31851851851852,False,0.004394578035747154,0,0.2,64848,0,16,0.6,455.5851851851852,False,0.011750506725631151,6,0.5390000000000001,81435,1,10,1.0,408.47407407407405,False,-0.007739352459562527,9,0.5510000000000002,81472,12,0,0.0,341.68888888888887,False,-0.007695507262817265,0.26666666666666666,380751,0.0,0.0,12,0,0,7,8,7.2,16,23,14,112.0,34.0,9,4,14,648,1.8465700158849359,20.9366346411407
7,14,0,0,0,10.0,20,10.0,9.554085468430774,0,,29.42661596958175,5,41.0,38.0,20,38.0,0,0.42500000000000004,44142,76,0,0.0,760.0,False,-0.022783143107989463,0,0.43400000000000005,44151,84,0,0.0,840.0,False,-0.021707638279192275,0,0.2,64503,0,7,0.0,205.98631178707225,False,0.004446411005807447,0,0.2,65053,0,11,0.0,323.69277566539927,False,0.013912412746155194,0,0.5330000000000001,81572,0,7,0.6,266.0,False,-0.006940055423209685,11,0.6520000000000001,81325,12,0,0.0,353.119391634981,False,-0.009412712141845903,0.09999999999999999,380746,0.0,0.0,11,0,0,4,3,3.0,17,21,18,103.0,48.0,8,6,18,747,1.645034640096128,22.581669281236827
8,18,0,0,0,10.0,20,10.0,8.795223810995632,7,2.142857142857143,31.099674737983367,10,41.0,38.0,20,38.0,6,0.48500000000000004,43880,89,0,0.0,890.0,False,-0.027107111501316946,1,0.44400000000000006,44059,91,0,0.0,910.0,False,-0.02295873573309921,0,0.2,64503,0,7,0.0,217.69772316588356,False,0.004537451206202441,0,0.2,65448,0,8,0.7,248.79739790386694,False,0.019471372807088504,2,0.553,81619,0,5,0.5,190.0,False,-0.006830667509358744,11,0.7510000000000001,80961,17,0,0.0,528.6944705457172,False,-0.012769857123913939,0.19999999999999998,380470,0.0,0.0,12,0,0,9,8,7.666666666666667,17,26,17,180.0,63.0,12,6,17,838,1.6101360470056534,24.19180532824248
9,17,0,0,0,10.000000000000002,20,10.0,7.122245636567742,24,2.8333333333333335,32.793832272834386,12,41.583333333333336,37.99999999999999,20,38.0,11,0.5890000000000001,43497,102,0,0.0,1020.0000000000002,False,-0.034086918349429327,13,0.5730000000000001,43659,98,0,0.0,980.0000000000002,False,-0.030970149253731344,0,0.2,64797,0,0,0.0,0.0,False,0.007416044776119403,0,0.2,65585,14,13,1.0,526.0312584587955,False,0.023756461897223222,4,0.591,81568,0,5,0.5,189.99999999999997,False,-0.0074505323545140745,11,0.8500000000000001,80510,24,0,0.0,787.0519745480253,False,-0.016681341007413905,0.25,379616,0.0,0.0,11,0,0,9,14,13.666666666666666,13,22,18,145.0,91.0,10,7,18,851,1.5583647415041924,25.750170069746673
