index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1076,0398c220-26c4-4e84-acd6-8a06068154ee,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,58,2,34,38,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
1077,94c3fa0e-824a-4b85-976a-dda19ab75cbb,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,59,1,34,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
1078,ca0b96ec-1b61-4158-9e7a-901cf6492c3b,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,59,3,34,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
1079,700818cc-9978-4932-a576-e89c15bdfb75,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,59,2,34,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
1080,c06a86ca-2fce-4773-b91c-a19acba6d3f1,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,59,1,34,39,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
1081,617f253e-3a67-40cf-8ec9-3edee060ace7,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,59,1,34,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
1082,9a54bf15-5053-48d7-9f18-71a7f2c1aa8c,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,59,1,34,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
1083,2189701d-4b5a-4200-9e9c-4e97baa154b2,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,59,4,34,39,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
1084,3f294eac-5f4f-4a63-bc57-029811d71f6c,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,59,3,34,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
1085,52977452-3178-4d3b-a121-d241cd154519,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,49,5,41,39,-1,39,03Dec@1|04Ind@2,"[quantity: (1, 5), time: (44, 49), unit_price: (27, 54)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,49,,-1,-1
1086,c290b273-e2b5-4822-8763-de382201b096,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,59,2,34,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
1087,98731557-ad6f-4ce0-abaf-d95e364857df,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,59,2,34,39,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
1088,1386e08e-9545-4f33-8099-00a0293edf4a,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,43,9,8,39,-1,39,03Dec@1|00Buy@0,"[quantity: (1, 9), time: (39, 43), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1089,f0978258-5fbf-4d57-b32a-c6d8c0693e0c,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,60,2,34,40,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
1090,98ed6331-6d27-4a4e-868a-531d9bd8f208,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,60,2,34,40,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(1.0),-1,-1
1091,60695abb-9ae2-47db-9a8b-d8a7baa14008,03Dec@1,04Ind@2,DecentralizingAgent,IndDecentralizingAgent,49,5,41,40,-1,40,03Dec@1|04Ind@2,"[quantity: (1, 5), time: (44, 49), unit_price: (27, 54)]",03Dec@1,04Ind@2,p2,03Dec@1,False,2,17,49,,-1,-1
1092,d39b5fc3-5f57-4374-9c7f-3ec8adcba66c,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,41,5,1,40,-1,40,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (40, 44), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,7,-1,01Ran@0:product(1.0),-1,-1
1093,14a807b9-8de4-44e6-8a55-dabe0c22ae58,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,60,2,34,40,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
1094,39ada834-f1cd-4928-88e1-0d13b1289143,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,60,4,34,40,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
1095,3e9aa2d5-6323-4122-8bf1-8a2ba46b4313,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,60,1,34,40,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
1096,999a4d28-309b-40a1-8516-38b026b9b1db,00Buy@0,03Dec@1,BuyCheapSellExpensiveAgent,DecentralizingAgent,43,5,7,41,-1,41,03Dec@1|00Buy@0,"[quantity: (1, 5), time: (41, 44), unit_price: (1, 14)]",00Buy@0,03Dec@1,p1,03Dec@1,True,1,17,-1,00Buy@0:product(1.0),-1,-1
1097,86526546-7315-42ea-8eaf-799b0ee74dc6,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,42,4,3,41,-1,41,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (41, 44), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,15,-1,01Ran@0:product(1.0),-1,-1
1098,eef5b5ea-235b-4292-bfcd-6760f8accc57,01Ran@0,03Dec@1,RandomAgent,DecentralizingAgent,43,5,1,41,-1,41,03Dec@1|01Ran@0,"[quantity: (1, 5), time: (41, 45), unit_price: (1, 14)]",01Ran@0,03Dec@1,p1,03Dec@1,True,1,7,-1,01Ran@0:product(1.0),-1,-1
