index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,24,0,0,0,10.0,7,10.0,22.90184914842191,12,26.0,23.49660666161327,155,28.6,45.00000000000001,20,45.0,0,0.2,22666,0,9,0.0,206.1166423357972,False,0.004546824369888678,2,0.526,23815,7,10,1.0,299.0184914842191,False,0.0572888575726687,21,1.4540000000000002,34725,0,0,0.0,0.0,False,-0.0752083943646968,124,4.500000000000001,10268.0,72,0,0.0,1648.9331386863776,False,-0.7045868979375433,12,1.0040000000000002,45163,349,0,0.0,8200.315724903032,False,-0.08548381483531008,0,0.389,48111,252,19,1.0,6776.144878726544,False,-0.04397652707798192,0.3333333333333333,184748,0.0,0.0,7,0,0,19,15,13.397435897435898,15,34,21,276.0,111.0,17,7,21,430,1.4058227194473147,21.113202976994216
11,21,0,0,0,10.000000000000002,12,10.0,22.841707717577652,16,22.4375,24.088472967935946,85,27.376470588235293,45.0,20,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.524,23838,9,13,1.0,386.9422003285095,False,0.06024314392324422,0,1.4330000000000003,34707,0,2,0.2,48.17694593587189,False,-0.07504624695816298,85,5.226000000000002,6885.0,86,0,0.0,1964.386863711678,False,-0.7904819454085106,8,1.072,44729,369,0,0.0,8888.646525168364,False,-0.08715149508828647,0,0.389,46636,307,17,1.0,8160.161201156336,False,-0.05851190687275989,0.3666666666666667,179677,0.0,0.0,14,0,0,13,9,9.0,21,34,21,243.0,108.0,15,6,21,1019,1.6576818190515041,22.77088479604572
12,21,0,0,0,10.000000000000002,13,10.0,23.275384460768237,21,25.571428571428573,23.589840562137574,34,16.235294117647058,45.00000000000001,20,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,8,0.6040000000000001,24077,12,10,1.0,352.75384460768237,False,0.07003339461324626,0,1.4330000000000003,34378,3,12,1.0,352.90424012795563,False,-0.07975040293845431,34,5.481000000000002,5316.0,94,0,0.0,2187.8861393122143,False,-0.8292912442500171,10,1.1640000000000001,44366,382,0,0.0,9011.319094736553,False,-0.09275154920605413,0,0.389,46729,318,17,1.0,8266.569298759749,False,-0.055797789979582096,0.5,177748,0.0,0.0,16,0,0,12,10,9.88888888888889,21,33,15,270.0,93.0,15,6,15,892,1.0521637545898557,23.823048550635576
13,15,0,0,0,10.000000000000002,7,10.0,23.2897606239048,1,25.0,22.868258109194052,55,16.545454545454543,45.00000000000001,20,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.5960000000000001,24032,9,19,1.0,532.5054518541913,False,0.0720132677105399,6,1.4930000000000003,34448,0,3,0.3,68.60477432758216,False,-0.0816718850791288,37,5.817,3710.0,95,0,0.0,2212.527259270956,False,-0.8717339042415118,11,1.264,43737,409,0,0.0,9353.117566660367,False,-0.10125568457469772,0,0.389,46672,336,18,1.0,8493.734724689202,False,-0.054747394327901516,0.3833333333333333,175481,0.0,0.0,9,0,0,10,11,10.857142857142858,19,29,15,183.0,57.0,11,4,15,687,0.8725802842527628,24.69562883488834
14,15,0,0,0,10.000000000000002,6,10.0,23.434736470766406,10,25.0,22.628338875391215,19,16.526315789473685,45.0,20,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.5960000000000001,24222,5,19,1.0,495.2599929445617,False,0.07957425202824857,0,1.4870000000000003,34198,0,13,1.0,294.1684053800858,False,-0.08532626161309109,19,5.9700000000000015,3133.0,95,0,0.0,2226.2999647228085,False,-0.8869170954656207,7,1.3230000000000002,43485,418,0,0.0,9458.645649913527,False,-0.10495428037133805,0,0.389,47096,336,15,1.0,8278.121862131447,False,-0.048877609507207924,0.5,175016,0.0,0.0,8,0,0,9,8,8.0,20,29,10,143.0,111.0,8,7,10,895,0.9000421892851591,25.595671024173498
15,10,0,0,0,10.000000000000002,7,10.0,23.434736470766406,0,,21.867368258722905,53,15.377358490566039,45.0,20,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.5960000000000001,24152,2,29,1.0,699.6073576522258,False,0.08099372094000319,0,1.487,34333,0,4,0.0,87.46947303489162,False,-0.0844833487837907,44,6.391000000000002,916.0,95,0,0.0,2226.2999647228085,False,-0.9459599461407386,7,1.3860000000000001,42890,451,0,0.0,9862.18308468403,False,-0.11225418537272563,0,0.389,47361,346,12,1.0,8106.109417518125,False,-0.04555478746641679,0.3333333333333333,172534,0.0,0.0,11,0,0,7,11,11.0,17,24,14,108.0,72.0,6,4,14,790,0.7291732989251614,26.32484432309866
16,14,0,0,0,10.000000000000002,7,10.0,23.84137099423363,20,26.0,21.948170215637866,14,24.571428571428573,45.0,20,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.5960000000000001,24602,0,18,0.9,429.1446778962053,False,0.09488098204129987,0,1.487,34257,0,10,1.0,219.48170215637867,False,-0.0847495046185467,10,6.447000000000002,406.0,105,0,0.0,2503.343954394531,False,-0.9558530992250855,13,1.5090000000000003,42452,455,0,0.0,9986.41744811523,False,-0.11923203527033462,0,0.389,47516,346,15,1.0,8269.066894610702,False,-0.04116482053713983,0.48333333333333334,172115,0.0,0.0,11,0,0,10,7,7.0,18,28,16,162.0,90.0,9,5,16,1089,0.8971140068024397,27.2219583299011
17,16,0,0,0,10.000000000000002,10,10.0,23.935146540356346,10,25.0,21.468472801548454,39,16.28205128205128,44.99999999999999,7,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.5960000000000001,24752,0,18,1.0,430.83263772641425,False,0.10153605924570759,9,1.5770000000000004,33979,0,10,1.0,214.68472801548455,False,-0.09221704002749087,20,6.637000000000002,-208.0,105,0,0.0,2513.1903867374162,False,-0.9720739515468132,7,1.5660000000000005,41792,489,0,0.0,10498.083199957195,False,-0.12673495210554322,0,0.389,47441,341,25,1.0,8445.749225328023,False,-0.04091715651845231,0.5,170638,0.0,0.0,7,0,0,16,8,8.0,14,30,21,165.0,108.0,10,6,21,520,0.9791952893137932,28.201153619214892
18,21,0,0,0,10.000000000000002,10,10.0,24.326450765590735,26,26.0,22.22664155202083,25,34.8,44.99999999999999,11,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,8,0.676,25160,0,10,1.0,243.26450765590735,False,0.11539893469637134,10,1.6680000000000004,34026,3,10,1.0,295.2457678169805,False,-0.08989259676932843,5,6.667000000000002,-1347.0,118,0,0.0,2870.5211903397067,False,-0.9976494555069416,11,1.6690000000000003,40881,504,0,0.0,11202.227342218499,False,-0.1371108325701855,0,0.389,47291,341,35,1.0,9154.284769239102,False,-0.03712515065308618,0.5,168893,0.0,0.0,5,0,0,19,9,9.611439842209073,14,33,25,255.0,93.0,15,6,25,438,1.2925218166783452,29.493675435893238
19,25,0,0,0,10.000000000000002,8,10.0,24.45183066185084,10,26.0,22.152447602705482,22,20.818181818181817,44.999999999999986,11,45.0,0,0.2,22882,0,0,0.0,0.0,False,0.00952969204976617,0,0.6680000000000001,25340,0,8,0.8,195.6146452948067,False,0.12228921391720658,0,1.6580000000000001,34289,0,4,0.3,88.60979041082193,False,-0.08563996657153562,13,6.792000000000002,-4121.0,128,0,0.0,3129.8343247169073,False,-1.0680732599441143,11,1.768,40374,516,0,0.0,11430.66296299603,False,-0.1444024006553425,0,0.389,47141,341,45,1.0,9578.98463252257,False,-0.03596769294829429,0.35000000000000003,165905,0.0,0.0,6,0,0,18,8,13.592307692307692,17,35,19,258.0,117.0,16,9,19,343,1.304280124604702,30.79795556049794
