index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,25.0,0,,35.0,0,,0,0.2,12103,0,10,1.0,140.0,False,-0.0024584118659346063,0,0.2,12103,0,10,1.0,140.0,False,-0.0024584118659346063,0,0.2,19525,0,0,0.0,0.0,False,0.0,0,0.2,19525.0,0,0,0.0,0.0,False,0.0,0,0.2,26613,0,0,0.0,0.0,False,0.0,0,0.2,26613,0,0,0.0,0.0,False,0.0,0.3333333333333333,116482,0.0,0.0,12,0,0,0,0,0.0,478,478,102,0.0,0.0,0,0,102,200,1.8310000719502568,1.8310000719502568
1,102,0,0,0,10.0,20,10.0,14.0,0,,23.96385542168675,38,22.736842105263158,35.0,0,,0,0.2,11993,1,20,1.0,290.0,False,-0.005326559042858314,0,0.2,12013,0,19,0.9,266.0,False,-0.004670982545275752,0,0.2,19525,0,0,0.0,0.0,False,0.0,38,0.5800000000000001,18506.0,0,0,0.0,0.0,False,-0.05218950064020487,0,0.2,25749,38,0,0.0,910.6265060240964,False,-0.01535665828685044,0,0.2,26613,0,0,0.0,0.0,False,0.0,0.31666666666666665,114399,0.0,0.0,11,0,0,54,7,7.0,63,117,50,1590.0,36.0,95,7,50,200,4.954851933987811,6.785852005938068
2,50,0,0,0,10.0,20,10.0,12.426229508196721,16,8.0,22.777102330293822,24,19.083333333333332,35.0,0,,0,0.2,11957,1,22,1.0,283.37704918032784,False,-0.0085480189633563,0,0.2,11977,0,21,1.0,260.95081967213116,False,-0.007827959531585158,0,0.2,19397,6,10,1.0,302.32840035211854,False,0.001186386692755915,24,0.7820000000000003,18002.0,0,0,0.0,0.0,False,-0.07800256081946223,0,0.2,25445,51,0,0.0,1161.632218844985,False,-0.02206379929273316,0,0.2,26459,1,10,1.0,372.7771023302938,False,0.0012170199212845623,0.6666666666666666,113237,0.0,0.0,13,0,0,22,4,4.0,27,49,26,312.0,57.0,28,22,26,328,3.465354189975187,10.251206195913255
3,26,0,0,0,10.0,20,10.0,12.426229508196721,0,,21.704569302680536,16,15.75,35.0,20,35.0,0,0.2,11847,2,32,1.0,417.6393442622951,False,-0.012060995482164473,0,0.2,11887,0,30,0.9,372.78688524590166,False,-0.010620876618622337,0,0.2,19397,0,16,0.6,347.2731088428886,False,0.00233733953502924,16,0.9180000000000004,17696.0,0,0,0.0,0.0,False,-0.09367477592829705,13,0.33000000000000007,25107,57,0,0.0,1237.1604502527905,False,-0.03334534907276911,0,0.2,26584,1,13,1.0,476.7045693026805,False,0.007866542090382166,0.5833333333333334,112518,0.0,0.0,14,0,0,17,9,9.0,20,37,29,162.0,30.0,16,10,29,445,2.8382056599948555,13.08941185590811
4,29,0,0,0,10.0,20,10.0,11.261802575107296,15,7.0,22.125613324825636,42,23.071428571428573,35.0,20,35.0,0,0.2,11757,1,42,1.0,482.9957081545065,False,-0.016758350071519004,0,0.2,11882,1,25,1.0,291.5450643776824,False,-0.01435937620348758,0,0.2,19847,0,6,0.0,132.75367994895382,False,0.019891259409704314,32,1.2220000000000002,16704.0,15,0,0.0,168.92703862660943,False,-0.14015551757678343,9,0.4070000000000001,24344,76,0,0.0,1681.5466126867484,False,-0.053666504853140444,0,0.2,26647,14,12,1.0,729.7585865475589,False,0.014988137123728174,0.5,111181,0.0,0.0,19,0,0,16,9,9.0,26,42,23,244.0,43.0,19,10,23,1140,1.694490563008003,14.783902418916114
5,23,0,0,0,10.0,20,10.0,10.474972862139671,20,8.0,21.785682803794774,20,19.7,35.0,20,35.0,0,0.2,11677,0,51,0.9,534.2236159691232,False,-0.021215126773370327,0,0.2,11922,3,15,1.0,187.12459293209506,False,-0.015359969149713434,0,0.2,19847,0,6,0.0,130.71409682276865,False,0.019839029368060656,20,1.3900000000000001,16182.0,35,0,0.0,366.6240501748885,False,-0.1618278092144715,9,0.4880000000000001,23834,96,0,0.0,2091.4255491642984,False,-0.06512934375748135,0,0.2,27032,4,11,1.0,472.1427312151791,False,0.024614713320842804,0.48333333333333334,110494,0.0,0.0,19,0,0,12,8,8.0,24,36,34,203.0,72.0,14,9,34,745,1.1452802940038964,15.92918271292001
6,34,0,0,0,10.0,20,10.0,11.963715959816096,30,15.666666666666666,19.92720384065243,59,15.88135593220339,34.99999999999999,20,35.0,0,0.2,11857,0,40,0.9,478.54863839264385,False,-0.008745856002923722,0,0.2,12012,4,15,1.0,219.45573939724144,False,-0.006660012316756424,0,0.2,19847,0,6,0.0,119.56322304391459,False,0.019553475622123305,59,1.9600000000000002,13072.0,65,0,0.0,777.6415373880462,False,-0.31058536395933306,10,0.5790000000000002,23242,115,0,0.0,2291.6284416750295,False,-0.08361273735251516,0,0.2,26902,34,11,1.0,1062.5249305821826,False,0.030821871464738762,0.48333333333333334,106932,0.0,0.0,18,0,0,13,11,11.0,29,42,38,267.0,59.0,19,15,38,1020,1.4220473320456222,17.351230044965632
7,38,0,0,0,10.0,20,10.0,12.141550106651668,23,12.869565217391305,18.96179953709477,56,16.053571428571427,35.0,20,35.0,0,0.2,11787,0,47,0.7,570.6528550126284,False,-0.010708315372751466,8,0.28,12032,7,10,1.0,191.41550106651667,False,-0.0061699786500648895,0,0.2,19847,0,6,0.0,113.77079722256862,False,0.01940514205435516,56,2.4610000000000003,10334.0,88,0,0.0,1068.4564093853467,False,-0.4433685938697734,7,0.6390000000000002,22664,141,0,0.0,2673.6137347303625,False,-0.0981547789664758,2,0.22000000000000003,26872,54,10,1.0,1373.9371750031175,False,0.03554535706239658,0.45,103536,0.0,0.0,17,0,0,16,15,14.166666666666666,20,36,36,281.0,83.0,18,20,36,764,1.3790061009931378,18.73023614595877
8,36,0,0,0,10.0,20,10.0,14.30907121970538,50,18.88,19.20106571747863,13,22.923076923076923,35.0,20,35.0,0,0.2,12285,1,28,1.0,410.6539941517507,False,0.023545603300489684,11,0.382,12070,6,10,1.0,203.0907121970538,False,-0.002577615660204368,0,0.2,19847,0,6,0.0,115.2063943048718,False,0.019441905103837916,13,2.5350000000000006,9253.0,138,0,0.0,1974.6518283193425,False,-0.47552748198926137,8,0.7120000000000002,22270,154,0,0.0,2956.9641204917093,False,-0.10763604027182756,2,0.23800000000000002,27208,44,10,1.0,1194.8468915690596,False,0.04480605139535304,0.5,102933,0.0,0.0,18,0,0,16,10,9.285714285714285,21,37,27,258.0,98.0,17,19,27,1158,1.4686402310035191,20.19887637696229
9,27,0,0,0,10.000000000000002,20,10.0,15.200973571286,26,20.0,19.28093767565133,9,21.0,35.00000000000001,20,35.0,0,0.2,12445,3,24,1.0,394.823365710864,False,0.03600849650540297,2,0.39100000000000007,12196,4,10,1.0,192.00973571286,False,0.0072936874421397025,0,0.2,19847,0,6,0.0,115.68562605390798,False,0.019454177363736395,9,2.6120000000000005,8652.0,164,0,0.0,2492.959665690904,False,-0.4930356039515773,12,0.8240000000000001,21891,163,0,0.0,3142.792841131167,False,-0.11838588582401147,0,0.23600000000000002,27488,34,12,1.0,1075.5518809721452,False,0.05308593320881049,0.5,102519,0.0,0.0,16,0,0,18,10,9.166666666666668,22,40,22,207.0,40.0,19,8,22,760,1.2055088669876568,21.404385243949946
