index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,13,0,0,0,10.000000000000002,20,10.0,10.021312525138756,46,14.608695652173912,20.49528994102145,21,13.952380952380953,37.00000000000001,20,37.0,30,0.7160000000000002,27278,0,10,1.0,100.21312525138755,False,-0.0021868496193335335,6,1.4750000000000003,23267,112,0,0.0,1120.0000000000002,False,-0.13002044691105594,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,21,2.1650000000000005,37595,278,0,0.0,2785.9248819885743,False,-0.16086344881851225,0,0.6050000000000001,59856,33,11,1.0,1083.344568053708,False,-0.010458216724116001,11,0.9400000000000002,57445,153,0,0.0,3135.779360976282,False,-0.03314618126207248,0.3333333333333333,252518,0.0,0.0,14,0,0,11,11,10.916666666666666,25,36,14,198.0,0.0,13,0,14,740,1.3588740560226142,35.22786984895356
11,14,0,0,0,10.000000000000002,20,10.0,8.25817306343078,48,1.0,20.22737084529431,7,14.0,37.00000000000001,20,37.0,0,0.686,27188,0,19,0.9,156.90528820518483,False,-0.0044379785269975216,48,1.949,21981,123,0,0.0,1230.0000000000002,False,-0.17496713889294582,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,7,2.214000000000001,37407,326,0,0.0,2692.1644186784342,False,-0.16591876782447548,0,0.6050000000000001,60152,23,13,1.0,946.2295294417693,False,-0.006731850633709853,12,1.0490000000000002,57152,160,0,0.0,3236.3793352470893,False,-0.03712252330389363,0.31666666666666665,250957,0.0,0.0,14,0,0,13,9,9.0,22,35,11,196.0,0.0,14,0,11,496,1.5588670520228334,36.78673690097639
12,11,0,0,0,10.000000000000002,20,10.0,8.232031967514803,68,8.147058823529411,19.62501448743617,16,13.875,37.00000000000001,20,37.0,2,0.7060000000000002,27483,5,10,1.0,132.32031967514803,False,0.0058843347392133274,47,2.3710000000000004,20493,128,0,0.0,1280.0000000000002,False,-0.228384694026581,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,16,2.367000000000001,36447,394,0,0.0,3243.4205952008324,False,-0.18064848053031687,0,0.6050000000000002,60417,20,13,1.0,873.5002897487236,False,-0.002985940348739036,10,1.1370000000000002,56890,169,0,0.0,3316.627448376713,False,-0.04075768850861197,0.3333333333333333,248807,0.0,0.0,17,0,0,13,13,12.166666666666668,18,31,8,158.0,0.0,11,0,8,777,1.2288816549698822,38.015618555946276
13,8,0,0,0,10.000000000000002,20,10.0,7.990367621162503,14,3.5,18.56848626035679,43,14.837209302325581,37.00000000000001,20,37.0,0,0.7040000000000002,27423,5,15,1.0,169.85551431743755,False,0.004378843185289872,9,2.4140000000000006,20231,138,0,0.0,1380.0000000000002,False,-0.23612531035489995,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,43,2.781000000000001,34529,408,0,0.0,3260.069989434301,False,-0.22175035524262518,0,0.6050000000000001,60608,17,15,1.0,870.6642664260655,False,0.00012012800991277748,12,1.247,56169,205,0,0.0,3806.5396833731415,False,-0.048557083660682746,0.3333333333333333,246037,0.0,0.0,15,0,0,5,12,12.0,23,28,11,125.0,0.0,8,0,11,536,1.0793449750053696,39.094963530951645
14,11,0,0,0,10.000000000000002,20,10.0,7.863433940677902,5,1.6,17.69776775956215,44,14.227272727272727,37.00000000000001,20,37.0,0,0.704,27363,1,25,1.0,206.58584851694755,False,0.0028586579618253374,5,2.4550000000000005,19998,152,0,0.0,1520.0000000000002,False,-0.24207682196582445,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,44,3.178000000000001,32622,413,0,0.0,3247.5982174999735,False,-0.2629288642600408,0,0.6050000000000002,61052,7,13,1.0,604.8843743169351,False,0.0052172846706611,8,1.3150000000000002,55446,249,0,0.0,4406.744172130975,False,-0.05548574470696824,0.3333333333333333,243558,0.0,0.0,15,0,0,9,11,11.0,21,30,10,147.0,3.0,10,1,10,644,1.2892033020034432,40.38416683295509
15,10,0,0,0,10.000000000000002,20,10.0,8.441781950636937,9,23.0,17.56771537493478,10,15.0,37.0,20,37.0,0,0.7040000000000002,27460,2,26,1.0,239.48633071656036,False,0.007000991870829521,0,2.450000000000001,19908,161,0,0.0,1610.0000000000002,False,-0.24371987731853367,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,10,3.2340000000000013,32225,422,0,0.0,3562.431983168787,False,-0.2680854033062633,0,0.6050000000000001,61422,0,10,0.7,370.0,False,0.009355134674618258,10,1.4070000000000003,55153,259,0,0.0,4550.038282108108,False,-0.05911234122396524,0.2833333333333333,243245,0.0,0.0,14,0,0,13,6,6.0,18,31,9,161.0,0.0,10,0,9,777,2.6364861140027642,43.02065294695785
16,9,0,0,0,10.000000000000002,20,10.0,7.786944835310642,29,3.0,17.084975105183894,25,13.48,37.0,20,37.0,0,0.7040000000000002,27370,1,36,1.0,290.3300140711831,False,0.004643092121936247,29,2.740000000000001,19334,172,0,0.0,1720.0000000000002,False,-0.2626697823864466,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,25,3.474000000000001,31349,451,0,0.0,3511.9121207250996,False,-0.2874831892651511,4,0.645,61752,0,0,0.0,0.0,False,0.011730781833671931,6,1.4570000000000003,54753,284,0,0.0,4852.132929872226,False,-0.06319112548436802,0.16666666666666666,241635,0.0,0.0,11,0,0,6,11,10.2,21,27,10,114.0,3.0,8,1,10,422,1.1640252689830959,44.18467821594095
17,10,0,0,0,10.000000000000002,20,10.0,7.786944835310642,0,,16.913342446388903,15,14.733333333333333,37.0,20,37.0,0,0.7040000000000002,27290,0,45,0.9,350.4125175889789,False,0.002818981261665301,0,2.711000000000001,19214,184,0,0.0,1840.0000000000002,False,-0.26486052285672557,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,15,3.599000000000001,30958,451,0,0.0,3511.9121207250996,False,-0.2958986685815817,9,0.7310000000000001,61545,0,6,0.6,222.0,False,0.010157939576643292,11,1.5610000000000002,54456,293,0,0.0,4955.609336791948,False,-0.06720943920971269,0.25,240540,0.0,0.0,10,0,0,9,12,12.0,17,26,8,160.0,0.0,10,0,8,200,1.0797023770282976,45.264380592969246
18,8,0,0,0,10.000000000000002,20,10.0,9.320486633820206,48,16.249999999999996,16.821810215456825,6,14.0,37.0,20,37.0,0,0.7040000000000002,27962,0,16,0.9,149.1277861411233,False,0.023680586135189165,10,2.8110000000000004,18908,195,0,0.0,1950.0000000000005,False,-0.27402512049072586,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,6,3.644000000000001,30058,499,0,0.0,4650.922830276283,False,-0.3030118932646433,4,0.762,61729,0,0,0.0,0.0,False,0.011353955042925487,10,1.6500000000000001,54228,299,0,0.0,5029.721254421591,False,-0.07033782313371136,0.15,239962,0.0,0.0,14,0,0,9,11,10.5,20,29,11,124.0,0.0,8,0,11,1147,1.1170321989920922,46.38141279196134
19,11,0,0,0,10.000000000000002,20,10.0,9.70863280988679,19,14.578947368421053,16.20863758323129,45,13.866666666666667,37.00000000000001,20,37.0,0,0.7040000000000002,28135,0,13,0.8,126.21222652852828,False,0.029578870792473507,8,2.881000000000001,18660,207,0,0.0,2070.0000000000005,False,-0.28088944063093324,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,45,4.088000000000001,27724,518,0,0.0,5029.071795521358,False,-0.34917705011061345,8,0.8380000000000003,61632,0,0,0.0,0.0,False,0.009764729012386134,12,1.7600000000000002,53421,344,0,0.0,5575.771328631564,False,-0.07908634798617561,0.13333333333333333,236649,0.0,0.0,11,0,0,7,16,16.0,21,28,9,143.0,4.0,10,1,9,453,1.206833784992341,47.58824657695368
