index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,13.0,0,,19.0,0,,26.0,0,,0,0.2,27648,0,6,0.6,78.0,False,-0.0007579038544824599,0,0.2,27568.0,14,0,0.0,140.0,False,-0.0025263461816082,0,0.2,37753,0,0,0.0,0.0,False,0.0,0,0.2,37753,0,0,0.0,0.0,False,0.0,0,0.2,56224,0,0,0.0,0.0,False,0.0,0,0.2,56224,0,0,0.0,0.0,False,0.0,0.09999999999999999,243170,0.0,0.0,9,0,0,345,0,0.0,1061,1406,178,0.0,0.0,0,0,178,200,3.774494726967532,3.774494726967532
1,178,0,0,0,10.0,20,10.0,13.0,0,,18.617021276595743,2,10.0,26.0,0,,0,0.2,27538,1,16,1.0,218.0,False,-0.00220153024397286,0,0.2,27478.0,23,0,0.0,230.0,False,-0.0041504258697849,0,0.2,37753,0,0,0.0,0.0,False,0.0,2,0.22000000000000003,37727,0,0,0.0,0.0,False,-0.000688686991762244,0,0.2,56204,0,2,0.2,52.0,False,0.00010671599317017644,0,0.2,56224,0,0,0.0,0.0,False,0.0,0.19999999999999998,242924,0.0,0.0,11,0,0,31,1,1.0,90,121,120,1769.0,667.0,100,78,120,200,48.681280706019606,52.45577543298714
2,120,0,0,0,10.0,20,10.0,9.621212121212121,21,2.380952380952381,16.042654028436015,21,10.857142857142858,26.0,0,,0,0.2,27458,0,25,0.9,240.53030303030303,False,-0.004682216272731631,21,0.41000000000000003,26962.0,35,0,0.0,350.0,False,-0.02060776670997546,0,0.2,37748,0,5,0.5,80.21327014218008,False,0.0009299031883847599,21,0.42800000000000005,37310,16,0,0.0,153.93939393939394,False,-0.009695396472606255,0,0.2,56204,0,2,0.0,52.0,False,0.00010671599317017644,0,0.2,55996,11,10,1.0,436.46919431279616,False,-0.00017368744386028913,0.39999999999999997,241678,0.0,0.0,10,0,0,14,9,9.0,66,80,22,815.0,298.0,58,62,22,200,9.17539134400431,61.63116677699145
3,22,0,0,0,10.0,20,10.0,9.507743362831858,31,9.290322580645162,16.042654028436015,0,,26.0,12,26.0,0,0.2,27615,0,21,0.9,199.66261061946904,False,0.00024654631549493215,18,0.5690000000000002,26532.0,46,0,0.0,460.0,False,-0.03414176411144796,0,0.2,37731,2,15,1.0,259.65529715220396,False,0.0028561345741027638,0,0.4070000000000001,37039,35,0,0.0,332.771017699115,False,-0.014505191405992775,0,0.2,56204,0,2,0.0,52.0,False,0.00010671599317017644,2,0.22000000000000003,56245,1,10,1.0,276.042654028436,False,0.0028283531412603056,0.48333333333333334,241366,0.0,0.0,13,0,0,17,6,5.333333333333333,14,31,22,123.0,94.0,11,11,22,655,2.6644586750189774,64.29562545201043
4,22,0,0,0,10.0,20,10.0,10.477779992028697,19,14.631578947368421,16.042654028436015,0,,25.999999999999996,11,26.0,0,0.2,27811,0,14,0.7,146.68891988840176,False,0.006364387900397031,5,0.6010000000000001,26330.0,59,0,0.0,590.0,False,-0.03908618449545258,0,0.2,37730,0,18,0.3,288.76777251184825,False,0.003215211672076935,0,0.4070000000000001,36762,53,0,0.0,555.322339577521,False,-0.0188948912725144,0,0.2,56204,0,2,0.0,51.99999999999999,False,0.00010671599317017644,1,0.228,56500,0,1,0.1,25.999999999999996,False,0.005140153671030165,0.18333333333333335,241337,0.0,0.0,16,0,0,15,4,4.0,14,29,20,141.0,98.0,9,13,20,726,2.5318618550081737,66.8274873070186
5,20,0,0,0,10.0,20,10.0,8.774666722097503,54,5.925925925925926,14.762755466628553,13,9.153846153846153,25.999999999999996,9,26.0,0,0.2,27940,0,11,0.8,96.52133394307253,False,0.010114792369407214,43,1.0260000000000002,25186.0,71,0,0.0,710.0,False,-0.07820845965064241,0,0.2,37730,0,18,0.0,265.72959839931394,False,0.0029100945408220527,13,0.5370000000000001,36240,107,0,0.0,938.8893392644329,False,-0.027641653123401604,0,0.2,56204,0,2,0.0,51.99999999999999,False,0.00010671599317017644,8,0.30700000000000005,56338,3,10,1.0,304.28826639988563,False,0.004733639250141308,0.3,239638,0.0,0.0,12,0,0,14,13,12.8,15,29,28,91.0,98.0,7,13,28,409,2.228790150023997,69.0562774570426
6,28,0,0,0,10.0,20,10.0,10.16777725031357,42,14.476190476190476,14.616148246194571,2,10.0,25.999999999999993,11,26.0,18,0.38000000000000006,28100,0,8,0.8,81.34221800250856,False,0.015615385773107192,13,1.1130000000000002,24865.0,83,0,0.0,830.0,False,-0.08762812184206727,0,0.2,37390,11,28,1.0,521.0977006468972,False,-0.002713722079743281,2,0.544,35946,128,0,0.0,1301.475488040137,False,-0.030627029798424885,0,0.2,56204,0,2,0.0,51.999999999999986,False,0.00010671599317017644,1,0.30900000000000005,56573,0,5,0.5,129.99999999999997,False,0.007363403528742174,0.3833333333333333,239078,0.0,0.0,13,0,0,17,7,6.3125,12,29,25,173.0,96.0,11,17,25,460,2.632039087009616,71.68831654405221
7,25,0,0,0,10.0,20,10.0,9.241570818155477,55,6.636363636363637,18.337081876889545,22,28.227272727272727,25.999999999999993,12,26.0,0,0.36200000000000004,27980,2,18,1.0,186.3482747267986,False,0.013179375536429894,55,1.6500000000000001,23584.0,91,0,0.0,910.0,False,-0.13241663057600692,0,0.2,37675,40,16,1.0,663.0561427564519,False,0.006715441723259787,0,0.542,35917,144,0,0.0,1330.7861978143887,False,-0.031006990201912537,0,0.2,56204,0,2,0.0,51.999999999999986,False,0.00010671599317017644,7,0.37800000000000006,56022,12,10,1.0,480.0449825226745,False,0.0006762679862929341,0.5,237382,0.0,0.0,18,0,0,14,9,9.0,18,32,21,129.0,65.0,11,14,21,951,2.451365454995539,74.13968199904775
8,21,0,0,0,10.0,20,10.0,9.463346358443259,37,10.594594594594595,17.76278554167719,27,16.22222222222222,25.99999999999999,9,26.0,0,0.36200000000000004,28130,3,15,1.0,171.95019537664888,False,0.01833315640567078,24,1.8350000000000002,23164.0,100,0,0.0,1000.0,False,-0.14595062797747943,0,0.2,37571,64,16,1.0,889.8587356072036,False,0.006964462898408198,17,0.7120000000000002,35606,147,0,0.0,1391.111914691159,False,-0.038445793517188485,0,0.2,56204,0,2,0.0,51.99999999999998,False,0.00010671599317017644,0,0.371,55818,29,11,1.0,801.1207807086383,False,-9.674889096620587e-05,0.5,236493,0.0,0.0,16,0,0,14,5,5.0,14,28,23,108.0,84.0,8,13,23,979,2.353441831015516,76.49312383006327
9,23,0,0,0,10.000000000000002,20,10.0,9.163904619519563,60,8.149999999999999,17.302934779261633,17,14.882352941176471,25.999999999999993,10,26.0,0,0.36200000000000004,28320,2,11,1.0,120.80295081471519,False,0.024267412855758546,46,2.271000000000001,22023.0,111,0,0.0,1110.0000000000002,False,-0.18514508445214378,0,0.2,37555,88,21,1.0,1169.785236882216,False,0.010247996674200998,12,0.8150000000000002,35110,173,0,0.0,1585.3554991768845,False,-0.04901126401641074,0,0.2,56204,0,2,0.0,51.999999999999986,False,0.00010671599317017644,0,0.37100000000000005,55825,36,11,1.0,908.9056520534189,False,0.0009862839005889065,0.5,235037,0.0,0.0,17,0,0,15,6,6.0,18,33,25,140.0,53.0,11,12,25,885,4.714385473984294,81.20750930404756
