index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,30.0,0,,0,0.2,18336,10,0,0.0,100.0,False,-0.0027120850509871988,0,0.2,18336,10,0,0.0,100.0,False,-0.0027120850509871988,0,0.2,28513,0,0,0.0,0.0,False,0.0,0,0.2,28513,0,0,0.0,0.0,False,0.0,0,0.2,36196,0,0,0.0,0.0,False,0.0,0,0.2,36196,0,0,0.0,0.0,False,0.0,0.0,166090,0.0,0.0,11,0,0,0,0,0.0,466,466,55,0.0,0.0,0,0,55,200,1.240404574200511,1.240404574200511
1,55,0,0,0,10.0,20,10.0,15.4,5,1.0,27.0,0,,30.0,0,,5,0.25,18176,16,0,0.0,160.0,False,-0.009763506183553917,0,0.2,18196,24,0,0.0,240.0,False,-0.0065090041223692776,0,0.2,28513,0,0,0.0,0.0,False,0.0,0,0.2,28508,0,5,0.5,135.0,False,0.002191982604426051,0,0.2,36196,0,0,0.0,0.0,False,0.0,0,0.2,36196,0,0,0.0,0.0,False,0.0,0.08333333333333333,165785,0.0,0.0,11,0,0,43,1,1.0,29,72,23,966.0,0.0,55,0,23,200,2.9696764778345823,4.210081052035093
2,23,0,0,0,10.0,20,10.0,12.796610169491526,14,4.428571428571429,27.0,0,,30.0,0,,8,0.32500000000000007,17924,24,0,0.0,240.0,False,-0.021262746799739638,6,0.26,17996,36,0,0.0,360.0,False,-0.014102842265133435,0,0.2,28500,0,5,0.5,135.0,False,0.0019114088310595166,0,0.2,28459,0,14,0.9,378.0,False,0.004734682425560271,0,0.2,36196,0,0,0.0,0.0,False,0.0,0,0.2,36196,0,0,0.0,0.0,False,0.0,0.2333333333333333,165271,0.0,0.0,10,0,0,13,5,5.0,30,43,16,307.0,6.0,21,2,16,200,1.255895552225411,5.465976604260504
3,16,0,0,0,10.0,20,10.0,12.531760435571687,2,5.5,24.666666666666668,9,13.0,30.0,20,30.0,1,0.32700000000000007,17805,34,0,0.0,340.0,False,-0.025005424170101976,1,0.264,17884,46,0,0.0,460.0,False,-0.01746582772835756,4,0.24000000000000002,28478,0,2,0.2,49.333333333333336,False,-0.0003624077905983979,0,0.2,28459,0,14,0.0,345.33333333333337,False,0.004161844304936972,8,0.28,36122,0,0,0.0,0.0,False,-0.0020444247983202562,12,0.32000000000000006,35923,9,0,0.0,222.0,False,-0.004475632666592994,0.03333333333333333,164671,0.0,0.0,10,0,0,13,12,11.444444444444445,16,29,16,146.0,21.0,9,7,16,200,0.9742786018177867,6.440255206078291
4,16,0,0,0,10.0,20,10.0,11.289469192695,9,4.444444444444445,23.01766784452297,8,13.0,30.0,20,30.0,8,0.406,17563,43,0,0.0,430.0,False,-0.035691039270991536,1,0.273,17762,57,0,0.0,570.0,False,-0.021100021696680408,6,0.29600000000000004,28350,0,9,0.9,207.15901060070672,False,-0.002083979051648264,0,0.2,28459,0,14,0.0,322.24734982332154,False,0.003757011710856855,11,0.382,35987,0,0,0.0,0.0,False,-0.005774118687147751,9,0.398,35725,17,0,0.0,391.30035335689047,False,-0.0076071892839418105,0.15,163846,0.0,0.0,11,0,0,11,15,14.75,17,28,11,126.0,28.0,8,8,11,200,0.8342295028269291,7.27448470890522
5,11,0,0,0,10.0,20,10.0,11.114450676947252,2,6.5,21.513513513513512,9,13.0,29.999999999999996,20,30.0,1,0.40800000000000003,17456,52,0,0.0,520.0,False,-0.03905402473421567,1,0.28200000000000003,17640,68,0,0.0,680.0,False,-0.024734215665003254,0,0.29000000000000004,28454,0,2,0.2,43.027027027027025,False,-0.0013147156204708968,0,0.2,28459,0,14,0.0,301.18918918918916,False,0.0033877387365269605,9,0.461,35888,0,0,0.0,0.0,False,-0.00850922753895458,11,0.4990000000000001,35475,26,0,0.0,559.3513513513514,False,-0.012192626929061964,0.03333333333333333,163372,0.0,0.0,11,0,0,9,12,12.0,17,26,7,102.0,13.0,6,5,7,317,0.7528065498918295,8.02729125879705
6,7,0,0,0,10.0,20,10.0,10.913199715865566,1,1.0,21.513513513513512,0,,30.0,20,30.0,1,0.41700000000000004,17346,61,0,0.0,610.0,False,-0.04257973530049902,0,0.281,17530,79,0,0.0,790.0,False,-0.027717509221089173,0,0.29000000000000004,28453,0,3,0.1,64.54054054054053,False,-0.000972529363088066,0,0.2,28459,0,14,0.0,301.18918918918916,False,0.0033877387365269605,12,0.5720000000000001,35733,0,0,0.0,0.0,False,-0.012791468670571333,8,0.5680000000000001,35397,26,0,0.0,559.3513513513514,False,-0.014347561175940073,0.016666666666666666,162918,0.0,0.0,10,0,0,10,11,11.0,16,26,7,100.0,18.0,6,1,7,200,0.647318403236568,8.674609662033617
7,7,0,0,0,10.0,20,10.0,10.757756472351074,4,9.0,22.771798269106082,17,26.764705882352942,30.0,20,30.0,0,0.41600000000000004,17266,69,0,0.0,690.0,False,-0.04474940334128878,4,0.32100000000000006,17362,91,0,0.0,910.0,False,-0.03357561293122152,5,0.34,28361,0,4,0.4,91.08719307642433,False,-0.0037336093522879732,0,0.2,28810,0,5,0.0,113.85899134553041,False,0.012412916763327762,11,0.6700000000000002,35609,0,0,0.0,0.0,False,-0.016217261575864738,9,0.6500000000000001,34846,43,0,0.0,979.1873255715615,False,-0.023770757465306085,0.06666666666666667,162254,0.0,0.0,11,0,0,8,12,11.625,17,25,7,100.0,3.0,6,1,7,551,0.6955553535372019,9.37016501557082
8,7,0,0,0,10.0,20,10.0,10.138987698699141,3,1.0,22.561567708372966,15,21.666666666666668,30.0,20,30.0,3,0.44600000000000006,17116,78,0,0.0,780.0,False,-0.050444781948361904,0,0.31700000000000006,17252,102,0,0.0,1020.0,False,-0.03655890648730744,6,0.395,28296,0,3,0.3,67.6847031251189,False,-0.006423654067879277,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,11,0.7690000000000001,35478,0,0,0.0,0.0,False,-0.01983644601613438,9,0.7310000000000001,34425,58,0,0.0,1308.570927085632,False,-0.030851876905105102,0.049999999999999996,161572,0.0,0.0,12,0,0,8,11,10.6,18,26,7,103.0,3.0,6,1,7,395,0.6809218600392342,10.051086875610054
9,7,0,0,0,10.000000000000002,20,10.0,9.125941825079094,9,4.333333333333333,20.713738199168635,17,13.0,29.999999999999996,20,30.0,6,0.5030000000000001,16872,91,0,0.0,910.0000000000001,False,-0.06015404643089607,3,0.3470000000000001,17146,109,0,0.0,1090.0000000000002,False,-0.04041006725970926,14,0.5290000000000001,27960,0,9,0.9,186.4236437925177,False,-0.016125563009986302,0,0.2,29005,0,0,0.0,0.0,False,0.017255287062041876,11,0.8680000000000001,35342,0,0,0.0,0.0,False,-0.023593767267101336,9,0.812,34116,75,0,0.0,1553.5303649376476,False,-0.036004940256690744,0.15,160441,0.0,0.0,10,0,0,8,13,12.7,19,27,8,119.0,0.0,7,0,8,200,0.7032485548406839,10.754335430450737
