index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,21.025368744195056,0,,30.298412799931775,33,35.333333333333336,32.0,20,32.0,0,0.2,32777,0,46,1.0,967.1669622329725,False,0.02475840284427056,0,0.2,32082,12,57,1.0,1318.4460184191182,False,0.008756909425071931,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.2,37659,12,28,1.0,1100.6599833284304,False,0.008214945159750214,10,1.0020000000000002,55240,26,0,0.0,787.7587327982261,False,-0.03191551182572708,0,0.7130000000000001,56196,14,10,1.0,744.1777791990448,False,-0.015659342771637726,0.6666666666666666,252099,0.0,0.0,18,0,0,13,6,6.0,20,33,20,202.0,45.0,13,10,20,1686,6.066253166995011,76.9950782469241
11,20,0,0,0,10.000000000000002,20,10.0,21.50665921201636,10,26.0,30.95263200856072,5,42.0,32.0,20,32.0,0,0.2,32657,2,56,1.0,1224.372915872916,False,0.02502346051503391,0,0.2,32262,10,57,1.0,1325.8795750849324,False,0.01441722240325567,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.2,37609,12,33,1.0,1279.5167668267,False,0.009255327020247704,10,1.0920000000000003,54911,31,0,0.0,959.5315922653823,False,-0.03614592823601498,0,0.7130000000000001,56516,4,10,1.0,443.8105280342429,False,-0.012704370014318903,0.6666666666666666,252100,0.0,0.0,16,0,0,11,5,5.0,18,29,21,147.0,44.0,10,10,21,990,3.3061459789751098,80.3012242258992
12,21,0,0,0,10.000000000000002,20,10.0,21.50665921201636,0,,34.35533008088234,51,39.72549019607843,32.0,20,32.0,0,0.2,32527,5,66,1.0,1469.4395079930796,False,0.024793411405753515,0,0.2,32192,7,67,1.0,1510.9461672050961,False,0.01511147313684408,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,18,0.38000000000000006,39027,2,10,1.0,386.5666192328561,False,0.03489058287024183,11,1.1920000000000004,54329,40,0,0.0,1374.2132032352936,False,-0.04266536852478513,0,0.7130000000000001,55223,36,11,1.0,1588.7918829117643,False,-0.025241944361107313,0.6666666666666666,251443,0.0,0.0,16,0,0,12,7,6.608695652173913,20,32,20,172.0,24.0,13,8,20,1417,3.1527369969990104,83.45396122289822
13,20,0,0,0,10.000000000000002,20,10.0,21.50665921201636,0,,36.42078941554189,18,50.0,32.0,20,32.0,0,0.2,32387,9,76,1.0,1724.5061001132433,False,0.024409312322661393,0,0.2,32132,3,77,1.0,1686.0127593252596,False,0.015959773844243994,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,8,0.44200000000000006,39687,0,2,0.2,72.84157883108378,False,0.04816667870113306,12,1.3010000000000002,53259,58,0,0.0,2112.40578610143,False,-0.05486178581035159,0,0.7130000000000001,55479,26,13,1.0,1362.9405248040891,False,-0.022752309765399128,0.5333333333333333,251089,0.0,0.0,15,0,0,7,8,7.444444444444445,23,30,23,144.0,43.0,9,11,23,456,2.931270132015925,86.38523135491414
14,23,0,0,0,10.000000000000002,20,10.0,21.942803236851326,10,26.0,36.42078941554189,0,,32.0,20,32.0,0,0.2,32257,12,86,1.0,2007.081078369214,False,0.024757079803574177,0,0.2,32322,0,77,1.0,1689.595849237552,False,0.021868870339796505,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.43400000000000005,39427,0,12,1.0,437.0494729865027,False,0.04611126540960608,9,1.3790000000000004,53153,58,0,0.0,2112.40578610143,False,-0.0567062905782224,0,0.7130000000000001,55831,16,12,1.0,966.7326306486702,False,-0.020074366337364577,0.6666666666666666,251135,0.0,0.0,17,0,0,15,5,5.0,20,35,20,162.0,34.0,13,10,20,812,3.3988773669698276,89.78410872188397
15,20,0,0,0,10.000000000000002,20,10.0,21.942803236851326,0,,36.42078941554189,0,,32.0,20,32.0,0,0.2,32157,12,96,1.0,2226.5091107377275,False,0.02505636859133196,0,0.2,32222,0,87,1.0,1909.0238816060653,False,0.02216815912755429,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.43400000000000005,39427,0,12,0.0,437.0494729865027,False,0.04611126540960608,12,1.4900000000000002,52992,58,0,0.0,2112.40578610143,False,-0.059507849706780906,0,0.7130000000000001,56087,6,14,1.0,666.5247364932513,False,-0.01823167035138461,0.5,251030,0.0,0.0,16,0,0,14,5,5.0,20,34,17,196.0,18.0,14,6,17,456,3.0612875130027533,92.84539623488672
16,17,0,0,0,10.000000000000002,20,10.0,21.416939805765924,33,19.939393939393938,34.57622582239276,11,14.0,32.0,20,32.0,0,0.2,32087,9,106,1.0,2360.195619411188,False,0.02495910927398072,0,0.2,32750,3,64,1.0,1400.6841475690192,False,0.030604864090473798,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.43400000000000005,38923,23,11,1.0,872.9280995789366,False,0.03856309171432438,10,1.5780000000000003,52875,58,0,0.0,2005.42109769878,False,-0.062474585006448966,0,0.7130000000000001,56253,7,14,1.0,690.0335807567493,False,-0.015138567718062693,0.6666666666666666,251033,0.0,0.0,18,0,0,14,4,4.0,15,29,21,102.0,24.0,9,8,21,1332,2.6115155040170066,95.45691173890373
17,21,0,0,0,10.000000000000002,20,10.0,20.7586621463557,27,18.0,34.48081878715213,1,23.0,32.0,20,32.0,0,0.2,31997,8,116,1.0,2488.0048089772613,False,0.024155109975926008,0,0.2,33126,4,47,1.0,1015.6571208787179,False,0.03625808178326279,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.43400000000000005,38460,40,20,1.0,1519.9628615972706,False,0.03488261730958462,10,1.6680000000000004,52729,59,0,0.0,2034.3683084419758,False,-0.06476327427053338,0,0.7130000000000001,56573,0,11,0.7,352.0,False,-0.012511310642444491,0.6166666666666667,251030,0.0,0.0,17,0,0,10,6,6.0,22,32,17,126.0,33.0,10,11,17,1029,2.9221088209887967,98.37902055989252
18,17,0,0,0,10.000000000000002,20,10.0,20.781218670685035,45,20.844444444444445,34.591114118901984,5,37.0,32.0,20,32.0,0,0.2,31897,8,126,1.0,2698.4335525063143,False,0.024315764742679876,0,0.2,33964,4,12,1.0,289.3746240482204,False,0.05088847743242158,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,0,0.43400000000000005,37707,75,25,1.0,2423.3692532739274,False,0.026932414022823398,15,1.8080000000000003,52487,59,0,0.0,2040.875733015217,False,-0.06891769564788043,0,0.7130000000000001,56548,0,11,0.5,352.0,False,-0.012946335351847985,0.5833333333333334,250748,0.0,0.0,18,0,0,10,7,7.0,20,30,16,120.0,27.0,8,9,16,1483,2.0831263579893857,100.46214691788191
19,16,0,0,0,10.000000000000002,20,10.0,21.495934018840742,20,27.0,34.696960353976664,26,35.11538461538461,32.0,20,32.0,0,0.2,31817,6,136,1.0,2983.447026562341,False,0.02624159698312134,8,0.28,34208,6,10,1.0,274.95934018840745,False,0.05818404874431409,0,0.2,38145,0,0,0.0,0.0,False,0.0065174943268774075,1,0.44400000000000006,38050,85,10,1.0,2174.12399514123,False,0.032694654007351685,12,1.9130000000000005,51412,85,0,0.0,2949.2416300880163,False,-0.0797205259441079,0,0.7130000000000001,56804,0,3,0.0,96.0,False,-0.010719008839702095,0.5,250436,0.0,0.0,18,0,0,10,8,6.911111111111111,20,30,15,105.0,18.0,10,6,15,1458,2.6016983140143566,103.06384523189627
