index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
1408,ee286bae-6d59-4daf-b5a0-6d516ad51f26,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,68,1,10,38,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,68,,-1,-1
1409,43d5fb64-5c3a-4d7b-a54c-4b5c23d3fc89,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,68,2,32,38,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,68,,-1,-1
1410,b9f013af-788b-4f3b-a01b-96e7d3c47158,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,68,2,32,38,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,68,,-1,-1
1411,392d7b23-529d-442c-8e27-983d7d735f65,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,68,6,10,38,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,68,,-1,-1
1412,aaa573d1-7faf-45a1-be3f-9c58192edce8,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,68,1,10,38,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,68,,-1,-1
1413,19924722-af42-4cf0-9a6a-56352c771d84,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,69,2,10,39,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,69,,-1,-1
1414,730c3e6d-a9ca-4562-8771-7c5eec6af339,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,69,3,10,39,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,69,,-1,-1
1415,ac0f59b1-878d-45dd-bc49-fd0938c1dc90,04Ran@2,BUYER,RandomAgent,_SystemAgent,69,2,32,39,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
1416,4ba48df9-26b3-428e-897f-8dc4a4349f88,01Ind@0,03Dec@1,IndDecentralizingAgent,DecentralizingAgent,41,5,10,39,-1,39,03Dec@1|01Ind@0,"[quantity: (1, 5), time: (39, 42), unit_price: (1, 18)]",01Ind@0,03Dec@1,p1,03Dec@1,True,1,17,41,,-1,-1
1417,fe5c3491-f3fb-4b00-ab99-889ad93d92a2,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,69,2,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,69,,-1,-1
1418,928018b9-8a4d-4fa5-9cd7-fd017ed02c60,04Ran@2,BUYER,RandomAgent,_SystemAgent,69,2,32,39,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,True,3,0,-1,04Ran@2:product(1.0),-1,-1
1419,91821f3a-a76c-416d-9830-214fa4d188fa,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,69,5,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,69,,-1,-1
1420,3f4c1ca8-ca63-4f4d-875c-776e6e9b27fb,03Dec@1,04Ran@2,DecentralizingAgent,RandomAgent,43,7,23,39,-1,39,04Ran@2|03Dec@1,"[quantity: (1, 7), time: (39, 43), unit_price: (1, 25)]",03Dec@1,04Ran@2,p2,04Ran@2,True,2,11,43,,-1,-1
1421,315f34aa-e2ce-4567-aeb7-cf2c2d9908f4,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,69,2,10,39,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,69,,-1,-1
1422,b1fb13c8-1c46-46e3-b830-09c5065f27e9,04Ran@2,BUYER,RandomAgent,_SystemAgent,69,1,32,39,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
1423,9c3e118b-26a9-4598-8dc1-8f44215e2f59,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,69,3,32,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,69,,-1,-1
1424,6f1fb768-1253-4575-b8d8-24f03f7d3891,04Ran@2,BUYER,RandomAgent,_SystemAgent,69,2,32,39,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,True,3,0,-1,04Ran@2:product(1.0),-1,-1
1425,a66c4161-c712-482a-96cf-581e6cde0b9b,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,69,2,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,69,,-1,-1
1426,b61a476d-3375-4cf8-896c-892d1ce64ce5,00Dec@0,03Dec@1,DecentralizingAgent,DecentralizingAgent,45,14,26,39,-1,39,00Dec@0|03Dec@1,"[quantity: (1, 14), time: (43, 48), unit_price: (18, 36)]",00Dec@0,03Dec@1,p1,00Dec@0,False,1,17,45,,-1,-1
1427,96bc4ad2-5c1c-4da0-965a-53e1d44d5bb3,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,48,34,36,39,-1,39,03Dec@1|05Dec@2,"[quantity: (1, 38), time: (43, 48), unit_price: (25, 50)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(0.5),-1,-1
1428,c97defbc-2867-4d62-9b28-acf339dda530,03Dec@1,04Ran@2,DecentralizingAgent,RandomAgent,48,4,44,39,-1,39,03Dec@1|04Ran@2,"[quantity: (1, 4), time: (44, 49), unit_price: (25, 50)]",03Dec@1,04Ran@2,p2,03Dec@1,False,2,15,-1,03Dec@1:product(1.0),-1,-1
1429,9e6cdebe-29da-40dc-81d8-4bd12c03960a,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,69,1,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,69,,-1,-1
1430,245be6d2-21b9-414c-a82a-8fe95fb17bbc,04Ran@2,BUYER,RandomAgent,_SystemAgent,69,2,32,39,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,True,3,0,-1,04Ran@2:product(1.0),-1,-1
1431,6794796c-b2e0-44bf-b95f-e9f49d8bf2bf,04Ran@2,BUYER,RandomAgent,_SystemAgent,69,1,32,39,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,True,3,0,-1,04Ran@2:product(1.0),-1,-1
1432,997e44db-435e-48a7-b1b4-e28603fe0072,04Ran@2,BUYER,RandomAgent,_SystemAgent,69,1,32,39,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
1433,ac48d455-1bde-470c-8ad6-8671aec219b3,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,69,2,32,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,69,,-1,-1
1434,4749b28a-93f7-455b-af8e-a161267b59a6,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,69,1,32,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,69,,-1,-1
1435,556d64fc-d6f4-4314-af48-15ebd56be364,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,69,3,32,39,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,69,,-1,-1
1436,4f6732ff-4474-41ba-b18f-64963fccc60c,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,69,1,10,39,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,69,,-1,-1
1437,95998c17-e825-473c-8394-af52c645803d,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,69,2,10,39,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,69,,-1,-1
1438,a6add10d-69a1-4199-8065-442a21fc5a8e,04Ran@2,BUYER,RandomAgent,_SystemAgent,70,1,32,40,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
1439,7ff0c207-0922-4d83-b1a1-8f69d2d512ff,04Ran@2,BUYER,RandomAgent,_SystemAgent,70,1,32,40,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,True,3,0,-1,04Ran@2:product(1.0),-1,-1
1440,a1331df0-b75f-4fb6-87b3-dd736307931e,04Ran@2,BUYER,RandomAgent,_SystemAgent,70,2,32,40,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
1441,d31de88c-3ebc-447b-98da-26ccb6f32f19,03Dec@1,05Dec@2,DecentralizingAgent,DecentralizingAgent,48,4,38,40,-1,40,03Dec@1|05Dec@2,"[quantity: (1, 4), time: (44, 49), unit_price: (25, 50)]",03Dec@1,05Dec@2,p2,03Dec@1,False,2,17,-1,03Dec@1:product(1.0),-1,-1
1442,f6e57019-dbbf-499c-a2c6-e05faf56b2c3,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,70,3,32,40,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,70,,-1,-1
1443,e8b29f0b-f718-403f-8ef7-3f1e687de7ed,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,70,2,10,40,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,70,,-1,-1
1444,c587419a-9ba8-49d5-ad3b-78c6e33a131e,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,70,3,32,40,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,70,,-1,-1
1445,d0992e23-39d1-400f-93ec-5a24713ab236,00Dec@0,03Dec@1,DecentralizingAgent,DecentralizingAgent,47,14,28,40,-1,40,00Dec@0|03Dec@1,"[quantity: (1, 14), time: (44, 49), unit_price: (18, 36)]",00Dec@0,03Dec@1,p1,00Dec@0,False,1,17,47,,-1,-1
1446,3789bd5e-56f4-4c08-bd2a-ce597d44815a,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,70,2,10,40,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,True,0,0,70,,-1,-1
1447,63436ab3-97b3-4a92-924b-a468c3e65bcb,04Ran@2,BUYER,RandomAgent,_SystemAgent,70,2,32,40,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
1448,9b3773f0-9c34-4838-b66c-7f49283aefce,04Ran@2,BUYER,RandomAgent,_SystemAgent,70,2,32,40,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
1449,f365479c-dcdd-4ca1-8046-623b72dce8b3,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,70,1,10,40,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,False,0,0,70,,-1,-1
1450,a911efe0-6d0a-4107-9697-0b405a69ea80,SELLER,00Dec@0,_SystemAgent,DecentralizingAgent,70,3,10,40,-1,-1,00Dec@0|SELLER,[],SELLER,00Dec@0,p0,SELLER,False,0,0,70,,-1,-1
1451,ebadfc08-67e0-4df5-b6d4-b85feeda1883,04Ran@2,BUYER,RandomAgent,_SystemAgent,70,1,32,40,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
1452,7bc35114-cc8b-437f-bb9c-6bfcb3ad50c3,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,70,2,10,40,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,70,,-1,-1
1453,a49fde56-8ac8-4134-8318-00d12318cadf,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,70,1,32,40,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,70,,-1,-1
1454,4bf46f28-4f78-47fd-a0da-dfb7f33fd34c,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,70,1,32,40,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,70,,-1,-1
1455,f6e9fe13-6349-4fe1-9430-69f697693488,SELLER,01Ind@0,_SystemAgent,IndDecentralizingAgent,70,3,10,40,-1,-1,01Ind@0|SELLER,[],SELLER,01Ind@0,p0,SELLER,True,0,0,70,,-1,-1
1456,e19cac8b-381c-4f18-954d-58865e2594d6,04Ran@2,BUYER,RandomAgent,_SystemAgent,70,3,32,40,-1,-1,BUYER|04Ran@2,[],04Ran@2,BUYER,p3,BUYER,False,3,0,-1,04Ran@2:product(1.0),-1,-1
