index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.0,0,,0,0.2,51041,9,0,0.0,90.0,False,-0.0008800923119047153,0,0.2,51021,11,0,0.0,110.0,False,-0.0010756683812168744,0,0.2,81810,0,0,0.0,0.0,False,0.0,0,0.2,81810,0,0,0.0,0.0,False,0.0,0,0.2,112488,0,0,0.0,0.0,False,0.0,0,0.2,112488,0,0,0.0,0.0,False,0.0,0.0,490658,0.0,0.0,12,0,0,392,0,0.0,1204,1596,182,0.0,0.0,0,0,182,200,5.180076693184674,5.180076693184674
1,182,0,0,0,10.0,20,10.0,18.0,0,,24.7,5,13.0,35.0,0,,0,0.2,50931,20,0,0.0,200.0,False,-0.0019557606931215896,0,0.2,50931,20,0,0.0,200.0,False,-0.0019557606931215896,0,0.2,81810,0,0,0.0,0.0,False,0.0,5,0.25,81720,0,0,0.0,0.0,False,-0.0011001100110011,0,0.2,112488,0,0,0.0,0.0,False,0.0,0,0.2,112423,0,5,0.5,175.0,False,0.00020002133560913165,0.08333333333333333,490303,0.0,0.0,11,0,0,37,1,1.0,92,129,109,1884.0,1215.0,107,75,109,200,21.151188240386546,26.33126493357122
2,109,0,0,0,10.0,20,10.0,9.632075471698114,61,3.459016393442623,22.75,9,13.0,35.0,0,,41,0.6100000000000001,49408,35,0,0.0,350.0,False,-0.03027517552952221,20,0.4,50377,25,0,0.0,250.0,False,-0.0123017347597348,0,0.2,81785,0,9,0.9,204.75,False,0.0009457890233467791,9,0.3350000000000001,81344,52,0,0.0,500.8679245283019,False,-0.002634959512722694,0,0.2,112371,0,9,0.9,315.0,False,0.00036003840409643695,0,0.2,112423,0,5,0.0,175.0,False,0.00020002133560913165,0.3,487708,0.0,0.0,9,0,0,23,15,15.0,96,119,23,1316.0,122.0,97,12,23,200,11.04128448292613,37.37254941649735
3,23,0,0,0,10.0,20,10.0,7.117176128093159,42,1.4047619047619047,22.241279069767444,3,14.0,35.0,9,35.0,25,0.8190000000000002,48603,46,0,0.0,460.0,False,-0.04494338072793413,17,0.55,49869,34,0,0.0,340.0,False,-0.021356906768887757,0,0.2,81769,0,17,0.8,378.1017441860465,False,0.0018096916280775322,3,0.35600000000000004,81250,86,0,0.0,612.0771470160116,False,-0.0031042834187995924,0,0.2,112644,0,3,0.3,105.0,False,0.0018535310433112865,0,0.2,112423,0,5,0.0,175.0,False,0.00020002133560913165,0.18333333333333335,486558,0.0,0.0,18,0,0,15,8,8.0,18,33,17,192.0,100.0,13,10,17,515,1.5834962241351604,38.95604564063251
4,17,0,0,0,10.0,20,10.0,5.743056369389429,47,2.127659574468085,21.680521844660195,3,13.0,35.0,8,35.0,19,0.9840000000000002,47973,60,0,0.0,600.0,False,-0.05589564060941503,28,0.8130000000000002,48968,40,0,0.0,400.0,False,-0.0383915824059768,0,0.2,81702,16,27,1.0,677.2629917160561,False,0.002819111304950902,3,0.38300000000000006,81163,107,0,0.0,614.507031524669,False,-0.0041528723168031394,5,0.25,112661,0,3,0.3,105.0,False,0.002004658274660408,0,0.2,112423,0,5,0.0,175.0,False,0.00020002133560913165,0.21666666666666667,484890,0.0,0.0,12,0,0,14,14,13.333333333333334,15,29,22,117.0,75.0,8,9,22,235,1.4675814779475331,40.42362711858004
5,22,0,0,0,10.0,20,10.0,5.441404241476647,37,4.1891891891891895,20.904648860513984,5,14.0,35.0,7,35.0,16,1.1250000000000002,47490,74,0,0.0,740.0,False,-0.06397293227200719,21,0.9950000000000001,48422,46,0,0.0,460.0,False,-0.04848330758248421,0,0.2,81687,11,37,1.0,833.3274544952604,False,0.003589582291255793,5,0.43000000000000005,80938,139,0,0.0,756.3551895652539,False,-0.00603621079595863,4,0.28500000000000003,112668,0,5,0.5,175.0,False,0.0023780314344641206,0,0.2,112423,0,5,0.0,175.0,False,0.00020002133560913165,0.25,483628,0.0,0.0,13,0,0,16,7,7.0,16,32,17,136.0,77.0,12,10,17,305,1.9287571283057332,42.35238424688578
6,17,0,0,0,10.0,20,10.0,4.9263549306958945,36,2.4722222222222223,19.638818510479155,10,14.0,35.0,7,35.0,30,1.4090000000000003,46497,84,0,0.0,840.0,False,-0.08241575560814379,6,1.0340000000000003,48214,56,0,0.0,560.0,False,-0.05157340947761632,0,0.2,81712,11,42,1.0,879.0202816777793,False,0.00417443027550284,5,0.4750000000000001,80809,165,0,0.0,812.8485635648226,False,-0.00726776333232597,2,0.30100000000000005,112689,0,10,1.0,350.0,False,0.0033425787639570445,0,0.2,112423,0,5,0.0,175.0,False,0.00020002133560913165,0.3333333333333333,482344,0.0,0.0,14,0,0,15,8,8.0,17,32,14,139.0,58.0,11,6,14,445,1.4171082312241197,43.769492478109896
7,14,0,0,0,10.0,20,10.0,4.359089537283249,50,2.24,21.520914923086252,5,40.0,35.0,8,35.0,30,1.6790000000000003,45573,93,0,0.0,930.0,False,-0.09960689210068256,20,1.2280000000000002,47594,67,0,0.0,670.0,False,-0.0626234573937533,0,0.2,81911,2,47,1.0,1020.2011804596203,False,0.007469754189338781,0,0.4700000000000001,80698,214,0,0.0,932.8451609786152,False,-0.007891179800888562,0,0.29900000000000004,112769,0,7,0.5,245.0,False,0.003587049285257094,0,0.2,112423,0,5,0.0,175.0,False,0.00020002133560913165,0.25,480968,0.0,0.0,16,0,0,12,7,7.0,18,30,12,128.0,55.0,9,5,12,680,1.409181253053248,45.178673731163144
8,12,0,0,0,10.0,20,10.0,4.137900219455848,59,3.3389830508474576,20.239288517015545,10,14.0,35.0,12,35.0,45,2.0990000000000006,44124,102,0,0.0,1020.0,False,-0.12706577223210969,14,1.3480000000000003,47154,78,0,0.0,780.0,False,-0.07015313606227142,0,0.2,81872,11,57,1.0,1199.1563478839005,False,0.008086764135704036,10,0.5700000000000001,80338,254,0,0.0,1051.0266557417854,False,-0.011569327369870477,5,0.34900000000000003,112830,0,10,1.0,350.0,False,0.004596045800440936,0,0.2,112423,0,5,0.0,175.0,False,0.00020002133560913165,0.3333333333333333,478741,0.0,0.0,13,0,0,14,11,11.0,13,27,15,76.0,23.0,7,5,15,445,1.4512362480163574,46.6299099791795
9,15,0,0,0,10.000000000000002,20,10.0,4.080964482878976,24,3.5,21.319009846305217,25,23.6,35.0,10,35.0,9,2.1440000000000006,43786,115,0,0.0,1150.0000000000002,False,-0.1324049989243316,15,1.4840000000000002,46764,85,0,0.0,850.0000000000001,False,-0.07709608652285306,0,0.2,82168,25,57,1.0,1317.2076733113718,False,0.012426400643633902,15,0.7100000000000002,79985,254,0,0.0,1036.56497865126,False,-0.015972589056036757,0,0.34400000000000003,112590,15,10,1.0,669.7851476945782,False,0.003883903828384271,0,0.2,112423,0,5,0.0,175.0,False,0.00020002133560913165,0.3333333333333333,477716,0.0,0.0,17,0,0,17,9,9.0,15,32,12,149.0,54.0,11,4,12,930,1.395506358705461,48.02541633788496
