,game_index,t,sold_quantity_0,unit_price_0,sold_quantity_1,unit_price_1,sold_quantity_2,unit_price_2
126,1,126,8,10.0,0,,0,
127,1,127,11,10.0,6,3.0,4,44.0
128,1,128,8,10.0,3,1.0,5,41.0
129,1,129,9,10.0,0,,6,43.0
130,1,130,13,10.0,3,3.0,11,43.81818181818182
131,1,131,9,10.0,4,3.0,8,44.0
132,1,132,8,10.0,1,2.0,0,
133,1,133,8,10.0,3,2.0,0,
134,1,134,13,10.0,4,3.0,3,44.0
135,1,135,11,10.0,0,,7,43.0
136,1,136,6,10.0,4,4.0,5,29.0
137,1,137,10,10.0,0,,5,43.8
138,1,138,8,10.0,4,3.0,10,44.0
139,1,139,12,10.0,4,1.0,1,43.0
140,1,140,8,10.0,7,3.571428571428572,4,44.0
141,1,141,5,10.0,1,1.0,8,44.0
142,1,142,12,10.0,0,,0,
143,1,143,11,10.0,9,1.8888888888888888,3,44.0
144,1,144,7,10.0,9,1.5555555555555556,8,44.0
145,1,145,8,10.0,2,5.0,0,
146,1,146,12,10.0,5,2.0,4,43.0
147,1,147,13,10.0,5,1.0,6,44.0
148,1,148,9,10.0,0,,7,44.0
149,1,149,12,10.0,2,5.0,0,
150,1,150,9,10.0,3,3.0,4,44.0
151,1,151,10,10.0,0,,4,44.0
152,1,152,13,10.0,3,2.0,8,43.0
153,1,153,11,10.0,0,,3,43.33333333333334
154,1,154,11,10.0,9,5.222222222222221,4,43.5
155,1,155,11,10.0,0,,5,43.0
156,1,156,9,10.0,5,2.0,5,43.0
157,1,157,6,10.0,10,8.5,2,44.0
158,1,158,10,10.0,3,1.0,5,43.4
159,1,159,8,10.0,0,,4,43.0
160,1,160,9,10.0,5,2.0,3,44.0
161,1,161,10,10.0,1,1.0,8,43.0
162,1,162,11,10.0,0,,3,44.0
163,1,163,14,10.0,0,,7,43.42857142857143
164,1,164,9,10.0,6,2.0,8,44.0
165,1,165,8,10.0,0,,0,
166,1,166,11,10.0,0,,4,43.0
167,1,167,9,10.0,0,,0,
168,1,168,8,10.0,1,2.0,8,43.0
169,1,169,7,10.0,4,3.0,0,
170,1,170,10,10.0,7,2.142857142857143,4,44.0
171,1,171,12,10.0,8,3.0,4,44.0
172,1,172,14,10.0,0,,9,43.88888888888889
173,1,173,9,10.0,9,2.4444444444444446,2,44.0
174,1,174,10,10.0,5,2.0,9,44.0
175,1,175,10,10.0,0,,0,
176,1,176,10,10.0,7,1.0,0,
177,1,177,11,10.0,0,,4,43.0
178,1,178,10,10.0,0,,9,44.0
179,1,179,7,10.0,0,,4,43.0
180,1,180,11,10.0,1,2.0,4,44.0
181,1,181,11,10.0,2,1.0,8,44.0
182,1,182,10,10.0,1,1.0,4,44.0
183,1,183,10,10.0,2,5.0,2,44.0
184,1,184,6,10.0,5,7.0,6,43.66666666666666
185,1,185,12,10.0,0,,2,44.0
186,1,186,10,10.0,0,,0,
187,1,187,8,10.0,9,6.5555555555555545,4,43.0
188,1,188,12,10.0,6,1.6666666666666667,3,44.0
189,1,189,11,10.0,0,,7,43.0
190,1,190,11,10.0,9,3.555555555555556,9,44.0
191,1,191,11,10.0,0,,8,44.0
192,1,192,9,10.0,3,3.0,4,44.0
193,1,193,13,10.0,0,,0,
194,1,194,11,10.0,9,2.4444444444444446,4,43.75
195,1,195,9,10.0,9,4.777777777777779,2,44.0
196,1,196,11,10.0,0,,8,34.25
197,1,197,0,,0,,2,44.0
198,1,198,0,,0,,6,43.66666666666666
199,1,199,0,,0,,6,44.0
200,2,0,20,10.0,0,,0,
201,2,1,20,10.0,0,,26,16.846153846153847
202,2,2,20,10.0,17,17.058823529411768,27,17.62962962962963
203,2,3,20,10.0,13,9.0,29,17.620689655172416
204,2,4,20,10.0,29,14.724137931034482,28,17.428571428571427
205,2,5,20,10.0,29,16.689655172413794,9,18.33333333333333
