index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,17,0,0,0,10.000000000000002,20,10.0,27.517504520033643,0,,16.154256890715896,12,13.0,39.0,20,39.0,0,0.4790000000000001,53789,6,20,1.0,610.3500904006729,False,0.029914038520273783,0,0.2,53113,6,49,1.0,1408.3577214816485,False,0.024640231150940033,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,12,2.0480000000000005,67313.0,163,0,0.0,4485.353236765484,False,-0.10972152597810333,0,0.21800000000000003,108673,29,14,1.0,1014.473449830761,False,0.01710609558909092,2,0.22000000000000003,109027,2,10,1.0,422.30851378143177,False,0.017645646304318054,0.6666666666666666,470239,0.0,0.0,23,0,0,19,2,2.0,14,33,16,219.0,27.0,13,4,16,902,2.4077454218640924,69.28375250473619
11,16,0,0,0,10.000000000000002,20,10.0,27.68149866905483,18,29.0,15.888370295369072,21,14.142857142857142,39.0,20,39.0,0,0.4790000000000001,53659,9,30,1.0,920.4449600716449,False,0.030390923596059317,0,0.2,53565,3,41,1.0,1164.941445431248,False,0.03092874974231527,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,21,2.246000000000001,66263.0,181,0,0.0,5010.351259098924,False,-0.11980115157754638,0,0.21800000000000003,109039,31,10,1.0,882.5394791564412,False,0.01990115646499307,0,0.21800000000000003,109144,1,14,1.0,561.8883702953691,False,0.019385752209230955,0.6666666666666666,469994,0.0,0.0,27,0,0,14,2,2.0,16,30,14,129.0,21.0,8,8,14,1502,2.2309236703440547,71.51467617508024
12,14,0,0,0,10.000000000000002,20,10.0,27.788998548479462,13,29.0,15.622271042305925,29,14.310344827586206,39.00000000000001,20,39.0,0,0.4790000000000001,53569,8,40,1.0,1191.5599419391785,False,0.031258305332322794,0,0.2,53832,4,38,1.0,1095.9819448422195,False,0.035355767424197215,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,29,2.515000000000001,64991.0,194,0,0.0,5391.065718405016,False,-0.13364564740934742,0,0.21800000000000003,109390,21,11,1.0,757.0676918884244,False,0.022586580022583597,0,0.21800000000000003,109158,20,13,1.0,819.4454208461186,False,0.020715854732663727,0.6666666666666666,469264,0.0,0.0,21,0,0,16,3,3.0,11,27,12,99.0,15.0,8,6,12,1357,2.590594597160816,74.10527077224106
13,12,0,0,0,10.000000000000002,20,10.0,28.094988693940078,22,30.09090909090909,15.580981139609893,11,15.0,39.0,20,39.0,0,0.4790000000000001,53841,8,38,1.0,1147.6095703697229,False,0.036018597284710706,0,0.2,54022,4,38,1.0,1107.6095703697229,False,0.03908392104763362,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,11,2.596000000000001,64142.0,216,0,0.0,6068.517557891057,False,-0.14017690483635153,0,0.21800000000000003,109615,22,11,1.0,771.7815850714176,False,0.024751181179532206,0,0.21800000000000003,109548,10,13,1.0,662.8098113960989,False,0.023619437562397934,0.6666666666666666,469492,0.0,0.0,24,0,0,18,1,1.0,17,35,9,153.0,3.0,11,1,9,1642,2.3060474107041955,76.41131818294525
14,9,0,0,0,10.000000000000002,20,10.0,28.58199282746392,30,31.0,15.349791032871371,30,14.2,39.00000000000001,20,39.0,0,0.4790000000000001,54721,3,18,1.0,544.4758708943506,False,0.04703154685465753,0,0.2,53872,9,48,1.0,1461.9356557182682,False,0.03960108576926548,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,30,2.8850000000000007,62270.0,246,0,0.0,7031.170235556125,False,-0.1579768441816243,2,0.23800000000000002,109907,20,10,1.0,696.9958206574274,False,0.027123061469003566,0,0.21800000000000003,109515,22,16,1.0,961.6954027231702,False,0.02470420052691899,0.6666666666666666,468609,0.0,0.0,23,0,0,15,5,4.5,17,32,9,96.0,6.0,7,2,9,1793,2.4628522554412484,78.8741704383865
15,9,0,0,0,10.000000000000002,20,10.0,28.638159448939636,25,29.0,15.32185255563274,14,15.0,39.00000000000001,20,39.0,0,0.4790000000000001,55007,5,14,1.0,450.9342322851549,False,0.05158629773894445,0,0.2,54111,7,47,1.0,1415.993494100163,False,0.043714120424387125,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,14,2.9950000000000006,61307.0,271,0,0.0,7760.941210662641,False,-0.16563241596698597,0,0.23600000000000002,110087,24,10,1.0,757.7244613351859,False,0.02908278274209641,0,0.21800000000000003,109905,12,16,1.0,807.8622306675929,False,0.027620836891990155,0.6666666666666666,468741,0.0,0.0,27,0,0,16,1,1.0,16,32,10,129.0,18.0,8,1,10,1705,2.0231350464746356,80.89730548486114
16,10,0,0,0,10.000000000000002,20,10.0,28.767836793540425,16,30.125,15.302666409855794,10,15.0,39.00000000000001,20,39.0,0,0.4790000000000001,54897,6,24,1.0,750.4280830449702,False,0.05234305050211309,0,0.2,54503,6,41,1.0,1239.4813085351575,False,0.049497185123994855,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,10,3.081000000000001,60655.0,287,0,0.0,8256.369159746102,False,-0.17080707838581494,1,0.24600000000000002,110319,24,10,1.0,757.2639938365392,False,0.031241913818362145,0,0.21800000000000003,110256,2,17,1.0,693.6053328197117,False,0.03035849853191476,0.6666666666666666,468954,0.0,0.0,24,0,0,13,2,2.0,16,29,13,111.0,24.0,7,3,13,1423,2.7680742712691426,83.66537975613028
17,13,0,0,0,10.000000000000002,20,10.0,28.987266763148252,18,31.0,15.124704557015672,23,13.956521739130435,39.00000000000001,20,39.0,0,0.4790000000000001,55315,10,16,1.0,563.7962682103721,False,0.05852480121290071,0,0.2,54443,2,51,1.0,1498.350604920561,False,0.05081917069589095,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,23,3.301000000000001,59502.0,305,0,0.0,8841.116362760216,False,-0.18182267328768034,5,0.29500000000000004,110500,26,10,1.0,783.2423184824075,False,0.03304908666754733,0,0.21800000000000003,110286,3,22,1.0,903.3741136710471,False,0.031615060523508744,0.6666666666666666,468370,0.0,0.0,21,0,0,16,5,5.0,12,28,14,117.0,28.0,9,4,14,1343,2.5529786869883537,86.21835844311863
18,14,0,0,0,10.000000000000002,20,10.0,28.999410184294295,2,30.0,14.905637247218202,18,13.0,39.00000000000001,20,39.0,0,0.4790000000000001,55205,11,26,1.0,863.9846647916517,False,0.05928816580156938,0,0.2,54413,1,59,1.0,1720.9652008733633,False,0.052367202947978676,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,18,3.458,58990.0,307,0,0.0,8902.818926578348,False,-0.18798114039410746,2,0.31000000000000005,110874,16,10,1.0,628.4901959554913,False,0.03581238912261281,0,0.21800000000000003,110364,11,24,1.0,1099.9620097194004,False,0.03325738750987199,0.6666666666666666,468170,0.0,0.0,22,0,0,16,3,3.0,15,31,17,129.0,49.0,8,6,17,962,2.558166913688183,88.77652535680681
19,17,0,0,0,10.000000000000002,20,10.0,28.999476449515953,19,29.0,14.806650489096715,23,14.130434782608695,39.00000000000001,20,39.0,0,0.4790000000000001,55656,11,17,1.0,602.9910996417713,False,0.06539031566781957,0,0.2,54313,1,69,1.0,2010.9638750166007,False,0.053223957837676875,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,23,3.670000000000001,57848.0,326,0,0.0,9453.8293225422,False,-0.19907184797676764,0,0.30800000000000005,110874,19,15,1.0,866.3263592928377,False,0.03692021146637372,0,0.21800000000000003,110819,11,19,1.0,903.873155380064,False,0.03658273007983714,0.6666666666666666,467834,0.0,0.0,22,0,0,16,2,2.0,16,32,19,153.0,33.0,11,6,19,1531,2.8676031986251473,91.64412855543196
20,19,0,0,0,10.000000000000002,20,10.0,28.999476449515953,0,,14.622152455976732,32,13.6875,39.00000000000001,20,39.0,0,0.4790000000000001,55536,13,27,1.0,912.9858641369308,False,0.06605664055877364,0,0.2,54233,0,78,0.9,2261.9591630622444,False,0.05409020013196357,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,32,3.967000000000001,56793.0,326,0,0.0,9453.8293225422,False,-0.21257532944307933,0,0.30800000000000005,111060,20,16,1.0,916.4430491195347,False,0.038886398164403806,0,0.21800000000000003,110975,22,18,1.0,1023.6873540314882,False,0.03859408701944908,0.65,466921,0.0,0.0,22,0,0,16,3,3.0,16,32,16,153.0,40.0,11,8,16,980,2.9423319902271032,94.58646054565907
21,16,0,0,0,10.000000000000002,20,10.0,29.200469626344347,17,31.0,14.66096605723682,20,15.0,39.00000000000001,20,39.0,0,0.4790000000000001,55983,11,20,1.0,694.0093925268869,False,0.07248262087587236,0,0.2,54113,2,88,1.0,2589.6413271183023,False,0.05492490268185649,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,20,4.135000000000001,55790.0,343,0,0.0,10015.761081836112,False,-0.22181701130301484,0,0.30800000000000005,111306,30,12,1.0,907.8289817171047,False,0.04113797222815023,0,0.21800000000000003,111209,12,22,1.0,1033.931592686842,False,0.04082171147286681,0.6666666666666666,466725,0.0,0.0,23,0,0,19,2,2.0,15,34,17,150.0,48.0,10,6,17,1507,2.2085878970101476,96.79504844266921
22,17,0,0,0,10.000000000000002,20,10.0,29.17927881027259,18,29.0,14.496204480024932,34,13.647058823529411,39.0,20,39.0,0,0.4790000000000001,55863,13,30,1.0,1005.3783643081777,False,0.07316202772412261,0,0.2,54555,0,80,1.0,2334.342304821807,False,0.0609099090381529,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,34,4.455000000000001,54119.0,361,0,0.0,10533.719650508405,False,-0.23989018245374003,0,0.30800000000000005,111453,43,10,1.0,1013.3367926410721,False,0.04299884852735638,0,0.21800000000000003,111378,13,24,1.0,1124.4506582403242,False,0.04281771993888958,0.6666666666666666,465692,0.0,0.0,26,0,0,14,3,3.0,17,31,13,165.0,36.0,10,7,13,1502,1.8206628914922476,98.61571133416146
23,13,0,0,0,10.000000000000002,20,10.0,29.155884284012682,23,29.0,14.440111300908486,24,14.0,39.0,20,39.0,0,0.4790000000000001,55783,11,40,1.0,1276.2353713605073,False,0.07421734641357607,0,0.2,55102,2,67,1.0,1973.4442470288498,False,0.06788877488937084,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,24,4.661000000000001,52816.0,384,0,0.0,11195.85956506087,False,-0.2523304092958934,1,0.31800000000000006,111835,33,10,1.0,866.52367292998,False,0.04587365699494147,0,0.21800000000000003,111393,27,25,1.0,1364.883005124529,False,0.044077372769435255,0.6666666666666666,465253,0.0,0.0,24,0,0,14,3,2.5,14,28,14,119.0,29.0,8,5,14,1569,1.9431360261514783,100.55884736031294
24,14,0,0,0,10.000000000000002,20,10.0,29.26106919066822,51,29.58823529411765,14.440111300908486,0,,39.0,20,39.0,0,0.4790000000000001,56707,13,14,1.0,539.6549686693551,False,0.08479765977447368,0,0.2,55487,0,62,1.0,1814.1862898214297,False,0.07370281866821612,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,0,4.637000000000001,51307.0,435,0,0.0,12728.565097940676,False,-0.2618359288735109,1,0.32700000000000007,112217,23,10,1.0,722.1225599208951,False,0.048759700402075966,0,0.21800000000000003,111744,17,26,1.0,1259.4818921154442,False,0.04685628396610633,0.6666666666666666,465786,0.0,0.0,27,0,0,15,1,0.5,14,29,14,147.0,45.0,9,5,14,2411,2.1267685433849692,102.68561590369791
25,14,0,0,0,10.000000000000002,20,10.0,29.373165421387377,13,31.0,14.24468759746649,30,13.0,38.99999999999999,20,39.0,0,0.4790000000000001,57010,13,11,1.0,453.10481963526115,False,0.0897426348422145,0,0.2,55387,0,72,1.0,2114.8679103398913,False,0.07466127135102613,0,0.2,78324,0,0,0.0,0.0,False,0.002508703665779234,30,4.937000000000001,49918.0,448,0,0.0,13159.178108781545,False,-0.27685862873245476,1,0.336,112339,33,10,1.0,860.0746907163941,False,0.05053880370917983,0,0.21800000000000003,111965,17,27,1.0,1295.1596891569302,False,0.04908126997855922,0.6666666666666666,464943,0.0,0.0,22,0,0,19,4,4.0,17,36,10,153.0,10.0,11,3,10,1344,6.283389000222087,108.96900490392
