index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,24.0,0,,36.0,0,,0,0.2,39317,0,6,0.6,84.0,False,-0.00045711963836757497,0,0.2,39237,14,0,0.0,140.0,False,-0.0017776874825405694,0,0.2,65793,0,0,0.0,0.0,False,0.0,0,0.2,65793,0,0,0.0,0.0,False,0.0,0,0.2,93028,0,0,0.0,0.0,False,0.0,0,0.2,93028,0,0,0.0,0.0,False,0.0,0.09999999999999999,396196,0.0,0.0,12,0,0,0,0,0.0,1138,1138,46,0.0,0.0,0,0,46,200,1.8058881349861622,1.8058881349861622
1,46,0,0,0,10.0,20,10.0,11.833333333333334,9,1.0,24.0,0,,36.0,0,,0,0.2,39207,1,16,1.0,199.33333333333334,False,-0.0017861526610289194,9,0.29000000000000004,39003,23,0,0.0,230.0,False,-0.006577443685400107,0,0.2,65793,0,0,0.0,0.0,False,0.0,0,0.2,65784,0,9,0.9,216.0,False,0.0015047193470429986,0,0.2,93028,0,0,0.0,0.0,False,0.0,0,0.2,93028,0,0,0.0,0.0,False,0.0,0.31666666666666665,395843,0.0,0.0,12,0,0,40,1,1.0,24,64,25,680.0,48.0,40,6,25,200,2.7159927780157886,4.521880913001951
2,25,0,0,0,10.0,20,10.0,9.691950464396285,16,3.1875,24.0,0,,36.0,0,,0,0.2,39147,1,21,1.0,213.530959752322,False,-0.003129606626300689,11,0.39100000000000007,38703,33,0,0.0,330.0,False,-0.012926327551616426,0,0.2,65748,0,10,1.0,240.0,False,0.001139938899274999,0,0.2,65778,0,15,0.6,360.0,False,0.0025078655784049977,0,0.2,93028,0,0,0.0,0.0,False,0.0,0,0.2,93028,0,0,0.0,0.0,False,0.0,0.43333333333333335,395432,0.0,0.0,12,0,0,23,2,2.0,18,41,33,229.0,18.0,19,6,33,240,2.1702165289898403,6.692097441991791
3,33,0,0,0,10.0,20,10.0,9.557966423820083,5,8.0,24.0,0,,36.0,20,36.0,0,0.2,39087,1,26,1.0,258.5071270193222,False,-0.004082241828741025,0,0.38000000000000006,38603,43,0,0.0,430.0,False,-0.014196104324859689,0,0.2,65708,0,15,0.5,360.0,False,0.001443922605748332,0,0.2,65778,0,15,0.0,360.0,False,0.0025078655784049977,6,0.26,92965,0,0,0.0,0.0,False,-0.0006772154620114375,14,0.34,92792,0,0,0.0,0.0,False,-0.0025368706195984005,0.25,394933,0.0,0.0,13,0,0,21,10,10.0,23,44,35,269.0,57.0,19,14,35,240,2.069516805000603,8.761614246992394
4,35,0,0,0,10.0,20,10.0,9.074921210963616,6,4.5,22.339622641509433,8,13.0,36.0,20,36.0,0,0.2,39007,0,35,0.9,317.6222423837266,False,-0.005363254661557106,6,0.44000000000000006,38404,55,0,0.0,550.0,False,-0.017726083754475964,0,0.2,65785,0,13,0.6,290.4150943396226,False,0.0020854429372395918,0,0.2,65778,0,15,0.0,335.0943396226415,False,0.0023185927045631777,13,0.384,92748,0,0,0.0,0.0,False,-0.003009846497828611,7,0.3960000000000001,92609,0,8,0.8,288.0,False,-0.0029560992389388143,0.3833333333333333,394331,0.0,0.0,13,0,0,17,12,12.0,20,37,38,214.0,90.0,15,20,38,304,2.13018275401555,10.891797001007944
5,38,0,0,0,10.0,20,10.0,8.7990601844102,2,1.0,20.998204667863558,8,13.0,36.0,20,36.0,0,0.2,38877,3,45,1.0,425.957708298459,False,-0.007289055688619479,2,0.45400000000000007,38302,62,0,0.0,620.0,False,-0.019427584630621938,0,0.2,65887,0,7,0.2,146.98743267504491,False,0.0025457680351637546,0,0.2,65778,0,15,0.0,314.9730700179534,False,0.0021656792517286364,10,0.4710000000000001,92504,0,8,0.8,288.0,False,-0.004084791675624543,2,0.40900000000000003,92881,0,0,0.0,0.0,False,-0.0015801694113600207,0.3333333333333333,394229,0.0,0.0,18,0,0,25,8,8.0,14,39,31,210.0,90.0,16,22,31,592,2.0741790719912387,12.965976072999183
6,31,0,0,0,10.0,20,10.0,13.041697675856033,35,19.428571428571427,20.018204095921583,7,13.0,36.0,20,36.0,0,0.2,39407,6,25,1.0,386.0424418964008,False,0.005663743326007514,5,0.5020000000000001,38167,69,0,0.0,690.0,False,-0.021967138177108464,0,0.2,65298,25,10,1.0,526.2244828556167,False,-0.0035245050168284313,0,0.2,65778,0,15,0.0,300.27306143882373,False,0.00205396517440163,2,0.4810000000000001,92685,0,7,0.7,252.0,False,-0.0023326310358171734,10,0.5070000000000001,92761,0,0,0.0,0.0,False,-0.0028701036247151396,0.45,394096,0.0,0.0,19,0,0,25,7,7.0,16,41,28,169.0,90.0,16,15,28,1239,1.9063070159754716,14.872283088974655
7,28,0,0,0,10.0,20,10.0,14.354628336640904,18,20.11111111111111,20.018204095921583,0,,36.0,20,36.0,0,0.2,39699,3,17,1.0,274.0286817228954,False,0.011656914972228606,0,0.49700000000000005,38037,82,0,0.0,820.0,False,-0.02361784798232471,0,0.2,64936,33,20,1.0,874.0668170275815,False,-0.0063831500537475504,0,0.2,65778,0,15,0.0,300.27306143882373,False,0.00205396517440163,4,0.5190000000000001,92901,0,0,0.0,0.0,False,-0.0013651803758008342,9,0.5870000000000002,92643,0,0,0.0,0.0,False,-0.00413853893451434,0.3333333333333333,393994,0.0,0.0,17,0,0,21,7,7.0,17,38,22,226.0,63.0,17,11,22,814,1.617120418988634,16.48940350796329
8,22,0,0,0,10.0,20,10.0,14.354628336640904,0,,25.074131382754253,41,31.414634146341463,36.0,20,36.0,0,0.2,39579,5,27,1.0,437.5749650893044,False,0.010686123436134008,0,0.49700000000000005,37957,90,0,0.0,900.0,False,-0.02463366940091932,6,0.26,65496,23,10,1.0,580.8977655702834,False,-9.957164462563582e-05,0,0.2,66332,0,0,0.0,0.0,False,0.008192360889456326,6,0.5750000000000001,92171,9,10,1.0,585.6671824447883,False,-0.006064479605899307,14,0.7180000000000002,91790,12,10,1.0,660.8895765930511,False,-0.009755720984042092,0.6666666666666666,393325,0.0,0.0,15,0,0,16,12,11.333333333333332,12,28,21,131.0,54.0,9,13,21,858,1.5012652759905905,17.99066878395388
9,21,0,0,0,10.000000000000002,20,10.0,14.926366901999142,39,16.205128205128204,27.084619866705445,21,35.04761904761905,36.0,20,36.0,0,0.2,40050,7,10,1.0,219.26366901999143,False,0.019875354509231113,12,0.6170000000000001,37689,98,0,0.0,980.0000000000002,False,-0.030423851486908602,11,0.364,65269,52,10,1.0,1047.0172775710098,False,-7.468290159869273e-06,0,0.2,66332,0,0,0.0,0.0,False,0.008192360889456326,0,0.5690000000000002,92145,10,10,1.0,630.8461986670545,False,-0.006101140523997912,0,0.7040000000000002,91800,12,10,1.0,685.0154384004653,False,-0.009518556572212285,0.6666666666666666,393285,0.0,0.0,27,0,0,16,4,4.0,13,29,15,103.0,50.0,8,13,15,1861,1.5925841109710746,19.583252894924954
