index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,17,0,0,0,10.000000000000002,20,10.0,18.958543378539744,14,23.285714285714285,32.20244757138803,20,35.0,36.0,20,36.0,0,0.2,19964,0,21,0.6,398.1294109493346,False,0.053947242981269454,0,0.45200000000000007,17239,130,0,0.0,1300.0000000000002,False,-0.06492080915791125,10,0.7320000000000002,29064,15,10,1.0,606.4026263919765,False,0.013710780572868021,0,0.2,29256,0,8,0.4,257.6195805711042,False,0.014318598214896498,9,1.0010000000000003,39052,41,0,0.0,1320.300350426909,False,-0.05339077576245573,11,0.8590000000000002,38737,81,0,0.0,2608.3982532824302,False,-0.04554731296145082,0.3333333333333333,173312,0.0,0.0,14,0,0,7,9,8.90909090909091,18,25,23,122.0,66.0,10,7,23,841,0.832043020054698,11.753455253317952
11,23,0,0,0,10.000000000000002,20,10.0,19.23229910877952,4,25.0,32.47684356122441,3,42.0,35.99999999999999,20,36.0,0,0.2,19934,3,27,1.0,549.2720759370471,False,0.056329310436909974,0,0.45200000000000007,17169,137,0,0.0,1370.0000000000002,False,-0.06675030055930166,0,0.7220000000000002,29090,9,17,1.0,725.1970325198307,False,0.016658561141177548,0,0.2,29256,0,8,0.0,259.8147484897953,False,0.014356485130994006,7,1.0620000000000003,38859,44,0,0.0,1428.9811166938741,False,-0.05669597257944944,13,0.9780000000000002,38539,81,0,0.0,2630.6243284591774,False,-0.050002093720690595,0.3333333333333333,172847,0.0,0.0,9,0,0,7,6,6.0,21,28,20,166.0,75.0,13,10,20,426,1.6930602546781301,13.446515507996082
12,20,0,0,0,10.000000000000002,20,10.0,18.568885283064095,3,1.0,33.80227612059694,9,48.0,36.0,20,36.0,0,0.2,19834,3,37,1.0,717.0487554733716,False,0.05548713489815927,3,0.4820000000000001,17009,147,0,0.0,1470.0000000000002,False,-0.07250013067795724,0,0.7220000000000002,29519,2,18,1.0,645.5787407368732,False,0.030092832943335687,0,0.2,29256,0,8,0.0,270.41820896477554,False,0.014539492733254625,12,1.1750000000000003,38244,53,0,0.0,1791.520634391638,False,-0.06703469877012257,8,1.0450000000000002,38461,81,0,0.0,2737.9843657683523,False,-0.050581803420953086,0.3333333333333333,172323,0.0,0.0,8,0,0,8,8,8.0,20,28,18,128.0,51.0,12,8,18,632,0.9839329160749912,14.430448424071074
13,18,0,0,0,10.000000000000002,20,10.0,19.71757842139118,15,25.4,33.80227612059694,0,,36.00000000000001,20,36.0,0,0.2,20145,0,32,1.0,630.9625094845178,False,0.06949355782459145,0,0.47900000000000004,16879,160,0,0.0,1600.0000000000002,False,-0.07589775756625372,0,0.7220000000000002,29138,7,28,1.0,1084.4867803264526,False,0.02451651329524421,0,0.2,29256,0,8,0.0,270.41820896477554,False,0.014539492733254625,11,1.2730000000000004,38085,53,0,0.0,1791.520634391638,False,-0.07082474453671296,9,1.127,38345,81,0,0.0,2737.9843657683523,False,-0.053346868256956136,0.3333333333333333,171848,0.0,0.0,10,0,0,5,9,9.0,20,25,16,135.0,42.0,9,9,16,581,1.0455179456621408,15.475966369733214
14,16,0,0,0,10.000000000000002,20,10.0,19.588603801770116,4,17.0,32.37278126516593,7,13.0,36.00000000000001,20,36.0,0,0.2,20083,3,38,1.0,774.3669444672644,False,0.07000070420958819,0,0.47900000000000004,16809,167,0,0.0,1670.0000000000002,False,-0.07772724896764414,0,0.7220000000000002,29161,1,31,1.0,1023.144823021914,False,0.02425172286886292,0,0.2,29256,0,8,0.0,258.98225012132747,False,0.0143421168471061,13,1.3920000000000003,37870,53,0,0.0,1715.7574070537944,False,-0.07685262434384778,7,1.188,38178,88,0,0.0,2848.8047513346023,False,-0.05600680836033329,0.3333333333333333,171357,0.0,0.0,12,0,0,8,9,9.0,17,25,13,104.0,33.0,10,6,13,359,0.7645518407225609,16.240518210455775
15,13,0,0,0,10.000000000000002,20,10.0,18.88140335868336,3,1.0,33.22798573786942,7,44.42857142857143,36.00000000000001,20,36.0,0,0.2,20003,1,48,1.0,916.3073612168014,False,0.06952870632002511,3,0.5090000000000001,16629,179,0,0.0,1790.0000000000002,False,-0.08399979091526841,0,0.7220000000000002,29469,0,28,0.4,930.3836006603437,False,0.03328242320780713,0,0.2,29256,0,8,0.0,265.82388590295534,False,0.014460198237883307,5,1.4290000000000003,37512,60,0,0.0,1993.679144272165,False,-0.08207380882589436,15,1.3310000000000002,37911,88,0,0.0,2924.062744932509,False,-0.06147427125128109,0.2333333333333333,170780,0.0,0.0,9,0,0,5,9,9.0,17,22,16,77.0,18.0,7,6,16,511,0.6657312139868736,16.90624942444265
16,16,0,0,0,10.000000000000002,20,10.0,19.257039578684488,13,21.307692307692307,31.94788064723635,6,13.0,36.00000000000001,20,36.0,0,0.2,20198,0,46,0.9,885.8238206194865,False,0.0789248816219614,2,0.526,16469,191,0,0.0,1910.0000000000002,False,-0.08922690920495531,0,0.7220000000000002,29270,3,32,1.0,1080.1032994476166,False,0.028997295468547103,0,0.2,29256,0,8,0.0,255.5830451778908,False,0.014283449174627016,12,1.5440000000000005,37333,60,0,0.0,1916.872838834181,False,-0.08725599686744155,8,1.3960000000000001,37739,94,0,0.0,3003.100780840217,False,-0.06463218939692719,0.31666666666666665,170265,0.0,0.0,9,0,0,4,9,9.0,18,22,14,112.0,24.0,7,9,14,553,0.8221294917166233,17.728378916159272
17,14,0,0,0,10.000000000000002,20,10.0,20.787410765042118,36,24.0,30.968614403160903,14,25.0,36.00000000000001,20,36.0,0,0.2,20972,0,19,0.9,394.96080453580026,False,0.1065537819386285,0,0.5240000000000001,16359,202,0,0.0,2020.0000000000005,False,-0.0921018242642831,0,0.7220000000000002,28580,29,32,1.0,1593.8305730873703,False,0.01404609204500119,0,0.2,29432,0,4,0.0,123.87445761264361,False,0.01808551014174389,10,1.6320000000000003,36929,68,0,0.0,2105.8657794149412,False,-0.09463356002794923,10,1.4880000000000002,37534,100,0,0.0,3096.8614403160905,False,-0.06840125094970335,0.31666666666666665,169806,0.0,0.0,13,0,0,7,7,7.0,18,25,12,106.0,18.0,8,6,12,1414,0.6224899683147669,18.35086888447404
18,12,0,0,0,10.000000000000002,20,10.0,20.787410765042118,0,,30.209265438185398,9,22.666666666666668,36.00000000000001,20,36.0,0,0.2,20862,1,29,1.0,612.8349121862215,False,0.10649822048471641,0,0.5240000000000001,16269,211,0,0.0,2110.0000000000005,False,-0.0944540274946422,0,0.7220000000000002,28784,19,33,1.0,1391.8665639959183,False,0.017602115360647597,0,0.2,29432,0,4,0.0,120.83706175274159,False,0.018033087016788744,12,1.7420000000000002,36586,76,0,0.0,2295.9041733020904,False,-0.10054462036014868,8,1.5580000000000003,37409,101,0,0.0,3051.135809256725,False,-0.07192582225809586,0.3333333333333333,169342,0.0,0.0,11,0,0,8,7,7.0,17,25,15,62.0,27.0,8,4,15,404,0.6458330117166042,18.996701896190643
19,15,0,0,0,10.000000000000002,20,10.0,20.787410765042118,0,,31.088619913393735,24,34.333333333333336,36.00000000000001,20,36.0,0,0.2,20742,3,39,1.0,840.7090198366426,False,0.10618130311632017,0,0.5240000000000001,16189,219,0,0.0,2190.0000000000005,False,-0.09654487481051696,0,0.7220000000000002,29608,9,19,1.0,777.77047523986,False,0.03544650457783667,0,0.2,29432,0,4,0.0,124.35447965357494,False,0.018093794954324675,13,1.8600000000000005,35664,92,0,0.0,2860.1530320322236,False,-0.1157971844961835,7,1.6200000000000003,37230,109,0,0.0,3388.659570559917,False,-0.07216986591151892,0.3333333333333333,168865,0.0,0.0,10,0,0,9,8,8.0,16,25,19,96.0,48.0,9,6,19,1024,0.7968425676226616,19.793544463813305
