index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,32.0,0,,43.0,0,,0,0.2,34426.0,11,0,0.0,110.0,False,-0.0015925411165160991,0,0.2,34446,0,9,0.9,180.0,False,0.0,0,0.2,59358,0,0,0.0,0.0,False,0.0,0,0.2,59358,0,0,0.0,0.0,False,0.0,0,0.2,75546,0,0,0.0,0.0,False,0.0,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.15,338680,0.0,0.0,12,0,0,350,0,0.0,1040,1390,68,0.0,0.0,0,0,68,200,1.726594147272408,1.726594147272408
1,68,0,0,0,10.0,20,10.0,20.0,0,,32.0,0,,43.0,0,,0,0.2,34356.0,18,0,0.0,180.0,False,-0.0026059763724808893,0,0.2,34316,3,19,1.0,410.0,False,-0.0004343293954134816,0,0.2,59358,0,0,0.0,0.0,False,0.0,0,0.2,59358,0,0,0.0,0.0,False,0.0,0,0.2,75546,0,0,0.0,0.0,False,0.0,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.16666666666666666,338480,0.0,0.0,9,0,0,43,0,0.0,29,72,53,867.0,276.0,51,17,53,200,3.1256221858784556,4.852216333150864
2,53,0,0,0,10.0,20,10.0,18.551020408163264,4,2.25,32.0,0,,43.0,0,,4,0.24000000000000002,34136.0,31,0,0.0,310.0,False,-0.007094046791753532,0,0.2,34246,0,29,1.0,537.9795918367347,False,-0.0006083566157526808,0,0.2,59352,0,3,0.3,96.0,False,0.0007075710098049126,0,0.2,59355,0,1,0.1,32.0,False,0.0002190100744634253,0,0.2,75546,0,0,0.0,0.0,False,0.0,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.23333333333333336,338181,0.0,0.0,9,0,0,22,2,2.0,24,46,50,387.0,235.0,24,29,50,200,2.7545673036947846,7.606783636845648
3,50,0,0,0,10.0,20,10.0,16.21514629948365,14,8.857142857142858,32.0,0,,43.0,10,43.0,4,0.276,33931.0,43,0,0.0,430.0,False,-0.011292564280750522,0,0.2,34276,0,27,0.8,437.80895008605853,False,-0.0011899329672508182,0,0.2,59240,1,13,1.0,432.21514629948365,False,0.0016528113000731214,0,0.2,59343,0,4,0.3,128.0,False,0.0008254995114390646,10,0.30000000000000004,75383,0,0,0.0,0.0,False,-0.0021576258173827867,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.35000000000000003,337719,0.0,0.0,11,0,0,23,7,7.0,15,38,44,233.0,123.0,17,33,44,310,2.942319137044251,10.5491027738899
4,44,0,0,0,10.0,20,10.0,13.182833006486652,14,1.8571428571428572,29.98076923076923,7,17.0,43.0,12,43.0,14,0.4120000000000001,33463.0,52,0,0.0,520.0,False,-0.0235406532314107,0,0.2,34166,1,37,1.0,497.7648212400061,False,-0.0035069952912901168,0,0.2,59345,0,15,0.9,449.71153846153845,False,0.0035691190611335604,0,0.2,59331,0,10,0.6,299.8076923076923,False,0.0020705523459995942,12,0.41000000000000003,75046,0,7,0.7,301.0,False,-0.004626320387578429,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.5333333333333333,336897,0.0,0.0,8,0,0,22,9,9.0,14,36,34,192.0,108.0,16,28,34,319,2.5469963680952787,13.096099141985178
5,34,0,0,0,10.0,20,10.0,17.096473307572875,26,26.076923076923077,28.727799227799228,5,17.0,43.00000000000001,11,43.0,4,0.4380000000000001,33263.0,64,0,0.0,640.0,False,-0.027594394255269862,0,0.2,34748,0,24,0.9,410.315359381749,False,0.012078922854148643,0,0.2,58752,16,20,1.0,848.0995574771505,False,-0.003065302423623173,0,0.2,59331,0,10,0.0,287.27799227799227,False,0.0019650088638261754,4,0.43800000000000006,75220,0,5,0.5,215.00000000000003,False,-0.0028922775527493185,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.39999999999999997,336860,0.0,0.0,14,0,0,20,3,2.5,14,34,32,103.0,94.0,11,23,32,1162,2.3956075999885798,15.491706741973758
6,32,0,0,0,10.0,20,10.0,18.770264302836257,35,22.457142857142856,27.801066772026868,4,17.0,43.0,13,43.0,9,0.524,32975.0,72,0,0.0,720.0,False,-0.034775306926106093,2,0.22000000000000003,35334,2,10,1.0,207.70264302836256,False,0.02611336928174019,0,0.2,58804,14,26,1.0,985.6114363124061,False,-0.0010309357094881312,0,0.2,58561,17,20,1.0,875.1158285887536,False,-0.00605549522735983,8,0.514,75247,0,4,0.4,172.0,False,-0.002819474227622905,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.5666666666666667,336467,0.0,0.0,16,0,0,19,9,7.82051282051282,16,35,26,173.0,73.0,16,16,26,817,2.303338112309575,17.795044854283333
7,26,0,0,0,10.0,20,10.0,17.805277821427364,29,14.448275862068966,32.506400432705306,21,42.714285714285715,43.0,12,43.0,29,0.8050000000000002,32420.0,83,0,0.0,830.0,False,-0.049252953439888815,0,0.21800000000000003,35244,1,20,1.0,366.1055564285473,False,0.025800694296220596,0,0.2,58855,4,33,1.0,1143.9323255649845,False,0.0011618680343422933,0,0.2,58988,36,12,1.0,1031.0668067638487,False,0.0024517908855069843,8,0.5860000000000001,74406,11,10,1.0,787.5704047597584,False,-0.009877621550050607,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.6666666666666666,335459,0.0,0.0,16,0,0,15,6,6.0,13,28,35,127.0,77.0,9,17,35,1269,1.913132069632411,19.708176923915744
8,35,0,0,0,10.0,20,10.0,18.518732109806823,32,21.125,33.62297271895252,5,47.0,43.0,10,43.0,19,0.9660000000000002,32133.0,89,0,0.0,890.0,False,-0.05669446374797313,0,0.21800000000000003,35481,5,17,1.0,364.818445866716,False,0.032644464412015135,0,0.2,58855,0,37,0.4,1244.049990601243,False,0.0020052056218305956,0,0.2,58547,58,17,1.0,1645.6769985909887,False,0.00019944235478783228,0,0.5780000000000001,74601,6,10,1.0,631.7378363137151,False,-0.00832778812701053,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.5666666666666667,335163,0.0,0.0,19,0,0,26,2,2.0,12,38,29,260.0,90.0,20,15,29,1242,2.713923027738929,22.422099951654673
9,29,0,0,0,10.000000000000002,20,10.0,21.428117166959645,47,29.72340425531915,32.55760208216435,4,17.0,43.0,14,43.0,2,0.9670000000000001,31997.0,98,0,0.0,980.0000000000002,False,-0.05932939541348158,28,0.49800000000000005,35902,6,10,1.0,274.28117166959646,False,0.04352387612447303,0,0.2,58024,19,43,1.0,1807.1111157053003,False,-0.007251666871312253,0,0.2,58049,66,27,1.0,2293.3109892377743,False,-0.002735006324018929,4,0.6180000000000001,74925,0,10,1.0,430.0,False,-0.005374209091149763,0,0.2,75546,0,0,0.0,0.0,False,0.0,0.6666666666666666,334443,0.0,0.0,18,0,0,17,5,4.423076923076923,10,27,22,173.0,93.0,13,16,22,1151,1.8363701468333602,24.258470098488033
