index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,17,0,0,0,10.000000000000002,20,10.0,18.726427868622423,39,8.128205128205128,20.31992775278329,6,41.166666666666664,36.0,11,36.0,39,1.2020000000000002,36967,111,0,0.0,1110.0000000000002,False,-0.05113291523366377,0,0.7130000000000001,40406,6,20,1.0,434.52855737244846,False,0.02729274425162419,0,0.2,68511,64,38,1.0,1970.6486381976001,False,0.006478360571460841,0,0.722,64476.0,98,0,0.0,1835.1899311249974,False,-0.05293928998881228,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,1,0.28200000000000003,93328,20,10,1.0,766.3985550556658,False,0.013411764526476777,0.5,396155,0.0,0.0,17,0,0,19,4,3.5,19,38,17,163.0,15.0,15,2,17,771,1.567872814834118,20.1491462783888
11,17,0,0,0,10.000000000000002,20,10.0,18.255945133226128,21,14.142857142857142,20.329271476704598,34,20.352941176470587,36.0,11,36.0,14,1.3030000000000004,36794,117,0,0.0,1170.0000000000002,False,-0.05474914019826017,0,0.7130000000000001,40374,10,23,1.0,519.8867380642009,False,0.027562800147483867,0,0.2,68626,64,43,1.0,2042.53916202477,False,0.008664420643490624,29,1.0120000000000002,63464.0,109,0,0.0,1989.898019521648,False,-0.0664752710428707,0,0.2,92467,0,2,0.0,72.0,False,0.00034605443868888626,1,0.29100000000000004,92989,44,10,1.0,1254.4879449750024,False,0.012384898751906006,0.5,394714,0.0,0.0,21,0,0,16,7,7.0,17,33,14,118.0,22.0,12,5,14,873,1.5204700725153089,21.669616350904107
12,14,0,0,0,10.000000000000002,20,10.0,17.804449157900144,30,15.033333333333331,21.836851467297617,49,25.163265306122447,35.99999999999999,7,36.0,5,1.3390000000000002,36704,121,0,0.0,1210.0000000000002,False,-0.0565193202508598,2,0.7330000000000001,40582,16,10,1.0,338.0444915790015,False,0.03052352432200839,0,0.2,69618,65,16,1.0,1506.6788187402713,False,0.01915073946574368,12,1.1030000000000002,62802.0,128,0,0.0,2278.9694922112185,False,-0.07396943118501915,0,0.2,92467,0,2,0.0,71.99999999999999,False,0.00034605443868888626,0,0.29000000000000004,92008,83,13,1.0,2280.458671785702,False,0.00732369430300157,0.5,394181,0.0,0.0,18,0,0,17,4,3.4,15,32,14,101.0,12.0,10,4,14,1919,1.4705260088667274,23.140142359770834
13,14,0,0,0,10.000000000000002,20,10.0,17.804449157900144,0,,18.056502670352316,63,9.57142857142857,35.99999999999999,8,36.0,0,1.3340000000000003,36604,131,0,0.0,1310.0000000000002,False,-0.057783734574145255,0,0.7310000000000001,40482,16,20,1.0,516.0889831580029,False,0.030245915728783112,0,0.2,69823,55,21,1.0,1358.4312597619066,False,0.021046150268374007,58,1.6710000000000005,59342.0,128,0,0.0,2278.9694922112185,False,-0.12407877382575255,0,0.2,92467,0,2,0.0,71.99999999999999,False,0.00034605443868888626,0,0.29000000000000004,91693,136,15,1.0,2995.684363167915,False,0.007784518190394327,0.5,390411,0.0,0.0,18,0,0,17,6,6.0,15,32,15,100.0,28.0,9,5,15,693,1.3321899669244885,24.472332326695323
14,15,0,0,0,10.000000000000002,20,10.0,18.292367783415855,17,23.823529411764707,16.936465238449166,15,3.2,35.99999999999999,8,36.0,5,1.3840000000000003,36444,142,0,0.0,1420.0000000000002,False,-0.06043900465304471,0,0.7310000000000001,40752,15,18,1.0,479.26262010148537,False,0.036608115265292826,0,0.2,69730,52,31,1.0,1476.2335471295487,False,0.020552314639817753,15,1.7630000000000006,58496.0,138,0,0.0,2524.3467541113882,False,-0.13455410828461387,0,0.2,92467,0,2,0.0,71.99999999999999,False,0.00034605443868888626,0,0.29000000000000004,91933,141,17,1.0,3000.0415986213325,False,0.010403486491015124,0.5,389822,0.0,0.0,19,0,0,17,3,3.0,17,34,17,104.0,36.0,11,4,17,848,1.5484781600534916,26.020810486748815
15,17,0,0,0,10.000000000000002,20,10.0,18.930574337819998,21,24.666666666666668,13.972732350880374,84,7.654761904761905,35.99999999999999,10,36.0,0,1.3790000000000002,36314,155,0,0.0,1550.0000000000002,False,-0.0620827432733158,3,0.7610000000000001,41143,12,10,1.0,309.30574337819996,False,0.044346876180687264,0,0.2,69772,42,40,1.0,1353.993416223655,False,0.02027540888516594,83,2.5780000000000007,53072.0,159,0,0.0,3009.9613197133795,False,-0.20959057104582707,0,0.2,92425,0,3,0.1,107.99999999999997,False,8.651360967222157e-05,0,0.29000000000000004,91692,214,17,1.0,3602.1647230884,False,0.011053004309937234,0.5166666666666667,384418,0.0,0.0,18,0,0,12,5,4.428571428571429,21,33,21,107.0,65.0,9,8,21,1008,1.3444570368155837,27.3652675235644
16,21,0,0,0,10.000000000000002,20,10.0,19.042000841318707,23,19.956521739130434,13.538039256530839,11,4.181818181818182,35.99999999999999,9,36.0,5,1.4290000000000003,36134,168,0,0.0,1680.0000000000002,False,-0.06499089621687235,8,0.8380000000000001,41335,9,10,1.0,280.4200084131871,False,0.048836991811819594,0,0.2,69313,55,50,1.0,1724.2120090990707,False,0.016308795269294844,11,2.6050000000000004,52704.0,159,0,0.0,3027.6781337696743,False,-0.2147918280223488,0,0.2,92425,0,3,0.0,107.99999999999997,False,8.651360967222157e-05,0,0.29000000000000004,91970,215,18,1.0,3558.6784401541304,False,0.013824217539304878,0.5,383881,0.0,0.0,13,0,0,19,4,3.4444444444444446,19,38,16,190.0,86.0,14,7,16,524,1.645900116302073,29.01116763986647
17,16,0,0,0,10.000000000000002,20,10.0,19.898929596135062,23,27.0,11.906660657426066,56,5.410714285714286,35.999999999999986,12,36.0,5,1.4740000000000002,35974,179,0,0.0,1790.0000000000002,False,-0.0676461662957718,8,0.9100000000000001,41669,8,10,1.0,278.98929596135065,False,0.05726518935820036,0,0.2,69268,50,60,1.0,1709.346119252317,False,0.015549436771367612,56,3.1540000000000012,49216.0,177,0,0.0,3522.110538515906,False,-0.26172637881420513,0,0.2,92425,0,3,0.0,107.99999999999996,False,8.651360967222157e-05,0,0.29000000000000004,92099,261,16,1.0,3683.6384315882033,False,0.015894920740492785,0.5,380651,0.0,0.0,19,0,0,7,7,6.444444444444445,24,31,14,146.0,47.0,11,5,14,632,1.3716019093990326,30.382769549265504
18,14,0,0,0,10.000000000000002,20,10.0,20.025295232684577,28,20.892857142857142,11.906660657426066,0,,35.999999999999986,6,36.0,5,1.5190000000000003,35799,191,0,0.0,1910.0000000000002,False,-0.07055431923932834,13,1.0320000000000003,41869,6,10,1.0,260.2529523268458,False,0.062085941638767524,0,0.2,68745,66,70,1.0,2155.135731377007,False,0.01120317261203637,0,3.0980000000000016,49154.0,179,0,0.0,3584.5278466505392,False,-0.26217231352626,0,0.2,92425,0,3,0.0,107.99999999999996,False,8.651360967222157e-05,0,0.29000000000000004,92315,251,20,1.0,3708.5718250139425,False,0.018365605568307537,0.5,380307,0.0,0.0,15,0,0,15,3,2.5238095238095237,17,32,9,128.0,54.0,10,4,9,416,1.3976254062727094,31.780394955538213
19,9,0,0,0,10.000000000000002,20,10.0,19.116237844611724,36,14.11111111111111,12.514941246674043,18,21.0,35.999999999999986,8,36.0,36,1.8740000000000003,35259,197,0,0.0,1970.0000000000005,False,-0.08345134533683997,0,1.0190000000000001,41729,10,20,1.0,482.3247568922345,False,0.06135348923847155,0,0.2,69063,62,66,1.0,2011.1928686464137,False,0.014766273723344357,4,3.1380000000000003,48570.0,209,0,0.0,3995.2937095238503,False,-0.26765562347373717,0,0.2,92425,0,3,0.0,107.99999999999996,False,8.651360967222157e-05,0,0.29000000000000004,92225,259,22,1.0,4033.3697828885765,False,0.019148542693863825,0.5,379271,0.0,0.0,17,0,0,10,4,4.0,19,29,12,117.0,18.0,7,2,12,854,0.8824135335162282,32.66280848905444
