index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,6,0,0,0,10.000000000000002,20,10.0,21.593401025725868,0,,9.367141203006529,0,,25.0,8,25.0,0,0.2,64467,1,24,1.0,528.2416246174208,False,0.01717717106616664,0,0.2,62438,120,0,0.0,1200.0000000000002,False,-0.009428328985826078,0,0.4790000000000001,82118,62,0,0.0,1338.7908635950039,False,-0.0138957592038795,0,0.7670000000000001,82170,13,0,0.0,280.7142133344363,False,-0.019577898531729095,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.3350000000000001,105615,7,15,1.0,440.5699884210457,False,0.010293202308299436,0.3333333333333333,501414,0.0,0.0,7,0,0,6,0,0.0,10,16,4,92.0,0.0,6,0,4,400,0.9756314299884252,19.294217017944902
11,4,0,0,0,10.000000000000002,20,10.0,21.788296410954786,14,23.0,9.519168280430314,8,11.0,25.000000000000004,14,25.0,0,0.2,64709,0,19,0.9,413.9776318081409,False,0.020082164994249835,0,0.2,62318,132,0,0.0,1320.0000000000002,False,-0.010371161884408687,8,0.559,81692,76,0,0.0,1655.9105272325637,False,-0.017081315200987632,0,0.7670000000000001,82170,13,0,0.0,283.2478533424122,False,-0.019562809077933067,0,0.2,104606,0,16,0.0,400.00000000000006,False,0.0004677491718930477,0,0.3350000000000001,105877,5,11,1.0,322.5958414021516,False,0.012231143701147222,0.31666666666666665,501372,0.0,0.0,10,0,0,7,1,1.0,7,14,4,59.0,0.0,4,0,4,872,0.8752311319694854,20.169448149914388
12,4,0,0,0,10.000000000000002,20,10.0,21.897418786608167,9,23.0,9.56424687027796,8,10.0,25.0,11,25.0,0,0.2,64826,0,19,0.9,416.0509569455552,False,0.021936979139394394,0,0.2,62208,143,0,0.0,1430.0000000000002,False,-0.011235425374776077,7,0.621,81394,85,0,0.0,1861.2805968616942,False,-0.019407767367476816,1,0.7770000000000001,82149,13,0,0.0,284.66644422590616,False,-0.01980449743772836,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.3350000000000001,106072,3,10,1.0,278.6927406108339,False,0.013883047150122807,0.31666666666666665,501255,0.0,0.0,9,0,0,5,2,2.0,9,14,6,59.0,0.0,4,0,6,682,0.9087728989543393,21.078221048868727
13,6,0,0,0,10.000000000000002,20,10.0,21.897418786608167,0,,8.848847358903415,7,1.0,25.0,9,25.0,0,0.2,64746,0,27,0.8,591.2303072384206,False,0.022056242396354567,0,0.2,62088,155,0,0.0,1550.0000000000002,False,-0.012178258273358685,0,0.614,81394,85,0,0.0,1861.2805968616942,False,-0.019407767367476816,7,0.8460000000000001,81988,13,0,0.0,284.66644422590616,False,-0.021722214282667258,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.3350000000000001,106290,0,11,1.0,275.0,False,0.015946428400966044,0.3,501112,0.0,0.0,7,0,0,10,1,1.0,7,17,4,91.0,0.0,6,0,4,425,0.9524733909638599,22.030694439832587
14,4,0,0,0,10.000000000000002,20,10.0,22.106122314216574,21,23.0,8.732326215128586,12,8.0,25.0,9,25.0,0,0.2,65129,0,16,1.0,353.6979570274652,False,0.02620838144683578,0,0.2,61988,165,0,0.0,1650.0000000000002,False,-0.012963952355510858,8,0.6940000000000002,80807,106,0,0.0,2343.248965306957,False,-0.02352926027761057,4,0.879,81900,13,0,0.0,287.37959008481545,False,-0.022754248814322097,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.3350000000000001,106419,2,12,1.0,317.46465243025716,False,0.01738053138420471,0.3333333333333333,500849,0.0,0.0,10,0,0,6,2,2.0,9,15,4,65.0,0.0,4,0,4,908,0.9552969349897467,22.985991374822333
15,4,0,0,0,10.000000000000002,20,10.0,22.106122314216574,0,,8.822150243605709,6,10.0,25.0,13,25.0,0,0.2,65039,0,25,0.9,552.6530578554143,False,0.026357310552306865,0,0.2,61878,176,0,0.0,1760.0000000000002,False,-0.013828215845878249,6,0.746,80723,106,0,0.0,2343.248965306957,False,-0.024529808196709125,0,0.8750000000000002,81900,13,0,0.0,287.37959008481545,False,-0.022754248814322097,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,1,0.34500000000000003,106654,0,8,0.8,200.0,False,0.019063165230008495,0.2833333333333334,500800,0.0,0.0,7,0,0,6,2,1.1666666666666667,7,13,8,44.0,11.0,3,1,8,375,0.9204520640196279,23.90644343884196
16,8,0,0,0,10.000000000000002,20,10.0,22.381657333050377,17,24.0,8.643087039270915,15,7.733333333333333,25.0,11,25.0,0,0.2,65347,0,18,1.0,402.8698319949068,False,0.03002034815672164,0,0.2,61778,186,0,0.0,1860.0000000000002,False,-0.014613909928030423,8,0.8200000000000001,80273,121,0,0.0,2708.1805372990957,False,-0.02771648440039124,7,0.9450000000000001,81698,15,0,0.0,335.72485999575565,False,-0.024872401195918197,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,3,0.374,106723,5,10,1.0,293.2154351963546,False,0.020166745111049163,0.3333333333333333,500425,0.0,0.0,11,0,0,9,3,2.5,9,18,6,102.0,13.0,7,1,6,733,1.0111939950147644,24.917637433856726
17,6,0,0,0,10.000000000000002,20,10.0,22.746479977479336,33,23.90909090909091,8.053170441095677,8,2.0,24.999999999999996,9,25.0,15,0.35000000000000003,65711,4,10,1.0,267.4647997747934,False,0.03467633174969972,0,0.2,61718,192,0,0.0,1920.0000000000005,False,-0.015085326377321726,0,0.812,79691,145,0,0.0,3298.2395967345037,False,-0.03113467138710191,8,1.0180000000000002,81315,24,0,0.0,545.915519459504,False,-0.02818260285716289,0,0.2,104606,0,16,0.0,399.99999999999994,False,0.0004677491718930477,0,0.37100000000000005,106932,3,11,1.0,299.15951132328695,False,0.02219020930020567,0.3333333333333333,499973,0.0,0.0,10,0,0,8,2,2.0,7,15,6,84.0,19.0,5,1,6,839,0.9457551240338944,25.86339255789062
18,6,0,0,0,10.000000000000002,20,10.0,22.746479977479336,0,,8.053170441095677,0,,24.999999999999996,12,25.0,0,0.3350000000000001,65621,3,20,1.0,484.9295995495867,False,0.03497069046442057,0,0.2,61608,203,0,0.0,2030.0000000000005,False,-0.015949589867689115,0,0.812,79691,145,0,0.0,3298.2395967345037,False,-0.03113467138710191,0,1.0100000000000002,81315,24,0,0.0,545.915519459504,False,-0.02818260285716289,0,0.2,104606,0,16,0.0,399.99999999999994,False,0.0004677491718930477,1,0.38100000000000006,107202,0,3,0.3,74.99999999999999,False,0.02369770039233655,0.21666666666666667,500043,0.0,0.0,7,0,0,6,1,1.0,11,17,6,88.0,0.0,6,0,6,475,0.9811970550217666,26.844589612912387
19,6,0,0,0,10.000000000000002,20,10.0,23.39153940049778,25,26.6,7.817739023195208,5,4.0,24.999999999999996,11,25.0,5,0.385,66071,5,10,1.0,283.9153940049778,False,0.04046258048654096,0,0.2,61528,211,0,0.0,2110.0000000000005,False,-0.016578145133410854,0,0.812,79461,155,0,0.0,3625.688607077156,False,-0.031924097678031164,5,1.0600000000000003,80780,39,0,0.0,912.2700366194134,False,-0.032373263712155355,0,0.2,104606,0,16,0.0,399.99999999999994,False,0.0004677491718930477,8,0.4600000000000001,107194,0,5,0.5,124.99999999999999,False,0.023859980717279038,0.25,499640,0.0,0.0,6,0,0,8,5,3.583333333333333,10,18,6,92.0,0.0,6,0,6,430,0.9829805960180238,27.82757020893041
