index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,2,0,0,0,10.000000000000002,20,10.0,5.135386333716518,19,4.7894736842105265,20.61984972411248,11,17.09090909090909,44.0,20,44.0,19,1.0740000000000003,39975,104,0,0.0,1040.0000000000002,False,-0.07310764723385749,0,1.4780000000000004,38314,116,0,0.0,1160.0000000000002,False,-0.10975302707775413,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,11,2.0560000000000005,58630,223,0,0.0,1145.1911524187835,False,-0.11227177123692615,2,0.40900000000000003,99618,0,0,0.0,0.0,False,0.01340793489318413,0,0.2,98458,65,17,1.0,2088.290232067311,False,0.012229350112244743,0.16666666666666666,402323,0.0,0.0,22,0,0,11,6,5.5,13,24,2,36.0,0.0,2,0,2,948,0.917971950955689,27.797804968431592
11,2,0,0,0,10.000000000000002,20,10.0,5.1537857123097925,20,5.3,21.388684415377934,20,27.0,44.0,20,44.0,15,1.205,39571,117,0,0.0,1170.0000000000002,False,-0.08086703746938588,5,1.5280000000000002,38126,123,0,0.0,1230.0000000000002,False,-0.11325505275927579,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,20,2.245000000000001,58124,243,0,0.0,1252.3699280912797,False,-0.11905555609468223,8,0.48700000000000004,98957,10,10,1.0,653.8868441537793,False,0.010009597376163672,0,0.2,98986,55,15,1.0,1836.3776428457863,False,0.01631931659636721,0.3333333333333333,401092,0.0,0.0,20,0,0,15,11,11.0,13,28,2,36.0,0.0,2,0,2,728,0.9192798705771565,28.71708483900875
12,2,0,0,0,10.000000000000002,20,10.0,4.684425416666571,33,2.393939393939394,21.388684415377934,0,,44.0,20,44.0,20,1.3900000000000001,39021,128,0,0.0,1280.0000000000002,False,-0.09219712055666186,13,1.6530000000000007,37763,132,0,0.0,1320.0000000000002,False,-0.12053377280322278,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,0,2.225000000000001,58045,276,0,0.0,1292.9014149999734,False,-0.11993626169590665,0,0.47900000000000004,99353,0,11,1.0,484.0,False,0.013173957273652085,0,0.2,99470,45,14,1.0,1578.490798692007,False,0.019931285852960404,0.3333333333333333,400980,0.0,0.0,21,0,0,13,2,2.0,13,26,4,36.0,0.0,2,0,4,1080,0.9252944029867649,29.642379241995513
13,4,0,0,0,10.000000000000002,20,10.0,4.684425416666571,0,,20.69540098008981,31,17.35483870967742,44.0,20,44.0,0,1.37,38921,138,0,0.0,1380.0000000000002,False,-0.09334157339376044,0,1.6400000000000006,37663,142,0,0.0,1420.0000000000002,False,-0.12167822564032137,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,31,2.535000000000001,56844,276,0,0.0,1292.9014149999734,False,-0.13794495865197204,1,0.48900000000000005,99507,9,10,1.0,626.2586088208083,False,0.015464184175080463,0,0.2,99606,47,16,1.0,1676.6838460642211,False,0.021814261678861812,0.3333333333333333,399869,0.0,0.0,22,0,0,13,4,3.25,14,27,2,61.0,0.0,4,0,2,904,0.9476246871054173,30.59000392910093
14,2,0,0,0,10.000000000000002,20,10.0,4.707846357720027,14,5.0,20.553815299798718,9,18.0,44.0,20,44.0,0,1.37,38831,147,0,0.0,1470.0000000000002,False,-0.09437158094714916,14,1.7800000000000005,37287,153,0,0.0,1530.0000000000002,False,-0.12902561285449426,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,9,2.594000000000001,56585,290,0,0.0,1365.2754437388078,False,-0.14128598407753182,0,0.48800000000000004,99785,8,10,1.0,604.4305223983897,False,0.018181233582901236,0,0.2,100046,37,16,1.0,1464.4911660925527,False,0.02521104357117265,0.3333333333333333,399862,0.0,0.0,24,0,0,12,2,2.0,14,26,4,36.0,0.0,2,0,4,1080,0.8958935709670186,31.48589750006795
15,4,0,0,0,10.000000000000002,20,10.0,4.596360821579923,20,3.65,20.35525508522244,13,18.0,44.0,20,44.0,20,1.5700000000000003,38255,154,0,0.0,1540.0000000000002,False,-0.10675456064455584,0,1.7660000000000005,37157,166,0,0.0,1660.0000000000002,False,-0.13051340154272242,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,13,2.7150000000000007,56239,310,0,0.0,1424.8718546897762,False,-0.14602735151679583,0,0.48800000000000004,100093,0,11,0.8,484.0,False,0.020701932858596134,0,0.2,100384,40,13,1.0,1386.2102034088975,False,0.02825132351683064,0.3,399456,0.0,0.0,23,0,0,10,3,3.0,17,27,3,60.0,0.0,4,0,3,1080,0.9396549127995968,32.425552412867546
16,3,0,0,0,10.000000000000002,20,10.0,4.5515433215228915,3,2.0,19.961634067399086,20,17.0,44.0,20,44.0,3,1.5800000000000003,38109,162,0,0.0,1620.0000000000002,False,-0.10918080065920484,0,1.7660000000000005,37037,178,0,0.0,1780.0000000000002,False,-0.13188674494724073,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,20,2.902000000000001,55623,313,0,0.0,1424.633059636665,False,-0.15526590898458045,0,0.48800000000000004,100265,0,13,1.0,572.0,False,0.022899287894201426,0,0.2,100752,40,11,1.0,1282.4653626959634,False,0.031467270410457666,0.3333333333333333,399114,0.0,0.0,21,0,0,12,3,3.0,14,26,4,36.0,0.0,3,0,4,1080,0.8178733931854367,33.24342580605298
17,4,0,0,0,10.000000000000002,20,10.0,4.315080727309744,19,2.3684210526315788,19.852945140105387,9,18.0,44.0,20,44.0,12,1.697,37755,171,0,0.0,1710.0000000000002,False,-0.11625351919247408,7,1.8360000000000005,36780,189,0,0.0,1890.0000000000002,False,-0.136510334409119,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,9,2.9720000000000013,55389,332,0,0.0,1432.6068014668351,False,-0.15871489877442763,0,0.4880000000000001,100411,0,15,0.9,660.0,False,0.024832146490335705,2,0.22000000000000003,101217,30,10,1.0,1035.5883542031615,False,0.034941955006119796,0.31666666666666665,398880,0.0,0.0,22,0,0,11,5,4.25,16,27,3,63.0,0.0,4,0,3,860,0.9626217810437083,34.20604758709669
18,3,0,0,0,10.000000000000002,20,10.0,4.315080727309744,0,,19.852945140105387,0,,44.0,20,44.0,0,1.6850000000000003,37625,184,0,0.0,1840.0000000000002,False,-0.11774130788070224,0,1.8290000000000004,36710,196,0,0.0,1960.0000000000005,False,-0.13731145139508802,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,0,2.963000000000001,55389,332,0,0.0,1432.6068014668351,False,-0.15871489877442763,0,0.4880000000000001,100807,0,6,0.0,264.0,False,0.026846388606307222,1,0.228,101649,20,10,1.0,837.0589028021077,False,0.0383268509806822,0.16666666666666666,399508,0.0,0.0,24,0,0,13,1,0.5,13,26,3,44.0,0.0,3,0,3,992,0.9881440438330173,35.19419163092971
19,3,0,0,0,10.000000000000002,20,10.0,4.136289216560417,9,1.0,19.503681209580947,16,16.3125,44.0,20,44.0,0,1.6850000000000003,37515,195,0,0.0,1950.0000000000005,False,-0.11900020600151068,9,1.9190000000000003,36399,205,0,0.0,2050.0000000000005,False,-0.14339994048845248,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,16,3.1230000000000007,54912,341,0,0.0,1410.4746228471022,False,-0.16603332866361445,3,0.518,101047,0,0,0.0,0.0,False,0.02794506612410987,1,0.23700000000000002,101820,26,10,1.0,947.0957114491046,False,0.040626122642162275,0.16666666666666666,399021,0.0,0.0,23,0,0,11,6,6.0,15,26,3,46.0,0.0,3,0,3,904,0.9681667741388083,36.16235840506852
