index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,18.83744998397166,28,20.0,12.120475106053306,40,10.0,29.0,20,29.0,0,0.2,13874,15,38,1.0,865.8230993909231,False,0.04613275443810046,0,0.2,14188,0,20,1.0,376.74899967943315,False,0.051211940614193915,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,40,2.724000000000001,9326.0,139,0,0.0,2618.405547772061,False,-0.456472490730003,12,0.6170000000000001,27479,0,9,0.9,261.0,False,0.013304216978015928,8,0.8920000000000001,23765,236,0,0.0,2860.4321250285802,False,-0.0753031136450145,0.48333333333333334,108375,0.0,0.0,8,0,0,12,10,10.0,11,23,21,153.0,48.0,11,11,21,760,1.0523771459702402,20.215801482787356
11,21,0,0,0,10.000000000000002,20,10.0,18.803051927577613,18,18.555555555555557,12.013337469175093,12,10.333333333333334,29.000000000000004,20,29.0,0,0.2,13824,17,42,1.0,959.7281809582597,False,0.045909921795783126,0,0.2,14372,0,16,0.8,300.8488308412418,False,0.06189122663210155,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,12,2.804000000000001,8780.0,157,0,0.0,2952.0791526296853,False,-0.4758501775277333,4,0.645,27672,0,4,0.4,116.00000000000001,False,0.017726722207949498,7,0.9540000000000002,23625,244,0,0.0,2931.2543424787227,False,-0.07914166068780559,0.3666666666666667,108016,0.0,0.0,11,0,0,10,6,5.666666666666666,12,22,19,150.0,32.0,10,11,19,737,0.976418188016396,21.192219670803752
12,19,0,0,0,10.000000000000002,20,10.0,18.667346190304436,24,17.916666666666668,11.898540260785516,13,10.307692307692308,29.00000000000001,20,29.0,0,0.2,14128,14,35,1.0,793.3571166606553,False,0.06205605135495233,0,0.2,14298,3,19,1.0,384.6795776157843,False,0.05954517320911762,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,13,2.9220000000000006,8123.0,181,0,0.0,3378.789660445103,False,-0.49852328766686,7,0.7110000000000001,27686,0,4,0.4,116.00000000000004,False,0.018240540242962528,9,1.0370000000000001,23457,253,0,0.0,3010.330685978736,False,-0.08385637527106225,0.39999999999999997,107435,0.0,0.0,8,0,0,10,7,6.2,11,21,19,150.0,27.0,10,9,19,630,0.9152094069868326,22.107429077790584
13,19,0,0,0,10.000000000000002,20,10.0,18.667346190304436,0,,11.827356056007677,21,11.238095238095237,29.000000000000007,20,29.0,0,0.2,14058,11,45,1.0,950.0305785636996,False,0.06266563975444937,0,0.2,14168,6,29,1.0,601.3530395188286,False,0.05796113774198699,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,21,3.119000000000001,7677.0,181,0,0.0,3378.789660445103,False,-0.5213167664832344,4,0.7440000000000002,27671,0,10,1.0,290.00000000000006,False,0.020883032994458105,12,1.1480000000000004,23184,264,0,0.0,3122.4219987860265,False,-0.0918188791649351,0.5,106501,0.0,0.0,5,0,0,8,10,9.2,11,19,19,111.0,63.0,7,12,19,200,0.9661038449849002,23.073532922775485
14,19,0,0,0,10.000000000000002,20,10.0,19.006468442922216,24,21.0,11.630590394874565,23,10.130434782608695,29.00000000000001,20,29.0,0,0.2,14242,9,43,1.0,907.2781430456553,False,0.07455682008795175,0,0.2,14288,8,27,1.0,593.1746479588999,False,0.06643662795988953,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,23,3.3280000000000007,6661.0,205,0,0.0,3896.3260307990545,False,-0.560016199959139,0,0.7400000000000002,27928,0,3,0.3,87.00000000000003,False,0.026590083311924247,10,1.2360000000000002,22894,284,0,0.0,3303.0876721443765,False,-0.09914692127308734,0.3833333333333333,105756,0.0,0.0,11,0,0,7,6,6.0,15,22,19,165.0,40.0,10,9,19,994,0.9556696360232309,24.029202558798715
15,19,0,0,0,10.000000000000002,20,10.0,18.260842403189947,26,14.0,11.606796877573293,7,11.0,29.00000000000001,20,29.0,0,0.2,14516,8,27,1.0,573.0427448861286,False,0.08237213896190883,0,0.2,14178,9,37,1.0,765.651168918028,False,0.06469915066240238,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,7,3.375000000000001,6183.0,231,0,0.0,4218.2545951368775,False,-0.5762187715250964,8,0.8200000000000001,27860,0,7,0.7,203.00000000000009,False,0.026223070429772084,9,1.316,22814,284,0,0.0,3296.330313230815,False,-0.10220702621883485,0.45,105294,0.0,0.0,8,0,0,6,9,8.4,14,20,19,147.0,45.0,9,10,19,564,0.936819477006793,24.96602203580551
16,19,0,0,0,10.000000000000002,20,10.0,18.507776445130464,26,20.0,11.594363288897672,22,11.5,29.000000000000007,20,29.0,0,0.2,14426,7,37,1.0,754.7877284698271,False,0.0824359362558433,0,0.2,14588,10,21,1.0,488.66330534773977,False,0.08455189036808052,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,22,3.588000000000001,5207.0,257,0,0.0,4756.4985463985295,False,-0.6123448012879202,4,0.8520000000000001,28000,0,3,0.3,87.00000000000003,False,0.029232576063419825,9,1.3970000000000002,22503,303,0,0.0,3513.0920765359947,False,-0.10964340887921621,0.3833333333333333,104467,0.0,0.0,9,0,0,7,8,7.285714285714286,14,21,26,162.0,60.0,9,10,26,778,0.9887983719818294,25.954820407787338
17,26,0,0,0,10.000000000000002,20,10.0,18.762977607420325,34,20.0,11.453393757648302,22,10.363636363636363,29.000000000000007,20,29.0,0,0.2,14996,8,13,1.0,323.91870889646424,False,0.10836204697632584,0,0.2,14498,9,31,1.0,671.6523058300301,False,0.08466116941466913,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,22,3.7860000000000005,4002.0,291,0,0.0,5460.026483759315,False,-0.6559506699095591,6,0.9080000000000001,27896,4,10,1.0,335.81357503059326,False,0.029981531453565448,11,1.4980000000000002,22311,311,0,0.0,3562.005458628622,False,-0.11579246414965647,0.5,103446,0.0,0.0,9,0,0,13,11,11.0,16,29,24,246.0,57.0,17,9,24,967,1.3302548310020939,27.28507523878943
18,24,0,0,0,10.000000000000002,20,10.0,17.24495227087119,27,7.185185185185185,11.288330890027899,40,10.575,29.000000000000004,20,29.0,0,0.2,14906,11,18,1.0,420.40914087568143,False,0.10530890395128996,0,0.2,14582,6,19,1.0,387.65409314655267,False,0.08042022861752535,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,40,4.164000000000001,2542.0,318,0,0.0,5483.894822137039,False,-0.7299561807600287,0,0.9020000000000001,28014,8,11,1.0,409.30664712022326,False,0.035660928673252566,11,1.5970000000000004,21914,337,0,0.0,3804.167509939402,False,-0.1259190459511248,0.5,101701,0.0,0.0,11,0,0,9,9,9.0,16,25,23,188.0,49.0,13,11,23,655,1.3480557489674538,28.633130987756886
19,23,0,0,0,10.000000000000002,20,10.0,17.476431001764034,17,20.0,11.308382017421094,7,11.857142857142858,29.000000000000004,20,29.0,0,0.2,14796,12,28,1.0,609.3400680493929,False,0.10417300629019428,0,0.2,14832,5,12,1.0,259.71717202116844,False,0.09402300277936422,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,7,4.194000000000001,2104.0,335,0,0.0,5854.604385590951,False,-0.7428679821742998,0,0.9020000000000001,28322,0,9,0.9,261.00000000000006,False,0.04424340294344332,9,1.6760000000000004,21753,343,0,0.0,3878.775031975435,False,-0.13045885726914094,0.48333333333333334,101550,0.0,0.0,10,0,0,7,5,5.0,18,25,24,189.0,57.0,13,10,24,859,1.305384752980899,29.938515740737785
20,24,0,0,0,10.000000000000002,20,10.0,17.476431001764034,0,,11.21058802897008,64,10.9375,29.000000000000007,20,29.0,0,0.2,14736,8,38,1.0,744.1043780670333,False,0.10471279533734401,0,0.2,14692,9,22,1.0,474.48148203880874,False,0.09163796000434371,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,64,4.827000000000002,-628.0,335,0,0.0,5854.604385590951,False,-0.88249081653828,2,0.9219999999999999,28431,2,10,1.0,312.4211760579402,False,0.04918745506033585,9,1.7570000000000001,21110,395,0,0.0,4428.182271443181,False,-0.1439758088699089,0.5,98084,0.0,0.0,8,0,0,9,11,10.666666666666666,16,25,22,237.0,75.0,14,10,22,432,1.2501187619636767,31.18863450270146
21,22,0,0,0,10.000000000000002,20,10.0,17.799378635853778,14,22.0,11.086007037634097,49,10.53061224489796,29.000000000000007,20,29.0,0,0.2,14586,13,48,1.0,984.3701745209813,False,0.10252888909480039,0,0.2,14950,4,18,1.0,360.388815445368,False,0.1063318519832322,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,49,5.253000000000002,-3888.0,349,0,0.0,6211.983143912968,False,-1.0399656783381976,0,0.9200000000000002,28612,0,11,1.0,319.00000000000006,False,0.055951113884097334,11,1.8580000000000003,20554,436,0,0.0,4833.499068408466,False,-0.1569439008256237,0.5,94557,0.0,0.0,9,0,0,5,9,11.2012987012987,18,23,20,215.0,59.0,12,10,20,461,1.149981888011098,32.33861639071256
22,20,0,0,0,10.000000000000002,20,10.0,18.024625321934955,10,22.0,11.026313739997118,52,10.75,29.000000000000007,20,29.0,0,0.2,14456,16,58,1.0,1205.4282686722274,False,0.10110515752677059,0,0.2,15100,1,18,1.0,334.4432557948292,False,0.11635139133499663,0,0.2,19743,0,0,0.0,0.0,False,0.008994736035161242,52,5.724000000000001,-11586.0,359,0,0.0,6470.840490574649,False,-1.4267685263306933,0,0.9200000000000002,28931,0,0,0.0,0.0,False,0.06180496935442434,9,1.9370000000000003,19904,488,0,0.0,5380.841105118593,False,-0.17075565924471336,0.3333333333333333,86548,0.0,0.0,9,0,0,5,9,28.086363636363636,18,23,23,153.0,57.0,11,9,23,519,1.1291102130198851,33.467726603732444
