index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,24.990171514645194,54,27.62962962962963,40.0,20,40.0,0,0.45200000000000007,13435,96,0,0.0,960.0000000000002,False,-0.06985294117647059,0,0.5690000000000001,12781,124,0,0.0,1240.0000000000002,False,-0.10421122994652407,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,48,1.8590000000000004,20158,48,0,0.0,337.0270582669788,False,-0.1382688854869642,0,0.272,34374,4,13,1.0,619.9606860585808,False,0.03503373151385523,3,0.5810000000000001,31793,63,10,1.0,1974.3808054226472,False,-0.021778859960867595,0.3333333333333333,136958,0.0,0.0,14,0,0,4,4,3.75,13,17,3,36.0,0.0,2,0,3,1092,0.9300326579832472,6.672364266123623
11,3,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,25.0207095047603,54,25.11111111111111,40.0,20,40.0,0,0.45200000000000007,13315,108,0,0.0,1080.0000000000002,False,-0.07386363636363637,0,0.5690000000000001,12701,132,0,0.0,1320.0000000000002,False,-0.10688502673796792,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,54,2.3510000000000004,18929,48,0,0.0,337.0270582669788,False,-0.19037164960431202,0,0.272,34674,6,11,1.0,590.1242570285618,False,0.0435410960463827,0,0.5780000000000001,30937,95,12,1.0,2856.9674029522284,False,-0.034154470263320975,0.3333333333333333,134973,0.0,0.0,15,0,0,6,3,3.0,11,17,2,54.0,0.0,3,0,2,1000,0.3632579919649288,7.0356222580885515
12,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,24.62082200146218,8,15.0,40.00000000000001,20,40.0,0,0.45200000000000007,13215,118,0,0.0,1180.0000000000002,False,-0.07720588235294118,0,0.5690000000000001,12601,142,0,0.0,1420.0000000000002,False,-0.11022727272727273,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,8,2.3770000000000007,18777,48,0,0.0,337.0270582669788,False,-0.19681560415747465,0,0.272,35114,0,6,0.6,240.00000000000006,False,0.05144732915547598,0,0.5780000000000001,31177,93,13,1.0,2809.7364461359825,False,-0.02769715836860664,0.26666666666666666,135301,0.0,0.0,15,0,0,3,1,1.0,15,18,3,36.0,0.0,2,0,3,1000,0.34056684002280235,7.376189098111354
13,3,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,24.311177950346522,6,15.0,40.00000000000001,20,40.0,0,0.45200000000000007,13145,125,0,0.0,1250.0000000000002,False,-0.07954545454545454,0,0.5690000000000001,12471,155,0,0.0,1550.0000000000002,False,-0.11457219251336899,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,6,2.4290000000000007,18663,48,0,0.0,337.0270582669788,False,-0.2016485700723466,3,0.30200000000000005,35240,0,6,0.6,240.00000000000006,False,0.055207400775887795,0,0.5780000000000001,31617,83,12,1.0,2497.8277698787615,False,-0.01922071366937098,0.26666666666666666,135553,0.0,0.0,15,0,0,3,2,1.6,15,18,3,54.0,0.0,3,0,3,800,0.33862100599799305,7.714810104109347
14,3,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,23.738282259809818,11,15.0,40.00000000000001,20,40.0,0,0.45200000000000007,13045,135,0,0.0,1350.0000000000002,False,-0.08288770053475936,0,0.5690000000000001,12371,165,0,0.0,1650.0000000000002,False,-0.1179144385026738,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,11,2.533000000000001,18419,48,0,0.0,337.0270582669788,False,-0.21199281290768662,2,0.31900000000000006,35299,1,10,1.0,423.73828225980986,False,0.059709613283494715,0,0.5780000000000001,32097,73,10,1.0,2132.8946049661167,False,-0.01034176954690962,0.3333333333333333,135648,0.0,0.0,14,0,0,2,3,3.0,15,17,3,54.0,0.0,3,0,3,920,0.33710334403440356,8.05191344814375
15,3,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,23.038832168110982,14,15.0,40.00000000000001,20,40.0,0,0.45200000000000007,12945,145,0,0.0,1450.0000000000002,False,-0.08622994652406417,0,0.5690000000000001,12271,175,0,0.0,1750.0000000000002,False,-0.12125668449197861,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,14,2.6620000000000004,18073,48,0,0.0,337.0270582669788,False,-0.22666128840370153,1,0.32700000000000007,35571,0,9,0.9,360.00000000000006,False,0.06687555953446732,0,0.5780000000000001,32367,69,11,1.0,2029.6794195996579,False,-0.0038245386511539443,0.31666666666666665,135644,0.0,0.0,13,0,0,4,4,4.0,15,19,2,54.0,0.0,3,0,2,960,0.3300247429870069,8.381938191130757
16,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,23.038832168110982,0,,40.00000000000001,20,40.0,0,0.45200000000000007,12835,156,0,0.0,1560.0000000000002,False,-0.08990641711229946,0,0.5690000000000001,12181,184,0,0.0,1840.0000000000002,False,-0.12426470588235294,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,0,2.6480000000000006,18073,48,0,0.0,337.0270582669788,False,-0.22666128840370153,2,0.3460000000000001,35913,0,0,0.0,0.0,False,0.07170993733213966,0,0.5780000000000001,32727,59,12,1.0,1839.291097918548,False,0.004077754370614062,0.16666666666666666,136146,0.0,0.0,14,0,0,2,2,2.0,14,16,2,36.0,0.0,2,0,2,920,0.31263403699267656,8.694572228123434
17,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,23.038832168110982,0,,40.00000000000001,20,40.0,0,0.45200000000000007,12735,166,0,0.0,1660.0000000000002,False,-0.09324866310160428,0,0.5690000000000001,12081,194,0,0.0,1940.0000000000005,False,-0.12760695187165774,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,0,2.6480000000000006,18073,48,0,0.0,337.0270582669788,False,-0.22666128840370153,10,0.44400000000000006,35769,0,0,0.0,0.0,False,0.06741271262309759,0,0.5780000000000001,33127,49,12,1.0,1608.902776237438,False,0.012576884157526584,0.16666666666666666,136202,0.0,0.0,12,0,0,1,3,3.0,16,17,2,36.0,0.0,2,0,2,600,0.31077854899922386,9.005350777122658
18,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,23.038832168110982,0,,40.00000000000001,20,40.0,0,0.45200000000000007,12595,180,0,0.0,1800.0000000000002,False,-0.09792780748663102,0,0.5690000000000001,12021,200,0,0.0,2000.0000000000005,False,-0.12961229946524064,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,0,2.6480000000000006,18073,48,0,0.0,337.0270582669788,False,-0.22666128840370153,12,0.554,35571,0,0,0.0,0.0,False,0.061504028648164726,0,0.5780000000000001,33447,39,14,1.0,1458.5144545563285,False,0.01988234041414986,0.16666666666666666,136124,0.0,0.0,10,0,0,2,4,4.0,16,18,2,36.0,0.0,2,0,2,520,0.3145619180286303,9.319912695151288
19,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,22.839620331582346,4,15.0,40.00000000000001,0,,0,0.45200000000000007,12465,193,0,0.0,1930.0000000000005,False,-0.10227272727272728,0,0.5690000000000001,11951,207,0,0.0,2070.0000000000005,False,-0.13195187165775402,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,4,2.6880000000000006,17997,48,0,0.0,337.0270582669788,False,-0.22988326568028286,0,0.542,35511,0,4,0.4,160.00000000000003,False,0.06210086541330946,0,0.5780000000000001,33447,29,24,1.0,1622.3489896158883,False,0.02232690226224838,0.2333333333333333,135788,0.0,0.0,8,0,0,1,1,1.0,15,16,2,36.0,0.0,2,0,2,200,0.3126645110314712,9.63257720618276
