index,contract,contract_id,type,level,id,perpetrator,perpetrator_type,victims,step,resolved
31,"06Dec@3, 04Ran@2 agreed on {'quantity': 7, 'time': 3, 'unit_price': 4} [id 9c7fbece-210c-4037-a3e1-1be218430d78]",9c7fbece-210c-4037-a3e1-1be218430d78,product,1.0,cb50b5aa-98ac-4c00-80f3-e64323e78925,04Ran@2,str,['06Dec@3'],-1,False
32,"07Buy@3, 04Ran@2 agreed on {'quantity': 5, 'time': 3, 'unit_price': 3} [id 099c2266-a943-4429-b472-6d73ec900ecb]",099c2266-a943-4429-b472-6d73ec900ecb,product,1.0,7ea1a092-7d96-4adb-9b24-4e9772f13722,04Ran@2,str,['07Buy@3'],-1,False
33,"03Ind@1, 00Buy@0 agreed on {'quantity': 12, 'time': 4, 'unit_price': 10} [id c7ac8cc9-3d48-4e0e-a25e-ff3caeb3d940]",c7ac8cc9-3d48-4e0e-a25e-ff3caeb3d940,product,1.0,3b2d76ef-ad6f-4568-93c4-4a3a819e141c,00Buy@0,str,['03Ind@1'],-1,False
34,"03Ind@1, 00Buy@0 agreed on {'quantity': 1, 'time': 4, 'unit_price': 9} [id 0c7279a3-a325-42a9-b34a-750efbd8f68a]",0c7279a3-a325-42a9-b34a-750efbd8f68a,product,1.0,5fb4ce07-53ee-4652-9f04-6892287e2f5f,00Buy@0,str,['03Ind@1'],-1,False
35,"07Buy@3, 04Ran@2 agreed on {'quantity': 8, 'time': 4, 'unit_price': 1} [id dccbdc26-00cd-4ef5-8664-0836cd58fe6d]",dccbdc26-00cd-4ef5-8664-0836cd58fe6d,product,1.0,808fac21-fd15-4f6e-8db0-7928d6db7294,04Ran@2,str,['07Buy@3'],-1,False
36,"07Buy@3, 05Ran@2 agreed on {'quantity': 9, 'time': 4, 'unit_price': 1} [id 31a51ddc-b43e-46c3-bf92-f48408dcd398]",31a51ddc-b43e-46c3-bf92-f48408dcd398,product,1.0,571ab975-c969-4f57-ab25-4d34b1bd61eb,05Ran@2,str,['07Buy@3'],-1,False
37,"07Buy@3, 04Ran@2 agreed on {'quantity': 2, 'time': 4, 'unit_price': 1} [id 221dc782-0f81-43ae-bd7b-0a7a8f6ba3ff]",221dc782-0f81-43ae-bd7b-0a7a8f6ba3ff,product,1.0,f2a8fc74-1ff5-460d-9c4b-6ce1f7a2fd51,04Ran@2,str,['07Buy@3'],-1,False
38,"06Dec@3, 04Ran@2 agreed on {'quantity': 9, 'time': 4, 'unit_price': 4} [id 680dc7cf-f11b-4280-8c1d-e9b3a068eb52]",680dc7cf-f11b-4280-8c1d-e9b3a068eb52,product,1.0,9ab75f3a-aa6e-4ead-995b-01c0ad5ed5c1,04Ran@2,str,['06Dec@3'],-1,False
39,"06Dec@3, 04Ran@2 agreed on {'quantity': 1, 'time': 4, 'unit_price': 5} [id 397872f6-b2e8-4a58-90be-ac63ea2c172e]",397872f6-b2e8-4a58-90be-ac63ea2c172e,product,1.0,0e46af35-e5d9-44c9-b35b-f7e3e8e2d25b,04Ran@2,str,['06Dec@3'],-1,False
40,"BUYER, 07Buy@3 agreed on {'time': 4, 'quantity': 4, 'unit_price': 41} [id 401b21c3-b328-48a8-9942-8c8a539912d7]",401b21c3-b328-48a8-9942-8c8a539912d7,product,1.0,b819a90e-3659-4634-9818-6e7742a6464d,07Buy@3,str,['BUYER'],-1,False
