index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,55,0,0,0,10.000000000000002,20,10.0,20.729744579078442,14,22.0,17.864406779661017,0,,24.999999999999996,9,25.0,4,0.35700000000000004,46815,0,9,0.9,186.56770121170598,False,0.023282298610541964,0,0.45200000000000007,46811,5,20,1.0,464.59489158156885,False,0.026227557116790295,0,0.263,55704,50,69,1.0,2269.1312967505323,False,-0.02753617491829886,0,0.254,56062,41,70,1.0,2100.4280023184874,False,-0.022854263599109602,0,0.2,73837,0,0,0.0,0.0,False,0.0,9,0.7670000000000001,73447,0,0,0.0,0.0,False,-0.005281904736107914,0.65,352676,0.0,0.0,11,0,0,28,5,4.571428571428571,12,40,50,314.0,132.0,18,37,50,354,2.8420016672462225,66.77937128767371
11,50,0,0,0,10.000000000000002,20,10.0,20.729744579078442,0,,17.864406779661017,0,,24.999999999999996,10,25.0,0,0.35300000000000004,46745,0,16,0.7,331.6759132652551,False,0.02333801524034436,0,0.45200000000000007,46681,8,30,1.0,701.8923373723533,False,0.02597993430959569,0,0.263,55704,40,79,1.0,2240.477918756358,False,-0.027781293468071153,0,0.254,56062,31,80,1.0,2071.7746243243128,False,-0.023099382148881773,0,0.2,73837,0,0,0.0,0.0,False,0.0,10,0.8580000000000001,73351,0,0,0.0,0.0,False,-0.006582065901919092,0.6166666666666667,352380,0.0,0.0,11,0,0,23,6,6.0,16,39,47,240.0,256.0,15,35,47,200,2.8535648602992296,69.63293614797294
12,47,0,0,0,10.000000000000002,20,10.0,20.88997433518898,24,22.0,20.75770925110132,15,31.0,24.999999999999996,11,25.0,8,0.43300000000000005,47022,0,10,1.0,208.8997433518898,False,0.02804148844213582,0,0.45200000000000007,46581,8,40,1.0,915.5989734075592,False,0.02612943624056582,0,0.263,55330,47,89,1.0,2829.2649171018998,False,-0.029143299025613363,0,0.254,56373,28,75,1.0,2141.7474752178905,False,-0.017179822447150484,0,0.2,73837,0,0,0.0,0.0,False,0.0,11,0.9580000000000002,72785,5,10,1.0,353.78854625550656,False,-0.01185185918810692,0.8333333333333334,351928,0.0,0.0,10,0,0,22,7,6.142857142857142,14,36,48,270.0,201.0,15,32,48,885,2.1953100729733706,71.82824622094631
13,48,0,0,0,10.000000000000002,20,10.0,19.558838025502308,50,15.0,24.54764107308048,36,31.0,24.999999999999993,13,25.0,40,0.8250000000000002,46707,0,7,0.7,136.91186617851616,False,0.02038471964157106,0,0.45200000000000007,46451,11,50,1.0,1087.9419012751155,False,0.025173337201142173,0,0.263,55327,62,87,1.0,3348.292730939145,False,-0.024754544801027085,0,0.254,56742,43,61,1.0,2338.4361405545087,False,-0.00918392296952414,0,0.2,73837,0,0,0.0,0.0,False,0.0,3,0.9770000000000001,71902,31,10,1.0,1010.9768732654948,False,-0.019360368966334682,0.7833333333333333,350966,0.0,0.0,18,0,0,27,4,3.2666666666666666,14,41,48,324.0,135.0,18,30,48,1541,2.077728485688567,73.90597470663488
14,48,0,0,0,10.000000000000002,20,10.0,19.28740047900873,28,17.357142857142858,24.54764107308048,0,,24.999999999999996,11,25.0,11,0.8950000000000002,46785,2,10,1.0,212.87400479008733,False,0.022914792486966838,0,0.45200000000000007,46461,9,50,1.0,1054.3700239504367,False,0.02502530511933029,0,0.263,54886,75,97,1.0,3827.6762200144617,False,-0.02819877309733046,0,0.254,56697,38,71,1.0,2475.803734391046,False,-0.008778711552225567,0,0.2,73837,0,0,0.0,0.0,False,0.0,1,0.9840000000000002,72147,21,10,1.0,765.5004625346901,False,-0.017704535242935845,0.8333333333333334,350813,0.0,0.0,19,0,0,25,2,2.0,18,43,47,315.0,219.0,20,28,47,694,2.1346374759450555,76.04061218257993
15,47,0,0,0,10.000000000000002,20,10.0,19.413919057805295,10,22.0,26.45624232303851,37,30.972972972972972,24.999999999999996,9,25.0,0,0.8840000000000001,46895,3,10,1.0,224.13919057805293,False,0.025437263482232582,0,0.45200000000000007,46371,8,60,1.0,1244.8351434683177,False,0.025139450966038195,0,0.263,55782,75,71,1.0,3334.437134271131,False,-0.01708837655462002,0,0.254,56727,28,80,1.0,2660.089119461629,False,-0.006688944707589422,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,0.9830000000000001,71226,48,11,1.0,1544.8996315058484,False,-0.024900120322427367,0.8333333333333334,350838,0.0,0.0,20,0,0,24,0,0.0,15,39,42,273.0,258.0,16,31,42,1791,2.269094903022051,78.30970708560199
16,42,0,0,0,10.000000000000002,20,10.0,19.678586927173257,22,22.0,26.45624232303851,0,,24.99999999999999,10,25.0,12,1.0040000000000002,47022,6,10,1.0,256.78586927173257,False,0.028563795175407684,0,0.45200000000000007,46301,5,70,1.0,1427.501084902128,False,0.025604819756354952,0,0.263,55540,76,81,1.0,3638.528234631287,False,-0.018627427502811995,0,0.254,56485,29,90,1.0,2951.7408299614904,False,-0.008334409817602905,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,0.9830000000000003,71476,38,11,1.0,1280.3372082754631,False,-0.02330581410217472,0.8333333333333334,350661,0.0,0.0,15,0,0,24,2,1.0909090909090908,13,37,45,222.0,113.0,14,28,45,450,2.2728113550692797,80.58251844067127
17,45,0,0,0,10.000000000000002,20,10.0,18.15550673894179,30,8.333333333333334,26.691662151547174,11,29.09090909090909,24.999999999999993,14,25.0,0,0.9920000000000004,46942,4,20,1.0,403.1101347788358,False,0.028414630295792363,0,0.45200000000000007,46431,7,50,1.0,977.7753369470894,False,0.023535430476506712,0,0.263,55680,86,80,1.0,3696.7065516727675,False,-0.01573444299486061,0,0.254,56415,29,100,1.0,3195.675910584029,False,-0.007445285462427868,0,0.2,73837,0,0,0.0,0.0,False,0.0,3,1.0130000000000003,71416,39,10,1.0,1290.9748239103399,False,-0.02404638037900825,0.8333333333333334,350721,0.0,0.0,26,0,0,19,1,1.0,12,31,42,198.0,147.0,11,34,42,1045,2.741994498297572,83.32451293896884
18,42,0,0,0,10.000000000000002,20,10.0,17.806631461509905,25,15.0,26.721255204083995,1,30.0,24.999999999999996,7,25.0,5,1.0420000000000003,47157,1,10,1.0,188.06631461509906,False,0.030759214618083217,0,0.45200000000000007,46301,10,60,1.0,1168.3978876905944,False,0.02277871215386433,0,0.263,55710,76,89,1.0,3731.4957042382284,False,-0.014923558511512539,0,0.254,56040,44,110,1.0,3722.8298567556753,False,-0.009351647132873002,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0100000000000002,71561,30,13,1.0,1126.6376561225197,False,-0.02319543280386166,0.8333333333333334,350606,0.0,0.0,17,0,0,16,1,0.2,11,27,46,162.0,210.0,9,33,46,405,2.0436483062803745,85.36816124524921
19,46,0,0,0,10.000000000000002,20,10.0,17.388073741217767,52,15.75,26.721255204083995,0,,24.999999999999996,13,25.0,17,1.207,47285,2,10,1.0,193.88073741217767,False,0.033614894280362365,0,0.45200000000000007,46436,9,45,1.0,872.4633183547995,False,0.022495836896607835,0,0.263,55400,86,99,1.0,4140.778606949043,False,-0.016726161656951143,0,0.254,55531,66,120,1.0,4354.1634914104525,False,-0.01265942811207868,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,1.0100000000000002,71886,20,10,1.0,784.4251040816799,False,-0.021111196933233413,0.8333333333333334,350375,0.0,0.0,24,0,0,19,2,2.0,10,29,41,198.0,150.0,11,35,41,970,2.009287509135902,87.37744875438511
