index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,25,0,0,0,10.000000000000002,20,10.0,26.39875269173639,19,27.0,15.605934542662466,12,13.0,33.99999999999999,20,34.0,0,0.2,34479,1,18,1.0,485.177548451255,False,0.0455790404187434,0,0.2,34478,10,20,1.0,627.9750538347278,False,0.04769897394957132,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,12,1.0400000000000003,35456.0,169,0,0.0,4461.38920490345,False,-0.10550900497361332,2,0.661,59533,0,0,0.0,0.0,False,-0.0023126812019238826,7,0.4500000000000001,60559,2,10,1.0,371.21186908532485,False,0.017992088862976353,0.5,266689,0.0,0.0,11,0,0,10,4,3.5416666666666665,10,20,27,147.0,76.0,9,16,27,1019,1.262728838250041,16.191093125380576
11,27,0,0,0,10.000000000000002,20,10.0,26.685831154196684,23,28.47826086956522,15.392509856158027,7,13.0,33.99999999999999,20,34.0,0,0.2,34753,3,14,1.0,403.6016361587536,False,0.05260180733797208,0,0.2,34659,8,21,1.0,640.4024542381304,False,0.05333658236325791,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,7,1.098,34689.0,192,0,0.0,5123.679581605764,False,-0.1158539876862507,11,0.7690000000000001,59311,0,7,0.7,237.99999999999994,False,-0.004038812823649679,0,0.44300000000000006,60865,0,3,0.2,101.99999999999997,False,0.020864406495617636,0.4833333333333334,266461,0.0,0.0,11,0,0,12,4,4.0,10,22,21,150.0,96.0,10,17,21,1161,1.2960496507585049,17.48714277613908
12,21,0,0,0,10.000000000000002,20,10.0,26.790382797607265,8,28.75,15.047155748076158,12,12.833333333333334,34.0,20,34.0,0,0.2,34913,0,16,1.0,428.64612476171624,False,0.057797008623851356,0,0.2,34529,11,31,1.0,940.5018667258253,False,0.05394034369317373,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,12,1.2110000000000003,34220.0,200,0,0.0,5358.0765595214525,False,-0.1242039713338858,5,0.8080000000000003,59423,0,7,0.7,238.0,False,-0.0021618541670158035,5,0.49300000000000005,60869,0,5,0.5,170.0,False,0.021501231754118416,0.5333333333333333,266138,0.0,0.0,11,0,0,10,5,4.833333333333333,10,20,22,144.0,67.0,8,13,22,736,1.1677141254767776,18.654856901615858
13,22,0,0,0,10.000000000000002,20,10.0,26.90584101269375,15,28.0,14.706074003273677,16,13.0,34.0,20,34.0,0,0.2,35063,3,16,1.0,460.4934562031,False,0.06279350542343859,0,0.2,34599,8,36,1.0,1048.610276456975,False,0.05767601596689022,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,16,1.3590000000000002,33443.0,215,0,0.0,5784.755817729156,False,-0.1375824098342216,5,0.8530000000000002,59531,0,7,0.7,238.0,False,-0.0003519297481188517,3,0.5180000000000001,60901,0,9,0.9,306.0,False,0.02317708769754152,0.6,265721,0.0,0.0,11,0,0,11,6,5.0,9,20,18,129.0,87.0,8,14,18,892,1.1201348723843694,19.774991774000227
14,18,0,0,0,10.000000000000002,20,10.0,26.91750626365174,20,27.0,14.545170997831317,9,13.0,34.0,20,34.0,0,0.2,34983,1,26,1.0,709.8551628549453,False,0.06413899004539489,0,0.2,35019,10,26,1.0,799.8551628549453,False,0.06657816132942283,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,9,1.4330000000000003,32743.0,235,0,0.0,6325.61397195816,False,-0.147778244897487,5,0.8980000000000001,59639,0,7,0.7,238.0,False,0.0014579946707781,0,0.5150000000000001,61147,0,3,0.2,102.0,False,0.02559032025607079,0.4833333333333334,265715,0.0,0.0,10,0,0,14,4,3.5,9,23,18,138.0,51.0,11,7,18,1216,2.0280128279700875,21.803004601970315
15,18,0,0,0,10.000000000000002,20,10.0,27.240396831371847,17,30.0,14.342034360246448,13,13.0,33.99999999999999,20,34.0,0,0.2,34833,6,36,1.0,1040.6542859293866,False,0.06460272051808877,0,0.2,35479,5,19,1.0,567.567539796065,False,0.07693278035106087,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,13,1.5540000000000003,31976.0,252,0,0.0,6864.580001505706,False,-0.15958677488007092,2,0.9130000000000003,59863,0,0,0.0,0.0,False,0.0032176434113723586,8,0.5950000000000001,60999,3,10,1.0,383.0261030807393,False,0.025464849785329098,0.5,265334,0.0,0.0,9,0,0,11,5,4.75,8,19,20,114.0,46.0,8,10,20,1016,1.163774460554123,22.966779062524438
16,20,0,0,0,10.000000000000002,20,10.0,27.284485087786653,9,28.0,14.23134740615161,8,13.0,33.99999999999999,20,34.0,0,0.2,34733,6,46,1.0,1315.086314038186,False,0.06572341475003289,0,0.2,35631,5,20,1.0,595.689701755733,False,0.08193341516736531,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,8,1.6210000000000004,31596.0,261,0,0.0,7121.250607912317,False,-0.165560018419345,9,1.0010000000000003,59660,0,8,0.8,271.99999999999994,False,0.002094819929278879,1,0.5970000000000002,61332,0,3,0.3,101.99999999999997,False,0.02869065375140353,0.5166666666666666,265136,0.0,0.0,8,0,0,11,5,4.166666666666666,8,19,21,111.0,70.0,7,13,21,622,1.0997094782069325,24.06648854073137
17,21,0,0,0,10.000000000000002,20,10.0,27.381920757901213,22,28.0,13.94381207815795,16,12.375,33.99999999999999,20,34.0,0,0.2,34941,6,45,1.0,1292.1864341055546,False,0.07164217107482455,0,0.2,35839,5,19,1.0,570.2564944001231,False,0.08781402816189052,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,16,1.7730000000000004,30616.0,283,0,0.0,7749.083574486043,False,-0.18136946294400885,0,0.9920000000000002,59807,0,8,0.7,271.99999999999994,False,0.004558328166110841,10,0.6960000000000001,61203,0,9,0.9,305.99999999999994,False,0.028238172646679292,0.6,264590,0.0,0.0,10,0,0,10,7,6.25,9,19,20,144.0,69.0,8,13,20,1054,1.0869383830577135,25.153426923789084
18,20,0,0,0,10.000000000000002,20,10.0,27.520019284823398,21,28.476190476190474,13.877723666711864,7,13.0,33.99999999999999,20,34.0,0,0.2,35159,5,44,1.0,1260.8808485322295,False,0.07773549820121993,0,0.2,36019,6,19,1.0,582.8803664116446,False,0.09342448154679056,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,7,1.8270000000000002,29906.0,304,0,0.0,8366.085862586313,False,-0.19089900951074815,7,1.0620000000000003,59919,0,7,0.7,237.99999999999994,False,0.006150391312362789,0,0.6860000000000002,61373,0,4,0.0,135.99999999999997,False,0.02966265019858893,0.45,264560,0.0,0.0,12,0,0,15,3,2.5,9,24,22,171.0,54.0,12,8,22,1138,1.2349823564291,26.388409280218184
19,22,0,0,0,10.000000000000002,20,10.0,27.492288460679955,45,27.4,13.70182657804372,14,12.571428571428571,33.99999999999999,20,34.0,1,0.21000000000000002,36219,10,10,1.0,374.9228846067995,False,0.0963159913967538,0,0.2,35969,1,29,1.0,807.2763653597187,False,0.09529746394482837,0,0.2,42184,0,0,0.0,0.0,False,0.0012342162726668565,14,1.9600000000000002,28380.0,349,0,0.0,9594.808672777304,False,-0.21253668621502297,1,1.0650000000000002,60150,0,0,0.0,0.0,False,0.008027349968996665,8,0.7660000000000002,61242,4,10,1.0,394.80730631217483,False,0.029635897725127532,0.5,264144,0.0,0.0,10,0,0,11,8,7.111111111111111,10,21,24,132.0,66.0,9,13,24,1546,1.2888477323576808,27.677257012575865
