index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,38.0,0,,0,0.2,27822,0,9,0.9,180.0,False,0.0,0,0.2,27802,11,0,0.0,110.0,False,-0.0019704786471768415,0,0.2,39774,0,0,0.0,0.0,False,0.0,0,0.2,39774,0,0,0.0,0.0,False,0.0,0,0.2,60971,0,0,0.0,0.0,False,0.0,0,0.2,60971,0,0,0.0,0.0,False,0.0,0.15,257114,0.0,0.0,9,0,0,1,0,0.0,662,663,77,0.0,0.0,0,0,77,200,3.206603086029645,3.206603086029645
1,77,0,0,0,10.0,20,10.0,18.653846153846153,7,10.0,28.0,0,,38.0,0,,0,0.2,27732,0,18,0.9,335.7692307692308,False,-0.0004340564852172161,7,0.27,27594,22,0,0.0,220.0,False,-0.007451991974777874,0,0.2,39774,0,0,0.0,0.0,False,0.0,0,0.2,39704,0,7,0.7,196.0,False,0.0007039774727208729,0,0.2,60971,0,0,0.0,0.0,False,0.0,0,0.2,60971,0,0,0.0,0.0,False,0.0,0.26666666666666666,256746,0.0,0.0,10,0,0,46,1,1.0,40,86,56,1188.0,123.0,66,11,56,200,5.134831280040089,8.341434366069734
2,56,0,0,0,10.0,20,10.0,16.34796238244514,17,10.0,28.0,0,,38.0,0,,0,0.2,27662,0,25,0.7,408.6990595611285,False,-0.0016355141236542026,17,0.43300000000000005,27131,35,0,0.0,350.0,False,-0.021711092003439382,0,0.2,39674,0,10,1.0,280.0,False,0.0010056821038869612,0,0.2,39634,0,14,0.7,392.0,False,0.0014079549454417458,0,0.2,60971,0,0,0.0,0.0,False,0.0,0,0.2,60971,0,0,0.0,0.0,False,0.0,0.39999999999999997,256043,0.0,0.0,9,0,0,19,3,3.0,34,53,36,519.0,101.0,33,23,36,200,2.799030582944397,11.140464949014131
3,36,0,0,0,10.0,20,10.0,15.415083308973985,11,10.545454545454545,28.0,0,,38.0,20,38.0,0,0.2,27532,3,35,1.0,569.5279158140895,False,-0.0034120106797418475,11,0.526,26878,42,0,0.0,420.0,False,-0.029521352823158497,0,0.2,39558,1,20,1.0,575.415083308974,False,0.0018028747838912441,0,0.2,39634,0,14,0.0,392.0,False,0.0014079549454417458,13,0.33000000000000007,60752,0,0,0.0,0.0,False,-0.003591871545488839,7,0.27,60888,0,0,0.0,0.0,False,-0.0013613029145003361,0.3333333333333333,255242,0.0,0.0,10,0,0,15,13,13.0,21,36,33,286.0,101.0,19,17,33,200,2.2213453460135497,13.36181029502768
4,33,0,0,0,10.0,20,10.0,17.501427188562634,19,24.263157894736842,28.0,0,,38.0,20,38.0,0,0.2,27903,2,26,1.0,475.03710690262847,False,0.008187107819264646,0,0.5150000000000001,26768,53,0,0.0,530.0,False,-0.03149183147033534,0,0.2,39097,10,30,1.0,1015.0142718856264,False,-0.00426139850297151,0,0.2,39634,0,14,0.0,392.0,False,0.0014079549454417458,15,0.4670000000000001,60465,0,0,0.0,0.0,False,-0.00829902740647193,5,0.31300000000000006,60845,0,0,0.0,0.0,False,-0.002066556231651113,0.3333333333333333,254712,0.0,0.0,13,0,0,13,10,10.0,21,34,22,225.0,68.0,15,18,22,661,1.9668763090157881,15.328686604043469
5,22,0,0,0,10.0,20,10.0,19.41792612890173,12,31.0,28.0,0,,38.0,20,38.0,0,0.2,28195,0,24,1.0,466.03022709364154,False,0.018487213870264484,0,0.5150000000000001,26648,65,0,0.0,650.0,False,-0.0336414445399828,0,0.2,38725,12,40,1.0,1353.0151135468209,False,-0.009365224599652805,0,0.2,39634,0,14,0.0,392.0,False,0.0014079549454417458,10,0.552,60322,0,0,0.0,0.0,False,-0.010644404716996604,10,0.40800000000000003,60699,0,0,0.0,0.0,False,-0.004461137261977006,0.3333333333333333,254223,0.0,0.0,10,0,0,14,10,10.0,17,31,19,156.0,60.0,11,11,19,572,1.7031510059605353,17.031837610004004
6,19,0,0,0,10.0,20,10.0,18.729382082068838,6,10.0,28.304347826086957,1,42.0,38.0,20,38.0,0,0.2,28145,0,29,0.5,543.1520803799963,False,0.01807738751038969,6,0.5750000000000001,26409,80,0,0.0,800.0,False,-0.0395170535970192,0,0.2,38707,8,49,1.0,1536.7481001348117,False,-0.007508069340086413,0,0.2,39634,0,14,0.0,396.2608695652174,False,0.0014615184488009267,10,0.6420000000000001,60176,0,0,0.0,0.0,False,-0.013038985747322497,10,0.49800000000000005,60518,1,0,0.0,28.304347826086957,False,-0.007197648490051987,0.25,253589,0.0,0.0,11,0,0,14,13,13.0,18,32,14,186.0,36.0,12,7,14,242,1.4806426709983498,18.512480281002354
7,14,0,0,0,10.0,20,10.0,19.212537957953685,25,20.64,28.227436823104693,14,28.0,38.0,20,38.0,0,0.2,28471,0,23,0.8,441.88837303293474,False,0.02794297028218925,11,0.6790000000000002,26097,92,0,0.0,920.0,False,-0.04854542848953855,0,0.2,38583,23,45,1.0,1712.123030072646,False,-0.008421041005774555,0,0.2,39634,0,14,0.0,395.1841155234657,False,0.001447982545425057,9,0.7220000000000002,59661,4,10,1.0,492.9097472924188,False,-0.017443458797687272,11,0.5980000000000001,60343,1,0,0.0,28.227436823104693,False,-0.010068496196363018,0.4666666666666666,252789,0.0,0.0,9,0,0,9,13,13.0,17,26,18,111.0,35.0,7,7,18,998,1.1879902319633402,19.700470512965694
8,18,0,0,0,10.0,20,10.0,21.247655344322574,32,26.90625,29.57382427998542,5,43.0,38.0,20,38.0,4,0.24000000000000002,29056,3,10,1.0,242.47655344322573,False,0.045329545597650164,5,0.7180000000000002,25957,99,0,0.0,990.0,False,-0.052307251361421614,0,0.2,37937,45,50,1.0,2434.8357044937866,False,-0.015577566947078651,0,0.2,39634,0,14,0.0,414.0335399197959,False,0.001684939155224441,1,0.7230000000000001,59819,0,9,0.9,342.0,False,-0.01608961637499795,9,0.6770000000000002,60228,1,0,0.0,29.57382427998542,False,-0.011943597576880932,0.48333333333333334,252631,0.0,0.0,14,0,0,13,6,4.785714285714286,16,29,19,150.0,69.0,10,8,19,1134,1.4242481979890727,21.124718710954767
9,19,0,0,0,10.000000000000002,20,10.0,21.926499651882196,26,24.76923076923077,31.897351479438843,46,34.391304347826086,37.99999999999999,20,38.0,8,0.31600000000000006,29332,2,10,1.0,239.26499651882196,False,0.05516023567854014,8,0.7930000000000001,25729,110,0,0.0,1100.0000000000002,False,-0.05850530237890513,0,0.2,38707,61,18,1.0,1911.6688053947132,False,-0.002794931294379311,0,0.2,39802,0,10,0.0,318.97351479438845,False,0.004713801915753842,0,0.7220000000000002,58633,32,13,1.0,1514.7152473420429,False,-0.02592449486360694,14,0.808,59804,5,0,0.0,159.48675739719422,False,-0.017832356715510648,0.5,252007,0.0,0.0,16,0,0,11,10,9.444444444444445,20,31,19,153.0,70.0,11,8,19,2010,1.386637978022918,22.511356688977685
