index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,17,0,0,0,10.000000000000002,20,10.0,14.022553784394583,0,,29.838556012100966,5,38.0,36.0,20,36.0,0,0.2,48318,0,29,0.7,406.65405974744294,False,0.015387917588283574,0,1.1990000000000003,44243,124,0,0.0,1240.0000000000002,False,-0.06116854308793371,0,0.2,63545,80,85,1.0,3658.081563780149,False,-0.002790841833975453,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,6,0.8360000000000001,93999,5,0,0.0,149.19278006050484,False,-0.011052863179708178,14,1.0240000000000002,93405,8,0,0.0,238.70844809680773,False,-0.016826762427874804,0.2833333333333333,409388,0.0,0.0,11,0,0,11,10,10.0,21,32,18,152.0,49.0,12,5,18,390,2.8363565048202872,130.44132475741208
11,18,0,0,0,10.000000000000002,20,10.0,14.649017870307814,25,18.0,31.71845887651631,14,37.07142857142857,35.99999999999999,20,36.0,0,0.2,48688,0,12,0.8,175.78821444369376,False,0.02071514893947692,0,1.1990000000000003,44123,136,0,0.0,1360.0000000000002,False,-0.06242414096178797,0,0.2,63614,95,81,1.0,3960.8518666770633,False,0.0005708914889108272,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,12,0.9500000000000002,93324,18,0,0.0,570.9322597772936,False,-0.01593202491575664,8,1.09,93286,9,0,0.0,285.4661298886468,False,-0.01783197829230678,0.3,408913,0.0,0.0,15,0,0,11,10,10.0,23,34,21,138.0,58.0,12,6,21,1169,3.231049041263759,133.67237379867584
12,21,0,0,0,10.000000000000002,20,10.0,14.71735386121943,31,15.03225806451613,32.459027579331696,22,34.09090909090909,36.0,20,36.0,0,0.2,48844,3,11,1.0,191.89089247341371,False,0.024148190813977035,20,1.399,43715,143,0,0.0,1430.0000000000002,False,-0.07022977441091532,0,0.2,63898,116,69,1.0,3946.885950875341,False,0.004796482075715424,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,12,1.058,92388,40,0,0.0,1298.3611031732678,False,-0.021948167657433598,8,1.1620000000000001,93185,9,0,0.0,292.13124821398526,False,-0.018858705659847617,0.3333333333333333,407908,0.0,0.0,14,0,0,10,13,13.0,24,34,23,178.0,66.0,14,7,23,1236,5.561391237191856,139.2337650358677
13,23,0,0,0,10.000000000000002,20,10.0,15.227439793695954,36,17.444444444444443,35.439950234265304,18,45.94444444444444,36.00000000000001,20,36.0,21,0.41000000000000003,48858,3,10,1.0,182.27439793695953,False,0.024340543233760465,4,1.419,43579,153,0,0.0,1530.0000000000002,False,-0.07202946469677311,0,0.2,64097,142,61,1.0,4324.133414995009,False,0.010709256181605417,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,5,1.096,92149,45,0,0.0,1594.7977605419387,False,-0.022902508485981975,15,1.3040000000000003,92274,22,0,0.0,779.6789051538367,False,-0.025872909828363464,0.3333333333333333,406835,0.0,0.0,13,0,0,15,12,11.65625,23,38,19,218.0,47.0,17,6,19,1027,2.592637399211526,141.82640243507922
14,19,0,0,0,10.000000000000002,20,10.0,15.461115535659538,38,16.526315789473685,36.17133614661948,14,40.0,36.00000000000001,20,36.0,14,0.5290000000000001,48882,3,10,1.0,184.61115535659536,False,0.024867232613700673,14,1.5550000000000002,43367,163,0,0.0,1630.0000000000002,False,-0.07541957895617964,0,0.2,64029,170,57,1.0,4690.1558014194325,False,0.012463625558059632,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,8,1.1710000000000003,91488,59,0,0.0,2134.108832650549,False,-0.027016510735082492,12,1.409,92082,22,0,0.0,795.7693952256286,False,-0.027806731168327867,0.3333333333333333,405726,0.0,0.0,12,0,0,8,14,13.583333333333334,25,33,21,133.0,63.0,10,9,21,760,2.615472718141973,144.4418751532212
15,21,0,0,0,10.000000000000002,20,10.0,15.461115535659538,0,,36.7167845869257,3,51.0,36.00000000000001,20,36.0,0,0.5150000000000001,48772,4,20,1.0,349.2223107131907,False,0.02428768165062138,0,1.5410000000000004,43277,172,0,0.0,1720.0000000000002,False,-0.07636127736157033,0,0.2,64182,160,64,1.0,4823.65269926877,False,0.01581564668356371,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,11,1.2730000000000001,91329,59,0,0.0,2166.2902906286163,False,-0.028518842099192546,9,1.487,91819,25,0,0.0,917.9196146731424,False,-0.02992946326058788,0.3333333333333333,405257,0.0,0.0,13,0,0,8,8,8.0,28,36,19,153.0,40.0,13,8,19,353,2.535505114123225,146.97738026734442
16,19,0,0,0,10.000000000000002,20,10.0,15.381193411727688,11,14.0,36.7167845869257,0,,36.00000000000001,20,36.0,0,0.5150000000000001,48672,4,30,1.0,501.43580235183066,False,0.02378767633147605,11,1.6510000000000005,43089,182,0,0.0,1820.0000000000002,False,-0.07924915247143514,0,0.2,64028,161,74,1.0,5193.414198720659,False,0.016286698588408966,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,9,1.352,91214,59,0,0.0,2166.2902906286163,False,-0.029727777710230652,11,1.5880000000000003,91655,25,0,0.0,917.9196146731424,False,-0.031653510566763965,0.3333333333333333,404536,0.0,0.0,9,0,0,11,12,12.0,22,33,15,165.0,42.0,14,5,15,200,2.9588304236531258,149.93621069099754
17,15,0,0,0,10.000000000000002,20,10.0,15.381193411727688,0,,36.7167845869257,0,,36.00000000000001,20,36.0,0,0.5150000000000001,48512,10,40,1.0,715.2477364691075,False,0.022676597083550624,0,1.6400000000000003,43049,186,0,0.0,1860.0000000000002,False,-0.07966768509605324,0,0.2,64028,151,84,1.0,5406.77011047264,False,0.017913953585983414,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,7,1.4130000000000003,91133,59,0,0.0,2166.2902906286163,False,-0.03057928887974445,13,1.707,91433,25,0,0.0,917.9196146731424,False,-0.03398728192024623,0.3333333333333333,404033,0.0,0.0,10,0,0,9,12,12.0,23,32,14,125.0,36.0,11,4,14,200,2.2014023484662175,152.13761303946376
18,14,0,0,0,10.000000000000002,20,10.0,14.994721706093372,10,8.0,36.7167845869257,0,,36.00000000000001,20,36.0,0,0.5150000000000001,48442,7,50,1.0,819.7360853046687,False,0.02230502746939135,10,1.7400000000000004,42779,199,0,0.0,1990.0000000000005,False,-0.08395764449838865,0,0.2,63948,151,94,1.0,5715.580728791115,False,0.01904892481955475,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,9,1.4960000000000002,91012,59,0,0.0,2166.2902906286163,False,-0.03185129939222803,11,1.8040000000000003,91271,25,0,0.0,917.9196146731424,False,-0.035690304259273824,0.3333333333333333,403330,0.0,0.0,13,0,0,6,12,12.0,23,29,10,86.0,21.0,7,7,10,200,1.9541726494207978,154.09178568888456
19,10,0,0,0,10.000000000000002,20,10.0,14.460621149551024,43,12.325581395348838,36.558901872567255,10,35.4,36.00000000000001,20,36.0,0,0.5150000000000001,48608,9,49,1.0,798.5704363280001,False,0.02555738538827266,32,2.0500000000000007,42023,207,0,0.0,2070.0000000000005,False,-0.09894111245971624,0,0.2,63772,184,94,1.0,6097.29106753871,False,0.0192755241052727,0,0.2,65878,0,0,0.0,0.0,False,0.0048965022804582274,8,1.5670000000000002,90915,59,0,0.0,2156.975210481468,False,-0.032919972612449576,12,1.9130000000000005,90728,35,0,0.0,1279.561565539854,False,-0.03949770530596658,0.3333333333333333,401924,0.0,0.0,16,0,0,6,13,13.0,23,29,10,65.0,6.0,8,2,10,840,2.457235664129257,156.5490213530138
