index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,19.11020822764672,17,16.176470588235293,24.510636480620384,38,34.078947368421055,32.99999999999999,8,33.0,2,0.6160000000000001,37468,1,10,1.0,201.1020822764672,False,0.016245159087271012,0,0.4880000000000001,37731,8,15,1.0,366.6531234147008,False,0.025598532831295942,6,1.0790000000000002,59585,174,0,0.0,3325.176231610529,False,-0.062187629334314334,2,0.22000000000000003,65773,25,10,1.0,722.8615704973718,False,0.012638851999704203,0,0.2,84478,63,21,1.0,2237.170098279084,False,-0.0005186178449628159,0,0.2,85628,0,1,0.0,32.99999999999999,False,4.086827570906458e-05,0.6666666666666666,370663,0.0,0.0,18,0,0,18,3,1.3666666666666667,18,36,26,153.0,108.0,11,11,26,1352,2.542046387679875,37.14596896618605
11,26,0,0,0,10.000000000000002,20,10.0,19.18057086123309,17,20.0,25.509806327480703,10,37.5,32.99999999999999,10,33.0,0,0.614,37378,0,20,1.0,383.6114172246618,False,0.016279098371898126,2,0.5080000000000001,37927,9,10,1.0,281.80570861233093,False,0.02975283635322887,0,1.0730000000000004,59245,191,0,0.0,3663.48903449552,False,-0.06480355667292777,0,0.21800000000000003,66148,15,10,1.0,542.8066261933034,False,0.017002301567879716,0,0.2,84433,63,21,1.0,2300.117798631284,False,-0.0006765579650442941,0,0.2,85628,0,1,0.0,32.99999999999999,False,4.086827570906458e-05,0.6666666666666666,370759,0.0,0.0,18,0,0,20,1,0.11764705882352941,19,39,29,227.0,78.0,15,11,29,905,1.8420713925734162,38.98804035875946
12,29,0,0,0,10.000000000000002,20,10.0,18.729664875478193,25,15.24,24.449991422305445,20,18.25,32.99999999999999,11,33.0,0,0.6140000000000001,37379,0,19,1.0,355.86363263408566,False,0.015930854152700694,4,0.546,38039,9,10,1.0,277.2966487547819,False,0.03272149762977145,15,1.2230000000000003,58602,206,0,0.0,3858.3109643485077,False,-0.07315752067595195,0,0.21800000000000003,66253,15,15,1.0,647.6948444667546,False,0.019413058265068756,0,0.2,84431,73,20,1.0,2444.8493738282973,False,0.00014507872297322296,0,0.2,85628,0,1,0.0,32.99999999999999,False,4.086827570906458e-05,0.6666666666666666,370332,0.0,0.0,19,0,0,18,3,2.2857142857142856,15,33,24,189.0,124.0,13,16,24,849,1.877010946162045,40.86505130492151
13,24,0,0,0,10.000000000000002,20,10.0,18.161226786866916,11,8.0,23.69022790251523,43,21.511627906976745,32.99999999999999,7,33.0,0,0.614,37259,2,29,1.0,546.6755768191406,False,0.015265575319453798,1,0.552,38030,7,10,1.0,251.61226786866916,False,0.03213065716117542,26,1.4680000000000004,57853,206,0,0.0,3741.2127180945845,False,-0.0855225717887689,2,0.23800000000000002,66717,16,10,1.0,527.4819076150229,False,0.02559740546949908,0,0.2,83737,106,23,1.0,3270.1641576666143,False,-0.0031400604986711084,0,0.2,85628,0,1,0.0,32.99999999999999,False,4.086827570906458e-05,0.6666666666666666,369224,0.0,0.0,15,0,0,16,6,4.208556149732621,19,35,24,202.0,82.0,12,12,24,431,1.7843412263318896,42.6493925312534
14,24,0,0,0,10.000000000000002,20,10.0,17.991248641654042,27,16.814814814814813,23.167913466479078,7,12.0,32.99999999999999,9,33.0,0,0.6140000000000001,37563,3,17,1.0,335.85122690811875,False,0.0206374597883051,0,0.5510000000000002,37980,6,15,1.0,329.8687296248106,False,0.03183657121868656,7,1.5120000000000005,57727,206,0,0.0,3706.1972201807325,False,-0.08771993737325072,0,0.23600000000000002,66263,33,20,1.0,1057.0694745041649,False,0.022700312931633885,0,0.2,83950,103,24,1.0,3178.295087047345,False,-0.0011892955065485118,0,0.2,85628,0,1,0.0,32.99999999999999,False,4.086827570906458e-05,0.6666666666666666,369111,0.0,0.0,18,0,0,19,1,1.0,13,32,31,168.0,114.0,11,13,31,951,1.7721430584788322,44.42153558973223
15,31,0,0,0,10.000000000000002,20,10.0,17.318805902531526,39,14.0,21.400476470706945,33,13.848484848484848,33.0,10,33.0,0,0.614,37645,2,12,1.0,227.82567083037833,False,0.02139452595258577,9,0.6410000000000001,38091,7,10,1.0,243.18805902531528,False,0.03366679370029908,15,1.6550000000000002,56876,245,0,0.0,4243.107446120224,False,-0.09663976292608811,0,0.23600000000000002,66515,23,12,1.0,655.1382534067084,False,0.023481742588362314,0,0.2,83823,126,24,1.0,3488.460035309075,False,-0.0008613862792991727,0,0.2,85628,0,1,0.0,33.0,False,4.086827570906458e-05,0.6666666666666666,368578,0.0,0.0,23,0,0,22,3,2.8181818181818183,17,39,25,215.0,108.0,15,16,25,1240,2.142754815518856,46.564290405251086
16,25,0,0,0,10.000000000000002,20,10.0,17.88892863182491,43,20.651162790697676,21.400476470706945,0,,33.0,13,33.0,17,0.784,37807,1,10,1.0,188.8892863182491,False,0.02525007149856978,4,0.6720000000000002,38221,8,10,1.0,258.8892863182491,False,0.037395710970545545,0,1.6400000000000003,56248,275,0,0.0,4919.455373751851,False,-0.10107752856611,0,0.23600000000000002,66255,26,22,1.0,935.9226267830004,False,0.02165032864370144,0,0.2,84252,116,21,1.0,3175.4552706020054,False,0.002320473082997738,0,0.2,85628,0,1,0.0,33.0,False,4.086827570906458e-05,0.6666666666666666,368411,0.0,0.0,16,0,0,21,3,1.5357142857142856,12,33,30,141.0,101.0,12,13,30,629,1.9390127593651414,48.50330316461623
17,30,0,0,0,10.000000000000002,20,10.0,17.88892863182491,0,,20.802590623265548,12,13.0,33.0,8,33.0,0,0.7670000000000001,37737,0,18,0.8,322.0007153728484,False,0.02515690212309093,0,0.6680000000000001,38091,11,20,1.0,467.7785726364982,False,0.036704427783982044,12,1.7600000000000005,56002,275,0,0.0,4919.455373751851,False,-0.1048442375954934,0,0.23600000000000002,66255,16,32,1.0,951.9057580536961,False,0.02177269410076486,0,0.2,84360,118,23,1.0,3213.7056935453347,False,0.003804869709282609,0,0.2,85628,0,1,0.0,33.0,False,4.086827570906458e-05,0.6333333333333333,368073,0.0,0.0,16,0,0,20,2,2.0,15,35,25,212.0,106.0,14,16,25,464,1.9695311281830072,50.472834292799234
18,25,0,0,0,10.000000000000002,20,10.0,18.22613443625272,43,20.0,20.688080357417185,2,12.0,33.0,9,33.0,0,0.7670000000000001,37937,0,13,1.0,236.93974767128537,False,0.029416518984950377,8,0.748,38415,11,10,1.0,292.2613443625272,False,0.04309485696227184,2,1.7680000000000005,55406,303,0,0.0,5522.518734184575,False,-0.10935308507108842,0,0.23600000000000002,65955,21,42,1.0,1251.6481981728289,False,0.019473948446407298,0,0.2,84633,110,24,1.0,3067.68883931589,False,0.0061401013493297745,0,0.2,85628,0,1,0.0,33.0,False,4.086827570906458e-05,0.6666666666666666,367974,0.0,0.0,19,0,0,17,2,1.6153846153846154,12,29,22,147.0,77.0,9,16,22,1097,1.7756694164127111,52.248503709211946
19,22,0,0,0,10.000000000000002,20,10.0,18.51265314134501,46,20.02173913043478,23.33728658841147,25,38.0,33.0,10,33.0,18,0.9470000000000003,38079,3,10,1.0,215.1265314134501,False,0.032962650554715575,5,0.79,38558,8,10,1.0,265.1265314134501,False,0.0465960632359534,0,1.7660000000000005,54765,335,0,0.0,6201.738802350578,False,-0.113967915583223,0,0.23600000000000002,66625,25,27,1.0,1092.9230664207348,False,0.028517685666759118,0,0.2,84013,125,24,1.0,3709.1608235514336,False,0.002645700211063878,0,0.2,85628,0,1,0.0,33.0,False,4.086827570906458e-05,0.6666666666666666,367668,0.0,0.0,23,0,0,17,4,2.5210084033613445,16,33,19,150.0,65.0,10,12,19,1480,1.8858381984755397,54.134341907687485
