index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,9.999999999999996,11,10.0,23.17986336448926,15,23.133333333333333,7.984667589439197,55,14.727272727272727,32.99999999999999,20,33.0,5,0.403,16754,12,10,1.0,351.79863364489256,False,0.10055901428995956,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.2,25612,6,15,1.0,258.8491940285235,False,-0.0009537919345547635,38,2.983000000000001,10320.0,90,0,0.0,2086.1877028040335,False,-0.5589888282464481,0,0.2,36506,34,15,1.0,766.4786980409326,False,0.052144529506302245,13,0.9780000000000002,33199,205,0,0.0,1636.8568558350353,False,-0.02976445543716611,0.5,138046,0.0,0.0,8,0,0,9,12,11.23076923076923,15,24,12,157.0,81.0,11,12,12,937,1.0413392490008846,18.803143020079006
11,12,0,0,0,9.999999999999998,13,10.0,23.17986336448926,0,,11.063318208386429,49,24.346938775510203,32.99999999999999,20,33.0,0,0.398,16624,15,20,1.0,613.5972672897852,False,0.10061747602190028,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,18,0.38000000000000006,26214,0,6,0.6,66.37990925031858,False,0.018675384406782538,16,3.105000000000001,9798.0,90,0,0.0,2086.1877028040335,False,-0.5792480846308307,0,0.2,36300,49,14,1.0,1004.1025922109349,False,0.04965777633568552,9,1.0550000000000004,32477,229,0,0.0,2533.4998697204924,False,-0.037570236591647606,0.43333333333333335,137068,0.0,0.0,8,0,0,9,8,7.125,12,21,18,108.0,26.0,7,5,18,529,0.8024301209952682,19.605573141074274
12,18,0,0,0,10.0,8,10.0,23.156319022072793,17,23.0,10.696677266719767,20,6.3999999999999995,32.99999999999999,20,33.0,0,0.398,16935,13,13,1.0,431.0321472869463,False,0.11490060935080762,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.36200000000000004,25895,7,14,1.0,311.84771488858627,False,0.011058133099599993,18,3.269000000000001,9197.0,90,0,0.0,2084.0687119865515,False,-0.6026145169605963,0,0.2,36450,49,17,1.0,1085.1371860692684,False,0.05509165719844377,13,1.1760000000000002,32246,239,0,0.0,2556.5058667460244,False,-0.04383066845289602,0.5,136378,0.0,0.0,8,0,0,11,8,8.0,11,22,17,130.0,50.0,9,9,17,774,0.9019401500117965,20.50751329108607
13,17,0,0,0,10.0,8,10.0,23.10296922096645,12,22.583333333333332,10.475617974069866,16,7.3125,32.99999999999999,20,33.0,0,0.398,17126,11,11,1.0,364.13266143063095,False,0.12514245145389816,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.36200000000000004,25725,8,22,1.0,415.28734919726867,False,0.006467580322853206,14,3.391000000000002,8746.0,91,0,0.0,2102.370199107947,False,-0.6197630559825361,0,0.2,36690,43,18,1.0,1044.4515728850042,False,0.06135665800868499,11,1.2730000000000001,32050,251,0,0.0,2629.3801114915364,False,-0.04838167605756338,0.5,135992,0.0,0.0,9,0,0,7,7,7.0,12,19,16,94.0,45.0,6,11,16,720,0.7918086010031402,21.29932189208921
14,16,0,0,0,10.0,12,10.0,23.696576651686087,16,28.0,11.121602773506964,46,14.217391304347826,32.99999999999999,20,33.0,5,0.44800000000000006,17364,13,10,1.0,366.96576651686087,False,0.14070616155876173,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.36200000000000004,26286,0,14,0.8,155.7024388290975,False,0.023203105620373664,30,3.6770000000000014,7134.0,107,0,0.0,2535.5337017304114,False,-0.67392040476344,0,0.2,37045,37,17,1.0,972.4993026197576,False,0.07045576712900035,9,1.3520000000000003,31306,293,0,0.0,3258.6296126375405,False,-0.06062819639146718,0.4666666666666666,134790,0.0,0.0,10,0,0,12,8,7.3125,13,25,16,138.0,21.0,11,5,16,1044,0.8940979579929262,22.193419850082137
15,16,0,0,0,10.0,10,10.0,23.810787725021438,3,28.333333333333332,11.000628492967218,16,9.1875,32.99999999999999,20,33.0,0,0.44300000000000006,17349,13,17,1.0,534.7833913253644,False,0.1451857047170696,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.36200000000000004,26426,0,5,0.0,55.00314246483609,False,0.026682510720811015,7,3.7170000000000014,6853.0,110,0,0.0,2619.1866497523583,False,-0.6832029292526516,0,0.2,37273,28,19,1.0,935.017597803082,False,0.07642419779531516,12,1.4630000000000003,31034,308,0,0.0,3388.193575833903,False,-0.06653841054399615,0.3333333333333333,134590,0.0,0.0,11,0,0,12,5,5.0,10,22,20,127.0,21.0,9,7,20,589,0.8647872440051287,23.058207094087265
16,20,0,0,0,9.999999999999998,6,10.0,22.016205691810697,44,17.545454545454547,9.826596289175592,56,5.0,33.0,20,33.0,27,0.7130000000000001,17447,9,10,1.0,310.16205691810694,False,0.14425541366827377,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,7,0.43200000000000005,26343,0,0,0.0,0.0,False,0.02239385236357991,44,4.15,3983.0,154,0,0.0,3390.4956765388474,False,-0.7796224544644328,0,0.2,37603,37,16,1.0,891.5840626994969,False,0.08521696561278187,7,1.5210000000000004,30791,345,0,0.0,3390.1757197655793,False,-0.07344092125487604,0.3333333333333333,131822,0.0,0.0,5,0,0,11,13,11.976190476190474,11,22,19,121.0,30.0,10,10,19,489,0.8621371990302578,23.920344293117523
17,19,0,0,0,9.999999999999996,8,10.0,22.016089316313764,1,22.0,9.7090796322018,30,8.7,33.0,20,33.0,0,0.6860000000000002,17389,7,19,1.0,488.3056970099615,False,0.1462752940587,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,2,0.44500000000000006,26334,0,1,0.1,9.7090796322018,False,0.02223296358829855,28,4.386000000000001,3016.0,154,0,0.0,3390.4777547123194,False,-0.8171528806428564,0,0.2,37724,44,18,1.0,1021.1995038168792,False,0.09051652126033032,12,1.6340000000000003,30514,358,0,0.0,3475.8505083282444,False,-0.08011964136322063,0.35000000000000003,130632,0.0,0.0,6,0,0,7,10,10.0,18,25,17,162.0,24.0,11,8,17,366,1.7678724689758383,25.68821676209336
18,17,0,0,0,9.999999999999998,8,10.0,21.59510750739974,8,15.0,10.246053553183048,61,12.524590163934427,32.99999999999999,20,33.0,0,0.686,17429,5,21,1.0,503.4972576553945,False,0.14936934465498902,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,17,0.613,26507,0,0,0.0,0.0,False,0.02875882946518668,43,4.788000000000002,873.0,162,0,0.0,3498.407416198758,False,-0.8982300819646286,0,0.2,38054,34,18,1.0,942.3658208082236,False,0.09880445253712415,10,1.7220000000000002,29635,419,0,0.0,4293.096438783697,False,-0.09353560310909995,0.3333333333333333,128153,0.0,0.0,7,0,0,9,9,8.944444444444445,13,22,15,66.0,27.0,8,9,15,530,0.7661010550218634,26.454317817115225
19,15,0,0,0,9.999999999999998,10,10.0,21.59510750739974,0,,9.595559602993188,34,4.088235294117647,32.99999999999999,20,33.0,0,0.686,17329,5,31,1.0,719.448332729392,False,0.1498878090336538,0,0.2,15655,0,0,0.0,0.0,False,0.01768185659494247,0,0.5960000000000001,26507,0,0,0.0,0.0,False,0.02875882946518668,34,5.085000000000003,-467.0,162,0,0.0,3498.407416198758,False,-0.9502366021850741,0,0.2,38356,35,17,1.0,896.8445861047614,False,0.10676883982351852,9,1.802,29461,442,0,0.0,4241.237344522989,False,-0.09923793752997648,0.3333333333333333,126841,0.0,0.0,7,0,0,5,8,8.0,14,19,18,96.0,39.0,7,8,18,463,0.8713189720292576,27.325636789144482
