index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,31.0,0,,41.0,0,,0,0.2,58644,0,10,1.0,220.0,False,0.00017023015116437423,0,0.2,58644,0,10,1.0,220.0,False,0.00017023015116437423,0,0.2,94336.0,0,0,0.0,0.0,False,0.0,0,0.2,94336.0,0,0,0.0,0.0,False,0.0,0,0.2,119907,0,0,0.0,0.0,False,0.0,0,0.2,119907,0,0,0.0,0.0,False,0.0,0.3333333333333333,545774,0.0,0.0,9,0,0,319,0,0.0,955,1274,186,0.0,0.0,0,0,186,200,6.246829274110496,6.246829274110496
1,186,0,0,0,10.0,20,10.0,22.0,0,,26.272727272727273,10,5.0,41.0,0,,0,0.2,58504,4,20,1.0,480.0,False,0.0,0,0.2,58584,0,16,0.6,352.0,False,0.00027236824186299875,10,0.30000000000000004,94016.0,0,0,0.0,0.0,False,-0.0033921302578018998,0,0.2,94336.0,0,0,0.0,0.0,False,0.0,0,0.2,119857,0,10,1.0,410.0,False,0.001292668484742342,0,0.2,119907,0,0,0.0,0.0,False,0.0,0.43333333333333335,545204,0.0,0.0,9,0,0,79,1,1.0,118,197,14,2844.0,76.0,180,6,14,200,7.866540542803705,14.1133698169142
2,14,0,0,0,10.0,20,10.0,22.0,0,,23.64864864864865,6,2.0,41.0,0,,0,0.2,58394,5,30,1.0,710.0,False,8.511507558218712e-05,0,0.2,58494,0,25,0.9,550.0,False,0.0004255753779109356,6,0.35000000000000003,93806.0,0,0,0.0,0.0,False,-0.005618215739484396,0,0.2,94336.0,0,0,0.0,0.0,False,0.0,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.2,119895,0,6,0.6,246.0,False,0.000925717431009032,0.4166666666666667,544782,0.0,0.0,7,0,0,9,1,1.0,21,30,4,196.0,12.0,13,1,4,200,1.415064292959869,15.52843410987407
3,4,0,0,0,10.0,20,10.0,24.62295081967213,16,32.0,14.809433063363507,55,6.781818181818182,41.0,8,41.0,0,0.2,58796,6,24,1.0,650.9508196721312,False,0.006425769607722738,0,0.2,58404,0,34,0.9,837.1803278688525,False,0.001337841548658976,36,0.7040000000000002,91881.0,0,0,0.0,0.0,False,-0.026023999321573947,19,0.39,93290.0,16,0,0.0,393.9672131147541,False,-0.008999919367395519,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,2,0.22000000000000003,119752,45,10,1.0,1076.4244878513578,False,0.003195912198000769,0.48333333333333334,541980,0.0,0.0,12,0,0,8,6,5.5,12,20,12,20.0,20.0,2,2,12,876,1.1398603050038218,16.66829441487789
4,12,0,0,0,10.0,20,10.0,25.759630200308163,10,32.0,13.426185592901094,25,8.2,40.99999999999999,11,41.0,0,0.2,59066,1,24,1.0,628.2311248073959,False,0.01082860483459925,0,0.2,58254,5,44,1.0,1183.4237288135591,False,0.001731442605317673,14,0.808,91321.0,0,0,0.0,0.0,False,-0.03196022727272727,11,0.4810000000000001,92750.0,26,0,0.0,669.7503852080122,False,-0.013262432235795315,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,1,0.228,119949,60,10,1.0,1215.5711355740655,False,0.0054190795181852545,0.5,541197,0.0,0.0,13,0,0,11,4,3.3333333333333335,18,29,6,196.0,0.0,12,0,6,848,1.3566777845844626,18.024972199462354
5,6,0,0,0,10.0,20,10.0,26.966164894351607,14,32.0,13.487884937494464,11,14.090909090909092,40.999999999999986,13,41.0,0,0.2,58956,2,34,1.0,936.8496064079546,False,0.011582881710540241,0,0.2,58612,4,40,1.0,1118.6465957740643,False,0.00727433095953679,1,0.804,91289.0,0,0,0.0,0.0,False,-0.03229944029850746,10,0.5700000000000001,92082.0,40,0,0.0,1078.6465957740643,False,-0.018176271011204243,0,0.2,119857,0,10,0.0,409.9999999999999,False,0.001292668484742342,3,0.257,120176,61,10,1.0,1232.760981187162,False,0.0073838932722325055,0.5,540972,0.0,0.0,14,0,0,7,4,4.0,16,23,8,94.0,0.0,6,0,8,1058,1.1560030253604054,19.18097522482276
6,8,0,0,0,10.0,20,10.0,32.10376056056751,50,38.8,13.2310793813871,19,11.789473684210526,40.99999999999999,12,41.0,0,0.2,59358,3,28,1.0,928.9052956958902,False,0.018358515726677543,0,0.2,59950,3,16,1.0,543.6601689690801,False,0.02515712386770638,9,0.893,89582.0,34,0,0.0,1091.5278590592952,False,-0.04460901533317446,10,0.6600000000000001,91370.0,56,0,0.0,1797.8105913917805,False,-0.021912045288162617,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,2,0.274,120346,70,10,1.0,1336.175556697097,False,0.009232886973642477,0.5,540463,0.0,0.0,15,0,0,11,3,2.6666666666666665,15,26,6,126.0,0.0,8,0,6,2509,1.2601157566532493,20.44109098147601
7,6,0,0,0,10.0,20,10.0,32.76101272701251,34,34.76470588235294,13.309593325343437,23,13.695652173913043,40.99999999999999,7,41.0,0,0.2,59248,4,38,1.0,1284.9184836264756,False,0.019516193003766134,18,0.38000000000000006,60504,2,10,1.0,347.61012727012513,False,0.03291919283050286,3,0.9140000000000001,89228.0,40,0,0.0,1310.4405090805005,False,-0.047201277830942016,20,0.8500000000000001,89852.0,84,0,0.0,2751.925069069051,False,-0.032946462278085495,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,120318,83,13,1.0,1637.6962460035052,False,0.010256683287896032,0.5,539007,0.0,0.0,12,0,0,9,5,4.285714285714286,15,24,8,70.0,13.0,5,1,8,745,1.1249232841655612,21.56601426564157
8,8,0,0,0,10.0,20,10.0,32.65071104776975,21,32.0,13.295135741068798,6,13.0,40.99999999999999,12,41.0,0,0.2,59870,0,26,0.9,848.9184872420134,False,0.026393491141580547,0,0.36200000000000004,60354,7,20,1.0,723.0142209553949,False,0.03356099534382566,6,0.9710000000000001,89084.0,40,0,0.0,1306.0284419107898,False,-0.04875112130093084,0,0.8300000000000001,89180.0,105,0,0.0,3428.3246600158236,False,-0.03648488032132051,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,120732,79,11,1.0,1501.315723544435,False,0.013140666197738344,0.48333333333333334,539077,0.0,0.0,15,0,0,11,1,1.0,14,25,10,99.0,10.0,7,1,10,1364,1.181372594088316,22.747386859729886
9,10,0,0,0,10.000000000000002,20,10.0,33.53362311872694,11,44.0,13.28640430549437,14,13.214285714285714,40.99999999999999,10,41.0,0,0.2,60034,0,30,1.0,1006.0086935618083,False,0.030522340099089284,0,0.36200000000000004,60474,7,25,1.0,908.3405779681735,False,0.03718116384624964,5,1.0150000000000001,88465.0,51,0,0.0,1710.2147790550741,False,-0.05317050341833941,9,0.9200000000000002,88982.0,105,0,0.0,3521.030427466329,False,-0.03809240148264543,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,120957,83,11,1.0,1553.7715573560326,False,0.015235855944006718,0.5,538769,0.0,0.0,15,0,0,10,2,2.0,16,26,9,136.0,16.0,9,1,9,1094,1.2776726027950644,24.02505946252495
10,9,0,0,0,10.000000000000002,20,10.0,33.53019633856244,31,33.516129032258064,13.147010433303262,29,12.586206896551724,40.99999999999999,10,41.0,0,0.2,60351,1,27,1.0,915.3153011411858,False,0.03514669839593144,0,0.36200000000000004,60996,6,17,1.0,630.0133377555615,False,0.04369819332830213,10,1.11,88133.0,52,0,0.0,1743.5702096052469,False,-0.05651304799013505,19,1.1010000000000002,87427.0,135,0,0.0,4526.57650570593,False,-0.049246435582885016,0,0.2,119857,0,10,0.0,409.99999999999994,False,0.001292668484742342,0,0.272,121002,102,11,1.0,1791.9950641969326,False,0.016604514599635273,0.5,537766,0.0,0.0,18,0,0,10,3,3.0,14,24,13,94.0,36.0,6,3,13,1649,1.7902180636301637,25.815277526155114
11,13,0,0,0,10.000000000000002,20,10.0,33.53019633856244,0,,12.615429729385568,6,1.0,41.0,9,41.0,0,0.2,60281,0,35,0.8,1173.5568718496854,False,0.03615311241871238,0,0.36200000000000004,60866,9,27,1.0,995.3153011411858,False,0.0445944717855542,6,1.1600000000000001,87917.0,52,0,0.0,1743.5702096052469,False,-0.058802735914151326,0,1.082,87427.0,135,0,0.0,4526.57650570593,False,-0.049246435582885016,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,121365,98,12,1.0,1728.3121134797857,False,0.0193663093625885,0.4666666666666666,537713,0.0,0.0,12,0,0,10,1,1.0,19,29,11,165.0,17.0,11,2,11,569,1.3746606586501002,27.189938184805214
12,11,0,0,0,10.000000000000002,20,10.0,34.640228438622565,67,37.0,12.165760979505437,15,8.466666666666667,41.0,10,41.0,16,0.36000000000000004,61499,1,10,1.0,356.40228438622563,False,0.04993192738310481,0,0.36200000000000004,61441,8,21,1.0,807.4447972110738,False,0.05278364426333821,7,1.2240000000000002,86403.0,82,0,0.0,2840.4987319670504,False,-0.06903780777239303,8,1.1620000000000004,86034.0,172,0,0.0,5958.119291443081,False,-0.056425334488195984,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,121648,103,12,1.0,1745.07338088906,False,0.021796364602938323,0.5,536882,0.0,0.0,19,0,0,14,4,3.375,11,25,9,144.0,20.0,9,2,9,2225,1.322456548921764,28.51239473372698
13,9,0,0,0,10.000000000000002,20,10.0,34.61639727878067,30,34.46666666666667,11.955429623839054,18,10.5,41.0,8,41.0,1,0.35400000000000004,61695,4,10,1.0,386.16397278780664,False,0.05352175518170202,0,0.36200000000000004,62053,5,12,1.0,465.396767345368,False,0.06029038512312214,9,1.3070000000000004,85952.0,86,0,0.0,2977.010165975137,False,-0.07309505297036584,9,1.2440000000000002,84974.0,198,0,0.0,6854.046661198572,False,-0.0629131685613203,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,121787,111,14,1.0,1901.052688246135,False,0.023606014195360268,0.5,536318,0.0,0.0,14,0,0,11,3,2.090909090909091,14,25,9,105.0,15.0,7,2,9,1210,1.1942523093894124,29.70664704311639
14,9,0,0,0,10.000000000000002,20,10.0,34.80347036290726,4,44.0,12.155002158311783,9,15.0,41.0,9,41.0,0,0.35300000000000004,61585,5,20,1.0,746.0694072581452,False,0.05471256134463213,0,0.36200000000000004,62139,4,18,1.0,666.4624665323307,False,0.06346573664146411,0,1.2980000000000003,85776.0,90,0,0.0,3132.3123326616537,False,-0.07413759152040765,9,1.3250000000000002,84776.0,198,0,0.0,6891.087131855638,False,-0.06481572712508676,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,122021,110,15,1.0,1952.0502374142961,False,0.025770181212999704,0.5,536154,0.0,0.0,14,0,0,10,1,1.0,15,25,9,101.0,18.0,7,2,9,745,1.2235959870740771,30.930243030190468
15,9,0,0,0,10.000000000000002,20,10.0,34.63633481423184,38,33.8421052631579,12.48392454680769,9,17.0,41.0,9,41.0,4,0.393,62149,5,10,1.0,396.3633481423184,False,0.06133701610498363,0,0.36200000000000004,62557,4,14,1.0,524.9086873992458,False,0.06937652089914927,0,1.298,85258.0,104,0,0.0,3602.178820680111,False,-0.07713821435782682,9,1.4060000000000004,83828.0,222,0,0.0,7689.266328759468,False,-0.07063440081856628,0,0.2,119857,0,10,0.0,410.0,False,0.001292668484742342,0,0.272,122237,109,16,1.0,2016.7477756020382,False,0.027841359451917062,0.5,535886,0.0,0.0,16,0,0,11,2,1.3076923076923077,14,25,11,128.0,3.0,8,1,11,1439,1.2057731989771128,32.13601622916758
